team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Essendon,2016,1,Sydney,7,L,27,4,2.0,6.0,10,,,,6.0,1.0,3.0,1.0,1.0,1.0,1.0,,8.0,4,,,3.0,,1.0,83,2016-04-12
Essendon,2016,2,North Melbourne,8,L,27,4,4.0,3.0,7,1.0,2.0,,,,,,,,,,2.0,5,,3.0,1.0,,1.0,72,2016-04-19
Essendon,2016,3,St Kilda,9,L,27,2,1.0,,2,,,,2.0,1.0,1.0,,,,,,1.0,1,1.0,,4.0,,,77,2016-04-26
Essendon,2018,4,Brisbane Lions,12,W,27,14,7.0,10.0,24,,,,3.0,2.0,4.0,1.0,5.0,,1.0,,7.0,17,,,2.0,,,80,2018-05-17
Essendon,2018,5,West Coast,14,W,27,11,8.0,6.0,17,,,,1.0,2.0,1.0,,4.0,1.0,1.0,,7.0,10,1.0,,3.0,,,71,2018-05-31
Essendon,2019,6,Brisbane Lions,4,W,27,11,4.0,6.0,17,,,,4.0,2.0,1.0,,3.0,1.0,2.0,,3.0,14,,,2.0,,,85,2019-03-22
Essendon,2019,7,North Melbourne,5,W,27,9,4.0,6.0,15,,,,4.0,,3.0,1.0,2.0,1.0,,,6.0,10,,,1.0,,1.0,79,2019-03-29
Essendon,2019,8,Collingwood,6,L,27,10,7.0,4.0,14,,,,2.0,2.0,,,1.0,1.0,,,3.0,12,1.0,,3.0,,1.0,79,2019-04-05
Essendon,2019,9,Geelong,7,L,27,7,3.0,5.0,12,,,,4.0,1.0,,1.0,,,,,4.0,9,,,7.0,,,78,2019-04-12
Essendon,2019,10,Sydney,8,L,27,9,9.0,6.0,15,,,,3.0,2.0,4.0,,4.0,,3.0,,5.0,12,2.0,,2.0,1.0,,77,2019-04-19
Essendon,2019,11,Fremantle,9,W,27,15,7.0,5.0,20,,,,2.0,,1.0,,3.0,1.0,2.0,,6.0,12,1.0,,1.0,,,72,2019-04-26
Essendon,2019,12,Richmond,10,L,27,8,2.0,5.0,13,,1.0,,3.0,3.0,,1.0,4.0,1.0,,,5.0,9,1.0,,3.0,,,92,2019-05-03
Essendon,2019,13,Carlton,11,W,27,16,4.0,2.0,18,,,,,3.0,1.0,,2.0,2.0,1.0,,3.0,15,1.0,,3.0,,,80,2019-05-10
Essendon,2019,14,Hawthorn,13,W,27,7,6.0,7.0,14,,,,1.0,4.0,,1.0,1.0,,1.0,,5.0,9,,,5.0,,,75,2019-05-24
Essendon,2019,15,West Coast,14,L,27,16,5.0,6.0,22,,1.0,,4.0,2.0,2.0,,4.0,2.0,1.0,,3.0,19,,,3.0,1.0,2.0,81,2019-05-31
Essendon,2019,16,Greater Western Sydney,15,W,27,8,,9.0,17,,,,4.0,3.0,4.0,4.0,2.0,1.0,,,11.0,6,,,5.0,,,82,2019-06-07
Essendon,2019,17,Sydney,16,W,27,10,2.0,4.0,14,,,,4.0,5.0,1.0,,4.0,2.0,2.0,,6.0,9,,,1.0,,,88,2019-06-14
Essendon,2019,18,North Melbourne,17,W,27,13,3.0,2.0,15,,,,5.0,2.0,1.0,,7.0,3.0,3.0,,5.0,11,,,1.0,,,89,2019-06-21
Essendon,2019,19,Adelaide,18,W,27,16,5.0,9.0,25,,,,1.0,2.0,1.0,,2.0,,,,5.0,16,,,4.0,,,91,2019-06-28
Essendon,2019,20,Gold Coast,19,W,27,15,4.0,9.0,24,,,,2.0,5.0,3.0,2.0,1.0,,,,7.0,15,1.0,,1.0,,,89,2019-07-05
Essendon,2019,21,Port Adelaide,20,L,27,14,1.0,5.0,19,,,,,5.0,1.0,1.0,3.0,,1.0,,7.0,9,,,2.0,3.0,,84,2019-07-12
Essendon,2019,22,Western Bulldogs,21,L,27,12,5.0,4.0,16,,,,5.0,2.0,1.0,,1.0,1.0,1.0,,8.0,7,2.0,,8.0,3.0,,87,2019-07-19
Essendon,2019,23,Fremantle,22,W,27,11,6.0,7.0,18,,,,7.0,3.0,2.0,,2.0,,1.0,,2.0,13,,,5.0,1.0,,83,2019-07-26
Essendon,2019,24,Collingwood,23,L,27,15,7.0,4.0,19,,,,1.0,5.0,1.0,,4.0,,1.0,,4.0,11,1.0,,1.0,,,87,2019-08-02
Essendon,2019,25,West Coast,EF,L,27,9,5.0,4.0,13,,,,5.0,1.0,2.0,,3.0,1.0,1.0,,3.0,11,,,2.0,,,60,2019-03-01
