team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
West Coast,2025,1,Gold Coast,2,L,22,1,,5,6,,,6,3.0,1.0,1.0,3.0,1.0,1.0,,,5.0,1,,,,,,66,2025-03-08
West Coast,2025,2,Brisbane Lions,3,L,22,5,1.0,2,7,,2.0,13,,,,2.0,3.0,1.0,1.0,,3.0,3,,1.0,1.0,,,66,2025-03-15
West Coast,2025,3,Fremantle,4,L,22,7,5.0,1,8,2.0,2.0,6,1.0,,2.0,1.0,,2.0,,,8.0,2,3.0,4.0,4.0,,1.0,83,2025-03-22
West Coast,2025,4,Greater Western Sydney,5,L,22,5,4.0,5,10,1.0,1.0,1,,,1.0,,1.0,1.0,,,6.0,4,2.0,2.0,1.0,,,70,2025-03-29
West Coast,2025,5,Carlton,6,L,22,3,3.0,2,5,1.0,,2,1.0,,,,,,,,2.0,3,1.0,2.0,1.0,,,69,2025-04-05
West Coast,2025,6,Essendon,7,L,22,3,1.0,3,6,,,2,5.0,,1.0,,,2.0,,,6.0,2,,,4.0,,2.0,76,2025-04-12
West Coast,2025,7,Hawthorn,8,L,22,4,2.0,1,5,,2.0,2,1.0,,,,1.0,,1.0,,4.0,2,1.0,2.0,2.0,,1.0,81,2025-04-19
West Coast,2025,8,Melbourne,9,L,22,4,3.0,1,5,,1.0,3,,,1.0,,,1.0,,,3.0,2,1.0,2.0,,,1.0,62,2025-04-26
West Coast,2025,9↓,Richmond,10,L,22,2,1.0,1,3,,,3,3.0,,1.0,,1.0,,,,,3,,1.0,1.0,,,65,2025-05-03
West Coast,2025,10,Geelong,13,L,22,4,2.0,2,6,,,9,,,3.0,2.0,,2.0,,,3.0,3,,,3.0,,3.0,69,2025-05-24
West Coast,2025,11↓,North Melbourne,14,L,22,2,1,2,4,,1,12,3,,1,,2,1,1,,5,1,1,1,3,,,64,2025-05-31
