team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Fremantle,2025,1,Geelong,2,L,16,10,3.0,3,13,4.0,,,,,1,,4.0,,,,3,10,,3.0,,,,79,2025-03-08
Fremantle,2025,2,Sydney,3,L,16,9,1.0,5,14,,1.0,,2.0,,4,,1.0,1.0,,,6,7,,,3.0,,1.0,68,2025-03-15
Fremantle,2025,3,West Coast,4,W,16,9,2.0,10,19,,2.0,,5.0,,3,1.0,1.0,,,,6,11,,1.0,2.0,,2.0,79,2025-03-22
Fremantle,2025,4,Western Bulldogs,5,W,16,7,3.0,9,16,1.0,,,1.0,,2,1.0,4.0,1.0,2.0,,10,6,,,1.0,1.0,2.0,91,2025-03-29
Fremantle,2025,5,Richmond,6,W,16,7,1.0,2,9,1.0,2.0,,3.0,,3,4.0,1.0,1.0,1.0,,4,5,,,,,,82,2025-04-05
Fremantle,2025,6,Melbourne,7,L,16,14,3.0,3,17,1.0,2.0,,2.0,,6,1.0,1.0,1.0,,,5,11,,1.0,,,2.0,71,2025-04-12
Fremantle,2025,7,Adelaide,8,W,16,3,,3,6,1.0,1.0,,4.0,,1,2.0,2.0,1.0,1.0,,2,6,,,1.0,,,73,2025-04-19
Fremantle,2025,8,St Kilda,9,L,16,4,2.0,11,15,,1.0,,,,1,3.0,2.0,1.0,1.0,,10,5,1.0,1.0,,,,73,2025-04-26
Fremantle,2025,9,Collingwood,10,L,16,4,3.0,2,6,1.0,,,2.0,,1,,2.0,,,,2,4,,1.0,,,,77,2025-05-03
Fremantle,2025,10,Greater Western Sydney,11,W,16,8,1.0,7,15,1.0,,,3.0,,4,,2.0,2.0,1.0,,6,9,,1.0,,1.0,1.0,69,2025-05-10
Fremantle,2025,11,Port Adelaide,12,W,16,9,3.0,9,18,4.0,,,4.0,,1,1.0,2.0,,,,8,9,,1.0,,,,84,2025-05-17
Fremantle,2025,12,Gold Coast,13,W,16,8,1.0,6,14,,,,,1.0,3,1.0,3.0,,2.0,,5,10,,,1.0,,,85,2025-05-24
Fremantle,2025,13,North Melbourne,15,W,16,8,3.0,8,16,1.0,,,1.0,,1,,4.0,,3.0,,6,10,1.0,1.0,1.0,,,81,2025-06-07
Fremantle,2025,14,Essendon,16,W,16,7,3.0,6,13,1.0,,,4.0,,4,1.0,3.0,,2.0,,4,9,,1.0,1.0,,2.0,86,2025-06-14
Fremantle,2025,15,St Kilda,17,W,16,9,2.0,6,15,1.0,2.0,,1.0,,3,,,,,,4,11,,,2.0,,1.0,76,2025-06-21
Fremantle,2025,16,Sydney,18,L,16,10,3.0,5,15,1.0,1.0,,,1.0,6,2.0,1.0,,,,7,9,,1.0,2.0,,2.0,85,2025-06-28
Fremantle,2025,17,Hawthorn,19,W,16,8,1.0,5,13,,,,5.0,1.0,4,2.0,3.0,2.0,,,5,7,,,2.0,,1.0,82,2025-07-05
Fremantle,2025,18,Collingwood,20,W,16,7,4.0,7,14,,,,2.0,,3,1.0,4.0,1.0,3.0,,4,10,,,,,,75,2025-07-12
Fremantle,2025,19,West Coast,21,W,16,11,4.0,12,23,1.0,1.0,,3.0,1.0,6,,3.0,,,,5,18,,1.0,,2.0,3.0,85,2025-07-19
Fremantle,2025,20,Carlton,22,W,16,5,1.0,5,10,1.0,,,,,3,1.0,3.0,,1.0,,6,5,,,,,1.0,80,2025-07-26
Fremantle,2025,21,Port Adelaide,23,W,16,6,2.0,8,14,2.0,1.0,,,,1,1.0,2.0,,1.0,,3,12,,2.0,,,1.0,72,2025-08-02
Fremantle,2025,22,Brisbane Lions,24,L,16,6,1,7,13,1,1,,1,,4,1,,2,,,7,6,,,,1,,79,2025-08-09
