team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Richmond,2026,1,North Melbourne,7,L,33,9,6,4,13,,,,3.0,3,2.0,,,,,,1.0,12,,,1.0,2.0,,87,2026-04-12
Richmond,2026,2,Melbourne,8,L,33,15,4,11,26,,,,3.0,3,4.0,1.0,2.0,,,,6.0,19,1.0,,,1.0,,80,2026-04-19
Richmond,2026,3,West Coast,9,W,33,6,2,3,9,,,,5.0,3,2.0,1.0,1.0,1.0,,,2.0,8,,,,4.0,1.0,93,2026-04-26
Richmond,2026,4,Adelaide,10,L,33,12,6,10,22,,,,,2,3.0,2.0,4.0,,1.0,,3.0,21,,,1.0,,,94,2026-05-03
Richmond,2026,5,St Kilda,11,L,33,11,5,4,15,,,,1.0,6,,,4.0,,2.0,,,15,,,1.0,1.0,,81,2026-05-10
Richmond,2026,6,Essendon,12,W,33,15,8,12,27,,,,3.0,1,5.0,,3.0,1.0,,,4.0,22,,,,,1.0,84,2026-05-17
Richmond,2026,7,Sydney,13,L,33,8,4,2,10,,,,2.0,2,2.0,,2.0,,1.0,,3.0,8,,,,1.0,1.0,83,2026-05-24
Richmond,2026,8,Brisbane Lions,15,L,33,10,4,8,18,,,,,3,,,2.0,,1.0,,2.0,16,,,,,,83,2026-06-07
Richmond,2026,9,North Melbourne,16,L,33,10,2,4,14,,,,3.0,1,4.0,,6.0,,2.0,,6.0,9,,,,3.0,,81,2026-06-14
Richmond,2026,10,Collingwood,17,L,33,16,10,10,26,,1.0,,,5,5.0,,,,,,4.0,21,,1.0,1.0,3.0,1.0,91,2026-06-21
Richmond,2026,11,Carlton,18,L,33,8,3,7,15,,,,3.0,3,1.0,2.0,4.0,,,,6.0,9,1.0,,1.0,,,84,2026-06-28
Richmond,2026,12,Melbourne,19,L,33,9,3,9,18,,,,2.0,2,3.0,4.0,,2.0,,,8.0,10,,,2.0,,,87,2026-07-12
Richmond,2026,13,Hawthorn,20,L,33,12,6,7,19,1.0,1.0,,4.0,2,1.0,1.0,1.0,1.0,,,7.0,12,,2.0,2.0,1.0,1.0,81,2026-07-19
