team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Essendon,2018,1,Geelong,9,W,14,16,7.0,9.0,25,,,,,5.0,2.0,,2.0,2.0,,,5.0,20.0,,,,1.0,,79,2018-04-26
Essendon,2018,2,Greater Western Sydney,10,W,14,7,4.0,2.0,9,,,,3.0,1.0,3.0,1.0,1.0,,1.0,,1.0,8.0,1.0,,2.0,,,77,2018-05-03
Essendon,2018,3,Richmond,11,L,14,6,3.0,1.0,7,,,,1.0,1.0,,,2.0,,2.0,,2.0,5.0,,,4.0,,,93,2018-05-10
Essendon,2019,4,Greater Western Sydney,1,L,14,10,6.0,4.0,14,,,,1.0,4.0,,1.0,1.0,,1.0,,4.0,7.0,,,,,,85,2019-03-01
Essendon,2019,5,Melbourne,3,W,14,9,6.0,5.0,14,,,,2.0,4.0,,,,,,,4.0,10.0,,,1.0,1.0,,79,2019-03-15
Essendon,2019,6,Brisbane Lions,4,W,14,11,9.0,6.0,17,,,,1.0,2.0,1.0,,1.0,,,,4.0,13.0,1.0,,2.0,2.0,,85,2019-03-22
Essendon,2019,7,North Melbourne,5,W,14,12,6.0,1.0,13,,,,2.0,6.0,,,2.0,1.0,,,2.0,10.0,,,1.0,,,84,2019-03-29
Essendon,2019,8,Collingwood,6,L,14,14,9.0,4.0,18,,,,3.0,3.0,1.0,,2.0,,1.0,,3.0,14.0,,,1.0,,,85,2019-04-05
Essendon,2019,9,Geelong,7,L,14,9,6.0,4.0,13,,,,2.0,2.0,2.0,,,,,,2.0,10.0,1.0,,4.0,,,74,2019-04-12
Essendon,2020,10,Fremantle,1,W,14,12,9.0,4.0,16,,,,2.0,2.0,,,,1.0,,,3.0,13.0,1.0,,7.0,,,90,2020-03-01
Essendon,2020,11,Sydney,2,W,14,10,4.0,7.0,17,,,,1.0,5.0,1.0,,1.0,1.0,,,6.0,11.0,2.0,,6.0,,,87,2020-03-08
Essendon,2020,12,Carlton,4,L,14,13,6.0,5.0,18,,,,2.0,5.0,1.0,,1.0,1.0,,,8.0,8.0,2.0,,8.0,,1.0,92,2020-03-22
Essendon,2020,13,Collingwood,5,W,14,12,7.0,6.0,18,,,,3.0,5.0,2.0,1.0,2.0,1.0,1.0,,5.0,12.0,1.0,,8.0,,,92,2020-03-29
Essendon,2020,14,North Melbourne,6,W,14,14,7.0,4.0,18,,,,1.0,7.0,3.0,,1.0,,,,4.0,13.0,3.0,,6.0,,,84,2020-04-05
Essendon,2020,15,Western Bulldogs,7,L,14,10,8.0,4.0,14,,,,,6.0,,,1.0,,,,3.0,10.0,1.0,,4.0,,,98,2020-04-12
Essendon,2020,16,Adelaide,8,W,14,12,6.0,6.0,18,,,,3.0,4.0,2.0,1.0,1.0,1.0,1.0,,3.0,12.0,2.0,,4.0,,1.0,92,2020-04-19
Essendon,2020,17,Brisbane Lions,9,L,14,10,4.0,10.0,20,,,,1.0,5.0,,2.0,2.0,1.0,,,6.0,12.0,,,3.0,,,93,2020-04-26
Essendon,2020,18,Greater Western Sydney,10,L,14,13,8.0,4.0,17,,,,2.0,2.0,,1.0,2.0,,,,3.0,13.0,1.0,,8.0,,,86,2020-05-03
