team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Richmond,2016,1,Carlton,1,W,17,6.0,2.0,1.0,7.0,,2.0,,6.0,1.0,3.0,,,1.0,,,1.0,5.0,,1.0,,,,69.0,2016-03-01
Richmond,2016,2,Adelaide,3,L,17,5.0,,7.0,12.0,2.0,1.0,,1.0,,1.0,,,,,,4.0,8.0,,,,1.0,1.0,75.0,2016-03-15
Richmond,2016,3,West Coast,4,L,17,3.0,,6.0,9.0,2.0,,,2.0,,,,,1.0,,,3.0,6.0,,,,,,83.0,2016-03-22
Richmond,2016,4,Melbourne,5,L,17,2.0,,8.0,10.0,,,,3.0,,,,3.0,3.0,1.0,,8.0,3.0,,,,,,70.0,2016-03-29
Richmond,2016,5,Port Adelaide,6,L,17,3.0,2.0,4.0,7.0,,,,7.0,,2.0,,4.0,1.0,1.0,,5.0,2.0,1.0,1.0,,,1.0,90.0,2016-04-05
Richmond,2016,6,Hawthorn,7,L,17,6.0,2.0,5.0,11.0,,1.0,,4.0,1.0,2.0,,5.0,1.0,1.0,,4.0,7.0,,1.0,1.0,1.0,1.0,89.0,2016-04-12
Richmond,2016,7,Sydney,8,W,17,5.0,3.0,6.0,11.0,2.0,1.0,,2.0,,4.0,,2.0,1.0,,,4.0,8.0,,1.0,1.0,3.0,1.0,89.0,2016-04-19
Richmond,2016,8,Essendon,10,W,17,4.0,1.0,2.0,6.0,,,,2.0,,1.0,,2.0,2.0,1.0,,5.0,3.0,,,4.0,1.0,1.0,80.0,2016-05-03
Richmond,2016,9,North Melbourne,11,L,17,6.0,3.0,5.0,11.0,,,,2.0,1.0,1.0,1.0,4.0,,3.0,,4.0,8.0,,1.0,1.0,,1.0,78.0,2016-05-10
Richmond,2016,10,Gold Coast,12,W,17,3.0,2.0,4.0,7.0,,,,1.0,,2.0,1.0,1.0,,,,2.0,5.0,,,,,,69.0,2016-05-17
Richmond,2016,11,Western Bulldogs,16,L,17,2.0,2.0,7.0,9.0,,,,2.0,,1.0,,2.0,1.0,1.0,,5.0,5.0,,,1.0,,,77.0,2016-06-14
Richmond,2016,12,Essendon,17,W,17,7.0,4.0,4.0,11.0,1.0,,,5.0,1.0,3.0,,1.0,,1.0,,5.0,6.0,1.0,1.0,1.0,,3.0,89.0,2016-06-21
Richmond,2016,13,Hawthorn,18,L,17,3.0,2.0,6.0,9.0,1.0,,,3.0,1.0,1.0,,1.0,,,,4.0,5.0,,,1.0,,,92.0,2016-06-28
Richmond,2016,14,Greater Western Sydney,19,L,17,6.0,7.0,4.0,10.0,,,,1.0,,2.0,,1.0,,,,2.0,8.0,1.0,1.0,,,,74.0,2016-07-05
Richmond,2016,15,Collingwood,20,W,17,9.0,6.0,5.0,14.0,1.0,1.0,,4.0,,3.0,,1.0,1.0,,,2.0,12.0,1.0,,,1.0,1.0,74.0,2016-07-12
Richmond,2016,16,Geelong,21,L,17,4.0,3.0,9.0,13.0,2.0,,,3.0,,2.0,,2.0,1.0,1.0,,5.0,8.0,,1.0,,,,76.0,2016-07-19
Richmond,2016,17,St Kilda,22,L,17,8.0,4.0,8.0,16.0,2.0,,,4.0,,2.0,,,2.0,,,9.0,8.0,1.0,1.0,1.0,1.0,,80.0,2016-07-26
Richmond,2016,18,Sydney,23,L,17,4.0,2.0,6.0,10.0,,,,5.0,,1.0,,,1.0,,,4.0,6.0,,,,,,82.0,2016-08-02
Richmond,2017,19,Carlton,1,W,17,6.0,3.0,4.0,10.0,2.0,,,2.0,,2.0,1.0,2.0,,2.0,,5.0,6.0,1.0,1.0,,,1.0,85.0,2017-03-01
Richmond,2017,20,Collingwood,2,W,17,6.0,6.0,7.0,13.0,1.0,,,1.0,,4.0,,2.0,1.0,1.0,,5.0,8.0,1.0,2.0,,1.0,,83.0,2017-03-08
Richmond,2017,21,West Coast,3,W,17,3.0,,6.0,9.0,2.0,,,2.0,,1.0,,3.0,,1.0,,7.0,3.0,,,4.0,1.0,,78.0,2017-03-15
Richmond,2017,22,Brisbane Lions,4,W,17,5.0,2.0,5.0,10.0,2.0,,,1.0,,2.0,,2.0,,2.0,,3.0,7.0,,,1.0,,1.0,87.0,2017-03-22
Richmond,2017,23,Melbourne,5,W,17,7.0,3.0,4.0,11.0,1.0,2.0,,4.0,,4.0,2.0,1.0,1.0,1.0,,9.0,4.0,,1.0,4.0,,1.0,84.0,2017-03-29
Richmond,2017,24,Adelaide,6,L,17,5.0,6.0,7.0,12.0,2.0,1.0,,3.0,,,,3.0,,,,4.0,8.0,1.0,3.0,3.0,,,85.0,2017-04-05
Richmond,2017,25,Western Bulldogs,7,L,17,4.0,1.0,5.0,9.0,,1.0,,4.0,,1.0,1.0,1.0,1.0,1.0,,2.0,7.0,,,,,,88.0,2017-04-12
Richmond,2017,26,Fremantle,8,L,17,8.0,4.0,6.0,14.0,1.0,,,6.0,,4.0,,5.0,1.0,2.0,,6.0,7.0,1.0,2.0,,1.0,1.0,80.0,2017-04-19
Richmond,2017,27,Greater Western Sydney,9,L,17,7.0,5.0,4.0,11.0,,2.0,,2.0,,3.0,1.0,1.0,1.0,,,4.0,8.0,,1.0,2.0,3.0,,91.0,2017-04-26
Richmond,2017,28,Essendon,10,W,17,4.0,2.0,6.0,10.0,,1.0,,3.0,,2.0,1.0,,1.0,,,6.0,5.0,,,3.0,,,74.0,2017-05-03
Richmond,2017,29,North Melbourne,11,W,17,9.0,4.0,3.0,12.0,1.0,1.0,,4.0,2.0,2.0,,3.0,,1.0,,3.0,9.0,1.0,2.0,1.0,,,73.0,2017-05-10
Richmond,2017,30,Sydney,13,L,17,6.0,1.0,2.0,8.0,,,,7.0,,3.0,1.0,3.0,,1.0,,2.0,5.0,,1.0,1.0,,1.0,83.0,2017-05-24
Richmond,2017,31,Carlton,14,W,17,5.0,3.0,4.0,9.0,,2.0,,1.0,,,,1.0,1.0,1.0,,4.0,5.0,,,1.0,,,82.0,2017-05-31
Richmond,2017,32,Port Adelaide,15,W,17,3.0,1.0,3.0,6.0,1.0,,,2.0,,2.0,,4.0,,2.0,,1.0,6.0,,,2.0,,,83.0,2017-06-07
Richmond,2017,33,St Kilda,16,L,17,2.0,1.0,6.0,8.0,,,,2.0,,2.0,,,,,,4.0,6.0,,,,,,81.0,2017-06-14
Richmond,2017,34,Brisbane Lions,17,W,17,6.0,6.0,7.0,13.0,1.0,,,1.0,,1.0,,6.0,,3.0,,5.0,12.0,,1.0,3.0,,2.0,77.0,2017-06-21
Richmond,2017,35,Greater Western Sydney,18,W,17,6.0,4.0,4.0,10.0,1.0,,,3.0,,2.0,,1.0,4.0,1.0,,4.0,7.0,1.0,1.0,1.0,,,76.0,2017-06-28
Richmond,2017,36,Gold Coast,19,W,17,10.0,4.0,6.0,16.0,3.0,1.0,,5.0,,3.0,,1.0,,,,5.0,11.0,1.0,3.0,2.0,1.0,1.0,88.0,2017-07-05
Richmond,2017,37,Hawthorn,20,W,17,4.0,1.0,11.0,15.0,1.0,,,7.0,,2.0,1.0,,2.0,,,11.0,3.0,,1.0,3.0,,1.0,81.0,2017-07-12
Richmond,2017,38,Geelong,21,L,17,6.0,3.0,6.0,12.0,1.0,,,5.0,,5.0,,2.0,1.0,2.0,,4.0,10.0,1.0,,1.0,,1.0,82.0,2017-07-19
Richmond,2017,39,Fremantle,22,W,17,9.0,1.0,4.0,13.0,1.0,1.0,,3.0,,4.0,1.0,1.0,,1.0,,2.0,11.0,,1.0,,,3.0,84.0,2017-07-26
Richmond,2017,40,St Kilda,23,W,17,2.0,,5.0,7.0,,1.0,,2.0,,,,1.0,,1.0,,1.0,5.0,,,,,1.0,72.0,2017-08-02
Richmond,2017,41,Geelong,QF,W,17,3.0,1.0,5.0,8.0,,,,4.0,,1.0,,1.0,,,,4.0,3.0,,1.0,,,,82.0,2017-03-01
Richmond,2017,42,Greater Western Sydney,PF,W,17,9.0,5.0,5.0,14.0,4.0,,,6.0,,8.0,,2.0,4.0,1.0,,6.0,10.0,,,2.0,,,84.0,2017-03-01
Richmond,2017,43,Adelaide,GF,W,17,9.0,2.0,2.0,11.0,,,,5.0,,4.0,1.0,,2.0,,,5.0,4.0,1.0,,1.0,,,70.0,2017-03-01
Richmond,2018,44,Geelong,13,W,17,9.0,2.0,3.0,12.0,1.0,2.0,,8.0,,2.0,1.0,1.0,3.0,,,6.0,5.0,,1.0,,,,79.0,2018-05-24
Richmond,2018,45,Sydney,15,W,17,4.0,,4.0,8.0,1.0,,,6.0,,1.0,,3.0,,2.0,,5.0,3.0,,,,,,85.0,2018-06-07
Richmond,2018,46,Adelaide,16,W,17,11.0,5.0,1.0,12.0,2.0,,,4.0,,2.0,,3.0,1.0,1.0,,2.0,11.0,,,2.0,,,80.0,2018-06-14
Richmond,2018,47,Greater Western Sydney,17,L,17,10.0,2.0,8.0,18.0,3.0,1.0,1.0,2.0,3.0,4.0,1.0,4.0,2.0,1.0,,8.0,11.0,,,3.0,,,80.0,2018-06-21
Richmond,2018,48,St Kilda,18,W,17,7.0,5.0,5.0,12.0,1.0,1.0,,3.0,,1.0,,4.0,,1.0,,7.0,4.0,2.0,2.0,,,,87.0,2018-06-28
Richmond,2018,49,Collingwood,19,W,17,4.0,3.0,10.0,14.0,1.0,,,,1.0,1.0,,1.0,,,,5.0,9.0,,,,,,77.0,2018-07-05
Richmond,2018,50,Geelong,20,W,17,5.0,2.0,7.0,12.0,,,,4.0,,4.0,,2.0,,1.0,,3.0,9.0,,,,2.0,,83.0,2018-07-12
Richmond,2018,51,Gold Coast,21,W,17,13.0,5.0,12.0,25.0,,1.0,,2.0,,7.0,,4.0,2.0,,1.0,7.0,18.0,,2.0,,4.0,2.0,83.0,2018-07-19
Richmond,2018,52,Essendon,22,W,17,7.0,6.0,10.0,17.0,,2.0,,7.0,,2.0,1.0,3.0,1.0,1.0,,5.0,13.0,,1.0,1.0,,,82.0,2018-07-26
Richmond,2018,53,Western Bulldogs,23,W,17,3.0,3.0,7.0,10.0,1.0,1.0,,2.0,,1.0,,,,,,,10.0,,,,,2.0,75.0,2018-08-02
Richmond,2018,54,Hawthorn,QF,W,17,7.0,,9.0,16.0,3.0,,,3.0,,2.0,,2.0,3.0,1.0,,12.0,6.0,,,1.0,,,81.0,2018-03-01
Richmond,2018,55,Collingwood,PF,L,17,7.0,2.0,7.0,14.0,,1.0,,5.0,1.0,4.0,2.0,2.0,1.0,1.0,,5.0,10.0,1.0,,1.0,,,83.0,2018-03-01
Richmond,2019,56,Carlton,1,W,17,10.0,4.0,7.0,17.0,,2.0,,2.0,,4.0,2.0,,1.0,,,6.0,10.0,,,2.0,,2.0,88.0,2019-03-01
Richmond,2019,57,Collingwood,2,L,17,4.0,1.0,8.0,12.0,1.0,,,1.0,1.0,,,2.0,,,,5.0,7.0,,1.0,2.0,,1.0,79.0,2019-03-08
Richmond,2019,58,Greater Western Sydney,3,L,17,9.0,1.0,4.0,13.0,3.0,,,3.0,,2.0,,1.0,5.0,,,6.0,8.0,,,2.0,,,75.0,2019-03-15
Richmond,2019,59,Port Adelaide,4,W,17,8.0,4.0,2.0,10.0,,2.0,,2.0,1.0,4.0,,1.0,1.0,,,4.0,6.0,,,2.0,1.0,1.0,85.0,2019-03-22
Richmond,2019,60,Sydney,5,W,17,7.0,3.0,6.0,13.0,1.0,,,3.0,,4.0,,3.0,1.0,2.0,,8.0,6.0,,1.0,2.0,,,83.0,2019-03-29
Richmond,2019,61,Melbourne,6,W,17,3.0,1.0,3.0,6.0,,2.0,,5.0,,,,1.0,,,,1.0,6.0,,1.0,2.0,,1.0,84.0,2019-04-05
Richmond,2019,62,Western Bulldogs,7,L,17,3.0,3.0,5.0,8.0,,1.0,,2.0,,2.0,,1.0,,,,3.0,6.0,1.0,1.0,,2.0,,66.0,2019-04-12
Richmond,2019,63,Essendon,10,W,17,7.0,3.0,6.0,13.0,1.0,2.0,,2.0,,2.0,1.0,3.0,,1.0,,5.0,6.0,1.0,1.0,,,1.0,86.0,2019-05-03
Richmond,2019,64,Geelong,12,L,17,7.0,4.0,6.0,13.0,,,,2.0,1.0,1.0,1.0,1.0,,,,2.0,11.0,,,,1.0,,80.0,2019-05-17
Richmond,2019,65,Adelaide,13,L,17,6.0,3.0,5.0,11.0,2.0,,,2.0,,3.0,,,1.0,,,2.0,9.0,,1.0,,,,84.0,2019-05-24
Richmond,2019,66,St Kilda,15,W,17,4.0,2.0,6.0,10.0,1.0,,,5.0,,3.0,,,2.0,,,4.0,7.0,,1.0,2.0,,1.0,81.0,2019-06-07
Richmond,2019,67,Gold Coast,16,W,17,11.0,7.0,3.0,14.0,2.0,3.0,,1.0,,1.0,,1.0,1.0,,,5.0,10.0,2.0,2.0,1.0,1.0,,82.0,2019-06-14
Richmond,2019,68,Greater Western Sydney,17,W,17,8.0,6.0,10.0,18.0,,1.0,,3.0,,4.0,1.0,1.0,1.0,1.0,,2.0,13.0,,1.0,,,,70.0,2019-06-21
Richmond,2019,69,Port Adelaide,18,W,17,6.0,3.0,10.0,16.0,1.0,,,3.0,,2.0,,2.0,2.0,1.0,,4.0,14.0,,1.0,2.0,,1.0,86.0,2019-06-28
Richmond,2019,70,Collingwood,19,W,17,9.0,1.0,7.0,16.0,,2.0,,4.0,2.0,2.0,1.0,2.0,2.0,,,7.0,8.0,1.0,1.0,2.0,,1.0,87.0,2019-07-05
Richmond,2019,71,Melbourne,20,W,17,5.0,3.0,7.0,12.0,1.0,1.0,,4.0,,3.0,1.0,2.0,1.0,1.0,,4.0,8.0,,1.0,2.0,,1.0,86.0,2019-07-12
Richmond,2019,72,Carlton,21,W,17,4.0,4.0,6.0,10.0,,,,2.0,,1.0,,3.0,,,,2.0,7.0,,1.0,1.0,3.0,1.0,88.0,2019-07-19
Richmond,2019,73,West Coast,22,W,17,6.0,4.0,5.0,11.0,,,,1.0,1.0,3.0,1.0,2.0,1.0,,,2.0,10.0,,,2.0,,,89.0,2019-07-26
Richmond,2019,74,Brisbane Lions,23,W,17,7.0,3.0,4.0,11.0,1.0,1.0,,2.0,1.0,1.0,,2.0,,1.0,,3.0,11.0,,1.0,1.0,2.0,1.0,77.0,2019-08-02
Richmond,2019,75,Brisbane Lions,QF,W,17,6.0,,1.0,7.0,2.0,1.0,,6.0,1.0,3.0,,1.0,2.0,,,5.0,4.0,,,1.0,3.0,,80.0,2019-03-01
Richmond,2019,76,Geelong,PF,W,17,2.0,,7.0,9.0,,,,2.0,,2.0,1.0,,,,,4.0,5.0,,,,,1.0,84.0,2019-03-01
Richmond,2019,77,Greater Western Sydney,GF,W,17,6.0,2.0,6.0,12.0,1.0,1.0,,4.0,1.0,5.0,,1.0,,1.0,,4.0,7.0,,,,1.0,3.0,91.0,2019-03-01
Richmond,2020,78,Carlton,1,W,17,8.0,3.0,4.0,12.0,3.0,,,3.0,,1.0,,1.0,1.0,1.0,,5.0,6.0,,1.0,1.0,2.0,,81.0,2020-03-01
Richmond,2020,79,Collingwood,2,D,17,4.0,1.0,2.0,6.0,,,,2.0,,1.0,1.0,1.0,1.0,,,3.0,3.0,,,,,,75.0,2020-03-08
Richmond,2020,80,Hawthorn,3,L,17,2.0,,4.0,6.0,,,,3.0,,,,1.0,,,,3.0,2.0,,,,,1.0,72.0,2020-03-15
Richmond,2020,81,Melbourne,5,W,17,6.0,4.0,2.0,8.0,1.0,,,1.0,,2.0,1.0,1.0,,1.0,,1.0,7.0,,2.0,2.0,,,84.0,2020-03-29
Richmond,2020,82,Sydney,6,W,17,4.0,3.0,2.0,6.0,,,,,,4.0,,3.0,1.0,,,5.0,3.0,,,2.0,,,85.0,2020-04-05
