team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Sydney,2022,1,Richmond,11,W,34,1,,1.0,2,,,,1.0,1.0,,,1.0,,1.0,,1.0,1,,,1.0,,,49,2022-05-10
Sydney,2023,2↑,Gold Coast,1,W,34,3,,4.0,7,,,,3.0,2.0,,1.0,,,,,4.0,2,,,,,,12,2023-03-01
Sydney,2023,3↑,Hawthorn,2,W,34,4,,1.0,5,,1.0,,,,1.0,,1.0,,,,3.0,2,,,,,,26,2023-03-08
Sydney,2023,4↑,Melbourne,3,L,34,2,2.0,1.0,3,,,,,,1.0,,1.0,,1.0,,,3,,,,,,20,2023-03-15
Sydney,2023,5,Richmond,5,W,34,9,4.0,5.0,14,,,,4.0,1.0,2.0,2.0,1.0,2.0,1.0,,8.0,8,,,3.0,,,70,2023-03-29
Sydney,2023,6↓,Geelong,6,L,34,3,2.0,,3,,,,1.0,,1.0,,1.0,,,,1.0,2,,,,,,27,2023-04-05
Sydney,2023,7,Gold Coast,22,W,34,7,4.0,2.0,9,1.0,,,1.0,1.0,1.0,1.0,,,,,2.0,7,,,,,,61,2023-07-26
Sydney,2024,8,Melbourne,1,W,34,16,8.0,3.0,19,,,,3.0,3.0,1.0,,1.0,1.0,,,1.0,13,,,1.0,,,84,2024-03-01
Sydney,2024,9,Collingwood,2,W,34,10,5.0,5.0,15,,,,4.0,6.0,1.0,1.0,1.0,,1.0,,2.0,12,,,3.0,,,82,2024-03-08
Sydney,2024,10,Essendon,3,W,34,13,8.0,6.0,19,,,,3.0,3.0,4.0,,1.0,1.0,1.0,,4.0,15,,,4.0,,1.0,82,2024-03-15
Sydney,2024,11,Richmond,4,L,34,17,8.0,10.0,27,,1.0,,,4.0,5.0,1.0,3.0,1.0,1.0,,3.0,22,,,1.0,2.0,1.0,84,2024-03-22
Sydney,2024,12,West Coast,5,W,34,9,5.0,8.0,17,1.0,,,2.0,4.0,1.0,1.0,1.0,,1.0,,5.0,12,,,,1.0,,83,2024-03-29
Sydney,2024,13,Gold Coast,7,W,34,15,5.0,8.0,23,,,,4.0,2.0,3.0,1.0,1.0,,1.0,,4.0,15,1.0,,3.0,,,81,2024-04-12
Sydney,2024,14,Hawthorn,8,W,34,16,9.0,5.0,21,,,,,3.0,3.0,1.0,1.0,,1.0,,3.0,14,,,2.0,1.0,,79,2024-04-19
Sydney,2024,15,Greater Western Sydney,9,W,34,10,1.0,4.0,14,,,,2.0,2.0,3.0,,4.0,,,,3.0,8,,,2.0,,,63,2024-04-26
Sydney,2024,16,Fremantle,10,W,34,9,2.0,3.0,12,,,,,2.0,1.0,1.0,1.0,,,,1.0,8,,,2.0,,,71,2024-05-03
Sydney,2024,17↑,Western Bulldogs,12,W,34,4,4.0,,4,,,,,1.0,,,1.0,,,,,4,,,,,,9,2024-05-17
Sydney,2024,18,Geelong,14,W,34,9,5.0,1.0,10,,,,2.0,,2.0,3.0,1.0,,,,3.0,7,,,4.0,,,66,2024-05-31
Sydney,2024,19↑,Adelaide,15,W,34,2,1.0,1.0,3,,,,,,,,,,,,1.0,2,,,,,,15,2024-06-07
Sydney,2024,20↓,St Kilda,18,L,34,5,4.0,3.0,8,,,,1.0,2.0,,,,,,,3.0,5,,,,2.0,,46,2024-06-28
Sydney,2024,21,North Melbourne,19,W,34,14,9.0,8.0,22,,,,1.0,2.0,1.0,,1.0,,,,5.0,14,,,2.0,,,86,2024-07-05
Sydney,2024,22,Brisbane Lions,20,L,34,16,8.0,7.0,23,,,,4.0,4.0,3.0,2.0,1.0,,,,6.0,14,,,,,,82,2024-07-12
Sydney,2024,23,Western Bulldogs,21,L,34,26,8.0,10.0,36,1.0,,,3.0,8.0,6.0,1.0,4.0,1.0,1.0,,10.0,22,,,,2.0,1.0,83,2024-07-19
Sydney,2024,24,Port Adelaide,22,L,34,17,5.0,3.0,20,,,,5.0,6.0,1.0,1.0,2.0,1.0,,,3.0,13,1.0,,2.0,1.0,,85,2024-07-26
