team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Gold Coast,2024,1,Sydney,7,L,29,4.0,1.0,3.0,7.0,,,,1.0,,3.0,,2.0,,1.0,,2.0,5.0,,,,,1.0,76,2024-04-12
Gold Coast,2024,2,West Coast,8,W,29,10.0,1.0,12.0,22.0,1.0,,,3.0,,5.0,3.0,6.0,,2.0,,13.0,11.0,,,,2.0,4.0,79,2024-04-19
Gold Coast,2024,3,Brisbane Lions,9,L,29,2.0,,4.0,6.0,,,,3.0,,1.0,1.0,4.0,,2.0,,2.0,4.0,,,1.0,,,80,2024-04-26
Gold Coast,2024,4,North Melbourne,10,W,29,3.0,,11.0,14.0,1.0,,,3.0,,1.0,1.0,2.0,1.0,,,8.0,5.0,,,,,,74,2024-05-03
Gold Coast,2024,5↑,Carlton,12,L,29,1.0,,1.0,2.0,,,,3.0,,1.0,,,,,,2.0,,,,,,,39,2024-05-17
Gold Coast,2024,6,Fremantle,16,L,29,3.0,1.0,3.0,6.0,,,,5.0,,2.0,1.0,2.0,,1.0,,3.0,3.0,,,,,1.0,81,2024-06-14
Gold Coast,2024,7,Essendon,23,W,29,3.0,3.0,9.0,12.0,,,,2.0,,2.0,,2.0,,,,3.0,8.0,,,1.0,,1.0,76,2024-08-02
Gold Coast,2024,8,Melbourne,24,L,29,4.0,3.0,4.0,8.0,,,,2.0,,2.0,,,,,,2.0,6.0,,,,,,68,2024-08-09
Gold Coast,2024,9↑,Richmond,25,W,29,3.0,1.0,3.0,6.0,,,,2.0,,1.0,1.0,1.0,,,,2.0,4.0,,,,,1.0,25,2024-08-16
Gold Coast,2025,10,West Coast,2,W,29,6.0,4.0,7.0,13.0,3.0,,,1.0,,1.0,,2.0,1.0,1.0,,7.0,8.0,,1.0,1.0,,,75,2025-03-08
Gold Coast,2025,11↑,Melbourne,4,W,29,4.0,2.0,5.0,9.0,,,,,,1.0,,1.0,,,,4.0,5.0,,,,,,25,2025-03-22
Gold Coast,2025,12↑,Adelaide,5,W,29,2.0,,,2.0,,,,1.0,,1.0,,,,,,1.0,1.0,,,,,1.0,28,2025-03-29
Gold Coast,2025,13,North Melbourne,6,W,29,7.0,1.0,7.0,14.0,1.0,,,2.0,,2.0,1.0,1.0,,,,6.0,8.0,,,1.0,,1.0,75,2025-04-05
Gold Coast,2025,14,Richmond,7,L,29,2.0,1.0,2.0,4.0,,1.0,,2.0,,1.0,,2.0,1.0,1.0,,3.0,3.0,,1.0,,,,59,2025-04-12
Gold Coast,2025,15,Sydney,8,W,29,6.0,1.0,4.0,10.0,,,,,,3.0,,3.0,,2.0,,1.0,9.0,,,,1.0,1.0,71,2025-04-19
Gold Coast,2025,16↑,Brisbane Lions,9,L,29,4.0,,3.0,7.0,,1.0,,2.0,,3.0,,,1.0,,,3.0,4.0,,,,,,64,2025-04-26
Gold Coast,2025,17↑,Western Bulldogs,10,W,29,,,,,,,,1.0,,,,2.0,,1.0,,,,,,,,,11,2025-05-03
Gold Coast,2026,19,West Coast,2,W,29,4,2,11,15,1,,,3,,1,3,1,1,,,7,9,,,1,1,4,63,2026-03-08
Gold Coast,2026,20,Richmond,3,W,29,5,2,4,9,1,,,4,,2,,,,,,2,7,,,2,,1,64,2026-03-15
Gold Coast,2026,21,Melbourne,5,L,29,4,,4,8,,,,5,,1,,3,2,1,,4,5,,,,,,65,2026-03-29
Gold Coast,2026,22,Essendon,7,W,29,5,2,5,10,1,,,,1,2,,1,,,,5,5,,,,,,62,2026-04-12
