team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Gold Coast,2021,1,Brisbane Lions,9,L,41,5.0,2.0,1.0,6.0,,1.0,,,,3.0,,1.0,1.0,1.0,,2.0,4.0,,,1.0,,,67.0,2021-04-26
Gold Coast,2021,2,Geelong,10,L,41,,,,,,,,,,,,,,,,,,,,,,,,2021-05-03
Gold Coast,2021,3,Hawthorn,11,W,41,7.0,2.0,4.0,11.0,,1.0,,2.0,,3.0,2.0,2.0,,,,5.0,7.0,,,,,,70.0,2021-05-10
Gold Coast,2021,4,Fremantle,13,L,41,2.0,1.0,,2.0,,2.0,,4.0,1.0,1.0,,2.0,,1.0,,1.0,1.0,,1.0,1.0,,,60.0,2021-05-24
Gold Coast,2022,5,Carlton,4,W,41,6.0,2.0,6.0,12.0,3.0,,,1.0,,2.0,1.0,1.0,,,,3.0,9.0,,1.0,,,,64.0,2022-03-22
Gold Coast,2022,6,St Kilda,5,L,41,7.0,2.0,8.0,15.0,,2.0,,7.0,,4.0,3.0,2.0,,,,9.0,6.0,1.0,,1.0,,,69.0,2022-03-29
Gold Coast,2022,7,Collingwood,7,L,41,3.0,3.0,4.0,7.0,1.0,,,3.0,,1.0,,1.0,1.0,,,3.0,5.0,,1.0,,,,69.0,2022-04-12
Gold Coast,2022,8,Sydney,8,W,41,5.0,1.0,2.0,7.0,,,,1.0,,2.0,,3.0,,1.0,,1.0,5.0,,,2.0,,,56.0,2022-04-19
Gold Coast,2022,9,Fremantle,9,W,41,6.0,1.0,5.0,11.0,,1.0,,4.0,1.0,1.0,,,,,,7.0,6.0,,,2.0,,,68.0,2022-04-26
Gold Coast,2022,10,Western Bulldogs,10,L,41,3.0,1.0,2.0,5.0,1.0,,,2.0,,2.0,,1.0,,1.0,,4.0,2.0,,,1.0,,1.0,57.0,2022-05-03
