team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
West Coast,2019,1,Collingwood,3,W,35,7.0,4.0,2.0,9.0,,,,2.0,5.0,1.0,,2.0,1.0,1.0,,4.0,6.0,,,4.0,,,75,2019-03-15
West Coast,2019,2,Fremantle,4,W,35,13.0,7.0,4.0,17.0,,,,1.0,3.0,2.0,,,,,,2.0,15.0,1.0,,8.0,,1.0,82,2019-03-22
West Coast,2019,3,Sydney,12,L,35,7.0,6.0,3.0,10.0,,,,1.0,1.0,1.0,,1.0,,1.0,,2.0,8.0,,,1.0,,,83,2019-05-17
West Coast,2019,4,Richmond,22,L,35,7.0,7.0,6.0,13.0,,,,2.0,,1.0,,1.0,1.0,1.0,,2.0,11.0,,,6.0,,,77,2019-07-26
West Coast,2020,5,Brisbane Lions,3,L,35,5.0,,,5.0,,,,2.0,3.0,2.0,,2.0,1.0,,,1.0,3.0,,,3.0,,,74,2020-03-15
West Coast,2020,6,Collingwood,8,W,35,8.0,4.0,2.0,10.0,,,,3.0,2.0,,1.0,2.0,1.0,2.0,,1.0,8.0,,,5.0,,,86,2020-04-19
West Coast,2020,7,Carlton,11,W,35,11.0,8.0,1.0,12.0,,,,1.0,5.0,,,,,,,3.0,9.0,1.0,,5.0,,,76,2020-05-10
West Coast,2020,8,Hawthorn,12,W,35,11.0,6.0,3.0,14.0,,,,2.0,3.0,2.0,,,1.0,,,2.0,12.0,,,4.0,,,83,2020-05-17
West Coast,2020,9,Greater Western Sydney,13,W,35,13.0,11.0,3.0,16.0,,,,1.0,2.0,2.0,,1.0,,,,2.0,14.0,1.0,,4.0,,,82,2020-05-24
West Coast,2020,10,Richmond,14,L,35,8.0,3.0,2.0,10.0,,,,,,2.0,,1.0,1.0,1.0,,2.0,9.0,,,3.0,,,86,2020-05-31
West Coast,2020,11,Essendon,15,W,35,14.0,9.0,1.0,15.0,,,,,4.0,,,,1.0,,,2.0,12.0,,,4.0,,,80,2020-06-07
West Coast,2020,12,Western Bulldogs,16,L,35,9.0,6.0,,9.0,,,,1.0,4.0,,,2.0,,1.0,,,9.0,,,3.0,,,82,2020-06-14
West Coast,2020,13,St Kilda,17,W,35,5.0,2.0,4.0,9.0,,,,1.0,1.0,1.0,,4.0,,,,1.0,9.0,,,3.0,,,78,2020-06-21
West Coast,2020,14,North Melbourne,18,W,35,6.0,3.0,1.0,7.0,,,,1.0,5.0,1.0,,,,,,1.0,7.0,,,9.0,,,87,2020-06-28
West Coast,2021,15,Gold Coast,1,W,35,12.0,9.0,4.0,16.0,,,,2.0,3.0,,,2.0,1.0,,,2.0,14.0,,,4.0,,,85,2021-03-01
West Coast,2021,16,Western Bulldogs,2,L,35,12.0,9.0,3.0,15.0,,,,,2.0,3.0,,2.0,1.0,1.0,,4.0,11.0,,,5.0,,,81,2021-03-08
West Coast,2021,17,Port Adelaide,3,W,35,13.0,11.0,6.0,19.0,,1.0,,,1.0,,,2.0,1.0,1.0,,4.0,15.0,1.0,,2.0,,,89,2021-03-15
West Coast,2021,18,St Kilda,4,L,35,12.0,8.0,3.0,15.0,,,,1.0,3.0,1.0,,1.0,1.0,,,4.0,11.0,,,5.0,,,83,2021-03-22
West Coast,2021,19,Collingwood,5,W,35,20.0,15.0,3.0,23.0,,,,,2.0,1.0,,4.0,1.0,2.0,,3.0,22.0,,,3.0,1.0,1.0,86,2021-03-29
West Coast,2021,20,Geelong,6,L,35,6.0,,2.0,8.0,,,,,3.0,,,5.0,,3.0,,1.0,6.0,,,4.0,,,86,2021-04-05
West Coast,2021,21,Fremantle,7,W,35,14.0,12.0,3.0,17.0,,,,,3.0,,,1.0,2.0,1.0,,4.0,13.0,2.0,,3.0,,,85,2021-04-12
