team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Port Adelaide,2019,1,Melbourne,1,W,20,6,5.0,12,18,,,,5.0,,3.0,1.0,3.0,1.0,3.0,,6.0,13,,1.0,2.0,,,75,2019-03-01
Port Adelaide,2019,2,Carlton,2,W,20,6,4.0,10,16,2.0,1.0,,3.0,1.0,3.0,2.0,4.0,2.0,2.0,,7.0,11,,2.0,2.0,,,84,2019-03-08
Port Adelaide,2019,3,Brisbane Lions,3,L,20,17,7.0,4,21,5.0,2.0,,2.0,,3.0,,2.0,1.0,,1.0,11.0,9,2.0,3.0,1.0,,,82,2019-03-15
Port Adelaide,2019,4,Richmond,4,L,20,3,1.0,9,12,,,,4.0,,2.0,1.0,4.0,1.0,1.0,,8.0,4,,,3.0,,,80,2019-03-22
Port Adelaide,2019,5,West Coast,5,W,20,8,4.0,5,13,1.0,1.0,,3.0,,6.0,,1.0,,1.0,,4.0,9,,,5.0,1.0,,73,2019-03-29
Port Adelaide,2019,6,North Melbourne,6,W,20,12,4.0,10,22,1.0,2.0,,4.0,1.0,4.0,1.0,2.0,2.0,,,11.0,11,2.0,2.0,,,2.0,88,2019-04-05
Port Adelaide,2019,7,Collingwood,7,L,20,6,3.0,8,14,1.0,1.0,,6.0,,2.0,1.0,1.0,,,,6.0,8,,,2.0,,,79,2019-04-12
Port Adelaide,2019,8,Adelaide,8,L,20,6,3.0,7,13,1.0,1.0,,6.0,,1.0,2.0,1.0,,,,8.0,7,1.0,2.0,2.0,,,86,2019-04-19
Port Adelaide,2019,9,Gold Coast,9,W,20,8,1.0,10,18,2.0,,,7.0,1.0,3.0,,2.0,2.0,,,12.0,8,1.0,,1.0,,1.0,86,2019-04-26
Port Adelaide,2019,10,Hawthorn,10,L,20,4,2.0,8,12,1.0,,,1.0,,2.0,1.0,2.0,,1.0,,5.0,9,,1.0,3.0,,2.0,83,2019-05-03
Port Adelaide,2019,11,St Kilda,11,W,20,5,3.0,6,11,1.0,1.0,,6.0,,,,1.0,1.0,1.0,,8.0,5,1.0,2.0,2.0,,,84,2019-05-10
Port Adelaide,2019,12,Fremantle,13,L,20,10,6.0,3,13,,1.0,,3.0,1.0,4.0,1.0,3.0,,2.0,,5.0,10,,1.0,1.0,,,82,2019-05-24
Port Adelaide,2019,13,Geelong,14,W,20,9,5.0,7,16,2.0,,,3.0,,3.0,,1.0,1.0,,,5.0,11,,2.0,1.0,,1.0,82,2019-05-31
Port Adelaide,2019,14,Western Bulldogs,15,L,20,9,5.0,3,12,1.0,2.0,,6.0,1.0,3.0,,3.0,1.0,1.0,,2.0,9,,2.0,,,,83,2019-06-07
