team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
West Coast,2018,1,Sydney,1,L,1,9,3.0,3.0,12,1.0,1.0,,1.0,,2.0,1.0,3.0,1.0,1.0,,6.0,4.0,1.0,1.0,,1.0,1.0,70,2018-03-01
West Coast,2018,2,Western Bulldogs,2,W,1,11,6.0,3.0,14,3.0,3.0,,3.0,,2.0,1.0,1.0,1.0,,,9.0,6.0,3.0,3.0,2.0,3.0,,70,2018-03-08
West Coast,2018,3,Geelong,3,W,1,11,4.0,1.0,12,3.0,,,3.0,,4.0,,1.0,1.0,,,5.0,4.0,,,,1.0,,69,2018-03-15
West Coast,2018,4,Sydney,13,L,1,8,3.0,4.0,12,1.0,2.0,,2.0,,2.0,,5.0,1.0,,,7.0,4.0,3.0,1.0,1.0,1.0,,74,2018-05-24
West Coast,2018,5,Essendon,14,L,1,6,3.0,1.0,7,,1.0,,,,2.0,,1.0,,,,2.0,3.0,1.0,2.0,1.0,,1.0,74,2018-05-31
West Coast,2018,6,Adelaide,15,L,1,3,1.0,2.0,5,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,6.0,1.0,1.0,1.0,1.0,,,71,2018-06-07
West Coast,2018,7,Fremantle,20,W,1,12,2.0,3.0,15,3.0,2.0,,2.0,1.0,3.0,1.0,5.0,1.0,2.0,,8.0,8.0,,1.0,2.0,1.0,2.0,83,2018-07-12
West Coast,2018,8,Port Adelaide,21,W,1,9,2.0,1.0,10,1.0,2.0,,2.0,,3.0,,5.0,3.0,,,6.0,3.0,1.0,2.0,3.0,4.0,1.0,77,2018-07-19
West Coast,2018,9,Melbourne,22,L,1,3,,5.0,8,1.0,,,1.0,,2.0,,,,,,3.0,5.0,,,,1.0,1.0,75,2018-07-26
West Coast,2018,10,Brisbane Lions,23,W,1,9,4.0,3.0,12,3.0,,,4.0,,2.0,,2.0,1.0,,,9.0,3.0,2.0,1.0,1.0,3.0,,83,2018-08-02
West Coast,2018,11,Collingwood,QF,W,1,12,2.0,3.0,15,2.0,,,,,5.0,,4.0,,1.0,,7.0,8.0,,2.0,,,,76,2018-03-01
West Coast,2018,12,Melbourne,PF,W,1,14,4.0,4.0,18,1.0,1.0,,2.0,2.0,3.0,3.0,2.0,4.0,1.0,,10.0,8.0,1.0,2.0,,1.0,1.0,80,2018-03-01
