team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Richmond,2021,1,St Kilda,15,L,32,,,,,,,1.0,,,,,1.0,,1.0,,,,,,1.0,,,55,2021-06-07
Richmond,2023,2,Adelaide,2,W,32,4.0,4.0,2.0,6.0,3.0,,6.0,1.0,,1.0,1.0,1.0,1.0,,,4.0,2.0,2.0,3.0,2.0,,,69,2023-03-08
Richmond,2023,3↓,Collingwood,3,L,32,1.0,,1.0,2.0,,,9.0,,1.0,,1.0,,1.0,,,3.0,,,,,,,35,2023-03-15
Richmond,2023,4,Western Bulldogs,4,L,32,4.0,1.0,3.0,7.0,1.0,,10.0,1.0,2.0,1.0,2.0,3.0,,3.0,,5.0,2.0,,1.0,1.0,,,73,2023-03-22
Richmond,2023,5,Sydney,5,L,32,3.0,2.0,5.0,8.0,1.0,,16.0,1.0,,,1.0,4.0,,,,5.0,4.0,,1.0,1.0,,,73,2023-03-29
Richmond,2023,6,Melbourne,6,L,32,9.0,6.0,1.0,10.0,1.0,2.0,11.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,,3.0,7.0,2.0,3.0,2.0,,,82,2023-04-05
Richmond,2023,7,Gold Coast,7,L,32,7.0,5.0,4.0,11.0,2.0,,12.0,2.0,,1.0,1.0,3.0,,1.0,,4.0,7.0,,2.0,1.0,,,90,2023-04-12
Richmond,2023,8,West Coast,8,W,32,4.0,4.0,4.0,8.0,1.0,,31.0,,3.0,,,,,,,1.0,7.0,,1.0,2.0,,1.0,81,2023-04-19
Richmond,2023,9,Geelong,9,W,32,7.0,3.0,2.0,9.0,,,29.0,2.0,,5.0,5.0,3.0,1.0,,,4.0,3.0,1.0,,3.0,,1.0,86,2023-04-26
Richmond,2023,10,Essendon,10,L,32,7.0,3.0,3.0,10.0,1.0,,5.0,,,,,1.0,,,,4.0,5.0,2.0,1.0,3.0,,,76,2023-05-03
Richmond,2023,11↓,Port Adelaide,11,L,32,2.0,2.0,,2.0,1.0,,4.0,1.0,,1.0,,,,,,2.0,1.0,1.0,1.0,2.0,,,50,2023-05-10
Richmond,2023,12,Greater Western Sydney,12,W,32,7.0,3.0,4.0,11.0,1.0,2.0,17.0,,1.0,2.0,1.0,3.0,,1.0,,7.0,4.0,1.0,2.0,1.0,,,72,2023-05-17
Richmond,2023,13,Fremantle,13,W,32,4.0,3.0,2.0,6.0,,1.0,13.0,1.0,,3.0,1.0,2.0,,1.0,,4.0,2.0,2.0,,2.0,,,78,2023-05-24
Richmond,2023,14↓,St Kilda,14,W,32,3.0,2.0,1.0,4.0,,,,,,2.0,,1.0,,,,1.0,3.0,,,2.0,,,36,2023-05-31
Richmond,2023,15,Brisbane Lions,16,L,32,4.0,2.0,1.0,5.0,,,8.0,,1.0,3.0,2.0,3.0,3.0,2.0,,3.0,2.0,,,1.0,,,72,2023-06-14
Richmond,2024,16↓,Gold Coast,1,L,32,1.0,,1.0,2.0,,,6.0,1.0,,,,1.0,,1.0,,,2.0,,,1.0,,,39,2024-03-01
Richmond,2024,17,Essendon,12,L,32,1.0,2.0,4.0,5.0,,,6.0,1.0,1.0,,1.0,1.0,,,,3.0,3.0,,,5.0,,,61,2024-05-17
Richmond,2024,18,Geelong,13,L,32,8.0,6.0,,8.0,2.0,,7.0,,1.0,3.0,1.0,1.0,2.0,,,4.0,5.0,1.0,1.0,2.0,,,69,2024-05-24
Richmond,2024,19,Adelaide,14,W,32,4.0,1.0,4.0,8.0,,,14.0,,,1.0,2.0,2.0,2.0,2.0,,5.0,4.0,,,6.0,,1.0,79,2024-05-31
Richmond,2024,20,Greater Western Sydney,19,L,32,4.0,1.0,2.0,6.0,1.0,,5.0,,,2.0,1.0,,1.0,,,2.0,3.0,1.0,,2.0,,1.0,78,2024-07-05
Richmond,2024,21,Port Adelaide,20,L,32,3.0,1.0,,3.0,,,9.0,1.0,,1.0,,4.0,,3.0,,1.0,1.0,1.0,1.0,2.0,,,82,2024-07-12
Richmond,2024,22,Collingwood,21,L,32,6.0,6.0,8.0,14.0,,1.0,13.0,4.0,1.0,2.0,5.0,4.0,2.0,3.0,,6.0,8.0,,1.0,4.0,,,79,2024-07-19
Richmond,2024,23↓,St Kilda,23,L,32,4.0,2.0,2.0,6.0,,1.0,3.0,,,,1.0,1.0,1.0,,,1.0,5.0,,1.0,,,,56,2024-08-02
Richmond,2025,24↓,Gold Coast,7,W,32,2,,2,4,,,7,3,1,2,1,1,2,,,3,2,,,1,,,55,2025-04-12
Richmond,2025,25,Essendon,12,L,32,4,2,7,11,,,27,1,,3,3,5,2,4,,7,3,,,1,,,75,2025-05-17
