team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Melbourne,2014,1↑,Sydney,6,L,3,6.0,3.0,,6,1.0,,,1.0,1.0,1.0,,1.0,,,,2.0,4,,,2.0,,,26,2014-04-05
Melbourne,2014,2↑,Adelaide,7,W,3,2.0,2.0,1.0,3,1.0,,,3.0,,1.0,,1.0,,1.0,,1.0,2,,,,,,45,2014-04-12
Melbourne,2014,3↑,Western Bulldogs,8,L,3,4.0,2.0,3.0,7,1.0,1.0,,2.0,,1.0,,1.0,,,,4.0,4,,1.0,,,,34,2014-04-19
Melbourne,2014,4,Richmond,9,W,3,6.0,2.0,2.0,8,,1.0,,2.0,,3.0,,3.0,2.0,2.0,,4.0,5,,,,,,75,2014-04-26
Melbourne,2014,5,Port Adelaide,11,L,3,13.0,4.0,3.0,16,2.0,2.0,,2.0,2.0,2.0,1.0,,,,,4.0,11,,1.0,2.0,,2.0,79,2014-05-10
Melbourne,2014,6,Collingwood,12,L,3,4.0,1.0,3.0,7,,,,,,2.0,,2.0,,1.0,,,7,,,1.0,,,68,2014-05-17
Melbourne,2014,7↑,Essendon,13,W,3,3.0,2.0,1.0,4,1.0,,,3.0,,1.0,,1.0,,,,1.0,3,,1.0,3.0,,,37,2014-05-24
Melbourne,2014,8↓,North Melbourne,14,L,3,1.0,1.0,1.0,2,,,,,,,1.0,,,,,1.0,1,,1.0,2.0,,1.0,48,2014-05-31
Melbourne,2014,9,Western Bulldogs,15,L,3,5.0,,3.0,8,,,,1.0,,1.0,,1.0,1.0,1.0,,5.0,3,,,1.0,,1.0,65,2014-06-07
Melbourne,2014,10,Fremantle,16,L,3,7.0,4.0,,7,,1.0,,4.0,,3.0,,1.0,,,,,7,,,,,,73,2014-06-14
Melbourne,2014,11,Greater Western Sydney,21,L,3,5.0,2.0,2.0,7,,1.0,,4.0,2.0,1.0,,2.0,1.0,,,1.0,7,,,,,,78,2014-07-19
Melbourne,2014,12↑,West Coast,22,L,3,1.0,1.0,5.0,6,,,,,,,,1.0,,,,2.0,4,,,1.0,,,35,2014-07-26
Melbourne,2015,13,Gold Coast,1,W,3,10.0,2.0,3.0,13,1.0,,,2.0,1.0,1.0,,3.0,1.0,1.0,,5.0,8,1.0,,5.0,,,90,2015-03-01
Melbourne,2015,14,Greater Western Sydney,2,L,3,10.0,6.0,12.0,22,,,,4.0,4.0,,1.0,2.0,,1.0,,7.0,14,2.0,,1.0,,,93,2015-03-08
Melbourne,2015,15,Adelaide,3,L,3,10.0,,6.0,16,,,,5.0,,1.0,3.0,2.0,1.0,1.0,,9.0,7,,,,,,83,2015-03-15
Melbourne,2015,16,Richmond,4,W,3,10.0,4.0,4.0,14,,,,7.0,6.0,1.0,1.0,2.0,1.0,1.0,,7.0,5,2.0,,,,,90,2015-03-22
Melbourne,2015,17↓,Fremantle,5,L,3,6.0,4.0,3.0,9,,1.0,,2.0,1.0,1.0,,1.0,,1.0,,3.0,7,1.0,,1.0,,,48,2015-03-29
Melbourne,2015,18,Sydney,6,L,3,16.0,6.0,8.0,24,,,,4.0,7.0,2.0,,3.0,,2.0,,4.0,18,1.0,,2.0,2.0,,90,2015-04-05
Melbourne,2015,19↓,Hawthorn,7,L,3,2.0,,1.0,3,,,,1.0,1.0,,,,,,,1.0,2,,,,,,22,2015-04-12
Melbourne,2015,20,Carlton,21,L,3,9.0,3.0,4.0,13,,1.0,,2.0,2.0,5.0,1.0,1.0,2.0,1.0,,3.0,10,,1.0,2.0,1.0,1.0,84,2015-07-19
Melbourne,2015,21,Fremantle,22,L,3,14.0,5.0,6.0,20,,,,1.0,4.0,2.0,,2.0,,,,7.0,12,1.0,,2.0,5.0,,92,2015-07-26
Melbourne,2015,22,Greater Western Sydney,23,W,3,14.0,4.0,10.0,24,,1.0,,7.0,2.0,2.0,,1.0,2.0,,,5.0,18,,,2.0,3.0,,96,2015-08-02
Melbourne,2016,23,Greater Western Sydney,1,W,3,13.0,5.0,2.0,15,,,,2.0,4.0,2.0,1.0,2.0,1.0,,,6.0,7,1.0,,1.0,,,88,2016-03-01
Melbourne,2016,24,Essendon,2,L,3,7.0,3.0,6.0,13,,,,3.0,3.0,1.0,2.0,2.0,1.0,2.0,,4.0,6,,,,,,87,2016-03-08
Melbourne,2016,25,North Melbourne,3,L,3,12.0,2.0,5.0,17,,,,1.0,1.0,4.0,1.0,1.0,,1.0,,5.0,12,1.0,,3.0,2.0,1.0,87,2016-03-15
Melbourne,2016,26,Collingwood,4,W,3,12.0,1.0,8.0,20,,,,5.0,4.0,2.0,,,3.0,,,9.0,9,,,,,,81,2016-03-22
Melbourne,2016,27,Richmond,5,W,3,14.0,2.0,9.0,23,1.0,,,4.0,3.0,3.0,2.0,2.0,,,,3.0,20,,,1.0,,,76,2016-03-29
Melbourne,2016,28,St Kilda,6,L,3,8.0,1.0,7.0,15,,,,1.0,3.0,1.0,,2.0,,1.0,,4.0,10,,,,1.0,,64,2016-04-05
Melbourne,2016,29,Western Bulldogs,8,L,3,11.0,2.0,5.0,16,,,,6.0,4.0,,3.0,1.0,,,,5.0,12,,,,2.0,,73,2016-04-19
Melbourne,2016,30,Geelong,23,L,3,10.0,1.0,17.0,27,,,,7.0,2.0,1.0,2.0,7.0,1.0,2.0,,8.0,18,,,2.0,,,84,2016-08-02
Melbourne,2017,31,St Kilda,1,W,3,17.0,8.0,3.0,20,,,,2.0,3.0,3.0,,2.0,,2.0,,2.0,17,,,1.0,,1.0,85,2017-03-01
Melbourne,2017,32,Carlton,2,W,3,24.0,7.0,7.0,31,1.0,,,3.0,7.0,2.0,,4.0,2.0,,3.0,10.0,19,1.0,1.0,3.0,,,81,2017-03-08
Melbourne,2017,33,Geelong,3,L,3,16.0,6.0,8.0,24,,,,2.0,2.0,1.0,,2.0,,,,4.0,17,,,,,1.0,89,2017-03-15
Melbourne,2017,34,Fremantle,4,L,3,14.0,4.0,9.0,23,1.0,,,2.0,1.0,1.0,2.0,1.0,1.0,,,4.0,18,,,,,,79,2017-03-22
Melbourne,2017,35,Richmond,5,L,3,9.0,3.0,8.0,17,1.0,,,4.0,1.0,3.0,2.0,,,,,5.0,12,,1.0,,,2.0,90,2017-03-29
Melbourne,2017,36,Essendon,6,W,3,14.0,5.0,8.0,22,,,,2.0,4.0,1.0,3.0,4.0,,,,7.0,12,,,1.0,,,79,2017-04-05
Melbourne,2017,37,Hawthorn,7,L,3,9.0,2.0,7.0,16,,,,3.0,3.0,1.0,,2.0,1.0,,,3.0,13,,,2.0,,,79,2017-04-12
Melbourne,2017,38,Adelaide,8,W,3,21.0,3.0,10.0,31,,,,5.0,9.0,1.0,,3.0,2.0,,,5.0,21,,,,,,82,2017-04-19
Melbourne,2017,39,North Melbourne,9,L,3,7.0,2.0,6.0,13,1.0,,,2.0,4.0,1.0,1.0,2.0,1.0,2.0,,3.0,7,,,1.0,,,84,2017-04-26
Melbourne,2017,40,Collingwood,12,W,3,16.0,5.0,7.0,23,,,,5.0,5.0,3.0,,4.0,1.0,1.0,,6.0,16,,,3.0,1.0,,89,2017-05-17
Melbourne,2017,41,Western Bulldogs,13,W,3,15.0,5.0,8.0,23,1.0,,,6.0,3.0,2.0,2.0,2.0,4.0,,,8.0,15,,,1.0,,,81,2017-05-24
Melbourne,2017,42,West Coast,14,W,3,7.0,3.0,9.0,16,,,,4.0,4.0,1.0,1.0,4.0,1.0,,,4.0,8,,,,1.0,,59,2017-05-31
Melbourne,2017,43,Port Adelaide,18,W,3,12.0,4.0,5.0,17,,,,4.0,2.0,2.0,,,1.0,,,3.0,11,,,3.0,,,73,2017-06-28
Melbourne,2017,44,North Melbourne,19,L,3,13.0,4.0,9.0,22,,,,3.0,5.0,2.0,,3.0,,1.0,,4.0,14,1.0,1.0,1.0,,,90,2017-07-05
Melbourne,2017,45,Greater Western Sydney,20,L,3,11.0,4.0,10.0,21,,,,4.0,4.0,2.0,3.0,4.0,,1.0,,7.0,12,,,1.0,,,80,2017-07-12
Melbourne,2017,46,Collingwood,23,L,3,14.0,8.0,10.0,24,,,,3.0,4.0,,2.0,1.0,1.0,,,4.0,20,1.0,,2.0,,,82,2017-08-02
Melbourne,2018,47,Geelong,1,L,3,5.0,,7.0,12,,,,4.0,,2.0,3.0,2.0,1.0,1.0,,10.0,2,,,1.0,,,73,2018-03-01
Melbourne,2018,48,Brisbane Lions,2,W,3,6.0,1.0,7.0,13,,,,3.0,,1.0,1.0,3.0,,2.0,,8.0,6,,,,,1.0,64,2018-03-08
Melbourne,2018,49,North Melbourne,3,W,3,15.0,4.0,5.0,20,,1.0,,6.0,1.0,6.0,8.0,2.0,2.0,2.0,,12.0,7,1.0,,1.0,,,79,2018-03-15
Melbourne,2018,50,Hawthorn,4,L,3,13.0,2.0,7.0,20,1.0,,,3.0,,6.0,5.0,3.0,2.0,2.0,,12.0,8,1.0,1.0,2.0,,2.0,76,2018-03-22
Melbourne,2018,51,Richmond,5,L,3,8.0,1.0,12.0,20,,,,8.0,3.0,2.0,3.0,2.0,,,,8.0,12,,,,,,68,2018-03-29
Melbourne,2018,52,Essendon,6,W,3,16.0,4.0,11.0,27,,,,5.0,6.0,1.0,2.0,6.0,2.0,,,9.0,13,,,1.0,1.0,,83,2018-04-05
Melbourne,2018,53,Gold Coast,8,W,3,14.0,8.0,13.0,27,2.0,1.0,,4.0,1.0,7.0,,2.0,1.0,1.0,2.0,7.0,20,2.0,1.0,1.0,,,81,2018-04-19
Melbourne,2018,54,Carlton,9,W,3,14.0,4.0,7.0,21,,1.0,,1.0,3.0,2.0,1.0,,,,,4.0,14,,,2.0,,1.0,84,2018-04-26
Melbourne,2018,55,Adelaide,10,W,3,19.0,8.0,9.0,28,,,,2.0,5.0,3.0,1.0,3.0,,,,5.0,22,,,1.0,,1.0,83,2018-05-03
Melbourne,2018,56,Western Bulldogs,11,W,3,14.0,5.0,11.0,25,,,,2.0,6.0,,,2.0,,1.0,,5.0,19,,,2.0,1.0,,87,2018-05-10
Melbourne,2018,57,Collingwood,12,L,3,12.0,3.0,4.0,16,,,,4.0,2.0,2.0,1.0,2.0,,1.0,,7.0,8,,,1.0,,,80,2018-05-17
Melbourne,2018,58,Port Adelaide,14,L,3,7.0,1.0,6.0,13,1.0,,,2.0,2.0,1.0,1.0,2.0,,2.0,,4.0,7,,,1.0,,,78,2018-05-31
Melbourne,2018,59,St Kilda,15,L,3,9.0,2.0,6.0,15,,,,3.0,3.0,2.0,1.0,3.0,,3.0,,5.0,11,1.0,,4.0,,1.0,88,2018-06-07
Melbourne,2018,60,Fremantle,16,W,3,19.0,5.0,10.0,29,1.0,1.0,,1.0,5.0,5.0,1.0,4.0,,1.0,,9.0,19,,,3.0,,,84,2018-06-14
