team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Western Bulldogs,2024,1↓,Melbourne,2,L,9,9,7.0,6,15,,,,2,2.0,2.0,2.0,2.0,,,,4,10,,1.0,,,,55,2024-03-08
Western Bulldogs,2024,2,Gold Coast,3,W,9,10,1.0,12,22,,1.0,,5,2.0,2.0,6.0,2.0,,,1.0,10,13,,,1.0,,1.0,76,2024-03-15
Western Bulldogs,2024,3,West Coast,4,W,9,9,4.0,11,20,,,,6,2.0,2.0,1.0,,,,,4,15,,,,,,72,2024-03-22
Western Bulldogs,2024,4,Geelong,5,L,9,8,2.0,15,23,,,,6,1.0,,5.0,4.0,,,,11,11,,,1.0,2.0,,64,2024-03-29
Western Bulldogs,2024,5↓,Essendon,6,L,9,3,,5,8,,,,5,1.0,,,,,,,1,7,,,,,,42,2024-04-05
Western Bulldogs,2024,6↑,St Kilda,7,W,9,1,1.0,4,5,,,,2,,,,,,,,1,4,,,,,,24,2024-04-12
Western Bulldogs,2024,7↑,Sydney,12,L,9,6,1.0,14,20,,,,5,,2.0,3.0,3.0,1.0,,,6,13,,,1.0,,1.0,76,2024-05-17
Western Bulldogs,2024,8,Collingwood,13,W,9,7,3.0,8,15,,,,11,,5.0,4.0,3.0,1.0,3.0,,7,10,1.0,,1.0,,1.0,74,2024-05-24
Western Bulldogs,2024,9,Brisbane Lions,14,L,9,5,2.0,12,17,,,,3,,,1.0,1.0,,1.0,,5,12,,,,,1.0,79,2024-05-31
Western Bulldogs,2024,10,Fremantle,15,W,9,3,1.0,10,13,,1.0,,5,1.0,1.0,2.0,2.0,1.0,1.0,,5,8,,,,,,76,2024-06-07
Western Bulldogs,2024,11,North Melbourne,17,W,9,7,3.0,14,21,,,,2,1.0,3.0,2.0,3.0,,,,7,14,,,,,1.0,72,2024-06-21
Western Bulldogs,2024,12,Port Adelaide,18,L,9,9,5.0,13,22,,,,2,2.0,,2.0,3.0,,2.0,,5,19,,1.0,1.0,,,82,2024-06-28
Western Bulldogs,2024,13,Carlton,19,W,9,6,3.0,7,13,,,,5,,2.0,4.0,,,,,5,8,,,,,,68,2024-07-05
Western Bulldogs,2024,14↓,Geelong,20,W,9,7,,10,17,,,,6,,2.0,2.0,6.0,,,,4,10,,,,,1.0,66,2024-07-12
Western Bulldogs,2025,15,North Melbourne,2,W,9,8,2.0,7,15,2.0,1.0,,4,,5.0,2.0,3.0,2.0,1.0,,6,10,,1.0,2.0,,,84,2025-03-08
Western Bulldogs,2025,16,Collingwood,3,L,9,3,2.0,13,16,,,,7,1.0,1.0,,3.0,,,,3,13,,,,,,71,2025-03-15
Western Bulldogs,2025,17,Carlton,4,W,9,7,2.0,17,24,1.0,,,3,1.0,2.0,5.0,4.0,,2.0,,12,13,,1.0,1.0,,,70,2025-03-22
Western Bulldogs,2025,18,Fremantle,5,L,9,11,5.0,9,20,2.0,,,4,,1.0,1.0,1.0,1.0,1.0,,4,16,,,1.0,,,78,2025-03-29
Western Bulldogs,2025,19,Brisbane Lions,6,L,9,6,4.0,16,22,1.0,,,3,3.0,2.0,2.0,2.0,,,,5,17,,,1.0,,1.0,85,2025-04-05
Western Bulldogs,2025,20,St Kilda,7,W,9,11,11.0,21,32,1.0,1.0,,4,3.0,3.0,1.0,1.0,2.0,1.0,,4,29,,1.0,,,,86,2025-04-12
Western Bulldogs,2025,21,Greater Western Sydney,8,W,9,6,1.0,14,20,,1.0,,1,,2.0,3.0,1.0,,1.0,,4,16,,,,,1.0,80,2025-04-19
Western Bulldogs,2025,22,Port Adelaide,9,W,9,2,,15,17,1.0,,,2,,2.0,2.0,2.0,1.0,,,5,12,,,,,,81,2025-04-26
Western Bulldogs,2025,23,Gold Coast,10,L,9,5,1.0,14,19,1.0,,,5,,1.0,1.0,1.0,,1.0,,4,15,,,,,1.0,77,2025-05-03
Western Bulldogs,2025,24,Essendon,11,W,9,4,3.0,20,24,,,,1,2.0,,4.0,,,,,5,19,,,1.0,,1.0,81,2025-05-10
Western Bulldogs,2025,25,Geelong,12,L,9,3,1.0,10,13,,,,8,,1.0,1.0,2.0,1.0,,,2,11,,,1.0,,,73,2025-05-17
Western Bulldogs,2025,26,Hawthorn,14,L,9,3,2,14,17,,1,,2,1,3,1,,1,,,6,10,,,,,2,77,2025-05-31
