team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Western Bulldogs,2021,1,Collingwood,1,W,28,9.0,1.0,7.0,16.0,,1.0,,1.0,,5.0,,1.0,3.0,,,5.0,11.0,,,1.0,,,82.0,2021-03-01
Western Bulldogs,2021,2,West Coast,2,W,28,4.0,2.0,5.0,9.0,,,,,,1.0,,1.0,,,,1.0,9.0,,,,1.0,,77.0,2021-03-08
Western Bulldogs,2021,3,North Melbourne,3,W,28,8.0,4.0,7.0,15.0,1.0,,,3.0,,2.0,1.0,2.0,2.0,1.0,,5.0,12.0,,1.0,1.0,,,76.0,2021-03-15
Western Bulldogs,2021,4,Brisbane Lions,4,W,28,2.0,,3.0,5.0,,,,2.0,,1.0,,2.0,1.0,,,4.0,2.0,,,1.0,,,75.0,2021-03-22
Western Bulldogs,2021,5,Gold Coast,5,W,28,7.0,3.0,6.0,13.0,1.0,1.0,,1.0,1.0,1.0,,2.0,,,,5.0,9.0,,1.0,6.0,,,76.0,2021-03-29
Western Bulldogs,2021,6,Greater Western Sydney,6,W,28,5.0,,10.0,15.0,,,,3.0,,1.0,1.0,,2.0,,,12.0,3.0,,,1.0,,,82.0,2021-04-05
Western Bulldogs,2021,7,Richmond,7,L,28,3.0,,4.0,7.0,1.0,1.0,,5.0,1.0,,3.0,,1.0,,,8.0,1.0,,,3.0,,,78.0,2021-04-12
Western Bulldogs,2021,8,Carlton,8,W,28,6.0,2.0,6.0,12.0,2.0,,,2.0,,2.0,1.0,2.0,1.0,,,5.0,8.0,,1.0,1.0,,1.0,74.0,2021-04-19
Western Bulldogs,2021,9,Port Adelaide,9,W,28,4.0,3.0,8.0,12.0,,1.0,,1.0,,3.0,,,1.0,,,5.0,7.0,,,1.0,,1.0,81.0,2021-04-26
Western Bulldogs,2021,10,St Kilda,10,W,28,2.0,,3.0,5.0,,1.0,,2.0,,,,,,,,1.0,4.0,,,,,,51.0,2021-05-03
Western Bulldogs,2021,11,Fremantle,12,W,28,5.0,3.0,3.0,8.0,1.0,,,3.0,,3.0,2.0,,1.0,,,8.0,4.0,,1.0,2.0,,1.0,70.0,2021-05-17
Western Bulldogs,2021,12,Geelong,14,L,28,8.0,3.0,2.0,10.0,2.0,2.0,,2.0,2.0,2.0,,2.0,1.0,,,4.0,7.0,1.0,1.0,1.0,,1.0,77.0,2021-05-31
Western Bulldogs,2021,13,West Coast,15,W,28,3.0,,5.0,8.0,,,,1.0,,1.0,,2.0,1.0,,,4.0,5.0,,,1.0,,1.0,71.0,2021-06-07
Western Bulldogs,2021,14,North Melbourne,16,W,28,2.0,2.0,5.0,7.0,,,,1.0,2.0,1.0,1.0,1.0,,,,3.0,5.0,,,1.0,,,78.0,2021-06-14
Western Bulldogs,2021,15,Sydney,17,L,28,3.0,1.0,5.0,8.0,1.0,,,3.0,,2.0,2.0,,1.0,,,6.0,3.0,,,2.0,,,79.0,2021-06-21
Western Bulldogs,2021,16,Gold Coast,18,W,28,,,,,,,,,,,,,,,,,,,,,,,,2021-06-28
Western Bulldogs,2021,17↑,Melbourne,19,W,28,3.0,,1.0,4.0,,,,4.0,,1.0,,1.0,1.0,,,2.0,2.0,,,1.0,,,57.0,2021-07-05
Western Bulldogs,2021,18,Adelaide,20,W,28,7.0,5.0,10.0,17.0,,,,,2.0,2.0,1.0,4.0,,2.0,,10.0,7.0,3.0,,1.0,1.0,,77.0,2021-07-12
Western Bulldogs,2021,19,Essendon,21,L,28,5.0,3.0,3.0,8.0,,1.0,,1.0,,2.0,,2.0,1.0,1.0,,2.0,5.0,1.0,1.0,1.0,,1.0,82.0,2021-07-19
Western Bulldogs,2021,20,Hawthorn,22,L,28,,,,,,,,,,,,,,,,,,,,,,,,2021-07-26
Western Bulldogs,2021,21↑,Port Adelaide,PF,W,28,2.0,1.0,2.0,4.0,1.0,,,,,,,1.0,,1.0,,1.0,4.0,,,,,,19.0,2021-03-01
Western Bulldogs,2022,22,Carlton,2,L,28,4.0,2.0,5.0,9.0,2.0,,,1.0,,,,1.0,2.0,,,4.0,6.0,,2.0,3.0,,,79.0,2022-03-08
Western Bulldogs,2022,23,Sydney,3,W,28,7.0,5.0,4.0,11.0,,,,2.0,,3.0,1.0,2.0,,,,4.0,7.0,,1.0,1.0,1.0,,80.0,2022-03-15
Western Bulldogs,2022,24,Richmond,4,L,28,3.0,2.0,2.0,5.0,,1.0,,,,1.0,1.0,,2.0,,,2.0,3.0,,,,,1.0,40.0,2022-03-22
Western Bulldogs,2022,25,North Melbourne,5,W,28,14.0,7.0,3.0,17.0,2.0,1.0,,,2.0,4.0,2.0,2.0,,,,6.0,11.0,,2.0,,,1.0,72.0,2022-03-29
Western Bulldogs,2022,26,Adelaide,6,L,28,8.0,3.0,6.0,14.0,,1.0,,2.0,1.0,,4.0,4.0,1.0,2.0,,5.0,10.0,1.0,,1.0,,,75.0,2022-04-05
Western Bulldogs,2022,27,Port Adelaide,8,L,28,5.0,2.0,3.0,8.0,,,,2.0,1.0,2.0,,2.0,1.0,1.0,,2.0,6.0,,,2.0,,,87.0,2022-04-19
Western Bulldogs,2022,28,Collingwood,9,W,28,8.0,5.0,3.0,11.0,1.0,,,1.0,1.0,2.0,,1.0,2.0,,,5.0,6.0,,1.0,4.0,,,76.0,2022-04-26
Western Bulldogs,2022,29,Gold Coast,10,W,28,10.0,4.0,4.0,14.0,,,,1.0,2.0,7.0,2.0,,1.0,,,5.0,10.0,1.0,,,,1.0,81.0,2022-05-03
Western Bulldogs,2022,30,West Coast,11,W,28,6.0,2.0,7.0,13.0,1.0,,,4.0,1.0,1.0,3.0,1.0,2.0,1.0,,8.0,6.0,,,1.0,,1.0,79.0,2022-05-10
Western Bulldogs,2022,31,Geelong,12,L,28,7.0,3.0,5.0,12.0,,,,1.0,,1.0,1.0,,,,,2.0,10.0,,1.0,2.0,,,81.0,2022-05-17
Western Bulldogs,2022,32,Greater Western Sydney,14,W,28,10.0,4.0,2.0,12.0,1.0,,,2.0,,3.0,,3.0,,1.0,,1.0,11.0,,1.0,,,,80.0,2022-05-31
Western Bulldogs,2022,33,Hawthorn,15,W,28,11.0,3.0,11.0,22.0,,,,3.0,,4.0,1.0,1.0,1.0,,,4.0,20.0,,,3.0,1.0,1.0,87.0,2022-06-07
Western Bulldogs,2022,34,Brisbane Lions,16,L,28,6.0,4.0,3.0,9.0,,,,1.0,2.0,1.0,,,2.0,,,3.0,6.0,,,4.0,,,87.0,2022-06-14
Western Bulldogs,2022,35↓,Sydney,17,L,28,3.0,2.0,3.0,6.0,,,,,,1.0,,1.0,2.0,,,,7.0,,,,,,35.0,2022-06-21
Western Bulldogs,2023,36,Melbourne,1,L,28,7.0,4.0,6.0,13.0,,,,4.0,,2.0,2.0,1.0,2.0,,,9.0,8.0,,1.0,7.0,,1.0,84.0,2023-03-01
Western Bulldogs,2023,37,St Kilda,2,L,28,6.0,4.0,4.0,10.0,,1.0,,3.0,1.0,1.0,1.0,1.0,,1.0,,3.0,7.0,,1.0,,,,79.0,2023-03-08
Western Bulldogs,2023,38,Brisbane Lions,3,W,28,8.0,2.0,8.0,16.0,,,,2.0,2.0,2.0,,3.0,1.0,,,7.0,10.0,,1.0,,,,77.0,2023-03-15
Western Bulldogs,2023,39,Richmond,4,W,28,9.0,4.0,3.0,12.0,,,,,1.0,6.0,,2.0,1.0,,,3.0,9.0,,,1.0,,,79.0,2023-03-22
Western Bulldogs,2023,40,Port Adelaide,5,L,28,4.0,,8.0,12.0,,,,4.0,,1.0,1.0,3.0,,,,8.0,3.0,,,1.0,,,74.0,2023-03-29
Western Bulldogs,2023,41,Fremantle,6,W,28,3.0,2.0,5.0,8.0,1.0,,,1.0,,1.0,,1.0,2.0,,,6.0,3.0,1.0,,,,,78.0,2023-04-05
Western Bulldogs,2023,42,Hawthorn,7,W,28,6.0,2.0,5.0,11.0,1.0,1.0,,3.0,,,,3.0,1.0,1.0,,4.0,7.0,,,3.0,,1.0,76.0,2023-04-12
Western Bulldogs,2023,43,Greater Western Sydney,8,W,28,7.0,5.0,6.0,13.0,1.0,,,1.0,,2.0,,1.0,,,,3.0,10.0,1.0,1.0,,,,75.0,2023-04-19
Western Bulldogs,2023,44,Carlton,9,W,28,6.0,3.0,2.0,8.0,3.0,1.0,,2.0,1.0,,,,,,,1.0,7.0,1.0,2.0,,,,80.0,2023-04-26
Western Bulldogs,2023,45,Adelaide,10,W,28,6.0,,6.0,12.0,2.0,1.0,,5.0,1.0,2.0,2.0,1.0,1.0,,,8.0,4.0,,,3.0,,1.0,75.0,2023-05-03
Western Bulldogs,2023,46,Gold Coast,11,L,28,6.0,3.0,5.0,11.0,1.0,,,1.0,,2.0,,3.0,1.0,,,4.0,7.0,,1.0,1.0,,1.0,79.0,2023-05-10
Western Bulldogs,2023,47,Geelong,12,L,28,4.0,1.0,6.0,10.0,,,,5.0,2.0,2.0,,,,,,1.0,9.0,,,2.0,,,80.0,2023-05-17
Western Bulldogs,2023,48,Port Adelaide,13,L,28,7.0,3.0,5.0,12.0,,,,2.0,1.0,2.0,1.0,2.0,2.0,1.0,,3.0,10.0,,,,,,78.0,2023-05-24
Western Bulldogs,2023,49,North Melbourne,14,W,28,7.0,2.0,4.0,11.0,,,,2.0,,4.0,1.0,2.0,,,,3.0,8.0,,,1.0,,,80.0,2023-05-31
Western Bulldogs,2023,50,Fremantle,16,W,28,5.0,4.0,4.0,9.0,,,,1.0,,,,1.0,,,,3.0,6.0,1.0,,,,,84.0,2023-06-14
Western Bulldogs,2023,51↑,Collingwood,17,L,28,2.0,,2.0,4.0,,,,2.0,,1.0,2.0,,,,,2.0,2.0,,,,,,18.0,2023-06-21
Western Bulldogs,2023,52,Sydney,18,L,28,6.0,1.0,2.0,8.0,1.0,,,4.0,,2.0,2.0,,,,,3.0,5.0,,,,,,76.0,2023-06-28
Western Bulldogs,2023,53,Essendon,19,W,28,8.0,6.0,5.0,13.0,1.0,,,1.0,,2.0,,,,,,3.0,10.0,,1.0,,,,76.0,2023-07-05
Western Bulldogs,2023,54,Greater Western Sydney,20,L,28,11.0,3.0,9.0,20.0,,2.0,,6.0,,3.0,3.0,1.0,2.0,,,8.0,11.0,2.0,2.0,2.0,,,89.0,2023-07-12
Western Bulldogs,2023,55↓,Richmond,21,W,28,2.0,,2.0,4.0,,,,3.0,,1.0,,,,,,2.0,2.0,,,,,,44.0,2023-07-19
Western Bulldogs,2023,56,West Coast,23,L,28,6.0,1.0,1.0,7.0,1.0,,,2.0,,5.0,1.0,3.0,1.0,1.0,,3.0,5.0,1.0,,2.0,,1.0,77.0,2023-08-02
Western Bulldogs,2023,57,Geelong,24,W,28,6.0,3.0,7.0,13.0,,,,1.0,,4.0,,,1.0,,,6.0,7.0,,,,,1.0,71.0,2023-08-09
Western Bulldogs,2024,58↓,Sydney,12,L,28,,,,,,,,,,,,,,,,,,,,2.0,,,4.0,2024-05-17
Western Bulldogs,2024,59↓,Fremantle,15,W,28,7.0,6.0,3.0,10.0,,1.0,,1.0,,,2.0,,,,,4.0,7.0,,2.0,1.0,,2.0,53.0,2024-06-15
