team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
North Melbourne,2019,1,Fremantle,1,L,30,11.0,8.0,10.0,21.0,2.0,,,2.0,2.0,3.0,1.0,,,,,4.0,17.0,,1.0,1.0,,,81.0,2019-03-01
North Melbourne,2019,2,Brisbane Lions,2,L,30,5.0,2.0,4.0,9.0,,,,1.0,,2.0,1.0,3.0,,1.0,,2.0,7.0,,,1.0,,,69.0,2019-03-08
North Melbourne,2019,3,Hawthorn,3,L,30,5.0,2.0,7.0,12.0,1.0,,,1.0,1.0,2.0,,1.0,1.0,,,2.0,10.0,,,,,1.0,73.0,2019-03-15
North Melbourne,2019,4,Essendon,5,L,30,5.0,3.0,6.0,11.0,,1.0,,1.0,,,,1.0,2.0,,,5.0,6.0,,1.0,,,,67.0,2019-03-29
North Melbourne,2020,5,Greater Western Sydney,2,W,8,4.0,3.0,2.0,6.0,1.0,,,1.0,1.0,,1.0,1.0,,,,3.0,3.0,1.0,1.0,,,,50.0,2020-03-08
North Melbourne,2020,6,Essendon,6,L,8,6.0,2.0,1.0,7.0,1.0,,,1.0,1.0,,2.0,2.0,,2.0,,3.0,4.0,,1.0,,,,89.0,2020-04-05
North Melbourne,2020,7,Richmond,7,L,8,4.0,3.0,4.0,8.0,,,,1.0,,,,2.0,,1.0,,3.0,5.0,,,,,,85.0,2020-04-12
North Melbourne,2020,8,Carlton,8,L,8,6.0,2.0,5.0,11.0,3.0,,,4.0,,3.0,2.0,1.0,2.0,1.0,,7.0,5.0,,1.0,,,,73.0,2020-04-19
North Melbourne,2020,9,Adelaide,9,W,8,6.0,3.0,8.0,14.0,,,,3.0,1.0,3.0,,2.0,,1.0,,5.0,10.0,,,2.0,2.0,2.0,87.0,2020-04-26
North Melbourne,2020,10,Geelong,10,L,8,9.0,6.0,4.0,13.0,1.0,,,2.0,,,,3.0,1.0,1.0,,4.0,9.0,,1.0,,,1.0,91.0,2020-05-03
North Melbourne,2020,11,Melbourne,11,L,8,7.0,4.0,2.0,9.0,,,,3.0,1.0,2.0,1.0,2.0,1.0,,,4.0,5.0,,,,1.0,,89.0,2020-05-10
North Melbourne,2020,12,Brisbane Lions,12,L,8,5.0,3.0,6.0,11.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,,,,7.0,4.0,1.0,1.0,,2.0,,90.0,2020-05-17
North Melbourne,2020,13,Collingwood,13,L,8,11.0,7.0,4.0,15.0,1.0,,,2.0,,2.0,,3.0,,,,6.0,9.0,2.0,3.0,,,,82.0,2020-05-24
North Melbourne,2020,14,Gold Coast,14,L,8,8.0,2.0,2.0,10.0,,,,1.0,1.0,1.0,2.0,,,,,4.0,6.0,,,,1.0,,82.0,2020-05-31
North Melbourne,2020,15,Port Adelaide,16,L,8,6.0,2.0,7.0,13.0,,,,4.0,1.0,2.0,1.0,2.0,,1.0,,4.0,10.0,,,1.0,,,82.0,2020-06-14
North Melbourne,2020,16,Fremantle,17,L,8,4.0,1.0,4.0,8.0,,,,3.0,2.0,1.0,,1.0,2.0,,,4.0,4.0,,,,,,81.0,2020-06-21
North Melbourne,2020,17,West Coast,18,L,8,5.0,1.0,8.0,13.0,,,,3.0,,2.0,4.0,6.0,,2.0,,8.0,6.0,,,,,,82.0,2020-06-28
North Melbourne,2021,18,Port Adelaide,1,L,8,13.0,6.0,4.0,17.0,2.0,2.0,,4.0,2.0,1.0,1.0,2.0,1.0,1.0,,6.0,12.0,,1.0,3.0,,,83.0,2021-03-01
North Melbourne,2021,19,Gold Coast,2,L,8,11.0,1.0,7.0,18.0,1.0,,,3.0,3.0,,1.0,6.0,,,,6.0,12.0,,,1.0,,,88.0,2021-03-08
North Melbourne,2021,20,Western Bulldogs,3,L,8,9.0,6.0,4.0,13.0,,,,1.0,3.0,3.0,,,,,,1.0,13.0,,,,,,82.0,2021-03-15
North Melbourne,2021,21,Adelaide,4,L,8,7.0,1.0,10.0,17.0,,,,2.0,1.0,3.0,2.0,6.0,,1.0,,6.0,10.0,,,,3.0,,90.0,2021-03-22
North Melbourne,2021,22,Geelong,5,L,8,4.0,2.0,2.0,6.0,,,,1.0,,1.0,,2.0,1.0,1.0,,3.0,5.0,,1.0,,,,77.0,2021-03-29
North Melbourne,2021,23,Essendon,10,L,8,,,,,,,,,,,,,,,,,,,,,,,,2021-05-03
North Melbourne,2021,24,St Kilda,11,L,8,7.0,4.0,7.0,14.0,,1.0,,2.0,,1.0,,1.0,,,,2.0,12.0,,,,,1.0,90.0,2021-05-10
North Melbourne,2021,25,Greater Western Sydney,13,D,8,6.0,3.0,3.0,9.0,1.0,1.0,,3.0,,2.0,,3.0,,,,4.0,5.0,,,,,,82.0,2021-05-24
North Melbourne,2021,26,Brisbane Lions,14,L,8,4.0,2.0,6.0,10.0,,,,6.0,2.0,1.0,,3.0,,1.0,,3.0,9.0,,,,,,80.0,2021-05-31
North Melbourne,2021,27,Western Bulldogs,16,L,8,10.0,7.0,6.0,16.0,1.0,,,3.0,,1.0,1.0,4.0,1.0,,,2.0,15.0,,2.0,1.0,,1.0,82.0,2021-06-14
North Melbourne,2021,28,West Coast,17,W,8,9.0,5.0,7.0,16.0,,,,,,2.0,,1.0,,,,6.0,8.0,,1.0,,,1.0,83.0,2021-06-21
North Melbourne,2021,29,Essendon,18,L,8,7.0,2.0,6.0,13.0,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,1.0,1.0,,5.0,8.0,,1.0,,,2.0,82.0,2021-06-28
North Melbourne,2021,30,Carlton,19,W,8,8.0,4.0,18.0,26.0,,,,2.0,,4.0,2.0,1.0,1.0,,,10.0,16.0,1.0,1.0,1.0,,3.0,86.0,2021-07-05
North Melbourne,2021,31,Geelong,20,L,8,9.0,5.0,11.0,20.0,,,,3.0,1.0,4.0,1.0,6.0,,,,2.0,18.0,,,,,1.0,86.0,2021-07-12
North Melbourne,2021,32,Richmond,21,L,8,3.0,2.0,3.0,6.0,1.0,,,1.0,1.0,,,1.0,,1.0,,2.0,4.0,1.0,1.0,1.0,,,74.0,2021-07-19
North Melbourne,2021,33,Sydney,22,L,8,1.0,2.0,10.0,11.0,,,,,,1.0,3.0,,,,,5.0,7.0,,,1.0,,1.0,80.0,2021-07-26
North Melbourne,2021,34↑,Adelaide,23,L,8,3.0,,2.0,5.0,1.0,,,,,,,2.0,,1.0,,4.0,2.0,,,,,,25.0,2021-08-02
