team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Gold Coast,2017,1,Western Bulldogs,18,L,37,7,5.0,4,11,,,,1.0,4.0,,,3.0,,2.0,,4.0,8,1.0,,4.0,,,83,2017-06-28
Gold Coast,2017,2,Richmond,19,L,37,6,4.0,6,12,,,,1.0,2.0,,,,,,,5.0,7,1.0,,1.0,,,85,2017-07-05
Gold Coast,2017,3,Fremantle,20,L,37,9,5.0,2,11,,,,,2.0,,,,1.0,,,4.0,7,1.0,,2.0,,,77,2017-07-12
Gold Coast,2017,4,Brisbane Lions,21,L,37,3,2.0,3,6,,,,1.0,,,,2.0,,,,2.0,3,,,2.0,,,75,2017-07-19
Hawthorn,2019,5,Adelaide,1,W,35,7,2.0,4,11,,,,5.0,,1.0,1.0,3.0,1.0,1.0,,8.0,3,1.0,,2.0,,,70,2019-03-01
Hawthorn,2019,6,Western Bulldogs,2,L,35,10,4.0,7,17,,,,4.0,5.0,,,1.0,1.0,,,8.0,7,1.0,,4.0,,,81,2019-03-08
Hawthorn,2019,7,North Melbourne,3,W,35,10,5.0,9,19,,,,1.0,2.0,2.0,,4.0,,1.0,,6.0,14,1.0,,2.0,,,75,2019-03-15
Hawthorn,2019,8,St Kilda,4,L,35,12,8.0,11,23,,,,,2.0,1.0,,4.0,,1.0,,11.0,15,3.0,,8.0,,,79,2019-03-22
Hawthorn,2019,9,Geelong,5,L,35,6,5.0,11,17,,,,2.0,1.0,1.0,,2.0,,1.0,,7.0,11,,,1.0,,,82,2019-03-29
Hawthorn,2019,10,Carlton,6,W,35,11,7.0,5,16,,1.0,,3.0,2.0,2.0,,1.0,,,,4.0,11,,,2.0,,1.0,72,2019-04-05
Hawthorn,2019,11,Greater Western Sydney,8,W,35,8,2.0,7,15,,,,,1.0,2.0,,1.0,,,,4.0,10,2.0,,,1.0,,44,2019-04-19
Hawthorn,2019,12,Richmond,9,L,35,8,5.0,3,11,,,,,4.0,,,1.0,,1.0,,5.0,6,1.0,,1.0,,,81,2019-04-26
Hawthorn,2019,13,Port Adelaide,10,W,35,10,1.0,7,17,,,,2.0,2.0,3.0,,3.0,1.0,,,6.0,10,1.0,,1.0,,,42,2019-05-03
Hawthorn,2019,14,West Coast,23,W,35,4,2.0,10,14,,,,1.0,2.0,1.0,,,,,,7.0,7,1.0,,1.0,,,71,2019-08-02
Hawthorn,2020,15,Richmond,3,W,14,12,3.0,7,19,,,,1.0,5.0,,,4.0,,,,4.0,11,,,3.0,,,76,2020-03-15
Hawthorn,2020,16,North Melbourne,4,W,14,4,2.0,6,10,,,,,4.0,,,1.0,,,,8.0,3,1.0,,4.0,,,75,2020-03-22
Hawthorn,2020,17,Greater Western Sydney,5,L,14,7,4.0,4,11,,,,1.0,,2.0,2.0,1.0,,,,3.0,8,,,2.0,,,36,2020-03-29
Hawthorn,2020,18,Sydney,8,L,14,6,1.0,4,10,,,,3.0,2.0,,,2.0,1.0,,,5.0,5,,,3.0,,,71,2020-04-19
Hawthorn,2020,19,Carlton,9,W,14,9,1.0,2,11,,,,2.0,,2.0,,6.0,2.0,3.0,,5.0,7,,,2.0,,,86,2020-04-26
Hawthorn,2020,20,Fremantle,11,L,14,12,4.0,7,19,,,,1.0,3.0,3.0,,1.0,1.0,,,6.0,12,1.0,,,,,76,2020-05-10
Hawthorn,2020,21,West Coast,12,L,14,12,6.0,6,18,,,,1.0,7.0,2.0,1.0,2.0,,,,2.0,14,,,3.0,,,78,2020-05-17
Hawthorn,2020,22,Port Adelaide,13,L,14,8,4.0,10,18,,,,1.0,4.0,1.0,,2.0,1.0,,,5.0,11,1.0,,4.0,,,81,2020-05-24
Hawthorn,2020,23,Essendon,14,L,14,12,9.0,10,22,,,,1.0,1.0,1.0,,3.0,,1.0,,3.0,19,,,3.0,,,87,2020-05-31
Hawthorn,2020,24,Adelaide,15,L,14,15,6.0,7,22,,,,2.0,6.0,4.0,1.0,1.0,1.0,,,3.0,15,,,1.0,1.0,,77,2020-06-07
Hawthorn,2020,25,St Kilda,16,L,14,9,3.0,7,16,,,,2.0,3.0,2.0,,2.0,,1.0,,5.0,8,3.0,,1.0,,1.0,83,2020-06-14
Hawthorn,2020,26,Western Bulldogs,17,L,14,8,4.0,4,12,,,,5.0,3.0,,,5.0,,2.0,,1.0,8,,,4.0,,,81,2020-06-21
Hawthorn,2020,27,Gold Coast,18,W,14,8,4.0,8,16,,,,3.0,2.0,2.0,1.0,,1.0,,,6.0,9,1.0,,,,,81,2020-06-28
Hawthorn,2021,28↑,Richmond,2,L,14,7,1.0,2,9,,,,,3.0,1.0,,1.0,,,,1.0,7,,,,,,22,2021-03-08
Hawthorn,2021,29,Geelong,3,L,14,12,10.0,10,22,,,,2.0,3.0,2.0,,3.0,1.0,,,5.0,17,,,2.0,,1.0,81,2021-03-15
Hawthorn,2021,30,Fremantle,4,L,14,11,2.0,12,23,,,,2.0,6.0,,2.0,3.0,1.0,,,6.0,16,,,2.0,,,88,2021-03-22
Hawthorn,2021,31,Melbourne,5,L,14,11,9.0,6,17,,,,3.0,3.0,,1.0,3.0,,2.0,,4.0,10,3.0,,1.0,2.0,,81,2021-03-29
Hawthorn,2021,32,Adelaide,6,W,14,8,3.0,5,13,1.0,,,,1.0,4.0,,,,,,1.0,10,,,2.0,,1.0,83,2021-04-05
Hawthorn,2021,33,St Kilda,7,L,14,17,8.0,16,33,,,,1.0,4.0,4.0,2.0,4.0,,,,4.0,27,,,1.0,2.0,1.0,81,2021-04-12
Hawthorn,2021,34,West Coast,8,L,14,15,6.0,12,27,,1.0,,4.0,5.0,2.0,,3.0,,,,4.0,22,,,1.0,1.0,,80,2021-04-19
Hawthorn,2021,35,North Melbourne,9,L,14,13,6.0,7,20,1.0,,,4.0,6.0,3.0,2.0,1.0,1.0,,,5.0,14,,,4.0,1.0,2.0,81,2021-04-26
Hawthorn,2021,36,Carlton,10,L,14,12,7.0,12,24,,,,1.0,7.0,,1.0,4.0,,,,10.0,13,2.0,,4.0,,,78,2021-05-03
Hawthorn,2021,37,Gold Coast,11,L,14,14,7.0,7,21,,,,1.0,4.0,2.0,1.0,1.0,,,,4.0,17,,,2.0,1.0,,80,2021-05-10
Hawthorn,2021,38,Sydney,13,W,14,11,4.0,7,18,,,,1.0,6.0,1.0,2.0,,2.0,,,9.0,7,1.0,,5.0,,,82,2021-05-24
Hawthorn,2021,39,Essendon,14,L,14,15,10.0,8,23,,1.0,,,3.0,3.0,,1.0,1.0,,,6.0,19,1.0,,3.0,,,77,2021-05-31
Hawthorn,2021,40,Greater Western Sydney,15,W,14,17,6.0,11,28,,,,2.0,4.0,1.0,1.0,1.0,1.0,,,11.0,15,2.0,,4.0,1.0,1.0,83,2021-06-07
Hawthorn,2021,41,Port Adelaide,16,L,14,9,5.0,6,15,,,,1.0,2.0,,1.0,1.0,,,,3.0,11,,,2.0,,,78,2021-06-14
Hawthorn,2021,42↓,Fremantle,17,L,14,6,4.0,2,8,,,,1.0,2.0,2.0,,2.0,,1.0,,1.0,6,,,,,,26,2021-06-21
Hawthorn,2021,43,Adelaide,19,L,14,8,5.0,8,16,,,,1.0,2.0,2.0,1.0,,,,,4.0,11,1.0,,2.0,,,80,2021-07-05
Hawthorn,2021,44,Brisbane Lions,20,W,14,17,8.0,8,25,,,,2.0,4.0,2.0,1.0,4.0,,,,10.0,14,3.0,,1.0,,,78,2021-07-12
Hawthorn,2021,45,Collingwood,21,W,14,16,12.0,10,26,1.0,,,2.0,1.0,3.0,1.0,1.0,1.0,,1.0,4.0,22,,,1.0,1.0,2.0,77,2021-07-19
Hawthorn,2021,46,Western Bulldogs,22,W,14,14,8.0,5,19,,,,,2.0,1.0,1.0,,,,,2.0,13,1.0,,2.0,,,82,2021-07-26
Hawthorn,2021,47,Richmond,23,D,14,16,6.0,9,25,1.0,,,1.0,2.0,1.0,,3.0,,,,6.0,20,,,3.0,2.0,,80,2021-08-02
