team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Gold Coast,2012,1↑,Western Bulldogs,8,L,37,6.0,2.0,,6.0,,,,,,1.0,,1.0,1.0,1.0,,1.0,5.0,,,1.0,,1.0,26.0,2012-04-19
Gold Coast,2012,2,Port Adelaide,9,L,37,8.0,4.0,3.0,11.0,1.0,,,3.0,,5.0,1.0,2.0,,,,2.0,10.0,,,2.0,,2.0,83.0,2012-04-26
Gold Coast,2012,3,Collingwood,10,L,37,10.0,5.0,4.0,14.0,,,,2.0,2.0,2.0,,2.0,,,,2.0,11.0,,,5.0,,1.0,90.0,2012-05-03
Gold Coast,2012,4,St Kilda,11,L,37,6.0,4.0,3.0,9.0,,,,4.0,1.0,1.0,1.0,3.0,,2.0,,3.0,5.0,1.0,,1.0,,,86.0,2012-05-10
Gold Coast,2012,5↑,North Melbourne,12,L,37,5.0,1.0,2.0,7.0,,,,1.0,,2.0,,1.0,1.0,,,6.0,3.0,,,1.0,,,33.0,2012-05-17
Gold Coast,2012,6↓,West Coast,14,L,37,3.0,2.0,,3.0,,1.0,,,,,,1.0,1.0,1.0,,1.0,2.0,,1.0,1.0,,,47.0,2012-05-31
Gold Coast,2013,7↑,Collingwood,17,W,6,2.0,1.0,2.0,4.0,,,,,1.0,,,1.0,,,,,4.0,,,,1.0,,12.0,2013-06-21
Gold Coast,2013,8,Carlton,18,L,6,7.0,1.0,1.0,8.0,,1.0,,4.0,,4.0,,,1.0,,,1.0,6.0,,,2.0,2.0,1.0,83.0,2013-06-28
Gold Coast,2013,9,West Coast,19,L,6,8.0,3.0,3.0,11.0,3.0,1.0,,2.0,1.0,4.0,,2.0,,1.0,,2.0,10.0,1.0,,,7.0,1.0,84.0,2013-07-05
Gold Coast,2013,10,Melbourne,20,W,6,3.0,2.0,2.0,5.0,,2.0,,2.0,,1.0,,1.0,,1.0,,1.0,4.0,,1.0,1.0,,,59.0,2013-07-12
Gold Coast,2014,11↑,St Kilda,9,W,6,4.0,4.0,2.0,6.0,,,,,1.0,1.0,,1.0,,,,,6.0,,,1.0,,,29.0,2014-04-26
Gold Coast,2014,12,Western Bulldogs,10,W,6,8.0,3.0,5.0,13.0,,1.0,,1.0,1.0,4.0,1.0,4.0,,3.0,,5.0,8.0,,,1.0,4.0,1.0,75.0,2014-05-03
Gold Coast,2014,13,Adelaide,11,L,6,4.0,,4.0,8.0,,,,4.0,,4.0,1.0,3.0,,1.0,,4.0,4.0,,,2.0,,,80.0,2014-05-10
Gold Coast,2014,14↑,West Coast,13,L,6,4.0,2.0,,4.0,,1.0,,1.0,,1.0,,1.0,,,,1.0,3.0,,,,,,23.0,2014-05-24
Gold Coast,2014,15,Geelong,14,W,6,6.0,1.0,9.0,15.0,,,,1.0,,4.0,4.0,2.0,,1.0,,5.0,10.0,,,2.0,,1.0,78.0,2014-05-31
Gold Coast,2014,16,Hawthorn,15,L,6,5.0,2.0,4.0,9.0,,,,2.0,,2.0,,,,,,3.0,5.0,,,,1.0,,80.0,2014-06-07
Gold Coast,2014,17↑,Collingwood,16,W,6,5.0,3.0,,5.0,,1.0,,2.0,,3.0,,,,,,1.0,4.0,,,1.0,1.0,1.0,44.0,2014-06-14
Gold Coast,2014,18,Western Bulldogs,17,L,6,4.0,1.0,2.0,6.0,,1.0,,2.0,,1.0,,3.0,,3.0,,3.0,3.0,,,1.0,,1.0,71.0,2014-06-21
Gold Coast,2014,19,Brisbane Lions,18,L,6,8.0,1.0,2.0,10.0,3.0,1.0,,4.0,2.0,2.0,,3.0,,,,3.0,8.0,,,2.0,,,89.0,2014-06-28
Gold Coast,2014,20,St Kilda,19,W,6,8.0,4.0,5.0,13.0,2.0,1.0,,4.0,2.0,2.0,2.0,2.0,1.0,2.0,,5.0,8.0,1.0,2.0,1.0,2.0,,72.0,2014-07-05
Gold Coast,2014,21,Carlton,20,L,6,3.0,,5.0,8.0,,,,1.0,,2.0,,1.0,1.0,,,2.0,6.0,,,4.0,,1.0,81.0,2014-07-12
Gold Coast,2014,22,Port Adelaide,21,L,6,5.0,1.0,4.0,9.0,,,,1.0,,3.0,2.0,1.0,,1.0,,6.0,3.0,1.0,,1.0,,1.0,97.0,2014-07-19
Gold Coast,2014,23,Essendon,22,L,6,2.0,1.0,2.0,4.0,,1.0,,1.0,,,1.0,1.0,,1.0,,2.0,2.0,,1.0,,,,80.0,2014-07-26
Gold Coast,2014,24,West Coast,23,L,6,7.0,2.0,4.0,11.0,1.0,,,2.0,,4.0,1.0,2.0,,1.0,,7.0,7.0,,1.0,4.0,,,82.0,2014-08-02
Gold Coast,2015,25,Melbourne,1,L,6,8.0,6.0,,8.0,1.0,1.0,,3.0,,3.0,,3.0,,3.0,,,8.0,,,2.0,1.0,1.0,90.0,2015-03-01
Gold Coast,2015,26,St Kilda,2,L,6,4.0,2.0,4.0,8.0,,,,1.0,,1.0,1.0,,,,,5.0,3.0,1.0,,,1.0,,86.0,2015-03-08
Gold Coast,2015,27,Greater Western Sydney,4,L,6,6.0,,3.0,9.0,,1.0,,2.0,,4.0,1.0,3.0,,1.0,,3.0,6.0,,,2.0,,,94.0,2015-03-22
Gold Coast,2015,28,Brisbane Lions,5,W,6,11.0,2.0,8.0,19.0,1.0,1.0,,6.0,2.0,3.0,3.0,3.0,4.0,2.0,,10.0,9.0,,1.0,,1.0,1.0,78.0,2015-03-29
Gold Coast,2015,29,Adelaide,6,L,6,12.0,4.0,7.0,19.0,1.0,,,5.0,1.0,6.0,2.0,1.0,2.0,,,10.0,9.0,1.0,,,4.0,1.0,86.0,2015-04-05
Gold Coast,2015,30,West Coast,7,L,6,10.0,2.0,2.0,12.0,,,1.0,4.0,,4.0,1.0,1.0,,,,4.0,7.0,,,2.0,,1.0,89.0,2015-04-12
Gold Coast,2015,31,Collingwood,8,L,6,7.0,3.0,3.0,10.0,2.0,,,2.0,,2.0,,1.0,1.0,,,7.0,4.0,,2.0,2.0,,1.0,86.0,2015-04-19
