team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
North Melbourne,2023,1,West Coast,1,W,3,22,9,12,34,,,,,8.0,4.0,1.0,5.0,1.0,,1.0,9,21,,,2.0,1.0,1.0,86,2023-03-01
North Melbourne,2023,2,Fremantle,2,W,3,22,8,8,30,,,,6.0,9.0,2.0,1.0,6.0,,1.0,1.0,7,21,,,2.0,,,91,2023-03-08
North Melbourne,2023,3,Hawthorn,3,L,3,14,7,12,26,,,,6.0,6.0,4.0,1.0,6.0,1.0,1.0,,8,15,,1.0,2.0,,,81,2023-03-15
North Melbourne,2023,4,Carlton,4,L,3,16,5,21,37,,1.0,,3.0,4.0,4.0,3.0,1.0,1.0,,,8,26,,,1.0,,,84,2023-03-22
North Melbourne,2023,5,Brisbane Lions,5,L,3,16,2,15,31,1.0,,,2.0,3.0,1.0,2.0,8.0,1.0,1.0,,8,20,,,1.0,,,89,2023-03-29
North Melbourne,2023,6,Gold Coast,6,L,3,8,3,3,11,,,,2.0,5.0,1.0,1.0,2.0,,,,6,5,,,2.0,,1.0,83,2023-04-05
North Melbourne,2023,7,Melbourne,7,L,3,19,11,11,30,,,,3.0,3.0,3.0,2.0,2.0,2.0,,,10,19,1.0,,,,1.0,83,2023-04-12
North Melbourne,2023,8,St Kilda,8,L,3,17,8,13,30,,,,,3.0,4.0,2.0,4.0,,1.0,,9,19,,,1.0,,1.0,79,2023-04-19
North Melbourne,2023,9,Port Adelaide,9,L,3,12,4,10,22,,,,4.0,3.0,2.0,,6.0,,1.0,,7,16,,,2.0,,,86,2023-04-26
North Melbourne,2023,10,Sydney,10,L,3,16,5,9,25,2.0,2.0,,5.0,1.0,5.0,2.0,2.0,,1.0,1.0,7,21,,2.0,1.0,,,90,2023-05-03
North Melbourne,2023,11,Collingwood,11,L,3,10,6,11,21,,,,3.0,2.0,2.0,,2.0,,,,4,17,1.0,1.0,1.0,,,78,2023-05-10
North Melbourne,2023,12,Essendon,12,L,3,13,2,8,21,,1.0,,1.0,4.0,4.0,5.0,3.0,1.0,1.0,,8,10,,,1.0,,1.0,82,2023-05-17
North Melbourne,2023,13,Greater Western Sydney,13,L,3,15,7,9,24,,,,2.0,4.0,5.0,2.0,3.0,,,,8,17,,,,,,79,2023-05-24
North Melbourne,2023,14,Western Bulldogs,14,L,3,19,4,13,32,,,,2.0,6.0,4.0,5.0,4.0,1.0,2.0,,8,20,,,1.0,,,91,2023-05-31
North Melbourne,2023,15,Adelaide,16,L,3,16,5,15,31,,,,4.0,3.0,3.0,2.0,7.0,,1.0,,8,21,1.0,,,,,92,2023-06-14
North Melbourne,2023,16,Geelong,17,L,3,7,3,8,15,,1.0,,2.0,3.0,1.0,1.0,2.0,,1.0,,6,8,,,2.0,,,80,2023-06-21
North Melbourne,2023,17,Hawthorn,18,L,3,21,6,9,30,,,,3.0,6.0,4.0,1.0,4.0,1.0,,,5,20,,,4.0,1.0,1.0,88,2023-06-28
North Melbourne,2023,18,St Kilda,19,L,3,21,7,7,28,,,,5.0,9.0,5.0,2.0,1.0,1.0,1.0,,3,17,,,1.0,,1.0,84,2023-07-05
North Melbourne,2023,19,West Coast,20,L,3,17,2,14,31,,1.0,,3.0,9.0,1.0,3.0,1.0,,,,9,15,,,,,1.0,91,2023-07-12
North Melbourne,2023,20,Melbourne,21,L,3,10,4,5,15,,,,1.0,7.0,2.0,,2.0,,1.0,,2,8,,,,,,80,2023-07-19
