team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Richmond,2016,1,Collingwood,2,L,45,6,1.0,,6,3.0,1.0,,2.0,,1.0,,4.0,2.0,3.0,,6.0,,1.0,1.0,1.0,1.0,,83,2016-03-08
Richmond,2016,2,Adelaide,3,L,45,8,5.0,3.0,11,,1.0,,3.0,3.0,3.0,2.0,,2.0,,,5.0,6.0,,,,2.0,,75,2016-03-15
Richmond,2016,3,Hawthorn,7,L,45,6,3.0,3.0,9,2.0,,,3.0,1.0,1.0,,4.0,1.0,2.0,,2.0,7.0,,1.0,3.0,,1.0,82,2016-04-12
Richmond,2016,4,Sydney,8,W,45,7,4.0,1.0,8,,1.0,,2.0,,2.0,,1.0,1.0,1.0,,3.0,4.0,,1.0,,,1.0,75,2016-04-19
Richmond,2016,5,Fremantle,9,W,45,5,3.0,,5,,,,2.0,,1.0,,1.0,,1.0,,1.0,4.0,,,1.0,,,79,2016-04-26
Richmond,2016,6,Gold Coast,12,W,45,14,6.0,4.0,18,,,,3.0,4.0,,,1.0,,,,5.0,14.0,,,4.0,,,91,2016-05-17
Richmond,2016,7,Brisbane Lions,14,W,45,11,4.0,1.0,12,,,,,3.0,,,,,,,1.0,10.0,,,,,,75,2016-05-31
Richmond,2016,8,Port Adelaide,15,L,45,15,4.0,,15,1.0,,,2.0,2.0,6.0,,3.0,,2.0,,2.0,13.0,,1.0,1.0,,,79,2016-06-07
Richmond,2016,9,Western Bulldogs,16,L,45,15,4.0,3.0,18,,,,4.0,4.0,3.0,1.0,2.0,,1.0,,4.0,15.0,,,3.0,,,69,2016-06-14
Richmond,2016,10,Essendon,17,W,45,16,2.0,9.0,25,,,,,7.0,2.0,,1.0,,,,3.0,16.0,,,1.0,,,86,2016-06-21
Richmond,2016,11,Hawthorn,18,L,45,13,2.0,5.0,18,,,,1.0,5.0,2.0,,5.0,,,,3.0,13.0,,,,,,85,2016-06-28
Richmond,2016,12,Greater Western Sydney,19,L,45,20,5.0,3.0,23,,,,1.0,6.0,3.0,,3.0,,,,1.0,17.0,1.0,,,1.0,,86,2016-07-05
Richmond,2016,13,Collingwood,20,W,45,18,2.0,4.0,22,,,,1.0,1.0,,,,,,,3.0,19.0,,,2.0,,,83,2016-07-12
Richmond,2016,14,Geelong,21,L,45,18,5.0,3.0,21,,,,1.0,6.0,1.0,,5.0,,,,2.0,19.0,,,,,,79,2016-07-19
Richmond,2016,15,St Kilda,22,L,45,11,2.0,1.0,12,,,,2.0,4.0,1.0,,1.0,,,,,13.0,,,4.0,1.0,,73,2016-07-26
Richmond,2016,16,Sydney,23,L,45,6,2.0,9.0,15,,,,3.0,1.0,1.0,,2.0,2.0,,,6.0,10.0,1.0,,,,1.0,69,2016-08-02
Richmond,2017,17,Collingwood,2,W,15,15,3.0,3.0,18,,,,2.0,3.0,3.0,,3.0,,,,3.0,14.0,,,,1.0,,79,2017-03-08
Richmond,2017,18,West Coast,3,W,15,7,,4.0,11,,,,1.0,2.0,3.0,1.0,4.0,,2.0,,5.0,7.0,,,,,,76,2017-03-15
Richmond,2017,19,Brisbane Lions,4,W,15,10,3.0,2.0,12,,,,1.0,2.0,3.0,,1.0,,,,2.0,10.0,,,,,,74,2017-03-22
Richmond,2017,20,Melbourne,5,W,15,7,2.0,3.0,10,,1.0,,2.0,5.0,,,1.0,1.0,,,3.0,7.0,,1.0,1.0,,,75,2017-03-29
Richmond,2017,21,Adelaide,6,L,15,13,2.0,1.0,14,1.0,,,2.0,2.0,,,1.0,,1.0,,2.0,11.0,,,,,,83,2017-04-05
Richmond,2017,22,Western Bulldogs,7,L,15,17,2.0,2.0,19,,,,2.0,8.0,2.0,,3.0,1.0,2.0,,5.0,15.0,,,4.0,2.0,,76,2017-04-12
Richmond,2017,23,Fremantle,8,L,15,12,6.0,4.0,16,,,,2.0,5.0,1.0,,1.0,1.0,,,1.0,15.0,,,1.0,1.0,,79,2017-04-19
Richmond,2017,24,Greater Western Sydney,9,L,15,16,9.0,2.0,18,,,,2.0,2.0,2.0,,,1.0,,,3.0,15.0,,,,,,68,2017-04-26
Richmond,2017,25,Essendon,10,W,15,10,6.0,,10,,,,3.0,1.0,3.0,,4.0,,3.0,,1.0,10.0,,,3.0,2.0,,80,2017-05-03
Richmond,2017,26,North Melbourne,11,W,15,12,2.0,2.0,14,,,,1.0,2.0,1.0,,2.0,,1.0,,2.0,11.0,,,,1.0,,72,2017-05-10
Richmond,2017,27,Sydney,13,L,15,14,3.0,3.0,17,,,,1.0,5.0,1.0,1.0,1.0,,,,5.0,10.0,,,,2.0,,74,2017-05-24
Richmond,2017,28,Carlton,14,W,15,8,3.0,9.0,17,,,,,3.0,3.0,,1.0,,1.0,,3.0,14.0,,,,4.0,,77,2017-05-31
Richmond,2017,29,Port Adelaide,15,W,15,15,8.0,5.0,20,1.0,,,1.0,6.0,3.0,,3.0,,1.0,,4.0,16.0,1.0,,,3.0,,76,2017-06-07
Richmond,2017,30,St Kilda,16,L,15,11,5.0,3.0,14,,,,,3.0,3.0,1.0,1.0,1.0,1.0,,2.0,12.0,,,1.0,1.0,,74,2017-06-14
Richmond,2017,31,Brisbane Lions,17,W,15,17,5.0,2.0,19,,,,,3.0,5.0,,6.0,,1.0,,1.0,18.0,,,,2.0,,86,2017-06-21
Richmond,2017,32,Greater Western Sydney,18,W,15,6,2.0,1.0,7,,,,1.0,,3.0,,1.0,,1.0,,2.0,5.0,,,1.0,,,76,2017-06-28
Richmond,2018,33,Carlton,1,W,15,12,2.0,4.0,16,,1.0,,1.0,2.0,4.0,1.0,1.0,,1.0,,4.0,12.0,,,1.0,4.0,1.0,79,2018-03-01
Richmond,2018,34,Adelaide,2,L,15,13,3.0,4.0,17,,1.0,,4.0,4.0,1.0,,2.0,1.0,1.0,,7.0,9.0,,,1.0,,,85,2018-03-08
Richmond,2018,35,Hawthorn,3,W,15,14,6.0,7.0,21,,,,1.0,5.0,2.0,,4.0,,1.0,,4.0,16.0,,,,2.0,,80,2018-03-15
Richmond,2018,36,Brisbane Lions,4,W,15,14,6.0,8.0,22,,,,2.0,3.0,,1.0,2.0,1.0,,,5.0,17.0,,,,1.0,,71,2018-03-22
Richmond,2018,37,Melbourne,5,W,15,15,1.0,5.0,20,,,,1.0,3.0,4.0,1.0,1.0,,1.0,,9.0,9.0,1.0,,2.0,2.0,,78,2018-03-29
Richmond,2018,38,Collingwood,6,W,15,17,4.0,3.0,20,1.0,,,1.0,8.0,2.0,1.0,3.0,1.0,1.0,,6.0,12.0,,,,3.0,1.0,68,2018-04-05
Richmond,2018,39,Fremantle,7,W,15,11,1.0,5.0,16,,1.0,,2.0,3.0,4.0,,2.0,,1.0,,3.0,12.0,,,,1.0,,80,2018-04-12
Richmond,2018,40,North Melbourne,8,W,15,10,3.0,6.0,16,,1.0,,1.0,2.0,3.0,1.0,,1.0,,,8.0,7.0,,,3.0,,,70,2018-04-19
Richmond,2018,41,West Coast,9,L,15,10,3.0,4.0,14,2.0,,,2.0,4.0,2.0,,2.0,,1.0,,6.0,8.0,,,1.0,1.0,,71,2018-04-26
Richmond,2018,42,St Kilda,10,W,15,17,9.0,4.0,21,,,,1.0,5.0,4.0,,3.0,1.0,1.0,,4.0,17.0,,,2.0,2.0,,90,2018-05-03
Richmond,2018,43,Essendon,11,W,15,22,6.0,6.0,28,,,,2.0,9.0,3.0,1.0,4.0,,,,6.0,20.0,1.0,,2.0,,,81,2018-05-10
Richmond,2018,44,Port Adelaide,12,L,15,22,3.0,3.0,25,,1.0,,4.0,10.0,4.0,2.0,2.0,2.0,,,9.0,13.0,,,2.0,1.0,,88,2018-05-17
Richmond,2018,45,Geelong,13,W,15,14,6.0,3.0,17,,,,2.0,5.0,2.0,,1.0,,,,5.0,11.0,,,1.0,2.0,,77,2018-05-24
Richmond,2018,46,Sydney,15,W,15,15,5.0,5.0,20,2.0,,,3.0,3.0,7.0,,2.0,1.0,,,3.0,18.0,,,,,,74,2018-06-07
Richmond,2018,47,Adelaide,16,W,15,20,9.0,5.0,25,1.0,,,2.0,4.0,4.0,,4.0,,1.0,,3.0,21.0,,,,2.0,1.0,88,2018-06-14
Richmond,2018,48,Greater Western Sydney,17,L,15,17,5.0,6.0,23,1.0,,,,3.0,5.0,,1.0,,,,4.0,18.0,,,2.0,,,78,2018-06-21
Richmond,2018,49,St Kilda,18,W,15,19,6.0,7.0,26,,1.0,,2.0,5.0,8.0,1.0,1.0,,,1.0,6.0,19.0,,,1.0,,,85,2018-06-28
Richmond,2018,50,Collingwood,19,W,15,13,4.0,6.0,19,2.0,,,1.0,4.0,3.0,1.0,5.0,,1.0,,1.0,19.0,,,,,,80,2018-07-05
Richmond,2018,51,Geelong,20,W,15,12,1.0,2.0,14,,,,1.0,3.0,4.0,,2.0,,1.0,,3.0,11.0,,,,1.0,1.0,80,2018-07-12
Richmond,2018,52,Gold Coast,21,W,15,15,4.0,8.0,23,,,,1.0,6.0,5.0,,5.0,1.0,1.0,,5.0,18.0,1.0,,,5.0,1.0,78,2018-07-19
Richmond,2018,53,Essendon,22,W,15,19,7.0,6.0,25,,,,,4.0,4.0,,4.0,,,,4.0,22.0,,,1.0,5.0,1.0,83,2018-07-26
Richmond,2018,54,Western Bulldogs,23,W,15,9,2.0,4.0,13,,1.0,,,1.0,2.0,1.0,,,,,6.0,8.0,,,4.0,1.0,,78,2018-08-02
Richmond,2018,55,Hawthorn,QF,W,15,16,4.0,5.0,21,,1.0,,4.0,6.0,3.0,,1.0,,,,3.0,14.0,,,1.0,,,79,2018-03-01
Richmond,2018,56,Collingwood,PF,L,15,14,2.0,4.0,18,,,,1.0,2.0,1.0,,6.0,,,,5.0,13.0,,,,2.0,,77,2018-03-01
Richmond,2019,57,Carlton,1,W,15,18,5.0,2.0,20,,1.0,,3.0,9.0,2.0,1.0,5.0,,1.0,,3.0,10.0,1.0,,3.0,,,89,2019-03-01
Richmond,2019,58,Collingwood,2,L,15,15,5.0,1.0,16,2.0,,,1.0,2.0,2.0,1.0,1.0,,1.0,,3.0,10.0,,1.0,1.0,1.0,,78,2019-03-08
Richmond,2019,59,Greater Western Sydney,3,L,15,1,,,1,,,,,,,,,,,,,1.0,,,1.0,,,5,2019-03-15
Richmond,2019,60,St Kilda,15,W,15,19,3.0,3.0,22,,,,,6.0,4.0,,2.0,,,,2.0,17.0,,,2.0,,,72,2019-06-07
Richmond,2019,61,Gold Coast,16,W,15,13,5.0,9.0,22,,,,,8.0,1.0,1.0,4.0,,,,5.0,17.0,,1.0,2.0,,1.0,84,2019-06-14
Richmond,2019,62,Greater Western Sydney,17,W,15,11,1.0,5.0,16,,,,6.0,6.0,,,1.0,,1.0,,,14.0,,,3.0,2.0,,88,2019-06-21
Richmond,2019,63,Port Adelaide,18,W,15,8,1.0,7.0,15,,,,2.0,4.0,1.0,,1.0,,,,1.0,13.0,,,2.0,4.0,,83,2019-06-28
Richmond,2019,64,Collingwood,19,W,15,19,9.0,7.0,26,,,,2.0,4.0,1.0,,4.0,,,,3.0,22.0,,,3.0,,,74,2019-07-05
Richmond,2019,65,Melbourne,20,W,15,15,10.0,9.0,24,,,,,1.0,3.0,,3.0,,,,5.0,18.0,,,,,,73,2019-07-12
Richmond,2019,66,Carlton,21,W,15,16,6.0,2.0,18,,,,2.0,6.0,2.0,,4.0,,,,4.0,12.0,,,4.0,1.0,1.0,80,2019-07-19
Richmond,2019,67,West Coast,22,W,15,9,3.0,6.0,15,1.0,,,2.0,2.0,3.0,2.0,3.0,1.0,1.0,,3.0,12.0,,,1.0,,,78,2019-07-26
Richmond,2019,68,Brisbane Lions,23,W,15,16,7.0,7.0,23,,,,1.0,4.0,2.0,1.0,4.0,,,,4.0,18.0,,,1.0,,,71,2019-08-02
Richmond,2019,69,Brisbane Lions,QF,W,15,13,3.0,2.0,15,,,,3.0,7.0,2.0,,2.0,,1.0,,1.0,10.0,,,,7.0,,81,2019-03-01
Richmond,2019,70,Geelong,PF,W,15,12,2.0,1.0,13,,,,,4.0,4.0,,4.0,,1.0,,3.0,8.0,,,1.0,5.0,,74,2019-03-01
Richmond,2019,71,Greater Western Sydney,GF,W,15,12,6.0,7.0,19,,,,4.0,5.0,2.0,,4.0,,,,6.0,14.0,,,1.0,5.0,,73,2019-03-01
Richmond,2020,72,Carlton,1,W,15,13,5.0,2.0,15,,,,2.0,4.0,1.0,,,,,,3.0,11.0,1.0,,1.0,,,79,2020-03-01
Richmond,2020,73,Collingwood,2,D,15,11,6.0,3.0,14,,,,3.0,4.0,2.0,,1.0,,1.0,,2.0,12.0,,,,1.0,,80,2020-03-08
Richmond,2020,74,Hawthorn,3,L,15,11,7.0,7.0,18,,,,,3.0,3.0,,,2.0,,,7.0,11.0,1.0,,1.0,1.0,1.0,77,2020-03-15
Richmond,2020,75,St Kilda,4,L,15,13,5.0,7.0,20,,,,,4.0,3.0,1.0,3.0,1.0,1.0,,6.0,14.0,,,1.0,1.0,,74,2020-03-22
Richmond,2020,76,Melbourne,5,W,15,12,3.0,6.0,18,,,,2.0,1.0,2.0,,2.0,2.0,,,4.0,11.0,,,1.0,,,83,2020-03-29
Richmond,2020,77,Sydney,6,W,15,20,9.0,6.0,26,,,,,3.0,3.0,,5.0,1.0,,,6.0,17.0,,,,3.0,1.0,77,2020-04-05
Richmond,2020,78,North Melbourne,7,W,15,18,8.0,3.0,21,,2.0,,,7.0,2.0,,3.0,1.0,1.0,1.0,2.0,15.0,,1.0,2.0,1.0,,86,2020-04-12
Richmond,2020,79,Greater Western Sydney,8,L,15,13,7.0,5.0,18,,,,1.0,6.0,2.0,1.0,1.0,1.0,,,6.0,10.0,,1.0,1.0,,1.0,74,2020-04-19
Richmond,2020,80,Western Bulldogs,9,W,15,16,7.0,5.0,21,,,,,5.0,2.0,,1.0,,,,5.0,12.0,,,3.0,,,83,2020-04-26
Richmond,2020,81,Brisbane Lions,10,W,15,16,4.0,7.0,23,,,,,7.0,2.0,,1.0,,1.0,,5.0,11.0,,,2.0,1.0,,81,2020-05-03
Richmond,2020,82,Port Adelaide,11,L,15,15,3.0,3.0,18,,,,1.0,5.0,2.0,,,,,,2.0,9.0,,,1.0,,,74,2020-05-10
Richmond,2020,83,Gold Coast,12,W,15,14,4.0,4.0,18,,,,3.0,5.0,3.0,1.0,1.0,,1.0,,3.0,11.0,,,2.0,1.0,,76,2020-05-17
Richmond,2020,84,Essendon,13,W,15,9,5.0,5.0,14,,,,1.0,,5.0,1.0,1.0,,,,5.0,10.0,,,3.0,5.0,,84,2020-05-24
Richmond,2020,85,West Coast,14,W,15,17,8.0,2.0,19,,,,1.0,4.0,5.0,1.0,2.0,,,,5.0,12.0,2.0,,2.0,,,81,2020-05-31
Richmond,2020,86,Fremantle,15,W,15,13,8.0,10.0,23,,,,1.0,4.0,2.0,2.0,1.0,,,2.0,6.0,15.0,,,1.0,3.0,,69,2020-06-07
Richmond,2020,87,Geelong,17,W,15,10,3.0,6.0,16,,1.0,,1.0,8.0,2.0,,1.0,,,,1.0,11.0,,,1.0,6.0,,81,2020-06-21
Richmond,2020,88,Adelaide,18,W,15,17,6.0,3.0,20,,,,1.0,2.0,2.0,,1.0,,1.0,,5.0,15.0,,,3.0,2.0,,81,2020-06-28
Richmond,2020,89,Brisbane Lions,QF,L,15,15,4.0,7.0,22,,,,3.0,6.0,3.0,1.0,,,,,6.0,13.0,1.0,,1.0,,,78,2020-03-01
Richmond,2020,90,St Kilda,SF,W,15,14,7.0,3.0,17,,,,1.0,4.0,2.0,,2.0,1.0,1.0,,3.0,10.0,,,2.0,,,78,2020-03-01
Richmond,2020,91,Port Adelaide,PF,W,15,12,1.0,2.0,14,,1.0,,1.0,6.0,,1.0,4.0,1.0,1.0,,5.0,6.0,,,1.0,1.0,,82,2020-03-01
Richmond,2020,92,Geelong,GF,W,15,18,3.0,7.0,25,,,,6.0,7.0,7.0,2.0,2.0,1.0,,,9.0,11.0,,,3.0,2.0,,86,2020-03-01
Richmond,2021,93,Carlton,1,W,15,21,5.0,2.0,23,,,,3.0,9.0,4.0,,2.0,,,,2.0,12.0,1.0,,2.0,,,88,2021-03-01
Richmond,2021,94,Hawthorn,2,W,15,14,6.0,8.0,22,,,,2.0,6.0,1.0,1.0,2.0,1.0,,,5.0,12.0,,,2.0,9.0,,89,2021-03-08
Richmond,2021,95,Sydney,3,L,15,20,5.0,3.0,23,,,,2.0,11.0,1.0,,3.0,1.0,,,4.0,15.0,,,1.0,3.0,,82,2021-03-15
Richmond,2021,96,Port Adelaide,4,L,15,25,4.0,6.0,31,1.0,,,2.0,10.0,3.0,,4.0,,,,8.0,16.0,,,,1.0,,93,2021-03-22
Richmond,2021,97,St Kilda,5,W,15,15,5.0,5.0,20,,,,1.0,2.0,4.0,1.0,4.0,,1.0,,5.0,14.0,,,3.0,,,85,2021-03-29
Richmond,2021,98,Melbourne,6,L,15,16,3.0,6.0,22,,,,2.0,12.0,1.0,1.0,5.0,1.0,1.0,,5.0,9.0,,,1.0,3.0,,86,2021-04-05
Richmond,2021,99,Western Bulldogs,7,W,15,24,9.0,2.0,26,,1.0,,,8.0,3.0,,2.0,1.0,,,2.0,19.0,,,2.0,,,90,2021-04-12
Richmond,2021,100,Geelong,8,L,15,17,5.0,5.0,22,,,,3.0,10.0,1.0,,1.0,2.0,,,6.0,15.0,,,2.0,1.0,,84,2021-04-19
Richmond,2021,101,Greater Western Sydney,9,W,15,19,9.0,8.0,27,,,,1.0,5.0,2.0,,2.0,,1.0,,3.0,17.0,,,1.0,,,89,2021-04-26
Richmond,2021,102,Brisbane Lions,10,L,15,14,2.0,6.0,20,,,,,8.0,,1.0,1.0,1.0,,,4.0,13.0,,,2.0,1.0,,89,2021-05-03
Richmond,2021,103,Adelaide,11,W,15,19,12.0,4.0,23,,,,2.0,5.0,2.0,1.0,3.0,1.0,,,6.0,17.0,,,1.0,,,77,2021-05-10
Richmond,2021,104,Essendon,12,W,15,20,5.0,3.0,23,,,,1.0,3.0,3.0,,1.0,,,,1.0,17.0,,,1.0,,,85,2021-05-17
Richmond,2021,105,West Coast,13,L,15,24,15.0,2.0,26,,,,,5.0,2.0,,3.0,1.0,,,2.0,23.0,,,2.0,,,80,2021-05-24
Richmond,2021,106,St Kilda,15,L,15,16,5.0,6.0,22,,1.0,,6.0,5.0,,4.0,3.0,4.0,,,5.0,16.0,,,3.0,,,89,2021-06-07
Richmond,2021,107,Gold Coast,16,L,15,12,3.0,5.0,17,,,,3.0,5.0,2.0,,1.0,1.0,1.0,,,12.0,,,2.0,,,87,2021-06-14
Richmond,2021,108,Collingwood,17,L,15,22,2.0,9.0,31,,,,4.0,11.0,3.0,1.0,2.0,1.0,,,5.0,18.0,,,4.0,,,82,2021-06-21
Richmond,2021,109,Brisbane Lions,18,W,15,20,7.0,7.0,27,,,,1.0,6.0,6.0,,2.0,1.0,1.0,,2.0,20.0,,,,4.0,1.0,88,2021-06-28
Richmond,2021,110,Geelong,19,L,15,16,8.0,10.0,26,,,,2.0,6.0,1.0,,6.0,,2.0,,3.0,18.0,,,1.0,1.0,,86,2021-07-05
Richmond,2021,111,Fremantle,20,L,15,22,5.0,5.0,27,,,,,11.0,2.0,1.0,5.0,,1.0,,2.0,18.0,,,1.0,1.0,,91,2021-07-12
Richmond,2021,112,North Melbourne,21,W,15,14,6.0,12.0,26,,,,,2.0,2.0,,3.0,1.0,,,6.0,17.0,,,1.0,3.0,1.0,81,2021-07-19
Richmond,2021,113,Greater Western Sydney,22,L,15,22,4.0,10.0,32,,,,3.0,8.0,3.0,,2.0,,,,4.0,25.0,,,,3.0,,87,2021-07-26
Richmond,2021,114,Hawthorn,23,D,15,19,9.0,7.0,26,,,,1.0,3.0,4.0,,1.0,,,,5.0,20.0,,,3.0,,,85,2021-08-02
Richmond,2022,115,Carlton,1,L,15,19,2.0,2.0,21,,,,1.0,11.0,2.0,,3.0,,1.0,,1.0,10.0,,,3.0,4.0,,89,2022-03-01
