team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Collingwood,2009,1,St Kilda,7,L,22,12,4.0,10.0,22,,,,3.0,1.0,3.0,5.0,1.0,,1.0,,6,13,,,1.0,2.0,,60,2009-04-12
Collingwood,2009,2,Carlton,8,L,22,6,4.0,9.0,15,,,,3.0,,,,,1.0,,,4,11,,,1.0,,,63,2009-04-19
Collingwood,2009,3,West Coast,9,W,22,10,4.0,4.0,14,1.0,1.0,,4.0,1.0,5.0,1.0,2.0,,1.0,,4,10,,2.0,1.0,,,60,2009-04-26
Collingwood,2009,4,Port Adelaide,10,W,22,4,3.0,8.0,12,1.0,,,4.0,,,1.0,,2.0,,,2,10,,,1.0,1.0,1.0,53,2009-05-03
Collingwood,2009,5,Melbourne,11,W,22,8,2.0,10.0,18,1.0,,,3.0,,1.0,3.0,3.0,1.0,1.0,,11,9,,1.0,3.0,1.0,,70,2009-05-10
Collingwood,2009,6,Sydney,12,W,22,7,3.0,7.0,14,,1.0,,4.0,1.0,2.0,2.0,1.0,1.0,1.0,,3,10,,1.0,3.0,1.0,,70,2009-05-17
Collingwood,2009,7,Carlton,17,W,22,5,4.0,6.0,11,,,,4.0,,1.0,1.0,,,,,1,10,,1.0,4.0,,1.0,76,2009-06-21
Collingwood,2009,8,Brisbane Lions,18,W,22,6,4.0,8.0,14,,,,4.0,2.0,,1.0,,1.0,,,5,10,,1.0,,1.0,,67,2009-06-28
Collingwood,2009,9,St Kilda,QF,L,22,7,2.0,5.0,12,,,,3.0,2.0,2.0,,,2.0,,,5,8,,,3.0,3.0,,80,2009-03-01
Collingwood,2009,10,Adelaide,SF,W,22,14,7.0,11.0,25,,,,10.0,1.0,6.0,2.0,4.0,,1.0,,3,22,1.0,,2.0,2.0,2.0,80,2009-03-01
Collingwood,2009,11,Geelong,PF,L,22,3,5.0,7.0,10,,1.0,,2.0,,1.0,,1.0,,1.0,,4,7,,1.0,1.0,,,63,2009-03-01
Collingwood,2010,12,Western Bulldogs,1,W,22,8,3.0,7.0,15,,1.0,,1.0,1.0,3.0,,3.0,,1.0,,3,11,,2.0,1.0,,,71,2010-03-01
Collingwood,2010,13,Melbourne,2,W,22,11,4.0,10.0,21,,,,7.0,3.0,4.0,1.0,2.0,1.0,,,10,10,,,3.0,2.0,1.0,72,2010-03-08
Collingwood,2010,14,St Kilda,3,L,22,12,5.0,8.0,20,1.0,2.0,,3.0,2.0,2.0,1.0,2.0,1.0,1.0,,7,13,,2.0,2.0,,,80,2010-03-15
Collingwood,2010,15,Hawthorn,4,W,22,11,7.0,16.0,27,1.0,,,5.0,,4.0,,,,,,9,17,,,2.0,,,77,2010-03-22
Collingwood,2010,16,Essendon,5,W,22,9,5.0,7.0,16,,,,5.0,,3.0,,2.0,,,,5,11,1.0,,3.0,,,76,2010-03-29
Collingwood,2010,17,Carlton,6,W,22,10,4.0,9.0,19,2.0,1.0,,2.0,1.0,4.0,1.0,1.0,,,,7,13,,1.0,3.0,4.0,1.0,71,2010-04-05
Collingwood,2010,18,North Melbourne,7,W,22,10,3.0,6.0,16,5.0,1.0,,3.0,,2.0,1.0,,1.0,,1.0,5,11,,2.0,1.0,,,81,2010-04-12
Collingwood,2010,19,Fremantle,8,W,22,9,1.0,8.0,17,1.0,1.0,,7.0,,1.0,3.0,1.0,1.0,,,7,9,,,,,,74,2010-04-19
Collingwood,2010,20,Geelong,9,L,22,6,1.0,9.0,15,,,,2.0,,2.0,1.0,2.0,,,,5,10,,,2.0,,,72,2010-04-26
Collingwood,2010,21,Brisbane Lions,10,L,22,13,6.0,6.0,19,2.0,1.0,,1.0,,4.0,1.0,1.0,1.0,1.0,,7,13,1.0,1.0,,,1.0,83,2010-05-03
Collingwood,2010,22,Western Bulldogs,11,W,22,8,3.0,7.0,15,,,,7.0,1.0,2.0,1.0,1.0,2.0,1.0,,7,9,,,2.0,,1.0,79,2010-05-10
Collingwood,2010,23,Melbourne,12,D,22,14,7.0,9.0,23,1.0,2.0,,6.0,2.0,3.0,,2.0,1.0,1.0,,4,18,2.0,1.0,,1.0,1.0,81,2010-05-17
Collingwood,2010,24,Sydney,13,W,22,8,,8.0,16,2.0,1.0,,7.0,,4.0,2.0,1.0,1.0,,,9,7,,,8.0,,,75,2010-05-24
Collingwood,2010,25,Port Adelaide,15,W,22,4,,4.0,8,,,,4.0,,,2.0,,,,,5,3,,,1.0,,1.0,81,2010-06-07
Collingwood,2010,26,St Kilda,16,W,22,6,3.0,8.0,14,1.0,,,7.0,,,,1.0,2.0,1.0,,4,10,,1.0,2.0,,,76,2010-06-14
