team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
North Melbourne,2017,1,West Coast,1,L,21,2,2.0,7,9,,,,2.0,,1.0,,2.0,,1.0,,6.0,3,,2.0,,,,81,2017-03-01
North Melbourne,2017,2,Geelong,2,L,21,5,2.0,3,8,1.0,2.0,,2.0,,1.0,,,1.0,,,5.0,4,,1.0,1.0,,1.0,74,2017-03-08
North Melbourne,2017,3,Western Bulldogs,4,L,21,7,4.0,6,13,2.0,,,3.0,,2.0,1.0,1.0,1.0,,,2.0,8,,,,,,74,2017-03-22
North Melbourne,2017,4,Fremantle,5,L,21,8,3.0,4,12,1.0,,,3.0,,,,1.0,3.0,,,5.0,8,,1.0,,,,71,2017-03-29
North Melbourne,2017,5,Gold Coast,6,W,21,6,3.0,2,8,1.0,1.0,,2.0,,2.0,,2.0,,1.0,,,8,,2.0,1.0,,,60,2017-04-05
North Melbourne,2017,6,Sydney,8,L,21,3,,1,4,,,,1.0,,1.0,,3.0,,1.0,,2.0,2,,,,,,12,2017-04-19
North Melbourne,2017,7,Fremantle,16,L,21,6,2.0,6,12,,,,4.0,,1.0,,2.0,,,,3.0,9,,,1.0,,1.0,71,2017-06-14
North Melbourne,2017,8,Port Adelaide,17,L,21,7,4.0,8,15,,1.0,,4.0,1.0,2.0,2.0,1.0,3.0,,,7.0,8,,1.0,,,,79,2017-06-21
North Melbourne,2017,9,Essendon,18,L,21,3,3.0,5,8,,,,3.0,,1.0,,1.0,,1.0,,2.0,6,,,,,1.0,74,2017-06-28
North Melbourne,2017,10,Melbourne,19,W,21,5,2.0,7,12,2.0,1.0,,2.0,,2.0,1.0,1.0,,1.0,,8.0,5,1.0,1.0,,,,83,2017-07-05
North Melbourne,2017,11,Hawthorn,21,L,21,7,3.0,5,12,,,,3.0,1.0,2.0,1.0,3.0,1.0,,,4.0,7,,,,,,73,2017-07-19
North Melbourne,2017,12,St Kilda,22,L,21,4,3.0,7,11,1.0,,,2.0,,2.0,,1.0,1.0,,,6.0,6,1.0,,1.0,1.0,,75,2017-07-26
North Melbourne,2017,13,Brisbane Lions,23,W,21,9,4.0,8,17,1.0,,,,,2.0,2.0,1.0,,,,5.0,11,,,,3.0,,72,2017-08-02
North Melbourne,2018,14,Gold Coast,1,L,12,13,,9,22,,,,2.0,2.0,2.0,3.0,5.0,1.0,2.0,,16.0,6,,,3.0,,,78,2018-03-01
North Melbourne,2018,15,St Kilda,2,W,12,11,5.0,4,15,,1.0,,3.0,1.0,3.0,2.0,5.0,,1.0,,6.0,8,1.0,,1.0,,,67,2018-03-08
North Melbourne,2018,16,Melbourne,3,L,12,5,1.0,6,11,1.0,,,1.0,1.0,1.0,1.0,1.0,3.0,,,7.0,4,,1.0,2.0,2.0,1.0,72,2018-03-15
North Melbourne,2018,17,Carlton,4,W,12,5,2.0,5,10,1.0,,,1.0,3.0,,2.0,2.0,1.0,,,4.0,6,1.0,1.0,2.0,,,65,2018-03-22
North Melbourne,2018,18,Hawthorn,5,W,12,4,,7,11,,,,2.0,,1.0,3.0,3.0,,1.0,,6.0,5,,,2.0,,,78,2018-03-29
North Melbourne,2018,19,Port Adelaide,6,L,12,9,2.0,13,22,1.0,,,5.0,,5.0,3.0,4.0,1.0,3.0,,15.0,8,,,,,,83,2018-04-05
North Melbourne,2018,20,Sydney,7,W,12,8,4.0,5,13,1.0,,,2.0,1.0,2.0,3.0,2.0,,,,4.0,9,,1.0,1.0,,,72,2018-04-12
North Melbourne,2018,21,Richmond,8,L,12,7,1.0,11,18,1.0,,,5.0,1.0,,5.0,2.0,2.0,,,13.0,5,,,,,1.0,68,2018-04-19
North Melbourne,2018,22,Greater Western Sydney,9,W,12,5,1.0,12,17,1.0,1.0,,6.0,,2.0,5.0,,,,,10.0,8,,,1.0,,,65,2018-04-26
North Melbourne,2018,23,Fremantle,10,W,12,6,1.0,11,17,1.0,,,4.0,,4.0,3.0,3.0,,1.0,,11.0,6,,,3.0,,2.0,76,2018-05-03
North Melbourne,2018,24,Brisbane Lions,11,W,12,11,5.0,10,21,1.0,3.0,,6.0,1.0,3.0,5.0,3.0,2.0,2.0,,11.0,10,,2.0,1.0,,,88,2018-05-10
North Melbourne,2018,25,Geelong,12,L,12,6,1.0,6,12,,,,8.0,1.0,5.0,3.0,,2.0,,,6.0,6,,,,,,80,2018-05-17
North Melbourne,2018,26,Western Bulldogs,14,W,12,5,2.0,7,12,,,,5.0,,3.0,2.0,2.0,1.0,,,6.0,7,,,1.0,,1.0,81,2018-05-31
North Melbourne,2018,27,Essendon,15,L,12,4,2.0,10,14,,1.0,,4.0,3.0,1.0,4.0,2.0,,1.0,,5.0,8,,,3.0,1.0,,77,2018-06-07
North Melbourne,2018,28,Gold Coast,16,W,12,4,3.0,9,13,,,,,,1.0,3.0,1.0,1.0,1.0,,8.0,6,,1.0,,,2.0,75,2018-06-14
North Melbourne,2018,29,Sydney,17,L,12,7,5.0,11,18,,,,1.0,2.0,2.0,2.0,5.0,,,,9.0,11,1.0,,4.0,,1.0,82,2018-06-21
North Melbourne,2018,30,Collingwood,18,L,12,2,,7,9,,,,2.0,,,1.0,3.0,1.0,2.0,,4.0,6,,,,,,77,2018-06-28
North Melbourne,2018,31,West Coast,19,W,12,9,4.0,9,18,1.0,,,8.0,2.0,4.0,2.0,5.0,,2.0,,7.0,11,1.0,1.0,2.0,,3.0,70,2018-07-05
North Melbourne,2018,32,Brisbane Lions,20,W,12,8,3.0,12,20,1.0,,,4.0,,4.0,2.0,3.0,2.0,1.0,,10.0,10,1.0,,,,2.0,75,2018-07-12
North Melbourne,2018,33,Western Bulldogs,21,L,12,6,1.0,5,11,,1.0,,2.0,2.0,1.0,1.0,3.0,2.0,1.0,,3.0,10,1.0,,,,,72,2018-07-19
North Melbourne,2018,34,Adelaide,22,L,12,6,5.0,5,11,1.0,,,5.0,1.0,2.0,3.0,1.0,1.0,1.0,,7.0,7,,2.0,1.0,,,69,2018-07-26
North Melbourne,2018,35,St Kilda,23,W,12,3,3.0,9,12,1.0,,,4.0,,,2.0,2.0,,1.0,,7.0,5,1.0,2.0,,,2.0,92,2018-08-02
North Melbourne,2019,36,Fremantle,1,L,12,8,3.0,4,12,,,,4.0,,3.0,2.0,3.0,1.0,1.0,,8.0,4,1.0,,2.0,,2.0,77,2019-03-01
North Melbourne,2019,37,Brisbane Lions,2,L,12,2,1.0,11,13,,,,2.0,1.0,1.0,1.0,4.0,,,,8.0,6,,,,,,81,2019-03-08
North Melbourne,2019,38,Hawthorn,3,L,12,7,4.0,10,17,,,,3.0,,2.0,1.0,1.0,1.0,,,7.0,9,,,1.0,,,85,2019-03-15
