team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
St Kilda,2015,1↑,Greater Western Sydney,1,L,40,4.0,4.0,4.0,8,,1.0,,,1.0,,1.0,,,,,1.0,7.0,,,1.0,,,35,2015-03-01
St Kilda,2015,2,Gold Coast,2,W,40,7.0,1.0,12.0,19,2.0,,,1.0,2.0,2.0,3.0,,,,,7.0,11.0,,,,1.0,,76,2015-03-08
St Kilda,2015,3,Collingwood,3,L,40,5.0,2.0,6.0,11,1.0,1.0,,4.0,2.0,1.0,2.0,,,,,8.0,5.0,,1.0,4.0,,1.0,78,2015-03-15
St Kilda,2015,4,Carlton,4,L,40,3.0,,5.0,8,2.0,,,1.0,,1.0,3.0,2.0,2.0,1.0,,8.0,,,,,,,67,2015-03-22
St Kilda,2015,5,Essendon,5,L,40,2.0,1.0,12.0,14,,,,4.0,,4.0,2.0,2.0,2.0,2.0,,6.0,8.0,,1.0,,,3.0,78,2015-03-29
St Kilda,2015,6↑,Western Bulldogs,6,W,40,8.0,4.0,5.0,13,2.0,1.0,,1.0,,2.0,2.0,,,,,6.0,7.0,,1.0,,,2.0,66,2015-04-05
St Kilda,2015,7,Adelaide,7,L,40,10.0,8.0,5.0,15,,1.0,,2.0,,3.0,3.0,3.0,,,,4.0,10.0,,1.0,,1.0,,81,2015-04-12
St Kilda,2015,8,West Coast,8,L,40,5.0,3.0,10.0,15,2.0,1.0,,3.0,1.0,1.0,1.0,4.0,,,,4.0,9.0,2.0,3.0,1.0,,,86,2015-04-19
St Kilda,2015,9↑,Brisbane Lions,9,W,40,4.0,1.0,2.0,6,,,,1.0,,2.0,2.0,1.0,1.0,1.0,,2.0,4.0,,,,,,26,2015-04-26
St Kilda,2015,10,Hawthorn,10,L,40,6.0,4.0,6.0,12,2.0,,,2.0,2.0,1.0,1.0,,,,,4.0,8.0,,3.0,,1.0,,78,2015-05-03
St Kilda,2015,11,Essendon,14,W,40,4.0,2.0,6.0,10,2.0,,,6.0,,2.0,3.0,1.0,,1.0,,4.0,6.0,,,1.0,1.0,,82,2015-05-31
St Kilda,2015,12,Greater Western Sydney,15,L,40,4.0,1.0,5.0,9,1.0,,,5.0,,2.0,1.0,2.0,2.0,1.0,,3.0,7.0,,,1.0,2.0,,75,2015-06-07
St Kilda,2015,13↑,Richmond,16,L,40,3.0,1.0,2.0,5,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,4.0,,1.0,,,,25,2015-06-14
St Kilda,2015,14,Melbourne,17,W,40,8.0,1.0,2.0,10,1.0,1.0,,7.0,1.0,1.0,2.0,1.0,4.0,,,8.0,4.0,,1.0,4.0,,1.0,85,2015-06-21
St Kilda,2015,15,Port Adelaide,18,L,40,8.0,2.0,12.0,20,1.0,,,1.0,,2.0,,2.0,1.0,,,10.0,11.0,,,,,,86,2015-06-28
St Kilda,2015,16,Fremantle,19,L,40,4.0,3.0,7.0,11,1.0,,,3.0,,1.0,,1.0,,,,2.0,9.0,,,,,,60,2015-07-05
