team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Port Adelaide,2022,1,Hawthorn,2,L,8,5,3.0,6.0,11,,,,,1.0,2.0,,2.0,,,,2,9,,,,,,68,2022-03-08
Port Adelaide,2023,2↑,Hawthorn,12,W,8,4,3.0,,4,,,,,2.0,,,1.0,,,,2,2,1.0,,2.0,,,33,2023-05-17
Port Adelaide,2023,3↓,Western Bulldogs,13,W,8,4,2.0,3.0,7,,,,,,1.0,,3.0,,,,3,4,,,,,,48,2023-05-24
Port Adelaide,2023,4↓,Geelong,14,W,8,2,,3.0,5,,1.0,,1.0,,1.0,1.0,2.0,,1.0,,3,3,,,,,1.0,50,2023-05-31
Port Adelaide,2024,5,Geelong,10,W,8,12,4.0,4.0,16,,,,,3.0,1.0,,1.0,,,,2,12,,,1.0,,,66,2024-05-03
Port Adelaide,2024,6,Hawthorn,11,W,8,9,2.0,5.0,14,,,,,3.0,1.0,,3.0,,1.0,,4,10,,,2.0,1.0,1.0,75,2024-05-10
Port Adelaide,2024,7,Brisbane Lions,16,L,8,7,1.0,3.0,10,1.0,,,2.0,2.0,2.0,,3.0,1.0,,,4,6,,,1.0,,,64,2024-06-14
Port Adelaide,2024,8,St Kilda,17,W,8,11,8.0,2.0,13,,,,3.0,5.0,,,2.0,1.0,,,2,12,,,2.0,,,75,2024-06-21
Port Adelaide,2024,9,Hawthorn,SF,W,8,9,3.0,2.0,11,,,,1.0,4.0,1.0,1.0,,,,,3,7,,,2.0,,,62,2024-03-01
Port Adelaide,2024,10,Sydney,PF,L,8,9,3.0,2.0,11,,,,2.0,3.0,1.0,,1.0,,,,2,8,,,,,,70,2024-03-01
Port Adelaide,2025,11,Collingwood,2,L,8,8,5.0,5.0,13,,,,1.0,3.0,,,1.0,,1.0,,4,6,,,1.0,,,65,2025-03-08
Port Adelaide,2025,12,Richmond,3,W,8,19,8.0,3.0,22,,,,1.0,6.0,3.0,,3.0,2.0,1.0,,2,19,,,3.0,1.0,,75,2025-03-15
Port Adelaide,2025,13,Essendon,4,L,8,16,4.0,2.0,18,,1.0,,1.0,7.0,,1.0,,,,,1,12,,,2.0,2.0,,78,2025-03-22
Port Adelaide,2025,14,St Kilda,5,L,8,11,3.0,1.0,12,,,,1.0,4.0,2.0,,2.0,,,,1,7,,,3.0,,1.0,79,2025-03-29
Port Adelaide,2025,15,Hawthorn,6,W,8,8,3,4,12,,,,,2,2,,1,,,,2,8,,,,,,70,2025-04-05
Port Adelaide,2025,16,Sydney,7,W,8,8,4,1,9,,,,2,4,1,,2,,,,,7,,,1,,,68,2025-04-12
Port Adelaide,2025,17↓,North Melbourne,8,W,8,1,,2,3,,,,,1,,,,1,,,1,2,,,,,,16,2025-04-19
Port Adelaide,2025,18,Adelaide,10,L,8,11,2,5,16,,,,1,4,2,,2,1,,,6,8,,,2,,,82,2025-05-03
Port Adelaide,2025,19↓,Geelong,11,L,8,,,,,,,,1,,,,1,,1,,,,,,,,,2,2025-05-10
