team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Western Bulldogs,2019,1,Sydney,1,W,6,4.0,1.0,4,8,,,,4.0,,3.0,1.0,1.0,,1.0,,3,6,,,,,,77,2019-03-01
Western Bulldogs,2019,2,Hawthorn,2,W,6,6.0,,7,13,,,,2.0,1.0,3.0,3.0,,,,,6,7,,,1.0,,2.0,63,2019-03-08
Western Bulldogs,2019,3,Gold Coast,3,L,6,8.0,2.0,14,22,,1.0,,6.0,2.0,1.0,4.0,3.0,2.0,,,13,9,,,,,,70,2019-03-15
Western Bulldogs,2019,4,Collingwood,4,L,6,10.0,4.0,3,13,1.0,1.0,,2.0,1.0,3.0,,2.0,,1.0,,6,10,,,2.0,,,67,2019-03-22
Western Bulldogs,2019,5,Carlton,5,L,6,10.0,3.0,8,18,,,,3.0,,6.0,,2.0,2.0,,,4,14,,,1.0,1.0,1.0,72,2019-03-29
Western Bulldogs,2019,6,Fremantle,6,L,6,11.0,5.0,12,23,1.0,,,3.0,2.0,5.0,,,,,,4,19,,,2.0,,,74,2019-04-05
Western Bulldogs,2019,7,Richmond,7,W,6,10.0,6.0,12,22,1.0,,,3.0,,,6.0,,,,,8,13,,1.0,,,,70,2019-04-12
Western Bulldogs,2019,8,Brisbane Lions,8,W,6,3.0,,7,10,,,,9.0,1.0,2.0,3.0,2.0,,1.0,,6,5,,,2.0,,,77,2019-04-19
Western Bulldogs,2019,9,Geelong,9,L,6,9.0,1.0,19,28,,1.0,,3.0,1.0,3.0,5.0,,,,,10,19,,,2.0,,1.0,73,2019-04-26
Western Bulldogs,2019,10,North Melbourne,10,L,6,9.0,5.0,12,21,1.0,,,5.0,2.0,2.0,2.0,,1.0,,,5,16,,,,,,71,2019-05-03
Western Bulldogs,2019,11,West Coast,11,L,6,8.0,2.0,8,16,,1.0,,1.0,1.0,3.0,1.0,1.0,,,,3,13,,,,,,70,2019-05-10
Western Bulldogs,2019,12,Carlton,13,W,6,3.0,2.0,10,13,1.0,,,5.0,1.0,,3.0,2.0,,1.0,,5,8,,1.0,,,,82,2019-05-24
Western Bulldogs,2019,13,Collingwood,14,L,6,4.0,1.0,7,11,,,,2.0,,1.0,2.0,3.0,,1.0,,7,3,,,,,1.0,71,2019-05-31
Western Bulldogs,2019,14,Port Adelaide,15,W,6,8.0,,14,22,,2.0,,14.0,1.0,2.0,4.0,2.0,1.0,1.0,,14,7,,,,,1.0,80,2019-06-07
Western Bulldogs,2019,15,Geelong,16,W,6,5.0,2.0,11,16,1.0,,,2.0,1.0,1.0,2.0,1.0,,,,11,6,,,1.0,,,69,2019-06-14
Western Bulldogs,2019,16,Melbourne,17,W,6,7.0,2.0,4,11,1.0,1.0,,5.0,1.0,4.0,1.0,4.0,,3.0,,7,8,,,,,,84,2019-06-21
Western Bulldogs,2019,17,St Kilda,18,L,6,6.0,1.0,10,16,,,,,,2.0,1.0,2.0,,2.0,,8,9,,,1.0,,3.0,67,2019-06-28
Western Bulldogs,2019,18,Fremantle,19,W,6,14.0,4.0,6,20,2.0,2.0,,4.0,,5.0,4.0,3.0,1.0,1.0,,7,14,,,1.0,,1.0,80,2019-07-05
Western Bulldogs,2019,19,Brisbane Lions,20,L,6,13.0,2.0,14,27,,1.0,,1.0,2.0,6.0,4.0,2.0,,1.0,,5,21,,,1.0,,3.0,75,2019-07-12
Western Bulldogs,2019,20,Essendon,21,W,6,7.0,6.0,16,23,1.0,,,3.0,,1.0,3.0,3.0,1.0,1.0,,10,14,,,1.0,2.0,,75,2019-07-19
