team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Adelaide,2011,1↑,Hawthorn,1,W,33,9.0,4.0,5.0,14,,1.0,,,,5.0,,1.0,,,,2.0,12.0,,,2.0,2.0,,79,2011-03-01
Adelaide,2011,2,Fremantle,3,L,33,10.0,3.0,5.0,15,,,,7.0,2.0,3.0,1.0,1.0,,,,2.0,13.0,,,2.0,,,78,2011-03-15
Adelaide,2011,3,Port Adelaide,4,L,33,14.0,5.0,9.0,23,,,,3.0,2.0,,1.0,3.0,,,,5.0,18.0,,,1.0,1.0,,91,2011-03-22
Adelaide,2011,4,Carlton,5,L,33,8.0,,8.0,16,,,1.0,5.0,,2.0,4.0,4.0,,,,9.0,5.0,,,3.0,2.0,,78,2011-03-29
Adelaide,2011,5,St Kilda,6,W,33,13.0,7.0,5.0,18,,,1.0,3.0,1.0,6.0,2.0,1.0,,,,8.0,10.0,1.0,,1.0,1.0,,76,2011-04-05
Adelaide,2011,6,Melbourne,7,L,33,9.0,1.0,4.0,13,,,1.0,4.0,4.0,1.0,1.0,5.0,1.0,1.0,,5.0,7.0,,,2.0,,1.0,82,2011-04-12
Adelaide,2011,7↑,Gold Coast,8,W,33,3.0,1.0,1.0,4,,,,,1.0,,,1.0,,1.0,,1.0,4.0,,,,,,24,2011-04-19
Adelaide,2011,8,Collingwood,9,L,33,9.0,5.0,10.0,19,1.0,,1.0,3.0,3.0,2.0,,1.0,,,,7.0,12.0,1.0,1.0,,1.0,2.0,74,2011-04-26
Adelaide,2011,9,Brisbane Lions,10,L,33,5.0,1.0,4.0,9,1.0,,,2.0,1.0,,,,,,,3.0,7.0,,,6.0,1.0,,78,2011-05-03
Adelaide,2011,10↑,Essendon,17,L,33,1.0,,1.0,2,,,,2.0,,1.0,,,,,,,2.0,,,1.0,,,46,2011-06-21
Adelaide,2011,11↑,St Kilda,18,L,33,7.0,4.0,6.0,13,,,,2.0,1.0,,1.0,2.0,,1.0,,3.0,11.0,,,2.0,,,35,2011-06-28
Adelaide,2011,12,Port Adelaide,19,W,33,13.0,5.0,8.0,21,,,,3.0,2.0,7.0,,3.0,1.0,1.0,,3.0,17.0,,,1.0,1.0,,79,2011-07-05
Adelaide,2011,13,Brisbane Lions,20,W,33,4.0,1.0,8.0,12,,,,4.0,2.0,3.0,1.0,2.0,1.0,2.0,,4.0,8.0,,,,1.0,1.0,80,2011-07-12
Adelaide,2011,14↑,Geelong,21,L,33,2.0,1.0,2.0,4,,,,,,,,1.0,,,,,5.0,,,,,,26,2011-07-19
Adelaide,2012,15,Gold Coast,1,W,33,11.0,5.0,8.0,19,,,,5.0,3.0,1.0,,,,,,4.0,13.0,,,1.0,,1.0,84,2012-03-01
Adelaide,2012,16,Western Bulldogs,2,W,33,13.0,3.0,8.0,21,,,1.0,2.0,3.0,3.0,3.0,4.0,,1.0,,9.0,12.0,,,2.0,,,73,2012-03-08
Adelaide,2012,17,Hawthorn,3,L,33,9.0,2.0,6.0,15,,,,1.0,2.0,6.0,,4.0,,1.0,,4.0,11.0,,,3.0,,,83,2012-03-15
Adelaide,2012,18,Greater Western Sydney,4,W,33,15.0,1.0,6.0,21,1.0,1.0,1.0,6.0,,5.0,2.0,4.0,1.0,2.0,,12.0,6.0,,,1.0,,,84,2012-03-22
Adelaide,2012,19,Port Adelaide,5,W,33,4.0,1.0,5.0,9,,,1.0,1.0,1.0,,4.0,,,,,5.0,4.0,,,2.0,,,75,2012-03-29
Adelaide,2012,20,Sydney,6,W,33,12.0,2.0,8.0,20,,,1.0,2.0,4.0,,2.0,2.0,,1.0,,9.0,9.0,,,4.0,,,85,2012-04-05
Adelaide,2012,21,Geelong,7,W,33,8.0,3.0,8.0,16,,,,2.0,2.0,1.0,,2.0,,,,4.0,13.0,,,1.0,2.0,,86,2012-04-12
Adelaide,2012,22,Carlton,8,W,33,6.0,3.0,5.0,11,,,,3.0,2.0,1.0,,3.0,,,,6.0,5.0,,,1.0,,,75,2012-04-19
Adelaide,2012,23,Collingwood,9,L,33,12.0,6.0,6.0,18,1.0,,,4.0,6.0,3.0,,,,,,6.0,10.0,,,1.0,,,85,2012-04-26
Adelaide,2012,24,Fremantle,10,W,33,6.0,2.0,3.0,9,,,,1.0,1.0,1.0,1.0,,1.0,,,2.0,6.0,,,3.0,,,82,2012-05-03
Adelaide,2012,25,Richmond,14,W,33,6.0,3.0,8.0,14,,,,2.0,5.0,,,4.0,,1.0,,7.0,6.0,,,3.0,,,84,2012-05-31
Adelaide,2012,26,Port Adelaide,15,W,33,12.0,5.0,4.0,16,,,,,,4.0,,,,,,3.0,13.0,,,1.0,4.0,,84,2012-06-07
Adelaide,2012,27,Greater Western Sydney,16,W,33,10.0,3.0,4.0,14,1.0,1.0,,,3.0,4.0,1.0,2.0,,1.0,,2.0,11.0,,,2.0,,2.0,86,2012-06-14
Adelaide,2012,28,West Coast,17,W,33,13.0,5.0,8.0,21,,,,,6.0,,,2.0,,1.0,,6.0,13.0,,,1.0,,,79,2012-06-21
Adelaide,2012,29,Geelong,18,L,33,14.0,5.0,6.0,20,,,,2.0,4.0,1.0,3.0,1.0,,,,7.0,11.0,1.0,,,,1.0,87,2012-06-28
Adelaide,2012,30,Essendon,19,W,33,12.0,8.0,6.0,18,,,,4.0,7.0,3.0,,2.0,,1.0,,6.0,10.0,,,3.0,,,83,2012-07-05
Adelaide,2012,31,Fremantle,20,W,33,14.0,7.0,6.0,20,,1.0,,2.0,3.0,1.0,2.0,1.0,,,,4.0,16.0,,,4.0,,,88,2012-07-12
Adelaide,2012,32,Melbourne,22,W,33,7.0,2.0,5.0,12,,,,1.0,4.0,1.0,,,1.0,,,2.0,9.0,,,1.0,,,89,2012-07-26
Adelaide,2012,33,Gold Coast,23,W,33,14.0,5.0,7.0,21,1.0,2.0,,3.0,2.0,3.0,,1.0,1.0,,,5.0,16.0,,1.0,1.0,2.0,1.0,85,2012-08-02
Adelaide,2012,34,Sydney,QF,L,33,13.0,3.0,7.0,20,,,,,4.0,3.0,,1.0,,1.0,,2.0,16.0,,,3.0,4.0,1.0,93,2012-03-01
Adelaide,2012,35,Fremantle,SF,W,33,10.0,4.0,10.0,20,,,,3.0,3.0,2.0,2.0,,1.0,,,10.0,10.0,,,6.0,2.0,,89,2012-03-01
Adelaide,2012,36,Hawthorn,PF,L,33,9.0,4.0,7.0,16,1.0,,,1.0,,1.0,1.0,3.0,1.0,2.0,,6.0,9.0,,,3.0,1.0,,80,2012-03-01
Adelaide,2013,37,Carlton,5,L,33,12.0,3.0,5.0,17,,,,1.0,4.0,4.0,1.0,,1.0,,,9.0,8.0,,,4.0,2.0,,91,2013-03-29
Adelaide,2013,38,Hawthorn,6,L,33,14.0,2.0,7.0,21,,,,3.0,5.0,2.0,,,,,,8.0,10.0,,,2.0,,,86,2013-04-05
Adelaide,2013,39,Greater Western Sydney,7,W,33,6.0,3.0,8.0,14,1.0,,,1.0,3.0,2.0,,1.0,1.0,,,4.0,10.0,,,2.0,,,86,2013-04-12
Adelaide,2013,40,St Kilda,8,W,33,12.0,4.0,9.0,21,,,,2.0,2.0,3.0,2.0,4.0,1.0,1.0,,6.0,14.0,,,3.0,3.0,,85,2013-04-19
Adelaide,2013,41,North Melbourne,9,W,33,9.0,2.0,6.0,15,,,,,3.0,1.0,,1.0,1.0,1.0,,6.0,7.0,,,,2.0,,86,2013-04-26
