team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Richmond,2017,1,Western Bulldogs,7,L,47,4.0,3.0,5.0,9,,,42,2.0,,,3.0,3.0,,2.0,,2.0,6.0,,1.0,3.0,,,84,2017-04-12
Richmond,2017,2,Greater Western Sydney,9,L,47,3.0,2.0,2.0,5,,,6,3.0,,,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,,,,47,2017-04-26
Richmond,2017,3,Brisbane Lions,17,W,47,4.0,2.0,4.0,8,,,21,4.0,,2.0,2.0,3.0,1.0,,,3.0,5.0,,,1.0,,,56,2017-06-21
Richmond,2017,4,Greater Western Sydney,18,W,47,2.0,,2.0,4,,,13,3.0,,,1.0,3.0,1.0,2.0,,4.0,,,,2.0,,,39,2017-06-28
Richmond,2017,5,Gold Coast,19,W,47,2.0,1.0,4.0,6,,,25,4.0,2.0,,1.0,4.0,2.0,3.0,,4.0,2.0,,,1.0,,,68,2017-07-05
Richmond,2017,6,Hawthorn,20,W,47,3.0,3.0,2.0,5,1.0,,16,1.0,1.0,,2.0,1.0,,1.0,,1.0,4.0,,1.0,4.0,,,54,2017-07-12
Richmond,2017,7,Geelong,21,L,47,3.0,1.0,3.0,6,,,25,5.0,2.0,2.0,,,1.0,,,3.0,3.0,,,2.0,,,77,2017-07-19
Richmond,2018,8,Gold Coast,21,W,47,2.0,,9.0,11,,,34,3.0,1.0,,4.0,4.0,2.0,2.0,,7.0,3.0,,,1.0,,2.0,86,2018-07-19
Richmond,2019,9,Hawthorn,9,W,47,5.0,2.0,3.0,8,,,35,3.0,3.0,1.0,2.0,,1.0,,,6.0,2.0,,,1.0,,,79,2019-04-26
Richmond,2019,10,North Melbourne,11,L,47,1.0,2.0,3.0,4,,,28,7.0,1.0,,1.0,3.0,1.0,3.0,,4.0,,2.0,,4.0,,,77,2019-05-10
Richmond,2019,11,Geelong,12,L,47,2.0,,5.0,7,,,33,7.0,,1.0,4.0,1.0,1.0,1.0,,6.0,1.0,,,6.0,,,83,2019-05-17
Richmond,2019,12,St Kilda,15,W,47,4.0,2.0,6.0,10,,,20,1.0,1.0,,2.0,2.0,4.0,2.0,,6.0,4.0,,,2.0,,,54,2019-06-07
Richmond,2019,13,Gold Coast,16,W,47,5.0,4.0,3.0,8,1.0,,25,6.0,,2.0,2.0,2.0,2.0,2.0,,4.0,5.0,,1.0,3.0,,1.0,70,2019-06-14
Richmond,2019,14,Greater Western Sydney,17,W,47,5.0,1.0,3.0,8,,2.0,25,6.0,1.0,1.0,1.0,3.0,1.0,2.0,,4.0,3.0,,,3.0,,,62,2019-06-21
Richmond,2019,15,Port Adelaide,18,W,47,6.0,5.0,4.0,10,1.0,,27,2.0,,2.0,1.0,2.0,1.0,1.0,,4.0,6.0,2.0,1.0,1.0,,,70,2019-06-28
Richmond,2019,16,Collingwood,19,W,47,6.0,2.0,4.0,10,1.0,,15,3.0,1.0,2.0,2.0,5.0,1.0,4.0,,2.0,5.0,,,5.0,,,74,2019-07-05
Richmond,2019,17,Melbourne,20,W,47,8.0,1.0,5.0,13,1.0,,14,4.0,,2.0,5.0,,4.0,,,8.0,3.0,,,2.0,,,62,2019-07-12
Richmond,2019,18,West Coast,22,W,47,5.0,,7.0,12,1.0,,40,2.0,,,6.0,3.0,2.0,2.0,,8.0,3.0,,,2.0,,,72,2019-07-26
Richmond,2019,19,Brisbane Lions,23,W,47,7.0,5.0,7.0,14,,,29,3.0,1.0,3.0,5.0,2.0,3.0,2.0,,6.0,7.0,,,8.0,1.0,,66,2019-08-02
Richmond,2019,20,Brisbane Lions,QF,W,47,4.0,1.0,3.0,7,,,25,4.0,1.0,2.0,4.0,1.0,1.0,1.0,,5.0,1.0,,,1.0,,,59,2019-03-01
Richmond,2019,21,Geelong,PF,W,47,6.0,4.0,4.0,10,,,23,5.0,3.0,,2.0,4.0,,2.0,,5.0,4.0,2.0,,4.0,,,55,2019-03-01
Richmond,2019,22,Greater Western Sydney,GF,W,47,4.0,4.0,3.0,7,1.0,,20,2.0,2.0,,2.0,1.0,,,,5.0,3.0,1.0,1.0,,,,42,2019-03-01
Richmond,2020,23,Carlton,1,W,20,4.0,2.0,6.0,10,,1.0,25,3.0,2.0,1.0,5.0,,3.0,,,9.0,3.0,,1.0,3.0,,,58,2020-03-01
Richmond,2020,24,Collingwood,2,D,20,4.0,2.0,2.0,6,,,23,9.0,1.0,,2.0,3.0,2.0,3.0,,6.0,2.0,,,5.0,,1.0,85,2020-03-08
Richmond,2020,25,Hawthorn,3,L,20,3.0,,4.0,7,,,10,3.0,,1.0,,4.0,1.0,3.0,,3.0,3.0,,,2.0,,,78,2020-03-15
Richmond,2020,26,Sydney,6,W,20,2.0,1.0,6.0,8,,1.0,22,2.0,,,4.0,,2.0,,,7.0,2.0,,,7.0,,,60,2020-04-05
Richmond,2020,27,North Melbourne,7,W,20,4.0,2.0,4.0,8,,,23,3.0,1.0,2.0,3.0,4.0,1.0,4.0,,5.0,3.0,,,5.0,,,85,2020-04-12
Richmond,2020,28,Greater Western Sydney,8,L,20,3.0,1.0,,3,,,37,4.0,,2.0,,1.0,1.0,1.0,,2.0,1.0,,,2.0,,1.0,77,2020-04-19
Richmond,2020,29,Western Bulldogs,9,W,20,2.0,2.0,7.0,9,,,23,4.0,,,3.0,3.0,3.0,1.0,,3.0,5.0,,,1.0,,,71,2020-04-26
Richmond,2020,30,Brisbane Lions,10,W,20,5.0,1.0,1.0,6,,,14,2.0,2.0,,1.0,8.0,,4.0,,3.0,1.0,1.0,,2.0,,,66,2020-05-03
Richmond,2020,31,Port Adelaide,11,L,20,4.0,2.0,3.0,7,,1.0,29,1.0,1.0,,1.0,1.0,1.0,1.0,,5.0,2.0,,,3.0,,,72,2020-05-10
Richmond,2020,32,Gold Coast,12,W,20,4.0,2.0,5.0,9,1.0,,24,2.0,,,2.0,2.0,,2.0,,6.0,1.0,1.0,1.0,2.0,,,68,2020-05-17
Richmond,2020,33,Essendon,13,W,20,8.0,4.0,9.0,17,,,19,2.0,,,5.0,4.0,2.0,,,12.0,5.0,2.0,,3.0,,,73,2020-05-24
Richmond,2020,34,West Coast,14,W,20,5.0,3.0,4.0,9,1.0,,22,1.0,1.0,,2.0,1.0,1.0,,,5.0,4.0,1.0,1.0,2.0,,,69,2020-05-31
Richmond,2020,35,Fremantle,15,W,20,2.0,,5.0,7,,,16,,,,,,,,,3.0,3.0,,,3.0,,,59,2020-06-07
Richmond,2020,36,Geelong,17,W,20,2.0,1.0,,2,,,7,2.0,,,,2.0,,2.0,,1.0,1.0,,,2.0,,,24,2020-06-21
Richmond,2022,37,Carlton,1,L,20,2.0,,3.0,5,,,7,,,3.0,3.0,2.0,2.0,1.0,,4.0,1.0,,,2.0,,1.0,60,2022-03-01
Richmond,2022,38,Greater Western Sydney,2,W,20,5.0,3.0,4.0,9,2.0,,11,1.0,,,3.0,3.0,1.0,1.0,,5.0,4.0,1.0,2.0,1.0,,,62,2022-03-08
Richmond,2022,39,St Kilda,3,L,20,3.0,1.0,2.0,5,,,12,4.0,,2.0,,6.0,1.0,4.0,,1.0,4.0,,,,,,59,2022-03-15
Richmond,2022,40,West Coast,7,W,20,7.0,5.0,3.0,10,1.0,,20,,,,,3.0,,2.0,,,9.0,,2.0,1.0,,,69,2022-04-12
Richmond,2022,41,Collingwood,8,W,20,6.0,2.0,2.0,8,1.0,,16,1.0,2.0,2.0,1.0,5.0,2.0,3.0,,2.0,4.0,,,3.0,,,61,2022-04-19
Richmond,2022,42,Hawthorn,9,W,20,5.0,3.0,2.0,7,2.0,1.0,25,4.0,,1.0,3.0,1.0,3.0,,,4.0,3.0,1.0,2.0,,,,47,2022-04-26
