team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Richmond,2022,1,North Melbourne,18,L,40,11,1,8,19,,,,1,2,4,4,2,1,,,5,13,,,1,1,1,74,2022-06-28
Richmond,2022,2,Fremantle,19,D,40,6,2,5,11,1,,,1,1,1,3,1,,,,6,6,,,2,,,67,2022-07-05
Richmond,2022,3,Brisbane Lions,20,W,40,13,3,7,20,,,,3,2,3,2,1,2,,,9,11,,,,,,79,2022-07-12
Richmond,2022,4,Port Adelaide,21,W,40,12,2,8,20,,,,1,1,3,1,1,,,,8,11,,2,3,,1,83,2022-07-19
Richmond,2022,5,Hawthorn,22,W,40,9,4,8,17,,,,2,1,3,2,5,,,,5,12,,1,,,1,79,2022-07-26
Richmond,2022,6,Essendon,23,W,40,11,4,8,19,1,3,,1,,1,,2,,,,6,13,,2,,1,1,81,2022-08-02
Richmond,2022,7,Brisbane Lions,EF,L,40,9,2,8,17,1,,,4,4,2,4,1,2,,,7,8,,,1,,,73,2022-08-09
Richmond,2023,8,Western Bulldogs,4,L,40,8,2,7,15,,,,2,1,2,,3,1,,,4,11,,,2,,,81,2023-03-22
Richmond,2023,9,Sydney,5,L,40,6,2,9,15,,,,2,1,1,1,3,,2,,7,9,,,1,,,68,2023-03-29
Richmond,2023,10↓,Gold Coast,7,L,40,2,,2,4,,,,,,1,,3,,,,1,3,,,,,,47,2023-04-12
Richmond,2024,11,Sydney,4,W,40,5,3,4,9,,1,,1,,1,,1,,1,,3,5,,,1,,,82,2024-03-22
Richmond,2024,12,St Kilda,5,L,40,9,2,4,13,1,1,,1,,4,1,4,,1,,3,10,,,,,,86,2024-03-29
Richmond,2024,13↑,West Coast,6,L,40,5,3,1,6,1,,,1,,2,,1,1,1,,2,3,,1,,,1,50,2024-04-05
