team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
St Kilda,2010,1,West Coast,9,W,28,4.0,3.0,5.0,9,,,,3.0,,3.0,,3.0,1.0,,,4,6.0,,1.0,3.0,,2.0,67,2010-04-26
St Kilda,2010,2,Adelaide,10,W,28,3.0,2.0,5.0,8,1.0,,1.0,,,3.0,,1.0,1.0,,,7,2.0,1.0,,6.0,1.0,1.0,66,2010-05-03
St Kilda,2010,3,Richmond,11,W,28,5.0,5.0,1.0,6,1.0,,,2.0,,2.0,,3.0,1.0,1.0,,2,4.0,1.0,2.0,3.0,,,76,2010-05-10
St Kilda,2010,4,Fremantle,12,W,28,3.0,3.0,5.0,8,,1.0,,1.0,,1.0,1.0,1.0,,1.0,,6,3.0,1.0,1.0,2.0,2.0,,81,2010-05-17
St Kilda,2010,5,Geelong,13,W,28,3.0,2.0,3.0,6,,,,1.0,,1.0,,,1.0,,,6,,2.0,,,,,81,2010-05-24
St Kilda,2010,6,Melbourne,14,W,28,3.0,4.0,5.0,8,1.0,,1.0,,,1.0,,1.0,,,,5,3.0,1.0,2.0,4.0,,,83,2010-05-31
St Kilda,2010,7,North Melbourne,20,W,28,3.0,4.0,5.0,8,1.0,,3.0,6.0,,,2.0,1.0,,,,3,4.0,,1.0,,,,58,2010-07-12
St Kilda,2011,8,Essendon,3,L,28,7.0,8.0,5.0,12,1.0,1.0,5.0,2.0,1.0,2.0,1.0,2.0,,,,2,10.0,1.0,2.0,1.0,,1.0,88,2011-03-15
St Kilda,2011,9↓,Brisbane Lions,5,W,28,1.0,1.0,1.0,2,,,,,,1.0,,,,,,1,1.0,,,2.0,,,49,2011-03-29
St Kilda,2012,10,Port Adelaide,1,L,28,8.0,6.0,3.0,11,1.0,,11.0,4.0,,3.0,1.0,3.0,1.0,2.0,,5,8.0,1.0,,2.0,2.0,1.0,86,2012-03-01
St Kilda,2012,11,Gold Coast,2,W,28,13.0,7.0,5.0,18,2.0,1.0,6.0,2.0,,6.0,2.0,2.0,1.0,,,9,8.0,1.0,1.0,3.0,,,89,2012-03-08
St Kilda,2012,12,Western Bulldogs,3,W,28,10.0,6.0,4.0,14,1.0,3.0,8.0,4.0,,6.0,1.0,3.0,2.0,1.0,,7,8.0,2.0,2.0,3.0,,,95,2012-03-15
St Kilda,2012,13,Fremantle,4,L,28,5.0,4.0,3.0,8,1.0,1.0,7.0,1.0,,5.0,,,1.0,,,4,4.0,,1.0,1.0,,1.0,87,2012-03-22
St Kilda,2012,14,Melbourne,5,W,28,9.0,6.0,3.0,12,1.0,,6.0,1.0,,3.0,,3.0,1.0,2.0,,4,5.0,1.0,2.0,1.0,,1.0,87,2012-03-29
St Kilda,2012,15,Hawthorn,6,L,28,4.0,2.0,3.0,7,1.0,1.0,7.0,4.0,,2.0,,3.0,1.0,1.0,,4,5.0,,2.0,3.0,,,86,2012-04-05
St Kilda,2012,16,Carlton,7,W,28,5.0,3.0,4.0,9,2.0,1.0,15.0,5.0,,1.0,2.0,1.0,,1.0,,6,4.0,1.0,1.0,3.0,,2.0,84,2012-04-12
St Kilda,2012,17↓,West Coast,8,L,28,1.0,1.0,,1,,,2.0,,,,,,,,,1,1.0,,,1.0,,,15,2012-04-19
St Kilda,2012,18↓,North Melbourne,14,L,28,9.0,6.0,4.0,13,,1.0,2.0,,,5.0,1.0,2.0,1.0,,,7,6.0,4.0,1.0,,,2.0,41,2012-05-31
St Kilda,2012,19,Geelong,21,L,28,4.0,2.0,2.0,6,,2.0,,,,,,,1.0,,,2,4.0,1.0,1.0,2.0,,1.0,54,2012-07-19
St Kilda,2012,20,Greater Western Sydney,22,W,28,10.0,7.0,3.0,13,1.0,3.0,4.0,,,3.0,,2.0,,,,4,9.0,1.0,3.0,3.0,,2.0,89,2012-07-26
St Kilda,2012,21,Carlton,23,W,28,4.0,6.0,5.0,9,1.0,1.0,6.0,2.0,,1.0,2.0,,1.0,,,4,5.0,1.0,1.0,2.0,,1.0,90,2012-08-02
St Kilda,2013,22,Gold Coast,1,L,28,13.0,14.0,5.0,18,,,,,3.0,1.0,,3.0,,2.0,,2,17.0,,,7.0,,,82,2013-03-01
St Kilda,2013,23,Richmond,2,L,28,7.0,8.0,5.0,12,1.0,,2.0,1.0,1.0,4.0,,2.0,,1.0,,2,10.0,1.0,,3.0,,,88,2013-03-08
St Kilda,2013,24,Greater Western Sydney,3,W,28,13.0,5.0,4.0,17,,,,3.0,3.0,2.0,1.0,2.0,1.0,1.0,,5,12.0,,,11.0,,,93,2013-03-15
St Kilda,2013,25,Essendon,4,L,28,4.0,1.0,1.0,5,,,3.0,1.0,1.0,,,1.0,1.0,1.0,,2,5.0,,,5.0,1.0,,92,2013-03-22
St Kilda,2013,26,Sydney,5,L,28,8.0,,7.0,15,,,3.0,3.0,8.0,,,5.0,,2.0,,7,3.0,,,10.0,,,88,2013-03-29
St Kilda,2013,27,Collingwood,6,L,28,9.0,4.0,2.0,11,,,,1.0,4.0,,,5.0,,3.0,,3,7.0,,,5.0,1.0,,94,2013-04-05
St Kilda,2013,28,Carlton,7,W,28,7.0,4.0,5.0,12,,,,1.0,4.0,2.0,,3.0,,1.0,,3,9.0,,,6.0,,,94,2013-04-12
St Kilda,2013,29,Adelaide,8,L,28,7.0,3.0,2.0,9,,,,,3.0,2.0,,2.0,,2.0,,1,7.0,,,2.0,,,95,2013-04-19
St Kilda,2013,30,Western Bulldogs,9,L,28,8.0,3.0,2.0,10,,,,,3.0,2.0,,1.0,1.0,1.0,,2,9.0,,,5.0,1.0,2.0,97,2013-04-26
St Kilda,2013,31,North Melbourne,10,L,28,9.0,7.0,3.0,12,2.0,2.0,9.0,2.0,,2.0,1.0,,1.0,,,4,9.0,1.0,3.0,1.0,,,93,2013-05-03
St Kilda,2013,32,West Coast,11,L,28,8.0,3.0,3.0,11,1.0,2.0,6.0,5.0,,1.0,,4.0,,3.0,,2,8.0,,1.0,1.0,,1.0,90,2013-05-10
St Kilda,2013,33,Melbourne,13,W,28,3.0,,5.0,8,1.0,,10.0,1.0,1.0,1.0,3.0,5.0,,3.0,,4,3.0,,,1.0,,,91,2013-05-24
St Kilda,2013,34,Richmond,14,L,28,6.0,5.0,9.0,15,,,6.0,1.0,5.0,,2.0,2.0,,1.0,,8,7.0,1.0,,2.0,,,89,2013-05-31
St Kilda,2013,35,Fremantle,15,L,28,4.0,1.0,2.0,6,,,,4.0,1.0,1.0,,2.0,,2.0,,2,5.0,,,3.0,,1.0,95,2013-06-07
