team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Western Bulldogs,2021,1,Gold Coast,5,W,41,4,2.0,4,8,,,31,4,,1.0,2.0,,,,,3,4.0,,,1.0,,1.0,64,2021-03-29
Western Bulldogs,2021,2,Carlton,8,W,41,4,1.0,5,9,1.0,,17,5,,2.0,1.0,5.0,3.0,2.0,,4,6.0,,,2.0,,,87,2021-04-19
Western Bulldogs,2021,3,Port Adelaide,9,W,41,5,2.0,4,9,,,18,3,,4.0,4.0,4.0,4.0,4.0,,6,4.0,1.0,1.0,4.0,,,78,2021-04-26
Western Bulldogs,2021,4,St Kilda,10,W,41,7,6.0,7,14,,2.0,16,6,1.0,2.0,4.0,6.0,1.0,4.0,,7,8.0,,1.0,7.0,,,82,2021-05-03
Western Bulldogs,2021,5,Melbourne,11,L,41,1,1.0,2,3,,,17,1,1.0,,1.0,1.0,,,,2,1.0,,,3.0,,,67,2021-05-10
Western Bulldogs,2022,6,Collingwood,9,W,41,6,5.0,7,13,,,26,3,1.0,2.0,1.0,1.0,,,,4,8.0,,,7.0,,,81,2022-04-26
Western Bulldogs,2022,7,Gold Coast,10,W,41,3,,1,4,,,27,6,1.0,,3.0,3.0,3.0,3.0,,3,1.0,,,1.0,,,75,2022-05-03
Western Bulldogs,2022,8,West Coast,11,W,41,1,1.0,5,6,,,16,2,,,,1.0,,1.0,,1,5.0,,,1.0,,,71,2022-05-10
Western Bulldogs,2022,9,Hawthorn,15,W,41,4,,3,7,1.0,,32,5,1.0,1.0,3.0,,3.0,,,5,2.0,,,1.0,,,75,2022-06-07
Western Bulldogs,2022,10,Brisbane Lions,16,L,41,5,2.0,6,11,,,26,6,2.0,3.0,3.0,5.0,1.0,3.0,,7,6.0,,,5.0,,2.0,71,2022-06-14
Western Bulldogs,2022,11,St Kilda,18,W,41,2,1.0,4,6,,,9,3,,1.0,1.0,2.0,1.0,1.0,,2,4.0,,,1.0,,,61,2022-06-28
Port Adelaide,2024,12↓,Collingwood,7,L,24,2,3.0,3,5,,,21,6,,2.0,,4.0,,2.0,,2,3.0,,,1.0,,1.0,59,2024-04-12
Port Adelaide,2024,13,St Kilda,8,W,24,4,3.0,7,11,,,36,6,3.0,1.0,1.0,,1.0,,,5,6.0,1.0,,6.0,,,86,2024-04-19
Port Adelaide,2024,14,Adelaide,9,L,24,8,3.0,5,13,,,29,5,3.0,2.0,4.0,5.0,2.0,2.0,,6,7.0,,,1.0,,,80,2024-04-26
Port Adelaide,2024,15,North Melbourne,12,W,24,3,2.0,5,8,,1.0,27,4,1.0,2.0,,2.0,,1.0,,4,5.0,,1.0,2.0,,,83,2024-05-17
Port Adelaide,2024,16,Brisbane Lions,16,L,24,2,3.0,7,9,,,32,6,2.0,,1.0,3.0,1.0,3.0,,5,5.0,,1.0,3.0,,,68,2024-06-14
Port Adelaide,2024,17,St Kilda,17,W,24,4,3.0,7,11,,,28,7,2.0,,3.0,2.0,1.0,1.0,,8,3.0,2.0,,4.0,,1.0,81,2024-06-21
Port Adelaide,2024,18,Western Bulldogs,18,W,24,5,3.0,4,9,1.0,1.0,42,1,1.0,2.0,1.0,3.0,1.0,3.0,,4,5.0,,2.0,,,,80,2024-06-28
Port Adelaide,2024,19,Gold Coast,19,L,24,3,1.0,7,10,1.0,,34,6,,1.0,1.0,4.0,1.0,3.0,,5,7.0,,,4.0,,,82,2024-07-05
Port Adelaide,2024,20,Richmond,20,W,24,3,2.0,6,9,,,43,5,1.0,4.0,4.0,,1.0,,,5,5.0,,,3.0,,,82,2024-07-12
Port Adelaide,2024,21,Carlton,21,W,24,3,3.0,4,7,,,41,8,1.0,1.0,2.0,3.0,2.0,3.0,,5,3.0,1.0,1.0,5.0,,,88,2024-07-19
Port Adelaide,2024,22,Sydney,22,W,24,3,,9,12,1.0,,22,4,,1.0,,2.0,,2.0,,6,4.0,,,,,1.0,84,2024-07-26
Port Adelaide,2024,23,Melbourne,23,W,24,3,3.0,7,10,,,27,4,1.0,,5.0,5.0,,5.0,,5,6.0,,,8.0,,,83,2024-08-02
Port Adelaide,2024,24,Adelaide,24,W,24,4,1.0,4,8,,,45,4,1.0,,5.0,3.0,,1.0,,5,2.0,1.0,,6.0,,1.0,72,2024-08-09
Port Adelaide,2024,25,Fremantle,25,W,24,8,4.0,5,13,1.0,1.0,39,7,1.0,3.0,6.0,1.0,3.0,1.0,,9,5.0,2.0,1.0,8.0,,,83,2024-08-16
Port Adelaide,2024,26,Geelong,QF,L,24,2,1.0,5,7,,1.0,51,2,,2.0,1.0,2.0,,1.0,,3,4.0,,,1.0,,,80,2024-03-01
Port Adelaide,2024,27,Hawthorn,SF,W,24,8,,7,15,,,52,5,3.0,1.0,6.0,3.0,2.0,,,13,1.0,,,4.0,,1.0,85,2024-03-01
Port Adelaide,2024,28,Sydney,PF,L,24,6,,5,11,,,29,5,2.0,2.0,6.0,3.0,4.0,2.0,,11,1.0,,,2.0,,,82,2024-03-01
Port Adelaide,2025,29,Collingwood,2,L,24,6,3.0,8,14,1.0,,36,3,3.0,3.0,1.0,3.0,2.0,1.0,,4,10.0,,,2.0,,,81,2025-03-08
Port Adelaide,2025,30,Richmond,3,W,24,3,2.0,8,11,,,38,3,,2.0,,2.0,,2.0,,3,10.0,,,5.0,,,85,2025-03-15
Port Adelaide,2025,31,Essendon,4,L,24,7,5.0,7,14,,,27,4,2.0,1.0,4.0,3.0,2.0,1.0,,4,8.0,,1.0,5.0,,,85,2025-03-22
Port Adelaide,2025,32,St Kilda,5,L,24,2,,8,10,,,39,4,1.0,,5.0,5.0,3.0,3.0,,13,,,,4.0,,,85,2025-03-29
Port Adelaide,2025,33,Hawthorn,6,W,24,3,1.0,9,12,,,47,6,,4.0,2.0,7.0,1.0,3.0,,10,5.0,,,8.0,,,87,2025-04-05
Port Adelaide,2025,34,Sydney,7,W,24,5,1.0,4,9,,,39,3,2.0,3.0,3.0,7.0,2.0,5.0,,5,3.0,,,4.0,,,83,2025-04-12
Port Adelaide,2025,35,North Melbourne,8,W,24,7,,1,8,,,39,6,1.0,3.0,2.0,5.0,1.0,5.0,,3,4.0,,,3.0,,1.0,84,2025-04-19
Port Adelaide,2025,36,Western Bulldogs,9,L,24,3,2.0,6,9,1.0,,46,4,,1.0,3.0,6.0,1.0,3.0,,6,4.0,,,3.0,,,76,2025-04-26
Port Adelaide,2025,37,Melbourne,15,W,24,3,3.0,4,7,,,24,2,,1.0,2.0,,,,,6,3.0,1.0,,3.0,,,80,2025-06-07
Port Adelaide,2025,38↓,Sydney,16,L,24,5,2,,5,,,12,1,1,,,,1,,,2,4,,,3,,,54,2025-06-14
Port Adelaide,2025,39,Carlton,17,W,24,1,,5,6,,,31,3,1,1,3,3,1,3,,5,2,,,3,,,80,2025-06-21
