team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Fremantle,2018,1,Carlton,21,W,39,6.0,3.0,7,13,,,,3.0,,2.0,1.0,2.0,,2.0,,3.0,10,,,1.0,,2.0,64,2018-07-19
Fremantle,2018,2,Collingwood,23,L,39,10.0,5.0,7,17,1.0,1.0,,3.0,1.0,4.0,1.0,2.0,2.0,,,7.0,9,,1.0,,,1.0,68,2018-08-02
Fremantle,2019,3,West Coast,4,L,39,6.0,,6,12,,,,6.0,,2.0,2.0,1.0,,,,6.0,6,,,1.0,,,69,2019-03-22
Fremantle,2019,4,Greater Western Sydney,5,W,39,6.0,4.0,8,14,1.0,,,4.0,1.0,3.0,1.0,3.0,,2.0,,3.0,12,,,2.0,,2.0,68,2019-03-29
Fremantle,2019,5,Western Bulldogs,6,W,39,8.0,3.0,3,11,,,,3.0,,4.0,1.0,3.0,4.0,2.0,,7.0,4,,,1.0,,1.0,61,2019-04-05
Fremantle,2019,6,Adelaide,7,L,39,,1.0,5,5,,,,6.0,,,,2.0,,1.0,,2.0,3,,,2.0,,,71,2019-04-12
Fremantle,2019,7,Richmond,8,L,39,3.0,1.0,7,10,2.0,,,4.0,,2.0,1.0,1.0,1.0,1.0,,8.0,3,,,2.0,,,72,2019-04-19
Fremantle,2019,8,Essendon,9,L,39,3.0,,7,10,,,,4.0,,2.0,1.0,2.0,,1.0,,9.0,2,,,1.0,,1.0,69,2019-04-26
Fremantle,2019,9,Brisbane Lions,10,W,39,9.0,6.0,4,13,,,,2.0,1.0,4.0,2.0,1.0,2.0,,,2.0,10,,1.0,2.0,,,71,2019-05-03
Fremantle,2019,10,Collingwood,11,W,39,1.0,2.0,7,8,,,,7.0,1.0,1.0,1.0,,,,,6.0,3,1.0,,3.0,,,69,2019-05-10
Fremantle,2019,11,Port Adelaide,13,W,39,5.0,1.0,10,15,,,,4.0,,3.0,,1.0,2.0,,,7.0,7,,,,,,63,2019-05-24
Fremantle,2019,12,Melbourne,14,L,39,5.0,5.0,10,15,,,,7.0,,1.0,1.0,2.0,,1.0,,4.0,9,1.0,1.0,1.0,,1.0,82,2019-05-31
Fremantle,2019,13,Carlton,15,L,39,6.0,1.0,8,14,1.0,,,5.0,,2.0,,3.0,3.0,2.0,,9.0,6,,,1.0,,,73,2019-06-07
Fremantle,2019,14,West Coast,16,L,39,7.0,2.0,4,11,,,,1.0,,3.0,2.0,2.0,,2.0,,4.0,8,,1.0,,,,67,2019-06-14
Fremantle,2019,15,Hawthorn,17,L,39,2.0,2.0,5,7,,,,6.0,,2.0,1.0,,1.0,,,5.0,3,,1.0,2.0,,1.0,71,2019-06-21
Fremantle,2019,16,Sydney,18,W,39,4.0,4.0,8,12,,,,1.0,,1.0,2.0,,,,,7.0,6,1.0,,5.0,,,72,2019-06-28
