team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Fremantle,2013,1,North Melbourne,13,W,42,2,1,6.0,8,,,,6.0,,1.0,,3.0,,1.0,,4.0,4.0,,,,,,86,2013-05-24
Fremantle,2013,2,Geelong,14,L,42,5,4,1.0,6,1.0,,,3.0,,,,3.0,,1.0,,2.0,4.0,,1.0,1.0,,,91,2013-05-31
Fremantle,2013,3↓,Adelaide,18,W,42,4,1,2.0,6,,,,,,1.0,,1.0,,,,4.0,2.0,1.0,,,,,51,2013-06-28
Fremantle,2013,4,St Kilda,23,L,42,7,5,2.0,9,1.0,,,,,1.0,,1.0,,1.0,,3.0,6.0,,,1.0,,1.0,95,2013-08-02
Fremantle,2014,5,Essendon,4,W,20,4,2,2.0,6,2.0,,,4.0,,,,,,,,5.0,1.0,1.0,1.0,,,,87,2014-03-22
Fremantle,2014,6↓,Sydney,5,L,20,3,2,1.0,4,,,,2.0,,2.0,,3.0,,2.0,,1.0,3.0,,,,,,39,2014-03-29
Fremantle,2014,7,West Coast,15,W,20,12,7,1.0,13,,,1.0,5.0,5.0,,1.0,2.0,,,,5.0,9.0,,,4.0,,,96,2014-06-07
Fremantle,2014,8,St Kilda,18,L,20,7,4,4.0,11,1.0,1.0,,2.0,1.0,,1.0,3.0,3.0,2.0,,5.0,6.0,1.0,,1.0,,,84,2014-06-28
Fremantle,2014,9,Hawthorn,21,W,20,7,6,8.0,15,1.0,,,1.0,,1.0,,3.0,1.0,,,10.0,5.0,2.0,2.0,1.0,,1.0,90,2014-07-19
Fremantle,2014,10,Brisbane Lions,22,W,20,14,10,8.0,22,1.0,2.0,,4.0,,6.0,,3.0,1.0,1.0,,7.0,16.0,,2.0,1.0,,1.0,89,2014-07-26
Fremantle,2014,11,Port Adelaide,23,W,20,9,7,5.0,14,2.0,1.0,,1.0,,3.0,1.0,1.0,1.0,1.0,,9.0,5.0,4.0,3.0,1.0,,1.0,93,2014-08-02
Fremantle,2014,12,Sydney,QF,L,20,3,1,2.0,5,,1.0,,3.0,,,1.0,3.0,,1.0,,3.0,2.0,1.0,,,,,85,2014-03-01
Fremantle,2014,13↓,Port Adelaide,SF,L,20,2,1,,2,,1.0,,3.0,1.0,,,1.0,,1.0,,,2.0,,,,,,43,2014-03-01
