team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Greater Western Sydney,2018,1,Adelaide,11,W,15,2.0,,7.0,9,,,,3.0,1.0,,,,,,,6.0,2,,,11.0,,,83,2018-05-10
Greater Western Sydney,2018,2,Gold Coast,12,W,15,4.0,2.0,7.0,11,,,,2.0,2.0,,1.0,1.0,1.0,,,4.0,7,1.0,,10.0,,,87,2018-05-17
Greater Western Sydney,2018,3,Brisbane Lions,14,W,15,2.0,1.0,6.0,8,,,,1.0,3.0,,,,1.0,,,6.0,2,,,6.0,,,84,2018-05-31
Greater Western Sydney,2018,4,Hawthorn,15,W,15,5.0,3.0,5.0,10,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,5.0,5,1.0,,,,,81,2018-06-07
Greater Western Sydney,2018,5,West Coast,16,L,15,2.0,,3.0,5,,,,7.0,,,,2.0,,2.0,,2.0,3,,,9.0,,,80,2018-06-14
Greater Western Sydney,2018,6,Richmond,17,W,15,8.0,5.0,5.0,13,,,,5.0,3.0,,1.0,2.0,2.0,2.0,,7.0,6,,,8.0,,,83,2018-06-21
Greater Western Sydney,2018,7,St Kilda,19,W,15,7.0,3.0,3.0,10,,,,5.0,1.0,,,1.0,2.0,1.0,,5.0,5,,,6.0,,,79,2018-07-05
Greater Western Sydney,2018,8,Carlton,20,W,15,2.0,2.0,3.0,5,,,,,1.0,,,,,,,,5,,,1.0,,,48,2018-07-12
Greater Western Sydney,2019,9,Essendon,1,W,15,5.0,3.0,12.0,17,,,,3.0,4.0,,,1.0,2.0,1.0,,9.0,8,1.0,,6.0,,,83,2019-03-01
Greater Western Sydney,2019,10,West Coast,2,L,15,2.0,1.0,3.0,5,,,,1.0,,1.0,,1.0,1.0,1.0,,3.0,2,,,5.0,,,53,2019-03-08
Greater Western Sydney,2019,11,Richmond,3,W,15,3.0,3.0,8.0,11,,,,2.0,4.0,,,,,,,5.0,5,,,11.0,,,81,2019-03-15
Greater Western Sydney,2019,12,Geelong,4,W,15,6.0,6.0,4.0,10,,,,3.0,2.0,1.0,,4.0,1.0,2.0,,4.0,6,1.0,,6.0,,,88,2019-03-22
Greater Western Sydney,2019,13,Fremantle,5,L,15,8.0,4.0,2.0,10,,,,1.0,2.0,1.0,,3.0,1.0,,,4.0,5,1.0,,7.0,,,90,2019-03-29
Greater Western Sydney,2019,14,Sydney,6,W,15,2.0,2.0,4.0,6,,,,2.0,1.0,,,,1.0,,,4.0,2,1.0,,4.0,,,90,2019-04-05
Greater Western Sydney,2019,15,St Kilda,7,W,15,4.0,5.0,9.0,13,,,,1.0,2.0,,,1.0,,,,6.0,7,2.0,,8.0,,,83,2019-04-12
Greater Western Sydney,2019,16,Hawthorn,8,L,15,4.0,3.0,4.0,8,,,,3.0,3.0,1.0,1.0,3.0,1.0,2.0,,2.0,6,,,12.0,1.0,,89,2019-04-19
Greater Western Sydney,2019,17,Carlton,9,W,15,5.0,5.0,6.0,11,,,,1.0,2.0,1.0,,2.0,,1.0,,2.0,9,,,7.0,,,85,2019-04-26
Greater Western Sydney,2019,18,Melbourne,10,W,15,6.0,5.0,7.0,13,1.0,,,2.0,1.0,2.0,,1.0,,,,4.0,9,,,9.0,1.0,,82,2019-05-03
Greater Western Sydney,2019,19,Adelaide,12,L,15,3.0,5.0,6.0,9,,,,3.0,3.0,,,1.0,,1.0,,2.0,8,,,2.0,,,82,2019-05-17
Greater Western Sydney,2019,20,North Melbourne,13,W,15,5.0,4.0,3.0,8,,,,2.0,2.0,1.0,1.0,,,,,5.0,3,1.0,,9.0,,,81,2019-05-24
Greater Western Sydney,2019,21,Essendon,15,L,15,2.0,,4.0,6,,,,,1.0,1.0,,1.0,,1.0,,2.0,5,,,5.0,,,78,2019-06-07
Greater Western Sydney,2019,22,Brisbane Lions,16,L,15,9.0,3.0,4.0,13,,,,3.0,3.0,2.0,,1.0,1.0,,,4.0,7,1.0,,4.0,,,86,2019-06-14
Greater Western Sydney,2019,23,Richmond,17,L,15,3.0,4.0,6.0,9,,,,2.0,3.0,,,,1.0,,,6.0,3,1.0,,7.0,,,88,2019-06-21
Greater Western Sydney,2019,24,Collingwood,18,W,15,12.0,7.0,5.0,17,,,,1.0,7.0,1.0,,,,,,6.0,10,,,7.0,,,86,2019-06-28
Greater Western Sydney,2019,25,Port Adelaide,19,W,15,5.0,2.0,3.0,8,,,,,2.0,,,2.0,,,,2.0,6,1.0,,2.0,,,28,2019-07-05
Greater Western Sydney,2019,26,Gold Coast,23,W,15,5.0,5.0,9.0,14,,,,,,1.0,,1.0,,,,3.0,12,1.0,,2.0,,,83,2019-08-02
Greater Western Sydney,2019,27,Western Bulldogs,EF,W,15,7.0,4.0,4.0,11,,,,2.0,2.0,,,2.0,1.0,1.0,,3.0,7,1.0,,5.0,,,86,2019-03-01
Greater Western Sydney,2019,28,Brisbane Lions,SF,W,15,5.0,3.0,5.0,10,,,,,4.0,1.0,1.0,2.0,1.0,,,8.0,3,1.0,,5.0,,,92,2019-03-01
