team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Adelaide,2021,1,Hawthorn,6,L,7,10,5,6,16,5,,,2,,1,,5,2,1,,7,10,3,3,2,,1,80,2021-04-05
Adelaide,2021,2,Greater Western Sydney,7,L,7,8,3,2,10,,,4,2,1,1,,2,,1,,9,3,2,,1,,,81,2021-04-12
Adelaide,2021,3,Port Adelaide,8,L,7,5,3,1,6,2,,,,,,,1,1,,,2,4,,1,1,,,80,2021-04-19
Adelaide,2021,4,West Coast,9,L,7,6,4,5,11,2,1,,,,1,1,2,,1,,6,5,1,2,3,,,82,2021-04-26
Adelaide,2021,5,Melbourne,10,W,7,6,1,4,10,2,1,3,1,,,2,2,,2,,6,3,,1,1,,,77,2021-05-03
Adelaide,2021,6,Richmond,11,L,7,6,5,4,10,1,1,1,1,,1,,,1,,,5,6,1,1,1,,,81,2021-05-10
Adelaide,2021,7,Collingwood,12,L,7,6,4,3,9,1,2,4,,,,,,,,,7,4,2,3,4,,2,79,2021-05-17
Adelaide,2021,8,St Kilda,13,W,7,12,2,4,16,3,,1,1,,3,2,4,4,3,,14,1,2,1,4,,,84,2021-05-24
Adelaide,2021,9,Carlton,15,L,7,7,3,5,12,,,1,2,,2,,2,,,,5,7,,,2,,1,79,2021-06-07
Adelaide,2021,10,Brisbane Lions,16,L,7,5,5,4,9,1,1,3,1,1,1,,3,,2,,7,4,4,2,4,,,88,2021-06-14
Adelaide,2021,11,Essendon,17,L,7,5,1,3,8,,2,2,1,,,,3,2,1,,5,3,,,1,,,86,2021-06-21
Adelaide,2021,12,Port Adelaide,21,L,7,3,1,3,6,,1,,1,,,,3,,3,,3,3,,1,1,,,80,2021-07-19
Adelaide,2021,13,Melbourne,22,L,7,6,3,5,11,,,3,6,,3,1,3,,,,5,6,1,,4,,,81,2021-07-26
Adelaide,2021,14,North Melbourne,23,W,7,9,4,9,18,1,1,3,1,,1,2,2,,,,7,10,,2,3,,,87,2021-08-02
Adelaide,2022,15,Fremantle,1,L,7,7,4,,7,1,1,3,3,1,,2,1,,,,2,4,1,2,1,,,84,2022-03-01
Adelaide,2022,16,St Kilda,10,L,7,7,5,3,10,1,2,3,1,,1,,3,,1,,6,4,1,2,3,,,78,2022-05-03
Adelaide,2022,17,Geelong,11,L,7,7,6,5,12,,,3,3,,2,,6,1,2,,8,4,2,1,2,,,78,2022-05-10
Adelaide,2022,18,West Coast,12,W,7,4,2,3,7,,,7,1,,1,2,1,,,,4,3,,,2,,,68,2022-05-17
Adelaide,2022,19↓,Gold Coast,14,L,7,4,3,1,5,1,,2,1,,,,,,,,2,2,1,1,1,,,40,2022-05-31
Adelaide,2022,20,Melbourne,16,L,7,6,4,5,11,1,,8,3,,2,1,1,2,,,7,4,1,2,,,,86,2022-06-14
Adelaide,2022,21,Hawthorn,17,L,7,7,5,6,13,2,,6,1,2,,3,3,1,1,,8,5,3,4,2,,,67,2022-06-21
Adelaide,2022,22,Collingwood,18,L,7,11,7,6,17,1,3,7,4,,5,3,3,1,1,,12,4,3,3,,1,,53,2022-06-28
Adelaide,2022,23,Sydney,19,L,7,4,2,3,7,,1,8,1,,3,,4,,,,4,3,1,,4,,,60,2022-07-05
Adelaide,2022,24,North Melbourne,22,W,7,10,6,1,11,1,,3,4,,3,,7,,3,,6,6,2,1,4,,1,76,2022-07-26
Adelaide,2022,25,Port Adelaide,23,L,7,3,5,10,13,,,5,2,,1,,2,,,,11,2,5,2,3,,,80,2022-08-02
Adelaide,2023,26↑,Richmond,2,L,7,5,3,3,8,1,,4,1,1,3,1,2,,1,,5,3,2,,3,,,53,2023-03-08
Adelaide,2023,27,Port Adelaide,3,W,7,7,3,4,11,5,,5,,,2,,2,1,,2,9,3,1,3,2,,1,73,2023-03-15
Adelaide,2023,28,Fremantle,4,W,7,10,9,8,18,1,,4,2,1,2,1,1,1,,,11,6,5,,,,,83,2023-03-22
Adelaide,2023,29,Carlton,5,W,7,3,3,5,8,,,10,2,,1,1,2,,1,,6,2,2,,1,,,65,2023-03-29
Adelaide,2023,30,Hawthorn,6,W,7,6,2,6,12,,1,3,3,,,2,3,2,1,,6,6,,,3,,,60,2023-04-05
Adelaide,2023,31,Collingwood,7,L,7,10,7,5,15,,1,3,,,3,1,1,1,,,12,2,6,1,4,,,66,2023-04-12
Adelaide,2023,32,Geelong,8,L,7,1,,4,5,,,11,2,,,3,4,,3,,4,1,,,2,,,61,2023-04-19
Adelaide,2023,33,St Kilda,9,W,7,3,1,5,8,1,,9,2,,1,,4,1,2,,5,3,,,2,,,69,2023-04-26
Adelaide,2023,34,Brisbane Lions,11,W,7,7,4,4,11,2,,4,2,,2,2,,2,,,8,3,1,2,,,,76,2023-05-10
Adelaide,2023,35,Gold Coast,12,L,7,8,5,3,11,,1,,2,,3,,3,1,,,5,4,2,,2,,1,68,2023-05-17
Adelaide,2023,36,West Coast,13,W,7,8,4,7,15,2,,7,1,,4,2,5,3,2,,7,8,2,2,1,,3,75,2023-05-24
Adelaide,2023,37,Collingwood,15,L,7,6,4,8,14,1,,5,1,1,3,,3,,1,,5,9,2,1,3,,,60,2023-06-07
Adelaide,2023,38,North Melbourne,16,W,7,9,4,6,15,2,,4,3,,2,3,3,,,,9,6,3,2,1,,,79,2023-06-14
Adelaide,2023,39,Essendon,17,L,7,5,4,3,8,1,,3,1,,,,3,,1,,4,4,1,1,3,,,60,2023-06-21
Adelaide,2023,40,Greater Western Sydney,18,L,7,5,2,3,8,1,,8,3,1,,2,2,2,1,,7,1,2,,2,,,66,2023-06-28
Adelaide,2023,41,Melbourne,19,L,7,4,3,7,11,,,8,,1,2,,,1,,,7,5,2,,2,,,65,2023-07-05
Adelaide,2023,42,Port Adelaide,20,W,7,7,6,4,11,,2,8,1,,4,3,5,1,3,,8,3,3,2,3,,2,68,2023-07-12
Adelaide,2023,43,Gold Coast,21,W,7,11,5,4,15,,3,3,4,,4,1,2,,1,,7,9,2,2,5,,1,67,2023-07-19
Adelaide,2023,44,Brisbane Lions,22,L,7,5,4,2,7,1,,5,,1,,1,3,,1,,3,4,1,2,1,,1,70,2023-07-26
Adelaide,2023,45,Sydney,23,L,7,2,1,1,3,,1,5,1,,,,4,,1,,1,2,1,1,1,,,63,2023-08-02
Adelaide,2023,46↑,West Coast,24,W,7,4,,5,9,,,7,,1,2,2,1,,,,5,4,,,,,,35,2023-08-09
Adelaide,2024,47↑,St Kilda,19,W,7,5,2,2,7,2,,4,,,,,1,1,,,4,3,1,1,,,,26,2024-07-05
Adelaide,2024,48,Essendon,20,W,7,6,3,4,10,2,1,1,,,1,,2,,,,5,4,2,1,,,,89,2024-07-12
Adelaide,2024,49,Hawthorn,21,L,7,4,2,2,6,2,1,1,2,,1,,,2,,,4,3,,2,1,1,1,86,2024-07-19
Adelaide,2024,50,Geelong,22,L,7,7,7,7,14,3,,11,2,,1,3,1,2,1,,8,6,2,4,3,,1,83,2024-07-26
Adelaide,2024,51,Western Bulldogs,23,W,7,9,6,5,14,2,,1,2,1,5,,4,,,,7,7,2,2,4,,3,83,2024-08-02
Adelaide,2024,52,Port Adelaide,24,L,7,10,4,1,11,1,1,2,3,,3,1,3,1,,,7,3,2,2,,,,85,2024-08-09
Adelaide,2024,53,Sydney,25,L,7,12,8,4,16,3,3,6,3,,3,3,2,,,,7,9,2,7,3,,1,82,2024-08-16
Adelaide,2025,54,St Kilda,2,W,7,9,5,4,13,3,,5,3,1,3,1,6,,1,,8,7,2,2,1,,2,76,2025-03-08
Adelaide,2025,55,Essendon,3,W,7,10,7,6,16,3,1,1,2,,6,1,3,3,1,,10,7,3,4,2,,3,82,2025-03-15
Adelaide,2025,56,North Melbourne,4,W,7,11,8,6,17,3,1,8,1,,3,,2,1,1,2,6,10,2,3,,,2,82,2025-03-22
Adelaide,2025,57,Gold Coast,5,L,7,11,5,5,16,5,2,9,2,,3,4,3,1,1,,9,7,1,5,1,1,,84,2025-03-29
Adelaide,2025,58,Geelong,6,L,7,7,4,6,13,1,2,10,2,,,2,3,,,,5,7,,3,2,,1,82,2025-04-05
Adelaide,2025,59,Greater Western Sydney,7,W,7,8,4,5,13,1,3,8,1,1,1,,2,1,,,5,8,1,2,2,,,78,2025-04-12
Adelaide,2025,60,Fremantle,8,L,7,5,2,4,9,3,2,5,2,,,1,,3,,,8,2,1,2,1,,,69,2025-04-19
Adelaide,2025,61,Carlton,9,W,7,4,3,5,9,1,,3,2,,2,1,3,,2,,8,2,1,1,1,,1,81,2025-04-26
