team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Melbourne,2024,1,Brisbane Lions,6,L,39,2.0,1.0,5,7,,1.0,,4.0,,2.0,,2.0,,2.0,,3.0,4,,1.0,3.0,,,75,2024-04-05
Melbourne,2024,2,North Melbourne,16,W,39,8.0,5.0,2,10,,,,7.0,,2.0,,,1.0,,,3.0,7,,2.0,,,2.0,72,2024-06-14
Melbourne,2024,3,Brisbane Lions,17,L,39,8.0,,8,16,,1.0,,2.0,,4.0,1.0,3.0,1.0,,,9.0,6,,,2.0,,,66,2024-06-21
Melbourne,2024,4,West Coast,18,W,39,9.0,5.0,3,12,2.0,1.0,,3.0,1.0,1.0,,,1.0,,,4.0,8,1.0,2.0,,,1.0,74,2024-06-28
Melbourne,2024,5,Essendon,19,W,39,9.0,,5,14,,,,7.0,1.0,4.0,5.0,3.0,1.0,1.0,,8.0,5,,,1.0,,2.0,80,2024-07-05
Melbourne,2024,6↓,Fremantle,20,L,39,4.0,2.0,2,6,,,,,2.0,,,3.0,,2.0,,1.0,7,,,,,,43,2024-07-12
Melbourne,2024,7,Western Bulldogs,22,L,39,6.0,1.0,6,12,,,,5.0,2.0,3.0,3.0,1.0,,,,4.0,8,,,1.0,,,72,2024-07-26
Melbourne,2024,8,Port Adelaide,23,L,39,7.0,3.0,6,13,,1.0,,,2.0,2.0,3.0,,,,,9.0,7,1.0,1.0,4.0,,,78,2024-08-02
Melbourne,2024,9,Gold Coast,24,W,39,10.0,4.0,8,18,1.0,1.0,,5.0,1.0,3.0,2.0,4.0,1.0,,,10.0,10,1.0,1.0,3.0,2.0,,80,2024-08-09
Melbourne,2024,10,Collingwood,25,L,39,6.0,3.0,3,9,2.0,,,3.0,,2.0,,3.0,1.0,,,3.0,6,,2.0,,,,85,2024-08-16
Melbourne,2025,11,Fremantle,7,W,12,4.0,5.0,2,6,,,,4.0,2.0,1.0,,1.0,,,,1.0,5,,,2.0,,,68,2025-04-12
Melbourne,2025,12↓,Richmond,8,W,12,1.0,1.0,3,4,1.0,,,2.0,,,,,1.0,,,3.0,1,1.0,1.0,,,1.0,63,2025-04-19
Melbourne,2025,13,West Coast,9,W,12,7.0,1.0,7,14,,3.0,,4.0,,1.0,,5.0,3.0,1.0,,10.0,5,1.0,1.0,,1.0,,76,2025-04-26
Melbourne,2025,14↑,Hawthorn,10,L,12,,,2,2,,,,2.0,,,,,1.0,,,,2,,,,,,25,2025-05-03
Melbourne,2025,15,Collingwood,14,L,12,7.0,2.0,2,9,1.0,1.0,,3.0,,4.0,,1.0,2.0,1.0,,2.0,6,,1.0,1.0,,,66,2025-05-31
Melbourne,2025,16,Gold Coast,17,L,12,5.0,1.0,5,10,,,,4.0,,1.0,2.0,1.0,1.0,,,6.0,2,1.0,,1.0,,1.0,79,2025-06-21
Melbourne,2025,17↓,Adelaide,18,L,12,2.0,1.0,4,6,,,,1.0,,1.0,,1.0,1.0,1.0,,3.0,3,1.0,,1.0,,,49,2025-06-28
Melbourne,2025,18,North Melbourne,19,W,12,3.0,2.0,4,7,1.0,,,1.0,,1.0,1.0,4.0,,2.0,,4.0,3,,,,,,76,2025-07-05
Melbourne,2025,19↓,Carlton,20,L,12,2.0,,4,6,,,,2.0,,1.0,,3.0,1.0,1.0,,1.0,4,,,,,,47,2025-07-12
Melbourne,2026,20,St Kilda,2,W,12,10.0,2.0,7,17,,1.0,,1.0,1.0,4.0,3.0,2.0,1.0,1.0,,5.0,11,,1.0,,,,82,2026-03-08
Melbourne,2026,21,Fremantle,3,L,12,6.0,3.0,5,11,,,,5.0,1.0,4.0,,4.0,,,,1.0,9,,,3.0,,1.0,80,2026-03-15
Melbourne,2026,22,Carlton,4,W,12,6.0,6.0,9,15,,,,1.0,2.0,3.0,2.0,1.0,1.0,,,7.0,9,1.0,,3.0,1.0,2.0,78,2026-03-22
Melbourne,2026,23,Gold Coast,5,W,12,8.0,4.0,7,15,1.0,,,1.0,2.0,1.0,,2.0,1.0,,,5.0,10,,1.0,1.0,,,78,2026-03-29
Melbourne,2026,24,Essendon,6,L,12,13.0,3.0,9,22,,,,1.0,4.0,2.0,,5.0,2.0,2.0,,5.0,14,,,1.0,,,85,2026-04-05
Melbourne,2026,25,Brisbane Lions,7,W,12,17.0,2.0,9,26,,,,,10.0,1.0,,2.0,1.0,1.0,,8.0,9,,,3.0,1.0,,86,2026-04-12
Melbourne,2026,26,Richmond,8,W,12,8.0,,3,11,,1.0,,3.0,3.0,1.0,,,,,,2.0,5,,,4.0,1.0,,75,2026-04-19
Melbourne,2026,27,Sydney,9,L,12,15.0,,7,22,,,,2.0,10.0,3.0,1.0,2.0,1.0,,,8.0,7,,,,,,77,2026-04-26
Melbourne,2026,28,West Coast,10,W,12,13.0,6.0,6,19,,,,5.0,1.0,1.0,,2.0,2.0,,,6.0,10,1.0,,2.0,,,75,2026-05-03
Melbourne,2026,29,Hawthorn,11,W,12,9.0,6.0,3,12,,,,,4.0,,1.0,1.0,,,,2.0,9,,,1.0,,,84,2026-05-10
Melbourne,2026,30,Western Bulldogs,12,L,12,9.0,8.0,3,12,1.0,,,1.0,4.0,2.0,,1.0,,1.0,,2.0,11,,,2.0,,,84,2026-05-17
Melbourne,2026,31,Greater Western Sydney,13,L,12,12.0,4.0,5,17,,,,,6.0,1.0,1.0,1.0,1.0,,,9.0,8,1.0,,4.0,,,83,2026-05-24
Melbourne,2026,32,Collingwood,14,W,12,14.0,4.0,3,17,,,,3.0,8.0,1.0,1.0,1.0,1.0,,,4.0,9,,,4.0,1.0,,78,2026-05-31
Melbourne,2026,33,Essendon,15,W,12,18.0,5.0,6,24,,,,,3.0,,,1.0,1.0,,,10.0,10,1.0,,3.0,,,81,2026-06-07
Melbourne,2026,34,Adelaide,16,L,12,9.0,3.0,6,15,,,,1.0,4.0,1.0,,5.0,1.0,1.0,,5.0,8,,,1.0,1.0,,83,2026-06-14
Melbourne,2026,35,Hawthorn,18,W,12,8.0,3.0,3,11,,,,1.0,4.0,1.0,1.0,1.0,1.0,,,4.0,7,1.0,,2.0,,1.0,87,2026-06-28
Melbourne,2026,36,Richmond,19,W,12,9.0,3.0,5,14,,,,,2.0,1.0,,2.0,1.0,1.0,,6.0,8,,,1.0,1.0,,80,2026-07-12
Melbourne,2026,37,North Melbourne,20,W,12,14.0,6.0,8,22,,1.0,,1.0,4.0,2.0,2.0,1.0,3.0,,,10.0,14,,,3.0,3.0,,93,2026-07-18
