team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Richmond,2023,1,Port Adelaide,24,L,36,13,3,4,17,,,,5.0,5.0,3.0,,1.0,1.0,,,4,9,,,9.0,1.0,,82,2023-08-09
Richmond,2024,2,Port Adelaide,3,L,36,4,2,10,14,,,,1.0,3.0,,,2.0,,1.0,,8,6,,,3.0,,,79,2024-03-15
Richmond,2024,3↑,Greater Western Sydney,19,L,36,3,3,2,5,,,,,1.0,1.0,,,,,,1,4,,,2.0,,,25,2024-07-05
Richmond,2024,4,Port Adelaide,20,L,36,8,5,7,15,,,,3.0,3.0,1.0,,1.0,1.0,,,4,10,,,5.0,,,81,2024-07-12
Richmond,2024,5,Collingwood,21,L,36,12,5,5,17,,,,,4.0,1.0,1.0,5.0,,,,6,10,1.0,,1.0,,,79,2024-07-19
Richmond,2024,6,North Melbourne,22,L,36,4,1,4,8,,,,1.0,,2.0,,,,,,3,5,,,4.0,,,81,2024-07-26
Richmond,2024,7,St Kilda,23,L,36,14,6,8,22,,,,,5.0,3.0,,1.0,1.0,,,6,16,2.0,,,2.0,,77,2024-08-02
Richmond,2024,8,Hawthorn,24,L,36,9,5,6,15,,,,4.0,2.0,1.0,,5.0,2.0,3.0,,7,8,,,4.0,,,80,2024-08-09
Richmond,2025,9,Carlton,2,W,36,8,1,11,19,,,,2.0,2.0,2.0,2.0,4.0,,,,6,13,1.0,,1.0,,,81,2025-03-08
Richmond,2025,10,Port Adelaide,3,L,36,4,1,5,9,,,,,,2,1,,,,,4,6,,,3,,,90,2025-03-15
Richmond,2025,11,St Kilda,4,L,36,9,5,6,15,,,,5,,2,3,2,1,2,,6,10,,,,,,84,2025-03-22
Richmond,2025,12,Brisbane Lions,5,L,36,9,4,12,21,,,,2,3,1,1,3,1,1,,7,15,,,,1,1,81,2025-03-29
