team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Brisbane Lions,2022,1,Melbourne,15,L,29,6.0,2.0,3.0,9.0,,,,1.0,,1.0,1.0,1.0,,1.0,,2.0,9.0,,,1.0,,,58.0,2022-06-07
Brisbane Lions,2022,2,Western Bulldogs,16,W,29,10.0,5.0,1.0,11.0,1.0,,,2.0,1.0,2.0,,1.0,,,,3.0,8.0,1.0,1.0,1.0,,,76.0,2022-06-14
Brisbane Lions,2022,3,Essendon,17,L,29,8.0,1.0,3.0,11.0,,,,,2.0,2.0,2.0,3.0,,,,2.0,9.0,,,,,,76.0,2022-06-21
Brisbane Lions,2023,4↓,Port Adelaide,1,L,29,2.0,1.0,5.0,7.0,,,,,,2.0,1.0,,,,,5.0,2.0,,,,,,52.0,2023-03-01
Brisbane Lions,2023,5↑,Gold Coast,20,L,29,3.0,1.0,2.0,5.0,,,,,,1.0,,1.0,,1.0,,1.0,4.0,,,,,,20.0,2023-07-12
Brisbane Lions,2024,6↑,North Melbourne,5,W,29,,,5.0,5.0,,,,2.0,,,1.0,,,,,2.0,3.0,,,,,,16.0,2024-03-29
Brisbane Lions,2024,7,Melbourne,6,W,29,,,,,,,,,,,,,,,,,,,,,,,,2024-04-05
Brisbane Lions,2024,8,Geelong,7,L,29,3.0,,8.0,11.0,,,,3.0,,1.0,2.0,,,,,7.0,6.0,,,1.0,,,65.0,2024-04-12
Brisbane Lions,2024,9↑,Greater Western Sydney,8,L,29,2.0,2.0,2.0,4.0,,,,,1.0,1.0,1.0,,,,,2.0,2.0,,,,,,33.0,2024-04-19
Brisbane Lions,2025,10,Collingwood,7,L,29,9.0,3.0,6.0,15.0,,,,3.0,2.0,1.0,1.0,2.0,2.0,1.0,,3.0,13.0,,,1.0,,,58.0,2025-04-12
Brisbane Lions,2025,11↑,St Kilda,8,W,29,5.0,,,5.0,,,,,1.0,1.0,,,,,,2.0,3.0,,,,,,28.0,2025-04-19
Brisbane Lions,2025,12↑,Hawthorn,25,W,29,3.0,3.0,,3.0,,,,,1.0,1.0,,,,,,,3.0,,,,,,12.0,2025-08-16
Brisbane Lions,2026,13,Sydney,2,L,29,7.0,7.0,9.0,16.0,1.0,,,,2.0,,,2.0,,,,4.0,12.0,,1.0,,,,76.0,2026-03-08
Brisbane Lions,2026,14,Collingwood,5,W,29,4.0,4.0,1.0,5.0,,2.0,,,,,,,,,,1.0,4.0,1.0,2.0,,,,66.0,2026-03-29
Brisbane Lions,2026,15,Adelaide,8,W,29,11.0,7.0,5.0,16.0,,,,,,3.0,2.0,1.0,,,,6.0,10.0,,,2.0,,1.0,77.0,2026-04-19
Brisbane Lions,2026,16,Geelong,11,L,29,4.0,1.0,5.0,9.0,,,,1.0,1.0,,,1.0,,,,4.0,5.0,,,2.0,,,69.0,2026-05-10
Brisbane Lions,2026,17,Greater Western Sydney,12,L,29,11.0,5.0,4.0,15.0,,,,1.0,6.0,2.0,1.0,1.0,1.0,,,4.0,11.0,,,5.0,1.0,,87.0,2026-05-17
Brisbane Lions,2026,18,Gold Coast,14,W,29,5.0,1.0,5.0,10.0,1.0,,,,,,1.0,3.0,,1.0,,4.0,5.0,,,2.0,,,77.0,2026-05-31
Brisbane Lions,2026,19,Richmond,15,W,29,11.0,4.0,3.0,14.0,,,,4.0,1.0,2.0,1.0,,,,,4.0,11.0,,,1.0,,,77.0,2026-06-07
Brisbane Lions,2026,20,Sydney,17,W,29,7,5,5,12,,,,,1,3,,1,,,,5,7,,,2,,,74,2026-06-21
