team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Carlton,2011,1↑,Port Adelaide,11,W,42,3,2.0,,3,,,,,2.0,,,3.0,,1.0,,2.0,2,,,4.0,1.0,,32,2011-05-10
Carlton,2011,2,Brisbane Lions,12,W,42,13,3.0,7.0,20,1.0,,,1.0,3.0,2.0,1.0,,1.0,,,4.0,16,,,3.0,,,96,2011-05-17
Carlton,2011,3,Sydney,13,W,42,8,3.0,3.0,11,,,,,2.0,,,1.0,,,,4.0,6,,,3.0,2.0,,92,2011-05-24
Carlton,2011,4,West Coast,14,L,42,7,4.0,5.0,12,,1.0,,3.0,1.0,2.0,,2.0,2.0,2.0,,6.0,8,1.0,,4.0,1.0,,82,2011-05-31
Carlton,2011,5,Richmond,15,W,42,4,1.0,7.0,11,,,,1.0,3.0,1.0,1.0,2.0,1.0,2.0,,4.0,6,,,2.0,,,90,2011-06-07
Carlton,2011,6,Essendon,18,W,42,4,4.0,9.0,13,,,,,,1.0,2.0,,,,,5.0,8,,,2.0,,,93,2011-06-28
Carlton,2011,7,North Melbourne,19,W,42,8,3.0,6.0,14,,,,,4.0,1.0,,2.0,1.0,,,5.0,9,,,3.0,,,91,2011-07-05
Carlton,2011,8,Melbourne,20,W,42,11,3.0,8.0,19,,,,3.0,4.0,2.0,2.0,2.0,1.0,1.0,,8.0,9,1.0,,2.0,1.0,,90,2011-07-12
Carlton,2011,9↑,Fremantle,21,W,42,2,2.0,3.0,5,,,,1.0,,,,1.0,,1.0,,2.0,3,,,1.0,,,27,2011-07-19
Carlton,2011,10,St Kilda,24,L,42,8,5.0,12.0,20,1.0,,,,5.0,5.0,1.0,1.0,,,,4.0,16,,,,4.0,1.0,85,2011-08-09
Carlton,2011,11↑,West Coast,SF,L,42,6,1.0,4.0,10,1.0,,,,1.0,2.0,2.0,1.0,,,,4.0,4,1.0,,1.0,,,45,2011-03-01
Carlton,2012,12,Richmond,1,W,42,6,3.0,7.0,13,,,,4.0,3.0,1.0,,2.0,,,,4.0,9,,,2.0,,,87,2012-03-01
Carlton,2012,13,Brisbane Lions,2,W,42,9,3.0,4.0,13,1.0,,,4.0,4.0,2.0,1.0,,1.0,,,7.0,7,2.0,,4.0,,,90,2012-03-08
Carlton,2012,14,Collingwood,3,W,42,7,1.0,4.0,11,1.0,1.0,,1.0,2.0,1.0,,,,,,3.0,7,,1.0,2.0,,,91,2012-03-15
Carlton,2012,15,Essendon,4,L,42,7,2.0,4.0,11,,,,5.0,2.0,1.0,,5.0,,2.0,,3.0,6,,,2.0,,,95,2012-03-22
Carlton,2012,16↓,Fremantle,5,W,42,9,5.0,3.0,12,,,,2.0,1.0,1.0,,3.0,1.0,2.0,,3.0,9,,,,,,70,2012-03-29
Carlton,2012,17,Greater Western Sydney,6,W,42,4,2.0,9.0,13,,,,3.0,1.0,2.0,,2.0,,1.0,,2.0,10,,,3.0,1.0,,91,2012-04-05
Carlton,2012,18,St Kilda,7,L,42,3,,7.0,10,,,,4.0,2.0,,1.0,2.0,1.0,1.0,,9.0,1,,,3.0,,,87,2012-04-12
Carlton,2012,19,Adelaide,8,L,42,6,1.0,2.0,8,,,,3.0,3.0,,,2.0,,1.0,,1.0,4,,,4.0,,,87,2012-04-19
Carlton,2012,20,Melbourne,9,W,42,5,2.0,5.0,10,1.0,,,6.0,1.0,2.0,,2.0,,2.0,,2.0,8,,,6.0,2.0,,90,2012-04-26
Carlton,2012,21,Port Adelaide,10,L,42,10,5.0,4.0,14,,,,2.0,3.0,3.0,,1.0,,,,1.0,12,,,5.0,,,86,2012-05-03
Carlton,2012,22,Geelong,11,L,42,8,2.0,6.0,14,1.0,,,3.0,4.0,3.0,1.0,2.0,3.0,2.0,,6.0,10,,,1.0,1.0,1.0,80,2012-05-10
Carlton,2012,23,West Coast,12,L,42,8,1.0,2.0,10,1.0,,,4.0,3.0,1.0,,6.0,,2.0,,2.0,7,,1.0,5.0,,,89,2012-05-17
Carlton,2012,24,Hawthorn,14,L,42,6,3.0,4.0,10,,,,2.0,1.0,1.0,,1.0,1.0,1.0,,5.0,5,,,1.0,,,82,2012-05-31
Carlton,2012,25,Collingwood,15,W,42,5,1.0,5.0,10,,,,5.0,2.0,,,1.0,,,,5.0,5,1.0,,4.0,,,87,2012-06-07
Carlton,2012,26,Richmond,18,W,42,7,1.0,4.0,11,,,,1.0,3.0,2.0,,1.0,,1.0,,5.0,6,,,1.0,,,76,2012-06-28
Carlton,2012,27,Sydney,19,L,42,4,2.0,1.0,5,,,,3.0,2.0,,,2.0,,2.0,,1.0,4,,,2.0,3.0,,89,2012-07-05
Carlton,2012,28,Brisbane Lions,20,W,42,8,2.0,3.0,11,,,,3.0,3.0,3.0,1.0,2.0,,1.0,,3.0,8,,,4.0,,1.0,94,2012-07-12
Carlton,2012,29,Essendon,21,W,42,5,,2.0,7,,,,3.0,,1.0,1.0,3.0,,2.0,,3.0,5,,,3.0,2.0,,90,2012-07-19
Carlton,2012,30,Gold Coast,22,L,42,12,3.0,3.0,15,,,,2.0,2.0,4.0,3.0,4.0,1.0,,,8.0,6,,,1.0,,,90,2012-07-26
Carlton,2013,31,Richmond,1,L,42,7,2.0,2.0,9,,,,2.0,2.0,1.0,,1.0,1.0,,,3.0,6,,,3.0,1.0,,94,2013-03-01
Carlton,2013,32,Collingwood,2,L,42,7,1.0,1.0,8,,,,4.0,4.0,,,1.0,,1.0,,4.0,3,,,4.0,1.0,,92,2013-03-08
Carlton,2013,33,Geelong,3,L,42,10,2.0,10.0,20,,1.0,,2.0,5.0,1.0,1.0,5.0,,2.0,,15.0,6,1.0,,2.0,,,97,2013-03-15
Carlton,2013,34,West Coast,4,W,42,11,2.0,6.0,17,,,,3.0,3.0,2.0,2.0,,,,,6.0,11,,,2.0,,,88,2013-03-22
Carlton,2013,35,Adelaide,5,W,42,7,3.0,5.0,12,,1.0,,3.0,3.0,3.0,,,1.0,,,7.0,5,1.0,,7.0,,1.0,90,2013-03-29
Carlton,2013,36,Melbourne,6,W,42,8,3.0,7.0,15,,,,2.0,3.0,2.0,,4.0,,2.0,,6.0,8,,,5.0,1.0,,95,2013-04-05
Carlton,2013,37,St Kilda,7,L,42,5,1.0,4.0,9,,1.0,,2.0,,2.0,1.0,,,,,2.0,7,,,2.0,,,96,2013-04-12
Carlton,2013,38,Port Adelaide,8,W,42,7,1.0,6.0,13,,,,2.0,3.0,1.0,1.0,,,,,7.0,6,,,1.0,2.0,,95,2013-04-19
Carlton,2013,39,Brisbane Lions,9,W,42,6,3.0,4.0,10,,,,2.0,1.0,,,1.0,,,,5.0,5,1.0,,,1.0,,99,2013-04-26
Carlton,2013,40,Greater Western Sydney,10,W,42,10,3.0,7.0,17,2.0,,,4.0,3.0,2.0,2.0,1.0,,,,5.0,11,,,2.0,,,92,2013-05-03
Carlton,2013,41,Essendon,11,L,42,10,3.0,6.0,16,,,,2.0,1.0,2.0,1.0,2.0,,,,8.0,8,1.0,,,,,94,2013-05-10
Carlton,2013,42,Hawthorn,12,L,42,7,,6.0,13,1.0,1.0,,5.0,,2.0,2.0,1.0,,,,5.0,8,,,2.0,3.0,,88,2013-05-17
Carlton,2013,43,Sydney,14,L,42,8,2.0,4.0,12,1.0,,,4.0,4.0,1.0,1.0,2.0,,,,7.0,1,2.0,,1.0,,,95,2013-05-31
Carlton,2013,44,Collingwood,15,L,42,4,1.0,8.0,12,,1.0,,1.0,2.0,1.0,,2.0,,1.0,,6.0,6,,,2.0,3.0,,89,2013-06-07
Carlton,2013,45,St Kilda,16,W,42,7,1.0,3.0,10,1.0,,,3.0,2.0,,1.0,1.0,,,,7.0,3,1.0,,,1.0,,93,2013-06-14
Carlton,2013,46,North Melbourne,17,W,42,10,4.0,2.0,12,2.0,,,2.0,4.0,3.0,1.0,1.0,,1.0,,6.0,5,1.0,,3.0,1.0,,91,2013-06-21
Carlton,2013,47,Gold Coast,18,W,42,7,3.0,9.0,16,,,,3.0,1.0,1.0,,,,,,7.0,9,,,2.0,2.0,,94,2013-06-28
Carlton,2013,48,Fremantle,19,L,42,9,6.0,7.0,16,3.0,,,3.0,3.0,3.0,1.0,1.0,,1.0,,4.0,12,1.0,,5.0,,,95,2013-07-05
Carlton,2013,49,Western Bulldogs,20,L,42,4,2.0,5.0,9,1.0,,,1.0,2.0,2.0,,,2.0,,,6.0,4,,,4.0,1.0,,98,2013-07-12
Carlton,2013,50,Richmond,21,W,42,6,1.0,5.0,11,1.0,,,6.0,4.0,2.0,1.0,,,,,3.0,9,,,3.0,1.0,,96,2013-07-19
Carlton,2013,51,Essendon,22,L,42,9,1.0,4.0,13,1.0,3.0,,1.0,3.0,,1.0,2.0,1.0,,,5.0,8,,,5.0,,,94,2013-07-26
Carlton,2013,52,Port Adelaide,23,W,42,4,,3.0,7,,,,2.0,2.0,1.0,,2.0,1.0,,,5.0,2,,,2.0,,,94,2013-08-02
Carlton,2013,53,Richmond,EF,W,42,8,3.0,5.0,13,,,,1.0,4.0,,,1.0,,,,3.0,8,,,4.0,,,95,2013-03-01
Carlton,2013,54,Sydney,SF,L,42,11,3.0,4.0,15,,1.0,,1.0,4.0,3.0,1.0,,2.0,,,8.0,7,1.0,,1.0,1.0,,90,2013-03-01
Carlton,2014,55,Port Adelaide,1,L,42,7,1.0,6.0,13,,1.0,,2.0,3.0,2.0,2.0,1.0,,1.0,,2.0,10,,,4.0,,1.0,93,2014-03-01
Carlton,2014,56,Richmond,2,L,42,7,4.0,3.0,10,,,,2.0,3.0,2.0,,,,,,3.0,5,,,2.0,,,96,2014-03-08
Carlton,2014,57,Essendon,3,L,42,8,1.0,7.0,15,1.0,,,3.0,2.0,1.0,2.0,3.0,1.0,1.0,,8.0,7,,,3.0,,,93,2014-03-15
Carlton,2014,58,Melbourne,4,L,42,7,2.0,3.0,10,,,,2.0,1.0,,,4.0,,2.0,,2.0,8,,,3.0,,,92,2014-03-22
Carlton,2014,59,Western Bulldogs,5,W,42,11,2.0,7.0,18,,,,2.0,5.0,3.0,1.0,4.0,,1.0,,6.0,12,,,4.0,,,96,2014-03-29
