team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Western Bulldogs,2020,1,St Kilda,2,L,23,6.0,3.0,4.0,10.0,1.0,1.0,,2.0,1.0,1.0,,3.0,,1.0,,2.0,9.0,1.0,2.0,1.0,,,72.0,2020-03-08
Western Bulldogs,2020,2,Greater Western Sydney,3,W,23,5.0,2.0,5.0,10.0,,,,3.0,1.0,2.0,1.0,2.0,,2.0,,2.0,8.0,,1.0,1.0,,,76.0,2020-03-15
Western Bulldogs,2020,3,Sydney,4,W,23,6.0,5.0,1.0,7.0,1.0,1.0,,,,3.0,,,,,,3.0,4.0,2.0,2.0,,,,76.0,2020-03-22
Western Bulldogs,2020,4,North Melbourne,5,W,23,9.0,3.0,4.0,13.0,1.0,,,6.0,1.0,6.0,3.0,2.0,2.0,,,6.0,7.0,,1.0,,,1.0,62.0,2020-03-29
Western Bulldogs,2020,5,Carlton,6,L,23,9.0,4.0,5.0,14.0,2.0,2.0,,2.0,,2.0,1.0,4.0,1.0,,,3.0,12.0,,3.0,,,,83.0,2020-04-05
Western Bulldogs,2020,6,Essendon,7,W,23,5.0,1.0,2.0,7.0,1.0,,,3.0,,4.0,,1.0,1.0,,,3.0,4.0,,,1.0,,1.0,74.0,2020-04-12
Western Bulldogs,2020,7,Gold Coast,8,W,23,7.0,3.0,5.0,12.0,,1.0,,1.0,,4.0,,4.0,,1.0,,1.0,10.0,,1.0,1.0,,,72.0,2020-04-19
Western Bulldogs,2020,8,Richmond,9,L,23,5.0,1.0,3.0,8.0,2.0,,,4.0,,2.0,,3.0,1.0,3.0,,1.0,8.0,,1.0,,,,85.0,2020-04-26
Western Bulldogs,2020,9,Port Adelaide,10,L,23,6.0,2.0,3.0,9.0,,4.0,,1.0,,3.0,1.0,,,,,1.0,8.0,,2.0,,,,80.0,2020-05-03
Western Bulldogs,2020,10,Brisbane Lions,11,L,23,7.0,4.0,6.0,13.0,,,,3.0,1.0,4.0,,1.0,1.0,1.0,,2.0,12.0,,,1.0,,,71.0,2020-05-10
Western Bulldogs,2020,11,Melbourne,13,W,23,7.0,3.0,6.0,13.0,1.0,,,,,1.0,,4.0,1.0,3.0,,5.0,11.0,,1.0,2.0,,,76.0,2020-05-24
Western Bulldogs,2020,12,Geelong,14,L,23,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,11.0,2020-05-31
Western Bulldogs,2021,13,Collingwood,1,W,23,5.0,1.0,9.0,14.0,2.0,,,4.0,,2.0,1.0,,1.0,,,9.0,7.0,,,3.0,,,76.0,2021-03-01
Western Bulldogs,2021,14,West Coast,2,W,23,5.0,3.0,5.0,10.0,1.0,2.0,,2.0,,2.0,,2.0,1.0,1.0,,3.0,8.0,1.0,3.0,1.0,1.0,3.0,78.0,2021-03-08
Western Bulldogs,2021,15,North Melbourne,3,W,23,5.0,3.0,4.0,9.0,,2.0,,2.0,,2.0,,2.0,1.0,,,5.0,4.0,1.0,2.0,,,2.0,74.0,2021-03-15
Western Bulldogs,2021,16,Brisbane Lions,4,W,23,2.0,,4.0,6.0,,,,2.0,,1.0,,4.0,,2.0,,3.0,3.0,,,2.0,,,65.0,2021-03-22
Western Bulldogs,2021,17,Greater Western Sydney,6,W,23,4.0,1.0,4.0,8.0,,,,2.0,,3.0,1.0,1.0,,,,3.0,7.0,,,,,1.0,66.0,2021-04-05
Western Bulldogs,2021,18,Hawthorn,22,L,23,4.0,4.0,5.0,9.0,,1.0,,3.0,,1.0,,5.0,,3.0,,4.0,5.0,1.0,1.0,,,,80.0,2021-07-26
Western Bulldogs,2021,19,Port Adelaide,23,L,23,8.0,6.0,6.0,14.0,1.0,,,2.0,,2.0,,2.0,1.0,,,4.0,10.0,,,1.0,,,79.0,2021-08-02
Western Bulldogs,2021,20,Essendon,EF,W,23,6.0,4.0,4.0,10.0,1.0,1.0,,3.0,,2.0,,2.0,1.0,1.0,,4.0,5.0,,1.0,,,1.0,78.0,2021-03-01
Western Bulldogs,2021,21,Brisbane Lions,SF,W,23,5.0,,5.0,10.0,,2.0,,4.0,,3.0,,2.0,1.0,1.0,,8.0,3.0,,,1.0,,,76.0,2021-03-01
Western Bulldogs,2021,22↓,Port Adelaide,PF,W,23,2.0,2.0,4.0,6.0,1.0,,,2.0,,2.0,,1.0,,1.0,,6.0,1.0,1.0,1.0,1.0,,1.0,59.0,2021-03-01
