team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Melbourne,2013,1,Port Adelaide,1,L,7,16,4.0,6,22,1.0,1.0,,2.0,3.0,2.0,6.0,3.0,2.0,1.0,,16,7,1.0,1.0,,1.0,1.0,77,2013-03-01
Melbourne,2013,2,Essendon,2,L,7,9,4.0,5,14,,1.0,,3.0,,4.0,5.0,3.0,,1.0,,8,6,1.0,,,,,65,2013-03-08
Melbourne,2013,3,West Coast,3,L,7,7,3.0,10,17,,,,5.0,2.0,1.0,4.0,4.0,2.0,3.0,,8,10,,,,,2.0,69,2013-03-15
Melbourne,2013,4↓,Greater Western Sydney,4,W,7,3,,2,5,,,,2.0,,,,3.0,,1.0,,3,2,,,,,,49,2013-03-22
Melbourne,2013,5,Carlton,6,L,7,8,2.0,1,9,,2.0,,5.0,,3.0,3.0,1.0,,,,3,6,,2.0,,,,77,2013-04-05
Melbourne,2013,6,Gold Coast,7,L,7,11,3.0,12,23,,,,6.0,1.0,3.0,7.0,3.0,3.0,2.0,,14,9,,,1.0,,,68,2013-04-12
Melbourne,2013,7,Brisbane Lions,17,L,7,14,5.0,7,21,,,,1.0,3.0,3.0,9.0,3.0,3.0,1.0,,12,9,,1.0,1.0,,,75,2013-06-21
Melbourne,2013,8,North Melbourne,18,L,7,6,1.0,8,14,,,,7.0,1.0,,6.0,3.0,,1.0,,9,5,,,1.0,,,77,2013-06-28
Melbourne,2013,9,Greater Western Sydney,19,L,7,9,4.0,13,22,,,,2.0,,5.0,4.0,1.0,1.0,1.0,,12,12,1.0,,,,,78,2013-07-05
Melbourne,2013,10,Gold Coast,20,L,7,7,2.0,17,24,,,,1.0,2.0,2.0,8.0,1.0,1.0,,2.0,12,13,,,1.0,,,76,2013-07-12
Melbourne,2013,11,Fremantle,21,L,7,14,5.0,14,28,1.0,,,5.0,3.0,1.0,4.0,3.0,4.0,,,12,16,,1.0,,,,82,2013-07-19
Melbourne,2013,12,Adelaide,22,L,7,6,3.0,6,12,,,,9.0,,1.0,1.0,1.0,2.0,,,5,7,,,,,,78,2013-07-26
Melbourne,2013,13,Western Bulldogs,23,L,7,8,1.0,8,16,1.0,,,6.0,1.0,2.0,1.0,4.0,1.0,3.0,,6,9,,,2.0,3.0,,72,2013-08-02
Melbourne,2014,14,Greater Western Sydney,3,L,7,7,1.0,5,12,,,,8.0,,1.0,2.0,4.0,1.0,3.0,,6,7,,,,,,72,2014-03-15
Melbourne,2014,15,Carlton,4,W,7,11,4.0,10,21,,,,5.0,1.0,4.0,4.0,4.0,,1.0,,9,12,,,1.0,,,66,2014-03-22
Melbourne,2014,16,Gold Coast,5,L,7,13,1.0,11,24,1.0,,,,2.0,2.0,5.0,3.0,2.0,,,11,13,,,2.0,2.0,,79,2014-03-29
Melbourne,2014,17,Sydney,6,L,7,12,2.0,8,20,,1.0,,7.0,1.0,1.0,2.0,6.0,1.0,3.0,,8,13,,,,,,88,2014-04-05
Melbourne,2014,18,Adelaide,7,W,7,13,2.0,10,23,1.0,,,4.0,2.0,5.0,7.0,3.0,2.0,1.0,,12,11,,,1.0,,,71,2014-04-12
Melbourne,2014,19,Western Bulldogs,8,L,7,7,1.0,14,21,,1.0,,9.0,1.0,3.0,2.0,,3.0,,,14,7,,,1.0,,1.0,87,2014-04-19
Melbourne,2014,20,Richmond,9,W,7,9,3.0,15,24,1.0,,,6.0,,1.0,2.0,2.0,,1.0,,10,15,,,1.0,,1.0,75,2014-04-26
Melbourne,2014,21,Port Adelaide,11,L,7,12,,13,25,,1.0,,4.0,,3.0,3.0,1.0,2.0,1.0,,11,15,,,,,1.0,83,2014-05-10
Melbourne,2014,22,Collingwood,12,L,7,11,6.0,9,20,,,,2.0,2.0,3.0,3.0,3.0,,,,5,13,,1.0,1.0,,,82,2014-05-17
