team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Fremantle,2024,1,Western Bulldogs,8,W,38,5,5,6.0,11,1.0,1.0,,1.0,,2.0,,3,,2.0,,6,6,,3,2.0,,2.0,88,2024-04-19
Fremantle,2024,2,Sydney,10,L,38,6,3,,6,,3.0,,1.0,,2.0,,1,1.0,1.0,,1,5,,2,,,,89,2024-05-03
Fremantle,2024,3,St Kilda,11,W,38,4,4,8.0,12,1.0,3.0,,2.0,,,,3,,1.0,,5,7,,4,,,,88,2024-05-10
Fremantle,2024,4,Hawthorn,19,L,38,4,5,4.0,8,1.0,3.0,,,,,,2,,,,5,3,2.0,4,,,,86,2024-07-05
Fremantle,2024,5,Geelong,23,L,38,5,2,1.0,6,,,3.0,1.0,,1.0,,5,,2.0,,4,3,,1,,,1.0,79,2024-08-02
Fremantle,2024,6,Greater Western Sydney,24,L,38,4,3,2.0,6,2.0,,,2.0,,1.0,,2,,,,3,3,1.0,1,,,1.0,88,2024-08-09
Fremantle,2024,7,Port Adelaide,25,L,38,4,2,3.0,7,2.0,1.0,,3.0,,1.0,,2,,2.0,,3,5,,2,2.0,,,91,2024-08-16
Fremantle,2025,8,Sydney,3,L,20,9,6,4,13,1,3,1,1,1,1,,6,,1,,6,7,,4,2,,,75,2025-03-15
Fremantle,2025,9,West Coast,4,W,20,9,7,3,12,1,3,3,1,,2,,6,2,3,,5,7,2,6,,,1,78,2025-03-22
Fremantle,2025,10,Western Bulldogs,5,W,20,3,,6,9,,1,6,5,2,1,3,2,2,1,,7,2,,,,,1,83,2025-03-29
