team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Fremantle,2021,1,Gold Coast,13,W,31,8.0,4.0,5.0,13,,,,3.0,1.0,1.0,,2.0,,1.0,,3.0,10,,,4.0,1.0,,76,2021-05-24
Fremantle,2021,2,Collingwood,15,W,31,8.0,4.0,2.0,10,,1.0,,,1.0,2.0,1.0,3.0,,1.0,,2.0,8,,,3.0,,1.0,78,2021-06-07
Fremantle,2021,3,Carlton,16,L,31,9.0,5.0,2.0,11,,,,1.0,,1.0,,4.0,,1.0,,1.0,11,,1.0,5.0,,1.0,79,2021-06-14
Fremantle,2021,4,Hawthorn,17,W,31,4.0,2.0,5.0,9,,,,1.0,,2.0,,2.0,,,,5.0,4,,,2.0,1.0,,78,2021-06-21
Fremantle,2021,5↑,Geelong,18,L,31,4.0,1.0,1.0,5,,,,1.0,1.0,2.0,,,1.0,,,,5,,,,,,43,2021-06-28
Fremantle,2021,6,Sydney,19,L,31,5.0,3.0,4.0,9,,,,2.0,1.0,1.0,,,,,,4.0,6,,,,2.0,,80,2021-07-05
Fremantle,2021,7,Richmond,20,W,31,3.0,2.0,2.0,5,,,,1.0,1.0,1.0,,1.0,,1.0,,2.0,4,,,2.0,,,62,2021-07-12
Fremantle,2021,8,Brisbane Lions,21,L,31,10.0,6.0,5.0,15,,,,3.0,3.0,4.0,,4.0,,,,5.0,9,1.0,,3.0,,,76,2021-07-19
Fremantle,2021,9,West Coast,22,W,31,10.0,5.0,3.0,13,,1.0,,1.0,1.0,1.0,,1.0,,,,5.0,8,2.0,,1.0,1.0,,77,2021-07-26
Fremantle,2021,10,St Kilda,23,L,31,11.0,4.0,3.0,14,,1.0,,4.0,2.0,3.0,,2.0,,,,,14,,1.0,2.0,3.0,,82,2021-08-02
Fremantle,2022,11,West Coast,3,W,31,11.0,4.0,4.0,15,,,,4.0,1.0,1.0,2.0,3.0,3.0,1.0,,8.0,10,,,4.0,,,75,2022-03-15
Fremantle,2022,12,Greater Western Sydney,4,W,31,3.0,2.0,5.0,8,,,,3.0,2.0,2.0,,3.0,,3.0,,1.0,9,,,2.0,1.0,1.0,74,2022-03-22
Fremantle,2022,13,Essendon,5,W,31,7.0,2.0,7.0,14,,,,,2.0,1.0,1.0,7.0,,3.0,,5.0,9,,,1.0,,,79,2022-03-29
Fremantle,2022,14,Carlton,6,W,31,11.0,3.0,6.0,17,,,,2.0,2.0,1.0,,1.0,1.0,,,5.0,12,,,4.0,,,84,2022-04-05
Fremantle,2022,15,Geelong,7,W,31,6.0,1.0,3.0,9,,,,2.0,1.0,2.0,,4.0,,2.0,,4.0,5,,,2.0,,,78,2022-04-12
Fremantle,2022,16,North Melbourne,8,W,31,10.0,3.0,3.0,13,,,,3.0,1.0,3.0,,1.0,1.0,,,,12,,,1.0,2.0,1.0,80,2022-04-19
Fremantle,2022,17↑,Gold Coast,9,L,31,2.0,,,2,,,,2.0,,1.0,,,1.0,,,1.0,2,,,,,,14,2022-04-26
Fremantle,2022,18,Melbourne,11,W,31,11.0,9.0,5.0,16,,,,1.0,2.0,,,2.0,,2.0,,4.0,12,1.0,,,,,88,2022-05-10
Fremantle,2022,19,Brisbane Lions,12,W,31,9.0,5.0,5.0,14,,,,1.0,2.0,,,5.0,,1.0,,5.0,10,,,8.0,,,91,2022-05-17
Fremantle,2022,20,Hawthorn,13,W,31,8.0,2.0,8.0,16,1.0,,,6.0,2.0,,1.0,3.0,3.0,3.0,,5.0,11,,,,,,85,2022-05-24
Fremantle,2022,21,Carlton,15,L,31,8.0,4.0,6.0,14,,,,3.0,2.0,1.0,1.0,,,,,2.0,12,,,4.0,,,78,2022-06-07
Fremantle,2022,22,Port Adelaide,16,W,31,12.0,4.0,8.0,20,,,,2.0,,3.0,,2.0,,,,3.0,17,,,,,,87,2022-06-14
Fremantle,2022,23,St Kilda,17,W,31,7.0,3.0,7.0,14,,,,5.0,3.0,,3.0,3.0,,1.0,,4.0,11,,,3.0,,1.0,79,2022-06-21
Fremantle,2022,24,Sydney,18,L,31,9.0,5.0,6.0,15,,,,1.0,4.0,,,7.0,,3.0,,3.0,12,,,1.0,,,91,2022-06-28
Fremantle,2022,25,Richmond,19,D,31,13.0,6.0,3.0,16,,,,1.0,,5.0,,2.0,1.0,1.0,,4.0,12,,,2.0,,,71,2022-07-05
Fremantle,2022,26,Melbourne,20,L,31,11.0,3.0,5.0,16,,1.0,,3.0,4.0,2.0,1.0,2.0,,,,6.0,9,,,1.0,1.0,,81,2022-07-12
Fremantle,2022,27,Western Bulldogs,21,W,31,11.0,4.0,2.0,13,,,,,1.0,,,4.0,,,,1.0,11,,,3.0,,,77,2022-07-19
Fremantle,2022,28,West Coast,22,W,31,12.0,2.0,10.0,22,,,,2.0,3.0,2.0,2.0,2.0,2.0,1.0,,8.0,13,,,2.0,1.0,,79,2022-07-26
Fremantle,2022,29,Greater Western Sydney,23,W,31,11.0,5.0,3.0,14,,,,,2.0,3.0,,2.0,,,,3.0,11,1.0,,1.0,,,76,2022-08-02
Fremantle,2022,30,Western Bulldogs,EF,W,31,5.0,,4.0,9,,,,,2.0,1.0,1.0,6.0,,1.0,,4.0,5,,,3.0,,,76,2022-03-01
Fremantle,2022,31,Collingwood,SF,L,31,9.0,,10.0,19,,,,2.0,2.0,,1.0,6.0,,1.0,,5.0,12,,,,,,65,2022-03-01
Fremantle,2023,32,Adelaide,4,L,31,7.0,2.0,5.0,12,,,,,3.0,1.0,,5.0,1.0,2.0,,5.0,7,,,4.0,,,75,2023-03-22
Fremantle,2023,33,Gold Coast,5,W,31,9.0,4.0,7.0,16,,,,,1.0,1.0,,2.0,,1.0,,,16,,,,,,86,2023-03-29
Fremantle,2023,34,Western Bulldogs,6,L,31,4.0,3.0,4.0,8,,,,,1.0,,,1.0,,1.0,,3.0,5,1.0,,2.0,,,80,2023-04-05
Fremantle,2023,35,Brisbane Lions,7,L,31,8.0,3.0,6.0,14,,,,1.0,2.0,1.0,,3.0,,1.0,,3.0,12,,,2.0,,,86,2023-04-12
Fremantle,2023,36,Hawthorn,8,W,31,9.0,5.0,4.0,13,,,,2.0,2.0,2.0,,1.0,2.0,,,4.0,9,,,2.0,,,82,2023-04-19
Fremantle,2023,37,Sydney,9,W,31,7.0,3.0,2.0,9,,,,1.0,4.0,,,3.0,1.0,2.0,,3.0,4,,,6.0,,,89,2023-04-26
Fremantle,2023,38,Geelong,10,W,31,5.0,3.0,4.0,9,,,,1.0,1.0,1.0,,2.0,,2.0,,5.0,7,1.0,,1.0,,,86,2023-05-03
Fremantle,2023,39,Melbourne,11,W,31,7.0,5.0,1.0,8,,,,1.0,,1.0,,6.0,,4.0,,6.0,6,,,2.0,,,90,2023-05-10
Fremantle,2023,40,Richmond,13,L,31,6.0,1.0,3.0,9,,,,1.0,3.0,,,1.0,1.0,,,4.0,5,,,4.0,,,86,2023-05-24
Fremantle,2023,41,Greater Western Sydney,14,L,31,12.0,4.0,3.0,15,,,,4.0,7.0,2.0,,1.0,,,,1.0,14,,,2.0,,,76,2023-05-31
Fremantle,2023,42,Essendon,15,W,31,8.0,4.0,5.0,13,,,,3.0,1.0,,,1.0,1.0,1.0,,7.0,7,1.0,,,,,79,2023-06-07
Fremantle,2023,43,Western Bulldogs,16,L,31,9.0,3.0,5.0,14,,,,4.0,2.0,1.0,,2.0,1.0,1.0,,5.0,9,1.0,,4.0,,,80,2023-06-14
Fremantle,2023,44,Carlton,17,L,31,2.0,1.0,1.0,3,,,,1.0,1.0,,,2.0,,1.0,,,3,,,1.0,,,82,2023-06-21
Fremantle,2023,45↓,Collingwood,18,L,31,,,2.0,2,,,,,,,,1.0,,,,2.0,1,,,,,,52,2023-06-28
Fremantle,2024,46,North Melbourne,3,W,31,8.0,3.0,3.0,11,,,,1.0,2.0,,,1.0,3.0,1.0,,4.0,7,,,4.0,3.0,,70,2024-03-15
Fremantle,2024,47,Adelaide,4,W,31,10.0,6.0,2.0,12,,,,2.0,2.0,1.0,,4.0,1.0,2.0,,2.0,12,,,5.0,,,84,2024-03-22
Fremantle,2024,48,Carlton,5,L,31,2.0,1.0,7.0,9,,,,4.0,1.0,1.0,,2.0,,1.0,,2.0,7,,,2.0,,,83,2024-03-29
Fremantle,2024,49,Port Adelaide,6,L,31,9.0,2.0,3.0,12,,,,1.0,2.0,2.0,,1.0,1.0,,,4.0,7,,,1.0,,1.0,82,2024-04-05
Fremantle,2024,50,West Coast,7,L,31,8.0,3.0,3.0,11,,,,3.0,3.0,,,1.0,1.0,1.0,,4.0,8,,,1.0,,,82,2024-04-12
Fremantle,2024,51,Western Bulldogs,8,W,31,5.0,3.0,5.0,10,,,,,2.0,,2.0,2.0,,,,6.0,4,,,1.0,,,75,2024-04-19
Fremantle,2024,52,Richmond,9,W,31,13.0,8.0,,13,,,,1.0,1.0,3.0,,2.0,,,,,13,,,,,,82,2024-04-26
Fremantle,2024,53,Sydney,10,L,31,12.0,4.0,7.0,19,1.0,,,3.0,3.0,2.0,,4.0,3.0,1.0,,8.0,12,,,2.0,,,84,2024-05-03
Fremantle,2024,54,St Kilda,11,W,31,9.0,5.0,8.0,17,,,,3.0,,1.0,1.0,1.0,1.0,1.0,,2.0,15,,,1.0,1.0,,85,2024-05-10
Fremantle,2024,55,Collingwood,12,D,31,11.0,8.0,6.0,17,,,,3.0,1.0,,,,1.0,,,6.0,12,,,2.0,,,80,2024-05-17
Fremantle,2024,56,Melbourne,13,W,31,10.0,3.0,5.0,15,,,,1.0,4.0,2.0,1.0,1.0,,,,5.0,10,,,3.0,,1.0,94,2024-05-24
Fremantle,2024,57,Western Bulldogs,15,L,31,13.0,5.0,,13,,,,1.0,2.0,4.0,1.0,8.0,,3.0,,3.0,12,,,4.0,1.0,1.0,87,2024-06-07
Fremantle,2024,58,Sydney,17,W,31,10.0,7.0,4.0,14,,,,1.0,4.0,,,2.0,,1.0,,4.0,11,,,1.0,,,88,2024-06-21
Fremantle,2024,59,Melbourne,20,W,31,7.0,2.0,11.0,18,,,,1.0,2.0,,3.0,6.0,,2.0,,8.0,12,1.0,,2.0,,,83,2024-07-12
Fremantle,2024,60,West Coast,21,W,31,8.0,,11.0,19,,,,1.0,2.0,6.0,1.0,1.0,,,,6.0,13,,,1.0,2.0,,86,2024-07-19
Fremantle,2024,61,Essendon,22,L,31,9.0,4.0,7.0,16,,,,3.0,6.0,2.0,,2.0,1.0,1.0,,6.0,10,,,7.0,1.0,1.0,82,2024-07-26
Fremantle,2024,62,Geelong,23,L,31,13.0,5.0,9.0,22,,,,2.0,,3.0,,2.0,3.0,1.0,,8.0,15,,,3.0,,,80,2024-08-02
Fremantle,2024,63,Greater Western Sydney,24,L,31,4.0,,5.0,9,,,,4.0,,1.0,2.0,1.0,1.0,,,4.0,6,,,3.0,1.0,,80,2024-08-09
Fremantle,2024,64,Port Adelaide,25,L,31,6.0,2.0,3.0,9,,,,5.0,2.0,3.0,,2.0,1.0,1.0,,4.0,6,,,2.0,2.0,,98,2024-08-16
Fremantle,2025,65,Geelong,2,L,31,7.0,1.0,6.0,13,,,,5.0,2.0,,1.0,3.0,3.0,1.0,,7.0,7,1.0,,1.0,,,77,2025-03-08
Fremantle,2025,66↓,Sydney,3,L,31,2,,3,5,,,,,1,1,,,,,,2,3,,,1,,,34,2025-03-15
