team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Gold Coast,2024,1,Western Bulldogs,3,L,17,3,1.0,1.0,4,,,,2.0,,2.0,,3.0,1.0,2.0,,4.0,,1.0,,2.0,,1.0,74,2024-03-15
Gold Coast,2024,2,Greater Western Sydney,5,L,17,6,1.0,1.0,7,1.0,2.0,,2.0,1.0,2.0,,3.0,4.0,3.0,,6.0,1.0,1.0,1.0,1.0,,,74,2024-03-29
Gold Coast,2024,3,Hawthorn,6,W,17,3,1.0,2.0,5,2.0,,,1.0,,1.0,,3.0,1.0,1.0,,4.0,1.0,1.0,1.0,1.0,,,66,2024-04-05
Gold Coast,2024,4,Sydney,7,L,17,5,3.0,3.0,8,1.0,1.0,,4.0,,,,2.0,1.0,1.0,,5.0,4.0,,1.0,3.0,,,67,2024-04-12
Gold Coast,2024,5,West Coast,8,W,17,6,4.0,2.0,8,2.0,1.0,,1.0,,1.0,,4.0,,3.0,,3.0,5.0,1.0,2.0,3.0,,,81,2024-04-19
Gold Coast,2024,6,Brisbane Lions,9,L,17,3,1.0,2.0,5,1.0,1.0,,3.0,,,,2.0,1.0,1.0,,5.0,,1.0,1.0,,,,61,2024-04-26
Gold Coast,2024,7,North Melbourne,10,W,17,8,2.0,3.0,11,2.0,4.0,,3.0,,1.0,1.0,4.0,1.0,1.0,,7.0,3.0,,2.0,1.0,,1.0,76,2024-05-03
Gold Coast,2024,8↓,Carlton,12,L,17,1,1.0,,1,,,,,,1.0,,1.0,,,,,2.0,,,,,,35,2024-05-17
Gold Coast,2024,9,Essendon,13,W,17,3,2.0,2.0,5,,1.0,7.0,3.0,,2.0,,1.0,1.0,1.0,,3.0,1.0,1.0,1.0,5.0,,,70,2024-05-24
Gold Coast,2024,10,St Kilda,14,L,17,1,,4.0,5,,,2.0,3.0,,2.0,,1.0,,,,2.0,3.0,,,4.0,,,60,2024-05-31
Gold Coast,2024,11↓,Port Adelaide,19,W,17,1,,,1,,1.0,,2.0,,,,1.0,1.0,,,2.0,,,,1.0,,,58,2024-07-05
Gold Coast,2024,12,Greater Western Sydney,20,L,17,4,2.0,2.0,6,,1.0,4.0,5.0,,3.0,2.0,1.0,1.0,,,5.0,2.0,1.0,1.0,4.0,,,76,2024-07-12
Gold Coast,2024,13↓,Essendon,23,W,17,4,1.0,3.0,7,2.0,,2.0,1.0,,2.0,1.0,2.0,1.0,,,2.0,4.0,,,,,,47,2024-08-02
Gold Coast,2024,14,Melbourne,24,L,17,6,6.0,1.0,7,,2.0,1.0,1.0,,2.0,,2.0,1.0,1.0,,3.0,5.0,1.0,2.0,2.0,,,64,2024-08-09
Gold Coast,2025,15,Melbourne,4,W,4,4,2.0,8.0,12,1.0,,,,,3.0,,3.0,1.0,1.0,,8.0,4.0,,,2.0,,,66,2025-03-22
Gold Coast,2025,16,Adelaide,5,W,4,9,5.0,1.0,10,3.0,2.0,,,,3.0,,2.0,4.0,,,6.0,4.0,2.0,3.0,2.0,,,63,2025-03-29
Gold Coast,2025,17↓,North Melbourne,6,W,4,4,3.0,4.0,8,1.0,1.0,,1.0,,1.0,,2.0,1.0,1.0,,4.0,4.0,1.0,2.0,3.0,,,59,2025-04-05
Gold Coast,2025,18,Richmond,7,L,4,2,1.0,1.0,3,1.0,1.0,,3.0,,,,1.0,1.0,1.0,,2.0,1.0,,1.0,2.0,,,68,2025-04-12
Gold Coast,2025,19,Sydney,8,W,4,5,2.0,1.0,6,3.0,1.0,,4.0,,1.0,,1.0,2.0,1.0,,2.0,3.0,,1.0,1.0,,,75,2025-04-19
Gold Coast,2025,20,Brisbane Lions,9,L,4,2,1.0,6.0,8,1.0,,,1.0,,2.0,,1.0,1.0,,,4.0,4.0,,,1.0,,,72,2025-04-26
Gold Coast,2025,21,Western Bulldogs,10,W,4,2,1.0,3.0,5,,,3.0,1.0,,2.0,,,,,,3.0,2.0,,,5.0,,1.0,77,2025-05-03
Gold Coast,2025,22,Hawthorn,11,W,4,2,2.0,2.0,4,,1.0,,2.0,,1.0,,2.0,,,,4.0,,2.0,1.0,1.0,,1.0,71,2025-05-10
Gold Coast,2025,23,St Kilda,12,W,4,3,2.0,6.0,9,1.0,1.0,,3.0,,2.0,,2.0,1.0,,,7.0,3.0,,1.0,5.0,,,65,2025-05-17
Gold Coast,2025,24,Fremantle,13,L,4,4,2.0,6.0,10,2.0,,,2.0,1.0,1.0,,5.0,2.0,2.0,,8.0,2.0,1.0,,2.0,,,80,2025-05-24
Gold Coast,2025,25,Geelong,14,L,4,3,2.0,4.0,7,1.0,,,1.0,,2.0,,2.0,1.0,2.0,,4.0,4.0,1.0,,4.0,,,77,2025-05-31
Gold Coast,2025,26,Greater Western Sydney,16,L,4,3,,1.0,4,,1.0,,3.0,,1.0,,2.0,3.0,1.0,,4.0,1.0,,,1.0,1.0,,59,2025-06-14
Gold Coast,2025,27,Melbourne,17,W,4,5,4.0,3.0,8,2.0,1.0,,,,2.0,,2.0,,,,6.0,2.0,2.0,1.0,3.0,,,78,2025-06-21
Gold Coast,2025,28,Essendon,18,W,4,8,7,2,10,1,1,,1,,3,,5,1,4,,3,8,2,2,1,,,74,2025-06-28
