team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Fremantle,2009,1,Port Adelaide,11,L,38,9.0,6.0,5.0,14,1.0,,,3.0,,4.0,,2.0,,1.0,,2.0,11.0,,2.0,4.0,,2.0,76,2009-05-10
Fremantle,2009,2,Geelong,12,L,38,5.0,3.0,,5,1.0,1.0,,1.0,,2.0,,1.0,,1.0,,,3.0,,2.0,,,,84,2009-05-17
Fremantle,2009,3,Western Bulldogs,18,L,38,7.0,5.0,6.0,13,,,,1.0,1.0,3.0,2.0,1.0,,,,5.0,8.0,1.0,2.0,,,1.0,65,2009-06-28
Fremantle,2010,4,Sydney,20,L,38,10.0,4.0,1.0,11,2.0,,,,,1.0,,3.0,4.0,1.0,,6.0,5.0,1.0,2.0,,,2.0,69,2010-07-12
Fremantle,2010,5,Hawthorn,21,L,38,16.0,4.0,6.0,22,,1.0,,4.0,4.0,5.0,2.0,2.0,4.0,1.0,,8.0,13.0,,,3.0,1.0,2.0,88,2010-07-19
Fremantle,2010,6,Carlton,22,W,38,8.0,2.0,3.0,11,2.0,,,1.0,,1.0,1.0,3.0,2.0,1.0,,6.0,5.0,,,1.0,1.0,,77,2010-07-26
Fremantle,2010,7,Hawthorn,EF,W,38,8.0,1.0,3.0,11,1.0,,,4.0,,,,4.0,1.0,3.0,,7.0,3.0,1.0,1.0,,,,80,2010-03-01
Fremantle,2010,8,Geelong,SF,L,38,10.0,4.0,4.0,14,3.0,,,3.0,2.0,2.0,,1.0,1.0,,,3.0,11.0,,1.0,3.0,2.0,,77,2010-03-01
Fremantle,2011,9,Brisbane Lions,1,W,38,8.0,1.0,3.0,11,2.0,,,3.0,,2.0,2.0,1.0,2.0,1.0,,8.0,3.0,,,2.0,,1.0,90,2011-03-01
Fremantle,2011,10,Geelong,2,L,38,6.0,1.0,,6,1.0,2.0,,3.0,,1.0,,2.0,,,,2.0,3.0,,1.0,,,1.0,71,2011-03-08
Fremantle,2011,11↑,Adelaide,3,W,38,5.0,1.0,2.0,7,1.0,1.0,,2.0,,2.0,,,2.0,,,4.0,3.0,,,,,,31,2011-03-15
Fremantle,2012,12,Melbourne,16,W,38,9.0,4.0,5.0,14,3.0,1.0,,4.0,1.0,5.0,1.0,1.0,1.0,1.0,,10.0,7.0,1.0,1.0,1.0,,1.0,78,2012-06-14
Fremantle,2012,13,Greater Western Sydney,17,W,38,10.0,4.0,2.0,12,2.0,1.0,,1.0,,6.0,,3.0,3.0,,,4.0,8.0,1.0,,1.0,1.0,,79,2012-06-21
Fremantle,2012,14↓,Port Adelaide,18,W,38,4.0,2.0,2.0,6,1.0,,,4.0,,,,,2.0,,,4.0,2.0,,1.0,,,,61,2012-06-28
Fremantle,2012,15,West Coast,19,W,38,8.0,2.0,2.0,10,2.0,2.0,,4.0,,2.0,,2.0,,1.0,,4.0,4.0,,,,,1.0,80,2012-07-05
Fremantle,2012,16,Adelaide,20,L,38,8.0,4.0,3.0,11,3.0,1.0,,2.0,,5.0,,2.0,1.0,1.0,,6.0,6.0,,3.0,3.0,,1.0,81,2012-07-12
Fremantle,2012,17,Richmond,21,W,38,5.0,2.0,4.0,9,1.0,1.0,,4.0,,5.0,,2.0,1.0,1.0,,4.0,6.0,1.0,1.0,,2.0,2.0,79,2012-07-19
Fremantle,2012,18,North Melbourne,22,W,38,9.0,6.0,2.0,11,4.0,,,,,1.0,,1.0,,1.0,,5.0,5.0,1.0,3.0,1.0,1.0,1.0,82,2012-07-26
Fremantle,2012,19,Melbourne,23,W,38,7.0,5.0,9.0,16,1.0,2.0,,2.0,,1.0,,,1.0,,,5.0,11.0,,2.0,,,,81,2012-08-02
Fremantle,2012,20,Geelong,EF,W,38,11.0,5.0,4.0,15,2.0,2.0,,4.0,1.0,1.0,1.0,2.0,2.0,,,6.0,10.0,,2.0,5.0,,2.0,80,2012-03-01
Fremantle,2012,21,Adelaide,SF,L,38,12.0,6.0,3.0,15,3.0,1.0,,4.0,3.0,3.0,1.0,1.0,2.0,,,6.0,9.0,,,2.0,,,82,2012-03-01
Fremantle,2013,22,West Coast,1,W,10,13.0,5.0,3.0,16,3.0,2.0,,1.0,,2.0,,3.0,1.0,1.0,,5.0,11.0,1.0,1.0,1.0,1.0,2.0,78,2013-03-01
Fremantle,2013,23,Western Bulldogs,2,W,10,11.0,6.0,3.0,14,3.0,1.0,,5.0,1.0,2.0,1.0,2.0,,1.0,,3.0,12.0,,2.0,1.0,2.0,,82,2013-03-08
Fremantle,2013,24,Essendon,3,L,10,10.0,5.0,5.0,15,2.0,3.0,,7.0,,5.0,3.0,1.0,1.0,1.0,,9.0,5.0,1.0,3.0,2.0,,1.0,82,2013-03-15
