team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Western Bulldogs,2008,1,St Kilda,11,W,14,7.0,4.0,5.0,12,1.0,,,,2.0,1.0,1.0,3.0,,,,3.0,9,,1.0,,,,67,2008-05-10
Western Bulldogs,2008,2,Brisbane Lions,12,W,14,6.0,2.0,10.0,16,1.0,,,3.0,,1.0,1.0,1.0,,1.0,,8.0,9,,,3.0,,,68,2008-05-17
Western Bulldogs,2008,3,Collingwood,13,W,14,2.0,2.0,1.0,3,,,,3.0,,1.0,,,,,,,3,,,1.0,,,49,2008-05-24
Western Bulldogs,2008,4,North Melbourne,19,L,14,5.0,6.0,8.0,13,,,,2.0,1.0,1.0,3.0,1.0,1.0,,,6.0,7,1.0,,1.0,,,55,2008-07-05
Western Bulldogs,2008,5,Brisbane Lions,20,L,14,2.0,1.0,4.0,6,,,,1.0,1.0,,,2.0,,1.0,,3.0,3,,,,,1.0,55,2008-07-12
Western Bulldogs,2008,6,Essendon,21,W,14,6.0,3.0,4.0,10,,,,1.0,,3.0,,3.0,,1.0,,3.0,7,,,,,1.0,61,2008-07-19
Western Bulldogs,2009,7,Fremantle,1,W,14,9.0,1.0,9.0,18,1.0,,,3.0,2.0,3.0,2.0,2.0,5.0,1.0,,9.0,10,,,,2.0,1.0,82,2009-03-01
Western Bulldogs,2009,8,North Melbourne,2,W,14,8.0,1.0,7.0,15,,,,2.0,,3.0,4.0,6.0,1.0,1.0,,9.0,6,,,4.0,,,77,2009-03-08
Western Bulldogs,2009,9,Richmond,3,W,14,7.0,2.0,6.0,13,,,,2.0,1.0,4.0,2.0,3.0,,1.0,,3.0,10,,,,1.0,,61,2009-03-15
Western Bulldogs,2009,10,West Coast,4,L,14,6.0,4.0,6.0,12,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,,,,6.0,6,1.0,1.0,,,,76,2009-03-22
Western Bulldogs,2009,11,Carlton,5,L,14,3.0,,5.0,8,,,,5.0,,3.0,1.0,1.0,2.0,,,4.0,4,,,2.0,1.0,,66,2009-03-29
Western Bulldogs,2009,12,Geelong,9,L,14,5.0,2.0,10.0,15,,,,10.0,1.0,1.0,2.0,4.0,,3.0,,6.0,9,,,1.0,,,75,2009-04-26
Western Bulldogs,2009,13,Sydney,10,W,14,11.0,5.0,7.0,18,3.0,,,3.0,1.0,4.0,1.0,1.0,2.0,,,5.0,13,,1.0,3.0,,1.0,86,2009-05-03
Western Bulldogs,2009,14,Richmond,11,W,14,11.0,4.0,6.0,17,1.0,1.0,,2.0,,5.0,3.0,4.0,2.0,1.0,,6.0,11,,,3.0,,1.0,76,2009-05-10
