team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Hawthorn,2022,1,North Melbourne,1,W,25,5,3.0,8,13,,,,1.0,2.0,,1.0,2.0,,1.0,,2.0,11,,,,,,62,2022-03-01
Hawthorn,2022,2,Port Adelaide,2,W,25,15,5.0,5,20,1.0,1.0,,2.0,,2.0,4.0,5.0,,,,3.0,16,,,1.0,,,71,2022-03-08
Hawthorn,2022,3,Carlton,3,L,25,10,4.0,10,20,,,,1.0,1.0,4.0,3.0,2.0,,1.0,,8.0,12,,,1.0,,1.0,76,2022-03-15
Hawthorn,2022,4,St Kilda,4,L,25,4,2.0,5,9,,,,1.0,1.0,,2.0,3.0,1.0,2.0,,6.0,7,,,1.0,,,75,2022-03-22
Hawthorn,2022,5,Geelong,5,W,25,9,1.0,9,18,,,,3.0,,1.0,5.0,4.0,1.0,1.0,,9.0,10,,,,,,74,2022-03-29
Hawthorn,2022,6,Sydney,6,L,25,7,2.0,7,14,,,,5.0,1.0,2.0,2.0,7.0,1.0,2.0,,6.0,9,,,,,1.0,83,2022-04-05
Hawthorn,2022,7,Essendon,8,L,25,6,2.0,8,14,,,,3.0,1.0,1.0,2.0,1.0,1.0,,,2.0,12,,,2.0,,1.0,75,2022-04-19
Hawthorn,2022,8,Adelaide,17,W,25,11,4.0,5,16,,,,2.0,2.0,1.0,2.0,3.0,1.0,,,6.0,11,,,1.0,,,76,2022-06-21
Hawthorn,2022,9,West Coast,18,W,25,23,7.0,11,34,,,,5.0,4.0,5.0,6.0,6.0,1.0,,,12.0,22,,,,,,84,2022-06-28
Hawthorn,2022,10,North Melbourne,19,W,25,10,3.0,12,22,,,,3.0,1.0,1.0,3.0,2.0,,,,7.0,14,1.0,,2.0,,,81,2022-07-05
Hawthorn,2022,11,St Kilda,20,L,25,17,6.0,9,26,,,,5.0,3.0,6.0,3.0,4.0,,,,7.0,19,,,1.0,,,77,2022-07-12
Hawthorn,2022,12,Gold Coast,21,W,25,14,3.0,6,20,1.0,1.0,,4.0,,4.0,4.0,4.0,1.0,1.0,,8.0,11,,,1.0,1.0,3.0,83,2022-07-19
Hawthorn,2022,13,Richmond,22,L,25,10,4.0,7,17,,,,1.0,2.0,3.0,1.0,1.0,,,,3.0,14,,,,,,82,2022-07-26
Hawthorn,2022,14,Western Bulldogs,23,L,25,17,7.0,7,24,,,,5.0,1.0,2.0,,4.0,,3.0,,10.0,15,,,1.0,,1.0,73,2022-08-02
Hawthorn,2023,15,Essendon,1,L,25,12,8.0,14,26,,1.0,,4.0,6.0,2.0,3.0,1.0,,1.0,,5.0,22,,,1.0,,,83,2023-03-01
Hawthorn,2023,16,Sydney,2,L,25,8,3.0,11,19,,1.0,,3.0,1.0,1.0,2.0,2.0,,1.0,,7.0,13,1.0,,,,,77,2023-03-08
Hawthorn,2023,17,North Melbourne,3,W,25,14,5.0,13,27,,,,1.0,1.0,2.0,5.0,5.0,1.0,1.0,,10.0,17,,,1.0,,,79,2023-03-15
Hawthorn,2023,18,Geelong,4,L,25,17,4.0,6,23,,1.0,,6.0,3.0,2.0,3.0,5.0,2.0,2.0,,5.0,20,,,1.0,,,78,2023-03-22
Hawthorn,2023,19,Greater Western Sydney,5,L,25,11,2.0,9,20,,,,2.0,1.0,2.0,4.0,1.0,2.0,,,9.0,11,,,,,,70,2023-03-29
Hawthorn,2023,20,Western Bulldogs,7,L,25,13,5.0,7,20,,,,3.0,1.0,4.0,1.0,1.0,,1.0,,6.0,14,,,,,,78,2023-04-12
