team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Sydney,2020,1,Richmond,6,L,1,4,2.0,4,8,,,,2.0,,2,,3.0,1.0,2.0,,4,4,,,,,,78,2020-04-05
Sydney,2020,2,Gold Coast,7,L,1,5,1.0,1,6,,,,1.0,1.0,3,,1.0,1.0,,,4,2,,,1.0,,,76,2020-04-12
Sydney,2021,3,Brisbane Lions,1,W,1,10,1.0,9,19,,,,3.0,,8,3.0,2.0,,2.0,,7,12,,,1.0,,1.0,76,2021-03-01
Sydney,2021,4,Adelaide,2,W,1,12,2.0,8,20,2.0,1.0,,4.0,1.0,6,2.0,2.0,,2.0,,10,9,,,,,1.0,81,2021-03-08
Sydney,2021,5,Richmond,3,W,1,12,5.0,8,20,2.0,1.0,,5.0,1.0,4,2.0,2.0,,,,7,14,,1.0,,,,82,2021-03-15
Sydney,2021,6,Essendon,4,W,1,14,3.0,9,23,,1.0,,6.0,3.0,4,6.0,3.0,1.0,,1.0,11,13,,1.0,,,,83,2021-03-22
Sydney,2021,7,Greater Western Sydney,5,L,1,10,2.0,3,13,,2.0,,5.0,,5,2.0,2.0,,2.0,,4,9,,,,,,75,2021-03-29
Sydney,2021,8,Gold Coast,6,L,1,17,3.0,6,23,1.0,,,4.0,,3,4.0,5.0,1.0,2.0,,11,13,1.0,,2.0,1.0,1.0,83,2021-04-05
Sydney,2021,9,Geelong,7,W,1,9,2.0,5,14,1.0,,,6.0,,3,2.0,3.0,1.0,,,5,9,,,2.0,,1.0,82,2021-04-12
Sydney,2021,10,Melbourne,8,L,1,9,3.0,6,15,,,,4.0,1.0,4,1.0,3.0,,,,7,8,1.0,,,,1.0,83,2021-04-19
Sydney,2021,11,Collingwood,9,W,1,10,1.0,9,19,1.0,,,1.0,2.0,3,1.0,3.0,,,,7,13,,,,,,69,2021-04-26
Sydney,2021,12,Fremantle,10,L,1,10,1.0,2,12,1.0,,,4.0,2.0,5,4.0,3.0,1.0,1.0,,7,7,,,,,1.0,72,2021-05-03
Sydney,2021,13,Carlton,11,W,1,9,4.0,6,15,,,,4.0,1.0,4,2.0,6.0,,5.0,,6,10,,,,,1.0,66,2021-05-10
Sydney,2021,14,St Kilda,12,W,1,9,2.0,3,12,,,,1.0,1.0,2,1.0,4.0,,2.0,,4,8,,,,,,70,2021-05-17
Sydney,2021,15,Greater Western Sydney,EF,L,1,4,2.0,7,11,,,,1.0,2.0,2,2.0,2.0,2.0,1.0,,4,7,,,,,,62,2021-03-01
Sydney,2022,16,Geelong,2,W,1,10,4.0,15,25,,,,4.0,1.0,4,3.0,3.0,2.0,1.0,,11,13,,1.0,,,3.0,84,2022-03-08
Sydney,2022,17,Western Bulldogs,3,L,1,7,4.0,13,20,,,,7.0,2.0,3,2.0,5.0,1.0,3.0,,8,14,,,1.0,,,83,2022-03-15
Sydney,2022,18,North Melbourne,4,W,1,11,2.0,8,19,1.0,2.0,,3.0,2.0,5,2.0,4.0,2.0,2.0,,7,11,1.0,1.0,1.0,1.0,,80,2022-03-22
Sydney,2022,19,West Coast,5,W,1,6,1.0,14,20,2.0,,,,,2,4.0,2.0,1.0,1.0,,6,14,,1.0,,1.0,,77,2022-03-29
Sydney,2022,20,Hawthorn,6,W,1,15,5.0,9,24,2.0,,,5.0,1.0,3,3.0,6.0,1.0,1.0,,11,14,,,,,1.0,79,2022-04-05
Sydney,2022,21,Brisbane Lions,7,L,1,12,5.0,12,24,,2.0,,8.0,1.0,7,5.0,4.0,1.0,2.0,,8,19,,,2.0,1.0,3.0,79,2022-04-12
Sydney,2022,22,Gold Coast,8,L,1,11,6.0,8,19,1.0,3.0,,7.0,1.0,6,1.0,4.0,1.0,1.0,,8,13,,1.0,,,,79,2022-04-19
Sydney,2022,23,Essendon,9,W,1,16,7.0,16,32,,1.0,,3.0,2.0,6,5.0,3.0,1.0,2.0,2.0,10,22,,,1.0,2.0,1.0,80,2022-04-26
Sydney,2022,24,Carlton,10,L,1,13,2.0,7,20,,,,5.0,1.0,4,8.0,12.0,1.0,4.0,,12,11,,,,1.0,,83,2022-05-03
Sydney,2022,25,Richmond,11,W,1,15,2.0,12,27,,1.0,,4.0,2.0,9,6.0,7.0,2.0,3.0,1.0,14,14,,,1.0,,2.0,83,2022-05-10
