team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Sydney,2023,1,Richmond,5,W,37,3.0,1.0,5.0,8,1.0,,,1.0,,1.0,,1.0,,,,2.0,6.0,,1.0,,,1.0,57,2023-03-29
Sydney,2023,2↑,Carlton,11,W,37,,,1.0,1,,,,,,,,,,,,,1.0,,,,,,6,2023-05-10
Sydney,2023,3,Western Bulldogs,18,W,37,3.0,2.0,,3,,,,3.0,1.0,1.0,,,1.0,,,,3.0,,,2.0,,,71,2023-06-28
Sydney,2024,4↑,Essendon,3,W,37,6.0,1.0,5.0,11,,3.0,,,,4.0,1.0,1.0,,,,5.0,7.0,,,1.0,,,64,2024-03-15
Sydney,2024,5↑,Richmond,4,L,37,3.0,1.0,2.0,5,,1.0,,2.0,1.0,,,1.0,1.0,,,2.0,3.0,,,,,,45,2024-03-22
Sydney,2024,6↑,Brisbane Lions,20,L,37,6.0,,7.0,13,1.0,,,1.0,,2.0,,2.0,,,,3.0,10.0,,,,1.0,1.0,58,2024-07-12
Sydney,2024,7,Western Bulldogs,21,L,37,6.0,4.0,10.0,16,,,,2.0,,2.0,,,1.0,,,5.0,11.0,,,,1.0,,74,2024-07-19
Sydney,2024,8↓,Port Adelaide,22,L,37,2.0,,1.0,3,,,,,,,,1.0,,,,,2.0,,,,,,28,2024-07-26
Sydney,2024,9↑,Essendon,24,W,37,,,1.0,1,,,,,,,,,,,,1.0,,,,,,,16,2024-08-09
Sydney,2025,10,Hawthorn,1,L,37,3.0,1.0,7.0,10,,,,4.0,2.0,1.0,3.0,,,,,5.0,5.0,,,,,,71,2025-03-01
Sydney,2025,11,Brisbane Lions,2,L,37,11.0,6.0,4.0,15,2.0,2.0,,1.0,,3.0,1.0,3.0,1.0,1.0,,3.0,12.0,,3.0,1.0,1.0,,82,2025-03-08
Sydney,2025,12,Fremantle,3,W,37,10.0,4.0,4.0,14,,1.0,,4.0,1.0,2.0,1.0,3.0,1.0,,,3.0,11.0,,,,1.0,,85,2025-03-15
Sydney,2025,13,North Melbourne,5,W,37,8.0,2.0,3.0,11,,1.0,,2.0,1.0,2.0,1.0,2.0,,1.0,,3.0,9.0,,,2.0,,,85,2025-03-29
Sydney,2025,14,Collingwood,6,L,37,10.0,2.0,3.0,13,2.0,,,2.0,2.0,3.0,1.0,3.0,2.0,1.0,,7.0,6.0,,,1.0,,,89,2025-04-05
Sydney,2025,15,Port Adelaide,7,L,37,6.0,1.0,3.0,9,,1.0,,,,2.0,,3.0,2.0,1.0,,3.0,5.0,,,,,,71,2025-04-12
Sydney,2025,16,Gold Coast,8,L,37,10.0,5.0,8.0,18,1.0,,,2.0,1.0,5.0,1.0,6.0,2.0,1.0,,5.0,13.0,,,,1.0,,77,2025-04-19
Sydney,2025,17↓,Greater Western Sydney,9,W,37,8.0,2.0,2.0,10,1.0,1.0,,2.0,2.0,2.0,,1.0,1.0,,,1.0,9.0,,1.0,,,,67,2025-04-26
Sydney,2025,18,Essendon,10,L,37,7.0,4.0,4.0,11,1.0,,,,1.0,2.0,,3.0,,2.0,,3.0,8.0,,,,,,77,2025-05-03
Sydney,2025,19,Carlton,11,W,37,3.0,,10.0,13,,,,1.0,,1.0,1.0,5.0,,2.0,,6.0,7.0,,,1.0,,,74,2025-05-10
Sydney,2025,20,Melbourne,12,L,37,8.0,3.0,6.0,14,,,,4.0,3.0,2.0,3.0,1.0,,,,3.0,11.0,,,1.0,,2.0,91,2025-05-17
Sydney,2025,21,Adelaide,13,L,37,4,,6,10,,1,,1,1,3,1,4,,,,5,5,,,3,,,76,2025-05-24
