team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Port Adelaide,2025,1,Geelong,22,L,17,3,2,,3,,,3.0,4.0,,,,2.0,,1.0,,,3,,,,,,77,2025-07-26
Port Adelaide,2025,2,Fremantle,23,L,17,3,1,4.0,7,,1.0,1.0,3.0,1.0,,1.0,1.0,2.0,,,4.0,4,,1.0,2.0,,,75,2025-08-02
Port Adelaide,2025,3,Carlton,24,L,17,5,5,3.0,8,3.0,,,1.0,,1.0,,1.0,,1.0,,1.0,7,,4.0,,,,83,2025-08-09
Port Adelaide,2025,4,Gold Coast,25,W,17,3,2,5.0,8,1.0,1.0,,5.0,,,,5.0,,1.0,,3.0,6,1.0,1.0,2.0,,,83,2025-08-16
Port Adelaide,2026,5,North Melbourne,2,L,17,3,1,,3,2.0,1.0,,2.0,,,1.0,1.0,1.0,1.0,,1.0,2,,1.0,,,,71,2026-03-08
Port Adelaide,2026,6,Essendon,3,W,17,5,6,3.0,8,,1.0,5.0,1.0,,1.0,,4.0,,1.0,,2.0,8,1.0,3.0,3.0,,1.0,87,2026-03-15
Port Adelaide,2026,7,West Coast,4,L,17,4,5,6.0,10,3.0,1.0,8.0,,,,,1.0,,,,5.0,6,,4.0,2.0,,,76,2026-03-22
Port Adelaide,2026,8,Richmond,5,W,17,7,5,4.0,11,2.0,2.0,4.0,,,2.0,1.0,,1.0,,,4.0,7,,2.0,1.0,,,75,2026-03-29
Port Adelaide,2026,9,St Kilda,6,L,17,4,4,2.0,6,,1.0,2.0,2.0,,1.0,,2.0,,,,1.0,6,,,1.0,,,61,2026-04-05
Port Adelaide,2026,10,Hawthorn,7,L,17,5,4,3.0,8,2.0,1.0,,4.0,,,,2.0,1.0,1.0,,5.0,3,2.0,3.0,3.0,,,80,2026-04-12
Port Adelaide,2026,11,Geelong,8,W,17,6,2,2.0,8,,,,,,1.0,1.0,1.0,,1.0,,3.0,4,,1.0,,,,77,2026-04-19
Port Adelaide,2026,12,Adelaide,9,L,17,7,4,7.0,14,1.0,1.0,,,,,,3.0,,,,8.0,6,2.0,2.0,3.0,,1.0,93,2026-04-26
Port Adelaide,2026,13,Western Bulldogs,10,L,17,4,5,5.0,9,1.0,,,1.0,,2.0,,2.0,1.0,1.0,,4.0,5,1.0,1.0,,1.0,1.0,90,2026-05-03
Port Adelaide,2026,14,Gold Coast,11,L,17,5,3,4,9,,2,,1,,3,1,,1,,,4,7,1,1,2,,,92,2026-05-10
