team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Sydney,2020,1,Collingwood,10,L,45,6.0,1.0,3.0,9.0,1.0,,,6.0,1.0,1.0,,1.0,1.0,1.0,,6.0,3.0,,1.0,,,1.0,79.0,2020-05-03
Sydney,2020,2,Greater Western Sydney,12,W,45,2.0,1.0,4.0,6.0,,,,2.0,,,,2.0,,1.0,,3.0,3.0,,,1.0,,1.0,79.0,2020-05-17
Sydney,2020,3,Fremantle,13,L,45,3.0,2.0,4.0,7.0,1.0,,,2.0,1.0,2.0,,,1.0,,,4.0,3.0,,,2.0,,,72.0,2020-05-24
Sydney,2020,4,Port Adelaide,14,L,45,4.0,,2.0,6.0,,1.0,,9.0,1.0,,2.0,,3.0,,,3.0,3.0,,,2.0,,,70.0,2020-05-31
Sydney,2020,5,Melbourne,15,W,45,5.0,4.0,6.0,11.0,1.0,,,5.0,1.0,1.0,,6.0,,3.0,,6.0,7.0,,,2.0,,,80.0,2020-06-07
Sydney,2020,6,Carlton,16,L,45,3.0,2.0,4.0,7.0,,,,3.0,1.0,2.0,,3.0,,2.0,,3.0,4.0,,,1.0,,,74.0,2020-06-14
Sydney,2020,7,Brisbane Lions,17,L,45,8.0,5.0,4.0,12.0,,,,5.0,,2.0,,3.0,,1.0,,3.0,9.0,,1.0,1.0,,,85.0,2020-06-21
Sydney,2021,8,Brisbane Lions,1,W,45,6.0,2.0,6.0,12.0,2.0,,,5.0,,1.0,,1.0,1.0,,,5.0,7.0,1.0,,1.0,1.0,,85.0,2021-03-01
Sydney,2021,9,Adelaide,2,W,45,8.0,4.0,5.0,13.0,1.0,,,7.0,1.0,2.0,1.0,1.0,1.0,1.0,,5.0,7.0,,1.0,,,1.0,79.0,2021-03-08
Sydney,2021,10,Richmond,3,W,45,16.0,13.0,5.0,21.0,3.0,2.0,,3.0,,2.0,,4.0,1.0,2.0,,4.0,17.0,1.0,5.0,2.0,,2.0,92.0,2021-03-15
Sydney,2021,11,Essendon,4,W,45,5.0,1.0,8.0,13.0,,1.0,,8.0,,1.0,1.0,1.0,3.0,,,9.0,3.0,,,1.0,,,81.0,2021-03-22
Sydney,2021,12,Greater Western Sydney,5,L,45,4.0,2.0,2.0,6.0,,,,4.0,1.0,1.0,1.0,1.0,,,,2.0,4.0,,,,,,73.0,2021-03-29
Sydney,2021,13,Gold Coast,6,L,45,9.0,5.0,2.0,11.0,1.0,,,4.0,,4.0,,1.0,,,,1.0,10.0,1.0,1.0,,,,84.0,2021-04-05
Sydney,2021,14,Geelong,7,W,45,7.0,1.0,2.0,9.0,,,,2.0,,2.0,,4.0,,3.0,,3.0,6.0,,,,,1.0,76.0,2021-04-12
Sydney,2021,15,Melbourne,8,L,45,7.0,,6.0,13.0,,1.0,,6.0,,2.0,1.0,3.0,1.0,2.0,,8.0,5.0,,,1.0,,,80.0,2021-04-19
Sydney,2021,16,Collingwood,9,W,45,10.0,4.0,6.0,16.0,,2.0,,7.0,,4.0,1.0,2.0,1.0,,,4.0,12.0,1.0,1.0,1.0,,,81.0,2021-04-26
Sydney,2021,17,Fremantle,10,L,45,3.0,1.0,4.0,7.0,,2.0,,4.0,,,,,1.0,,,5.0,2.0,,1.0,1.0,,,80.0,2021-05-03
Sydney,2021,18,Carlton,11,W,45,10.0,6.0,1.0,11.0,1.0,2.0,,4.0,,3.0,,2.0,,2.0,,1.0,11.0,,,,1.0,,72.0,2021-05-10
Sydney,2021,19,St Kilda,12,W,45,3.0,2.0,5.0,8.0,,,,3.0,,3.0,,3.0,1.0,1.0,,3.0,6.0,,,4.0,,1.0,95.0,2021-05-17
Sydney,2021,20,Hawthorn,13,L,45,8.0,4.0,8.0,16.0,1.0,2.0,,4.0,,2.0,,6.0,,3.0,,9.0,8.0,1.0,2.0,1.0,,,89.0,2021-05-24
Sydney,2021,21,West Coast,16,W,45,9.0,2.0,5.0,14.0,2.0,,,4.0,,2.0,,3.0,1.0,,,6.0,7.0,,,1.0,,,77.0,2021-06-14
Sydney,2021,22,Western Bulldogs,17,W,45,5.0,2.0,3.0,8.0,,2.0,,2.0,,1.0,,2.0,1.0,1.0,,5.0,4.0,,1.0,3.0,,,72.0,2021-06-21
Sydney,2021,23,Greater Western Sydney,18,W,45,6.0,3.0,2.0,8.0,2.0,1.0,,4.0,1.0,,,2.0,1.0,1.0,,2.0,6.0,,,,,,74.0,2021-06-28
Sydney,2021,24,Fremantle,19,W,45,4.0,2.0,8.0,12.0,,1.0,,3.0,,1.0,,2.0,,2.0,,3.0,9.0,1.0,1.0,1.0,1.0,1.0,82.0,2021-07-05
Sydney,2021,25,Essendon,20,W,45,3.0,1.0,7.0,10.0,1.0,,,3.0,,,,1.0,2.0,1.0,,6.0,4.0,,1.0,1.0,,1.0,75.0,2021-07-12
Sydney,2021,26,St Kilda,21,L,45,4.0,2.0,2.0,6.0,,,,,,1.0,,1.0,,,,2.0,4.0,,,2.0,,,70.0,2021-07-19
Sydney,2021,27,North Melbourne,22,W,45,4.0,1.0,7.0,11.0,1.0,1.0,,5.0,,2.0,,2.0,1.0,2.0,,6.0,5.0,,,,,,72.0,2021-07-26
Sydney,2021,28,Gold Coast,23,W,45,5.0,4.0,4.0,9.0,2.0,,,2.0,1.0,,,2.0,,2.0,,1.0,8.0,,1.0,2.0,1.0,,69.0,2021-08-02
Sydney,2021,29,Greater Western Sydney,EF,L,45,7.0,3.0,4.0,11.0,,1.0,,5.0,2.0,3.0,1.0,1.0,1.0,1.0,,6.0,5.0,,1.0,1.0,,1.0,79.0,2021-03-01
Sydney,2022,30,Greater Western Sydney,1,W,15,3.0,1.0,4.0,7.0,,1.0,,3.0,,,1.0,3.0,1.0,3.0,,3.0,4.0,,1.0,3.0,,,82.0,2022-03-01
Sydney,2022,31,Geelong,2,W,15,8.0,4.0,5.0,13.0,,1.0,,5.0,,3.0,1.0,2.0,,1.0,,5.0,8.0,,1.0,1.0,,,89.0,2022-03-08
Sydney,2022,32,Western Bulldogs,3,L,15,4.0,2.0,5.0,9.0,1.0,,,4.0,,,,4.0,1.0,3.0,,7.0,2.0,1.0,,2.0,,1.0,90.0,2022-03-15
Sydney,2022,33,Essendon,9,W,15,7.0,4.0,12.0,19.0,2.0,,,2.0,,4.0,,4.0,1.0,2.0,,7.0,13.0,,1.0,1.0,,1.0,75.0,2022-04-26
Sydney,2022,34,Carlton,10,L,15,6.0,6.0,4.0,10.0,,1.0,,2.0,,4.0,,4.0,,3.0,,5.0,6.0,1.0,,,,1.0,73.0,2022-05-03
Sydney,2022,35,Richmond,11,W,15,4.0,,2.0,6.0,1.0,,,2.0,,1.0,,3.0,,2.0,,2.0,3.0,,,,,,64.0,2022-05-10
Sydney,2022,36,Melbourne,12,W,15,6.0,2.0,4.0,10.0,,1.0,,,,3.0,,3.0,,2.0,,3.0,7.0,1.0,,2.0,,1.0,87.0,2022-05-17
Sydney,2022,37,Port Adelaide,14,L,15,2.0,1.0,5.0,7.0,,,,3.0,,2.0,,2.0,,2.0,,3.0,5.0,,,3.0,,,72.0,2022-05-31
Sydney,2022,38,Adelaide,19,W,15,,,,,,,,,,,,,,,,,,,,,,,,2022-07-05
Sydney,2022,39↑,St Kilda,23,W,15,3.0,1.0,7.0,10.0,,,,4.0,,,,1.0,2.0,,,8.0,2.0,,1.0,,,,39.0,2022-08-02
Sydney,2023,40,Carlton,11,W,15,10.0,3.0,6.0,16.0,2.0,1.0,,2.0,,2.0,1.0,1.0,,,,7.0,7.0,,1.0,3.0,,3.0,81.0,2023-05-10
Sydney,2023,41,St Kilda,13,L,15,5.0,2.0,2.0,7.0,1.0,1.0,,3.0,,,,1.0,,,,2.0,4.0,,,,,,71.0,2023-05-24
Sydney,2023,42,Brisbane Lions,14,L,15,4.0,,3.0,7.0,1.0,,,4.0,,1.0,,3.0,,2.0,,2.0,3.0,,,,,1.0,77.0,2023-05-31
Sydney,2023,43,Western Bulldogs,18,W,15,4.0,1.0,6.0,10.0,,,,8.0,,4.0,1.0,2.0,1.0,2.0,,4.0,5.0,,1.0,,,1.0,88.0,2023-06-28
Sydney,2023,44,Fremantle,19,W,15,2.0,2.0,5.0,7.0,,,,3.0,,3.0,1.0,1.0,,1.0,,4.0,3.0,,1.0,4.0,,1.0,88.0,2023-07-05
Sydney,2023,45,Essendon,20,W,15,5.0,1.0,9.0,14.0,3.0,1.0,,5.0,,1.0,,1.0,2.0,,,6.0,8.0,,1.0,,,3.0,84.0,2023-07-12
Sydney,2023,46,Greater Western Sydney,21,W,15,9.0,2.0,3.0,12.0,1.0,1.0,,5.0,1.0,3.0,,,,,,2.0,8.0,,,1.0,,1.0,86.0,2023-07-19
Sydney,2023,47,Gold Coast,22,W,15,9.0,3.0,2.0,11.0,,2.0,,8.0,,,1.0,2.0,,,,5.0,6.0,,1.0,,,,79.0,2023-07-26
Sydney,2023,48,Adelaide,23,W,15,5.0,2.0,5.0,10.0,1.0,,,6.0,1.0,4.0,,4.0,,2.0,,3.0,6.0,,,1.0,,1.0,80.0,2023-08-02
Sydney,2023,49,Melbourne,24,L,15,3.0,1.0,6.0,9.0,1.0,1.0,,9.0,,1.0,1.0,3.0,,2.0,,3.0,5.0,,,,,,80.0,2023-08-09
Sydney,2023,50,Carlton,EF,L,15,9.0,2.0,5.0,14.0,,2.0,,6.0,,2.0,3.0,2.0,1.0,1.0,,6.0,7.0,,,,,,81.0,2023-03-01
Sydney,2024,51↑,Melbourne,1,W,15,2.0,2.0,3.0,5.0,1.0,,,1.0,,,1.0,1.0,,1.0,,4.0,1.0,1.0,1.0,,,,30.0,2024-03-01
Sydney,2024,52↑,Collingwood,2,W,15,1.0,1.0,1.0,2.0,1.0,,,2.0,,,,2.0,,1.0,,1.0,1.0,,1.0,,,,22.0,2024-03-08
Sydney,2024,53,Essendon,3,W,15,4.0,2.0,7.0,11.0,,,,3.0,,3.0,,1.0,1.0,,,7.0,5.0,,,2.0,,1.0,81.0,2024-03-15
Sydney,2024,54,Gold Coast,7,W,15,7.0,5.0,1.0,8.0,2.0,1.0,,1.0,,1.0,,3.0,,1.0,,1.0,6.0,,1.0,,,,81.0,2024-04-12
Sydney,2024,55,Hawthorn,8,W,15,7.0,3.0,7.0,14.0,2.0,,,4.0,,3.0,1.0,2.0,,1.0,,3.0,10.0,,1.0,1.0,,,79.0,2024-04-19
Sydney,2024,56,Greater Western Sydney,9,W,15,6.0,1.0,2.0,8.0,,1.0,,2.0,,3.0,1.0,2.0,2.0,1.0,,5.0,2.0,1.0,,1.0,,,68.0,2024-04-26
Sydney,2024,57,Fremantle,10,W,15,8.0,2.0,5.0,13.0,,,,2.0,,6.0,,3.0,1.0,2.0,,7.0,6.0,1.0,,,,2.0,76.0,2024-05-03
Sydney,2024,58,Carlton,11,W,15,6.0,1.0,10.0,16.0,1.0,1.0,,,,2.0,1.0,3.0,,1.0,,7.0,10.0,,,3.0,,2.0,82.0,2024-05-10
Sydney,2024,59,Western Bulldogs,12,W,15,3.0,1.0,6.0,9.0,1.0,,,2.0,1.0,,,1.0,1.0,1.0,,5.0,5.0,,1.0,,,1.0,75.0,2024-05-17
Sydney,2024,60,Geelong,14,W,15,7.0,5.0,10.0,17.0,,,,1.0,,3.0,,2.0,,1.0,,9.0,9.0,1.0,,,1.0,1.0,71.0,2024-05-31
Sydney,2024,61,Adelaide,15,W,15,2.0,2.0,7.0,9.0,,,,2.0,,1.0,,3.0,,2.0,,7.0,2.0,1.0,,,,2.0,67.0,2024-06-07
Sydney,2024,62,Greater Western Sydney,16,W,15,3.0,1.0,2.0,5.0,,,,2.0,,3.0,1.0,5.0,,2.0,,3.0,2.0,,,2.0,,,64.0,2024-06-14
Sydney,2024,63,Fremantle,17,L,15,4.0,1.0,6.0,10.0,2.0,1.0,,1.0,1.0,,,2.0,,,,4.0,6.0,,1.0,1.0,,,68.0,2024-06-21
Sydney,2024,64,St Kilda,18,L,15,6.0,1.0,6.0,12.0,,1.0,,1.0,,2.0,1.0,2.0,,,,4.0,7.0,,1.0,2.0,,1.0,88.0,2024-06-28
