team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
St Kilda,2019,1,Gold Coast,1,W,44,6,4.0,5.0,11,,,,2.0,3.0,,,2.0,1.0,1.0,,6.0,5,2.0,,9.0,,,83,2019-03-01
St Kilda,2019,2,Essendon,2,W,44,7,4.0,2.0,9,,,,3.0,1.0,1.0,,4.0,1.0,3.0,,3.0,5,1.0,,1.0,,,78,2019-03-08
St Kilda,2019,3,Fremantle,3,L,44,7,4.0,5.0,12,,,,1.0,2.0,,,,,,,4.0,8,1.0,,3.0,,,74,2019-03-15
St Kilda,2019,4,Hawthorn,4,W,44,12,3.0,9.0,21,,,,3.0,3.0,2.0,1.0,2.0,,1.0,,10.0,12,,,6.0,,,98,2019-03-22
St Kilda,2019,5,Melbourne,5,W,44,10,8.0,7.0,17,,,,2.0,2.0,,,2.0,,,,4.0,13,,,6.0,,,90,2019-03-29
St Kilda,2019,6,Adelaide,6,L,44,6,2.0,8.0,14,,,,1.0,1.0,,,,,,,6.0,7,,,5.0,,,88,2019-04-05
St Kilda,2019,7,Greater Western Sydney,7,L,44,6,1.0,7.0,13,,,,,1.0,2.0,,3.0,2.0,2.0,,10.0,3,1.0,,3.0,2.0,,98,2019-04-12
St Kilda,2019,8,West Coast,8,L,44,15,5.0,4.0,19,,,,,3.0,1.0,,1.0,,1.0,,2.0,15,,,4.0,,,97,2019-04-19
St Kilda,2019,9,Collingwood,9,L,44,9,6.0,4.0,13,,,,2.0,3.0,,,3.0,,1.0,,4.0,8,2.0,,,,,90,2019-04-26
St Kilda,2019,10,Carlton,10,W,44,10,6.0,9.0,19,,,,2.0,2.0,1.0,1.0,2.0,,2.0,,5.0,10,1.0,,2.0,,,96,2019-05-03
St Kilda,2019,11,Port Adelaide,11,L,44,7,5.0,6.0,13,,,,2.0,1.0,2.0,,2.0,,2.0,,4.0,9,1.0,,2.0,,,87,2019-05-10
St Kilda,2019,12,Gold Coast,13,W,44,12,6.0,5.0,17,,,,1.0,4.0,2.0,,1.0,,,,5.0,9,1.0,,5.0,,,95,2019-05-24
St Kilda,2019,13,Brisbane Lions,14,L,44,14,4.0,2.0,16,,,,3.0,9.0,1.0,1.0,4.0,,,,4.0,7,1.0,,2.0,,,91,2019-05-31
St Kilda,2019,14,Richmond,15,L,44,12,8.0,2.0,14,,,,2.0,5.0,,,1.0,1.0,1.0,,2.0,12,,,2.0,,,91,2019-06-07
St Kilda,2019,15,North Melbourne,16,L,44,9,9.0,3.0,12,,,1.0,2.0,3.0,,,1.0,,1.0,,4.0,8,2.0,,5.0,,,89,2019-06-14
St Kilda,2019,16,Geelong,17,L,44,12,6.0,1.0,13,,,,4.0,4.0,2.0,,2.0,,2.0,,2.0,9,,,3.0,,,93,2019-06-21
St Kilda,2019,17,Western Bulldogs,18,W,44,13,5.0,5.0,18,,,,,3.0,1.0,1.0,4.0,,2.0,,5.0,12,1.0,,5.0,,,87,2019-06-28
St Kilda,2019,18,Melbourne,19,W,44,9,5.0,6.0,15,,,,1.0,3.0,,,1.0,,,,5.0,8,2.0,,6.0,,1.0,84,2019-07-05
St Kilda,2019,19,Adelaide,20,L,44,11,9.0,3.0,14,,,,2.0,3.0,2.0,,4.0,,3.0,,5.0,8,2.0,,7.0,,,88,2019-07-12
St Kilda,2019,20,Fremantle,21,W,44,14,9.0,3.0,17,,,,1.0,7.0,,,1.0,,1.0,,5.0,8,2.0,,1.0,,,91,2019-07-19
St Kilda,2019,21,Carlton,22,L,44,11,1.0,5.0,16,,,,3.0,7.0,2.0,,1.0,1.0,1.0,,5.0,7,,,4.0,,,91,2019-07-26
St Kilda,2019,22,Sydney,23,L,44,9,3.0,2.0,11,,,,5.0,4.0,,,2.0,1.0,,,3.0,6,1.0,,2.0,,,77,2019-08-02
St Kilda,2020,23,North Melbourne,1,L,44,5,,5.0,10,,,,4.0,3.0,1.0,,1.0,1.0,1.0,,6.0,2,,,8.0,,,86,2020-03-01
St Kilda,2020,24,Western Bulldogs,2,W,44,12,5.0,6.0,18,,,,2.0,6.0,,,1.0,4.0,,,8.0,6,2.0,,2.0,,,91,2020-03-08
St Kilda,2020,25,Collingwood,3,L,44,7,1.0,3.0,10,,,,,3.0,,,1.0,,1.0,,1.0,8,,,4.0,,,81,2020-03-15
St Kilda,2020,26,Richmond,4,W,44,8,1.0,2.0,10,,,,2.0,2.0,,,,1.0,,,1.0,6,,,4.0,,,91,2020-03-22
St Kilda,2020,27,Carlton,5,W,44,12,5.0,6.0,18,,,,,5.0,1.0,1.0,1.0,,1.0,,5.0,10,2.0,,1.0,,,83,2020-03-29
St Kilda,2020,28,Fremantle,6,L,44,14,3.0,4.0,18,,,,1.0,7.0,1.0,,1.0,,,,5.0,9,,,6.0,,,85,2020-04-05
St Kilda,2020,29,Adelaide,7,W,44,6,4.0,2.0,8,,,,1.0,2.0,,,4.0,,2.0,,2.0,5,,,2.0,,,80,2020-04-12
St Kilda,2020,30,Port Adelaide,8,W,44,8,2.0,1.0,9,,,,1.0,4.0,,,3.0,,1.0,,2.0,5,,,2.0,,,87,2020-04-19
St Kilda,2020,31,Sydney,9,W,44,15,2.0,1.0,16,,,,3.0,6.0,1.0,1.0,3.0,1.0,,,3.0,8,,,4.0,,,89,2020-04-26
St Kilda,2020,32,Gold Coast,10,W,44,14,6.0,4.0,18,,,,,4.0,2.0,,2.0,1.0,1.0,,5.0,9,3.0,,4.0,,,91,2020-05-03
St Kilda,2020,33,Geelong,11,L,44,9,2.0,1.0,10,,,,2.0,2.0,2.0,,,,,,,7,,,3.0,,,79,2020-05-10
St Kilda,2020,34,Essendon,12,W,44,8,3.0,5.0,13,,,,1.0,3.0,,,1.0,1.0,1.0,,6.0,6,,,4.0,,,95,2020-05-17
St Kilda,2020,35,Brisbane Lions,13,L,44,10,2.0,2.0,12,,,,1.0,4.0,,1.0,2.0,1.0,,,5.0,4,,,2.0,,,92,2020-05-24
St Kilda,2020,36,Melbourne,14,L,44,7,4.0,8.0,15,,,,,2.0,,1.0,,,,,10.0,4,2.0,,3.0,,,92,2020-05-31
St Kilda,2020,37,Hawthorn,16,W,44,8,6.0,3.0,11,,,,,3.0,,,,,,,4.0,6,1.0,,1.0,,,87,2020-06-14
St Kilda,2020,38,West Coast,17,L,44,7,3.0,2.0,9,,,,2.0,3.0,,,2.0,1.0,1.0,,2.0,6,,,6.0,,,88,2020-06-21
St Kilda,2020,39,Greater Western Sydney,18,W,44,9,4.0,2.0,11,,,,1.0,5.0,,,1.0,,,,4.0,4,1.0,,4.0,,,89,2020-06-28
St Kilda,2020,40,Western Bulldogs,EF,W,44,12,4.0,2.0,14,,,,1.0,4.0,1.0,,6.0,1.0,2.0,,4.0,9,1.0,,3.0,,,91,2020-03-01
St Kilda,2020,41,Richmond,SF,L,44,7,4.0,3.0,10,,,,,3.0,,,,,,,3.0,6,,,3.0,,,100,2020-03-01
St Kilda,2021,42,Greater Western Sydney,1,W,44,8,,4.0,12,,,,2.0,4.0,,,3.0,2.0,1.0,,5.0,5,,,2.0,,,92,2021-03-01
St Kilda,2021,43,Melbourne,2,L,44,16,6.0,4.0,20,,,,7.0,4.0,,,3.0,2.0,,,4.0,13,,,6.0,,,96,2021-03-08
St Kilda,2021,44,Essendon,3,L,44,10,4.0,3.0,13,,,,,1.0,,,2.0,1.0,2.0,,4.0,9,2.0,,4.0,,,95,2021-03-15
St Kilda,2021,45,West Coast,4,W,44,12,6.0,,12,,,,1.0,2.0,,1.0,3.0,,2.0,,2.0,11,,,14.0,2.0,,97,2021-03-22
St Kilda,2021,46,Richmond,5,L,44,12,9.0,5.0,17,,,,1.0,4.0,1.0,,1.0,2.0,,,6.0,11,,,2.0,,,93,2021-03-29
St Kilda,2021,47,Port Adelaide,6,L,44,10,5.0,1.0,11,,,,1.0,5.0,3.0,1.0,5.0,1.0,3.0,,5.0,5,2.0,,2.0,,,93,2021-04-05
St Kilda,2021,48,Hawthorn,7,W,44,13,7.0,8.0,21,,,,2.0,5.0,,,2.0,,,,7.0,13,2.0,,4.0,,,97,2021-04-12
St Kilda,2021,49,Gold Coast,8,W,44,16,14.0,9.0,25,,,,3.0,2.0,1.0,,4.0,1.0,3.0,,5.0,17,2.0,,7.0,1.0,,96,2021-04-19
St Kilda,2021,50,Geelong,9,L,44,8,3.0,2.0,10,,,,1.0,4.0,1.0,1.0,3.0,,,,2.0,8,,,2.0,,,96,2021-04-26
St Kilda,2021,51,Western Bulldogs,10,L,44,10,4.0,1.0,11,,,,,5.0,,,1.0,,1.0,,3.0,5,1.0,,7.0,,,96,2021-05-03
St Kilda,2021,52,North Melbourne,11,W,44,12,6.0,3.0,15,,,,2.0,4.0,,1.0,,2.0,,,5.0,10,,,6.0,,,93,2021-05-10
St Kilda,2021,53,Sydney,12,L,44,14,8.0,7.0,21,,,,1.0,6.0,3.0,,1.0,,,,5.0,14,2.0,,2.0,,,100,2021-05-17
St Kilda,2021,54,Adelaide,13,L,44,9,4.0,3.0,12,,,,2.0,5.0,,,4.0,2.0,3.0,,2.0,10,,,10.0,,,100,2021-05-24
St Kilda,2021,55,Richmond,15,W,44,14,9.0,3.0,17,,,,1.0,4.0,,,5.0,,1.0,,2.0,16,,,9.0,,,100,2021-06-07
St Kilda,2021,56,Collingwood,16,W,44,15,10.0,1.0,16,,,,1.0,6.0,,,,1.0,,,5.0,12,1.0,,5.0,,,89,2021-06-14
St Kilda,2021,57,Brisbane Lions,17,W,44,15,7.0,3.0,18,,,,2.0,4.0,1.0,,1.0,1.0,,,6.0,13,1.0,,4.0,,1.0,100,2021-06-21
St Kilda,2021,58,Port Adelaide,18,L,44,11,5.0,5.0,16,,1.0,,,3.0,1.0,,2.0,1.0,2.0,,6.0,11,2.0,,4.0,,,100,2021-06-28
St Kilda,2021,59,West Coast,19,L,44,11,5.0,4.0,15,,,,3.0,5.0,1.0,,3.0,,1.0,,5.0,10,,,4.0,,1.0,100,2021-07-05
