team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Western Bulldogs,2016,1,Melbourne,8,W,34,7,2.0,7,14,,1.0,,4.0,,5.0,1.0,1.0,,1.0,,5.0,10,,,2.0,,1.0,77,2016-04-19
Western Bulldogs,2016,2,Greater Western Sydney,9,L,34,9,4.0,7,16,,,,,2.0,5.0,,2.0,,,,4.0,14,,,2.0,,,78,2016-04-26
Western Bulldogs,2016,3,West Coast,11,W,34,4,2.0,9,13,,,,1.0,,,,3.0,,1.0,,5.0,7,,,2.0,,,61,2016-05-10
Western Bulldogs,2016,4,Port Adelaide,12,W,34,6,5.0,8,14,,,,1.0,2.0,2.0,,2.0,,2.0,,4.0,10,,,2.0,,1.0,72,2016-05-17
Western Bulldogs,2016,5,Geelong,13,L,34,7,3.0,13,20,,,,1.0,1.0,5.0,,3.0,,2.0,,10.0,12,,,2.0,,1.0,78,2016-05-24
Western Bulldogs,2016,6,Fremantle,23,L,34,6,2.0,10,16,,,,3.0,2.0,,,1.0,,,,1.0,15,,,2.0,,1.0,83,2016-08-02
Western Bulldogs,2017,7,Greater Western Sydney,6,L,34,9,3.0,2,11,,,,3.0,1.0,3.0,,2.0,,1.0,,1.0,9,,,3.0,2.0,,71,2017-04-05
Western Bulldogs,2017,8,Richmond,7,W,34,11,4.0,12,23,,1.0,,4.0,2.0,2.0,1.0,2.0,3.0,1.0,,8.0,17,1.0,,3.0,,2.0,79,2017-04-12
Western Bulldogs,2017,9,West Coast,8,L,34,8,3.0,6,14,,,,3.0,1.0,2.0,1.0,,,,,4.0,10,,,,,,68,2017-04-19
Western Bulldogs,2017,10,Geelong,9,L,34,9,2.0,10,19,,1.0,,2.0,3.0,2.0,,3.0,,,,4.0,15,,,1.0,,,72,2017-04-26
Western Bulldogs,2017,11,St Kilda,10,W,34,3,,9,12,,,,,1.0,,,,,,,4.0,9,,,2.0,,,76,2017-05-03
Western Bulldogs,2017,12,Carlton,17,W,34,7,7.0,7,14,,,,1.0,4.0,1.0,,1.0,1.0,,,3.0,12,1.0,,1.0,,,84,2017-06-21
Western Bulldogs,2017,13,Gold Coast,18,W,34,12,6.0,7,19,,1.0,,2.0,1.0,2.0,,4.0,,3.0,,1.0,19,,,4.0,1.0,,87,2017-06-28
Western Bulldogs,2017,14,Essendon,19,W,34,14,4.0,2,16,,,,3.0,6.0,,,2.0,,,,2.0,12,,,,,,76,2017-07-05
Western Bulldogs,2017,15,Brisbane Lions,20,W,34,12,5.0,8,20,,1.0,,2.0,3.0,3.0,,1.0,,,,3.0,12,1.0,,1.0,,2.0,81,2017-07-12
Western Bulldogs,2017,16,Greater Western Sydney,21,L,34,8,7.0,7,15,,1.0,,1.0,2.0,,,1.0,,,,3.0,11,,1.0,3.0,,,78,2017-07-19
Western Bulldogs,2017,17,Port Adelaide,22,L,34,11,3.0,8,19,,,,3.0,6.0,2.0,2.0,2.0,,1.0,,5.0,12,,,2.0,,,84,2017-07-26
Western Bulldogs,2017,18,Hawthorn,23,L,34,7,3.0,7,14,,1.0,,4.0,3.0,3.0,,3.0,,1.0,,3.0,9,,,2.0,,,68,2017-08-02
Western Bulldogs,2018,19,Greater Western Sydney,1,L,34,8,2.0,4,12,,1.0,,3.0,2.0,3.0,1.0,2.0,2.0,,,5.0,6,,,1.0,,,79,2018-03-01
Western Bulldogs,2018,20,West Coast,2,L,34,15,8.0,2,17,,1.0,,2.0,5.0,2.0,,2.0,1.0,,,4.0,9,1.0,1.0,2.0,,1.0,86,2018-03-08
Western Bulldogs,2018,21,Essendon,3,W,34,20,12.0,6,26,1.0,,,,7.0,3.0,1.0,1.0,,,1.0,6.0,18,,,5.0,,,84,2018-03-15
Western Bulldogs,2018,22,Sydney,4,L,34,12,4.0,8,20,,,,1.0,3.0,3.0,1.0,2.0,,,,7.0,12,2.0,,2.0,,,85,2018-03-22
Western Bulldogs,2018,23,Carlton,6,W,34,13,4.0,7,20,,,,2.0,5.0,3.0,,4.0,1.0,3.0,,3.0,14,,,2.0,,,77,2018-04-05
Western Bulldogs,2018,24,Gold Coast,7,W,34,17,6.0,4,21,1.0,,,1.0,8.0,6.0,,3.0,,1.0,,4.0,13,1.0,,4.0,1.0,,83,2018-04-12
Western Bulldogs,2018,25,Brisbane Lions,8,W,34,14,4.0,9,23,,,,1.0,8.0,,1.0,5.0,1.0,1.0,,11.0,11,1.0,,2.0,,,83,2018-04-19
Western Bulldogs,2018,26,Adelaide,9,L,34,17,4.0,7,24,,,,3.0,2.0,2.0,,4.0,,,,12.0,6,1.0,,6.0,,,79,2018-04-26
