team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Port Adelaide,2021,1,Sydney,15,W,23,6,1,1.0,7,,,,3.0,,2.0,,1.0,,1.0,,2.0,2,,,,,,66,2021-06-07
Port Adelaide,2023,2,Sydney,4,W,23,13,2,3.0,16,,,,1.0,8.0,2.0,,4.0,,2.0,,4.0,9,1.0,,1.0,2.0,,75,2023-03-22
Port Adelaide,2023,3,Western Bulldogs,5,W,23,8,3,2.0,10,,,,2.0,1.0,1.0,,,1.0,,,5.0,4,,,2.0,,,78,2023-03-29
Port Adelaide,2023,4↑,West Coast,6,W,23,7,2,2.0,9,,,,1.0,3.0,2.0,1.0,4.0,,1.0,,6.0,3,1.0,,1.0,,1.0,53,2023-04-05
Port Adelaide,2023,5,St Kilda,7,W,23,14,5,3.0,17,,,,1.0,9.0,2.0,1.0,1.0,,,,5.0,10,,,4.0,,,82,2023-04-12
Port Adelaide,2023,6,Essendon,8,W,23,17,8,7.0,24,,,,,4.0,5.0,,4.0,3.0,,,5.0,17,,,4.0,,,79,2023-04-19
Port Adelaide,2023,7,North Melbourne,9,W,23,10,4,6.0,16,,,,2.0,4.0,2.0,2.0,1.0,,,,6.0,7,2.0,,2.0,1.0,,76,2023-04-26
Port Adelaide,2023,8,Melbourne,10,W,23,18,5,4.0,22,,,,1.0,7.0,3.0,,5.0,1.0,,,6.0,12,,1.0,1.0,,,86,2023-05-03
Port Adelaide,2023,9,Richmond,11,W,23,12,6,1.0,13,,,,,8.0,,,4.0,,,,3.0,8,1.0,,,,,84,2023-05-10
Port Adelaide,2023,10,Hawthorn,12,W,23,12,9,7.0,19,,,,,5.0,3.0,1.0,1.0,1.0,,,5.0,13,2.0,,3.0,,,74,2023-05-17
Port Adelaide,2023,11,Western Bulldogs,13,W,23,13,5,3.0,16,,1.0,,1.0,3.0,1.0,,1.0,,,,2.0,11,1.0,,2.0,,,78,2023-05-24
Port Adelaide,2023,12,Geelong,14,W,23,14,8,5.0,19,,,,,8.0,3.0,1.0,3.0,,,,4.0,11,1.0,,2.0,,,81,2023-05-31
Port Adelaide,2023,13,Essendon,16,W,23,16,5,6.0,22,,,,,6.0,4.0,,,,,,7.0,12,1.0,,1.0,,,73,2023-06-14
Port Adelaide,2023,14,Gold Coast,17,W,23,15,3,2.0,17,,,,,2.0,4.0,1.0,,,,,3.0,12,,,5.0,1.0,,83,2023-06-21
Port Adelaide,2023,15,Carlton,18,L,23,11,4,7.0,18,,,,1.0,7.0,2.0,1.0,2.0,,1.0,,5.0,7,,,1.0,,,66,2023-06-28
Port Adelaide,2023,16↑,Collingwood,19,L,23,2,1,1.0,3,,,,,,1.0,1.0,1.0,,,,2.0,1,,,,,,14,2023-07-05
Port Adelaide,2023,17,Adelaide,20,L,23,7,2,,7,,,,,1.0,2.0,,1.0,,,,1.0,4,,,,1.0,,79,2023-07-12
Port Adelaide,2023,18,Geelong,21,L,23,14,9,2.0,16,,,,2.0,4.0,3.0,,1.0,1.0,1.0,,3.0,11,1.0,,3.0,,1.0,78,2023-07-19
Port Adelaide,2023,19,Greater Western Sydney,22,W,23,14,4,1.0,15,,,,1.0,7.0,2.0,,2.0,1.0,,,3.0,10,1.0,,5.0,,,69,2023-07-26
Port Adelaide,2023,20,Fremantle,23,W,23,20,10,,20,,,,1.0,10.0,1.0,,3.0,,2.0,,2.0,16,,,,,,81,2023-08-02
Port Adelaide,2023,21↑,Richmond,24,W,23,6,5,1.0,7,,,,,2.0,,,1.0,,,,3.0,4,2.0,,,,,30,2023-08-09
Port Adelaide,2023,22,Brisbane Lions,QF,L,23,4,1,2.0,6,,,,2.0,1.0,1.0,,1.0,,1.0,,4.0,1,1.0,,1.0,,,46,2023-03-01
Port Adelaide,2024,23↑,Richmond,3,W,23,4,1,2.0,6,,,,,2.0,1.0,,,,,,,4,,,,,,36,2024-03-15
Port Adelaide,2024,24,St Kilda,8,W,23,8,5,2.0,10,,,,1.0,4.0,1.0,,1.0,,1.0,,3.0,6,1.0,,1.0,,,76,2024-04-19
Port Adelaide,2024,25,Adelaide,9,L,23,8,3,2.0,10,,,,,3.0,3.0,,,,,,2.0,7,1.0,,,,,74,2024-04-26
Port Adelaide,2024,26,Greater Western Sydney,15,L,23,11,5,1.0,12,,,,1.0,6.0,,,2.0,,,,2.0,6,1.0,,2.0,,,67,2024-06-07
Port Adelaide,2024,27,Richmond,20,W,23,10,5,2.0,12,,,,,6.0,1.0,,2.0,,1.0,,3.0,7,,,,,,70,2024-07-12
Port Adelaide,2025,28↑,Hawthorn,20,L,23,1,,,1,,,,,,,,,,,,,,,,,,,34,2025-07-12
