team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Brisbane Lions,2022,1,Richmond,EF,W,44,6,1,5,11,1,,,3,2,3,2,2,2,,,3,7,,,2,,,69,2022-08-09
Brisbane Lions,2022,2,Melbourne,SF,W,44,10,1,5,15,,,,4,,2,1,2,2,,,8,7,,,2,,,75,2022-08-16
Brisbane Lions,2022,3,Geelong,PF,L,44,7,4,5,12,,,,3,3,,2,1,,1,,9,4,,,,1,,74,2022-08-23
Brisbane Lions,2023,4,Port Adelaide,1,L,44,10,4,1,11,,1,,1,3,1,1,1,,,,4,7,1,2,1,,,77,2023-03-01
Brisbane Lions,2023,5,Melbourne,2,W,44,12,2,1,13,,,,3,2,3,2,3,2,,,6,7,,,2,,1,70,2023-03-08
Brisbane Lions,2023,6,Western Bulldogs,3,L,44,11,7,4,15,,,,1,2,2,,2,,,,5,11,1,,2,,,73,2023-03-15
Brisbane Lions,2023,7,Collingwood,4,W,44,6,1,2,8,1,,,1,1,,,4,1,,,7,3,,1,3,,,64,2023-03-22
Brisbane Lions,2023,8,North Melbourne,5,W,44,7,1,3,10,1,1,,5,,2,,1,3,1,,6,4,,,,,1,65,2023-03-29
Brisbane Lions,2023,9,Greater Western Sydney,6,W,44,6,,2,8,,,,,,,1,1,,,,3,6,,,2,,,72,2023-04-05
Brisbane Lions,2023,10,Fremantle,7,W,44,10,7,5,15,,,,1,,2,,2,,,,4,11,,1,,,,70,2023-04-12
Brisbane Lions,2023,11,Carlton,8,W,44,3,1,5,8,,,,3,,2,1,,,,,5,3,,,2,,,76,2023-04-19
Brisbane Lions,2023,12,Essendon,9,W,44,12,4,4,16,,1,,,1,2,,,2,,,8,6,1,,3,1,1,80,2023-04-26
Brisbane Lions,2023,13,Gold Coast,10,W,44,18,6,4,22,,,,,4,3,1,6,3,3,,10,11,,,4,,,81,2023-05-03
Brisbane Lions,2023,14,Adelaide,11,L,44,9,2,3,12,,,,2,3,3,1,5,1,2,,3,10,,,,,,70,2023-05-10
Brisbane Lions,2023,15,Hawthorn,13,L,44,10,3,8,18,,,,4,4,2,3,4,,1,,6,13,,,2,2,1,77,2023-05-24
Brisbane Lions,2023,16,Sydney,14,W,44,14,4,5,19,,,,,8,2,2,3,,1,,7,9,,,1,,1,81,2023-05-31
