team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Carlton,2025,1,Port Adelaide,17,L,35,5,,2,7,,,,2.0,2.0,,,2.0,1.0,1.0,,,5,,,1.0,,,63,2025-06-21
Carlton,2025,2,Gold Coast,23,L,35,4,1.0,5,9,,,,3.0,1.0,1.0,,,2.0,,,5.0,3,,,,,,73,2025-08-02
Carlton,2025,3,Port Adelaide,24,W,35,8,3.0,5,13,,,,1.0,,3.0,,2.0,,,,3.0,11,,,2.0,,,76,2025-08-09
Carlton,2025,4,Essendon,25,W,35,12,9.0,7,19,,,,2.0,2.0,3.0,1.0,1.0,,,,1.0,18,,,1.0,,,78,2025-08-16
Carlton,2026,5,Brisbane Lions,10,L,15,4,2.0,6,10,,,,1.0,2.0,1.0,1.0,2.0,,1.0,,3.0,7,,,,,,49,2026-05-03
Carlton,2026,6,Western Bulldogs,11,W,15,11,8.0,8,19,,,,2.0,2.0,2.0,1.0,4.0,,1.0,,4.0,13,,,1.0,,,72,2026-05-10
Carlton,2026,7,Port Adelaide,12,W,15,10,3.0,12,22,,1.0,,1.0,4.0,2.0,,2.0,,1.0,,5.0,16,,,1.0,1.0,,80,2026-05-17
Carlton,2026,8,Geelong,13,W,15,17,5.0,5,22,,,,3.0,4.0,2.0,1.0,2.0,2.0,,,5.0,13,,,,4.0,,71,2026-05-24
Carlton,2026,9,Essendon,14,W,15,18,6.0,6,24,,,,,3.0,1.0,1.0,2.0,1.0,1.0,,4.0,17,,,,,,76,2026-05-31
Carlton,2026,10,Greater Western Sydney,16,W,15,7,2.0,8,15,,,,2.0,3.0,,2.0,1.0,1.0,,,3.0,10,,,,1.0,,75,2026-06-14
Carlton,2026,11,West Coast,17,W,15,16,12.0,9,25,,,,1.0,3.0,3.0,,4.0,1.0,2.0,,4.0,21,,,1.0,2.0,,79,2026-06-21
Carlton,2026,12,Richmond,18,W,15,10,2,7,17,,,,2,5,2,,2,1,,,7,8,,,3,3,,63,2026-06-28
