team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Brisbane Lions,2017,1,Greater Western Sydney,14,L,29,12.0,7.0,8.0,20.0,,,,1.0,7.0,,1.0,2.0,,,,4.0,16.0,,,2.0,,,83.0,2017-05-31
Brisbane Lions,2017,2,Essendon,15,W,29,16.0,8.0,13.0,29.0,,,,1.0,6.0,1.0,2.0,5.0,,2.0,,9.0,18.0,,,2.0,,,82.0,2017-06-07
Brisbane Lions,2017,3,Geelong,16,L,29,13.0,6.0,8.0,21.0,,,,3.0,2.0,1.0,1.0,4.0,,1.0,,5.0,10.0,1.0,,1.0,,,85.0,2017-06-14
Brisbane Lions,2017,4,Richmond,17,L,29,18.0,1.0,10.0,28.0,,,,4.0,3.0,4.0,2.0,4.0,2.0,1.0,,8.0,14.0,,,1.0,1.0,,75.0,2017-06-21
Brisbane Lions,2017,5,Carlton,18,W,29,18.0,7.0,4.0,22.0,1.0,,,2.0,5.0,3.0,,4.0,,,,3.0,15.0,1.0,,2.0,,,82.0,2017-06-28
Brisbane Lions,2017,6,West Coast,19,L,29,18.0,5.0,10.0,28.0,,,,4.0,5.0,2.0,1.0,4.0,1.0,1.0,,6.0,19.0,,,,,,80.0,2017-07-05
Brisbane Lions,2017,7,Western Bulldogs,20,L,29,15.0,3.0,4.0,19.0,,,,2.0,5.0,1.0,,1.0,3.0,1.0,,4.0,11.0,,,1.0,1.0,,73.0,2017-07-12
Brisbane Lions,2017,8,Melbourne,22,L,29,13.0,6.0,5.0,18.0,,,,5.0,3.0,1.0,,3.0,,2.0,,2.0,13.0,,,,,1.0,70.0,2017-07-26
Brisbane Lions,2017,9,North Melbourne,23,L,29,20.0,5.0,7.0,27.0,1.0,,,1.0,8.0,1.0,,3.0,,,,3.0,19.0,,,3.0,,,85.0,2017-08-02
Brisbane Lions,2018,10,St Kilda,1,L,29,12.0,3.0,9.0,21.0,,,,2.0,5.0,1.0,2.0,1.0,1.0,,,6.0,12.0,,,2.0,,,79.0,2018-03-01
Brisbane Lions,2018,11,Melbourne,2,L,29,16.0,5.0,8.0,24.0,,,,1.0,5.0,5.0,1.0,5.0,,2.0,,9.0,12.0,,,1.0,,,83.0,2018-03-08
Brisbane Lions,2018,12,Port Adelaide,3,L,29,18.0,7.0,2.0,20.0,,,,,5.0,,,,1.0,,,3.0,11.0,,,2.0,,,75.0,2018-03-15
Brisbane Lions,2018,13,Richmond,4,L,29,19.0,8.0,8.0,27.0,,,,,4.0,3.0,2.0,1.0,,,,5.0,19.0,,,3.0,,,88.0,2018-03-22
Brisbane Lions,2018,14,Gold Coast,5,L,29,17.0,14.0,10.0,27.0,,,,3.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,4.0,21.0,,,4.0,1.0,,90.0,2018-03-29
Brisbane Lions,2018,15,Greater Western Sydney,6,L,29,14.0,5.0,8.0,22.0,,1.0,,3.0,6.0,1.0,,1.0,,1.0,,3.0,14.0,,,3.0,,,82.0,2018-04-05
Brisbane Lions,2018,16,Collingwood,7,L,29,12.0,9.0,5.0,17.0,,,,1.0,2.0,,,5.0,,2.0,,,15.0,,,3.0,,,81.0,2018-04-12
Brisbane Lions,2018,17,Western Bulldogs,8,L,29,18.0,8.0,,18.0,,1.0,,3.0,8.0,1.0,,,,,,1.0,11.0,1.0,1.0,3.0,4.0,,88.0,2018-04-19
Brisbane Lions,2018,18,Hawthorn,9,W,29,14.0,6.0,10.0,24.0,,,,2.0,1.0,2.0,2.0,3.0,,,,5.0,18.0,,,,,,81.0,2018-04-26
Brisbane Lions,2018,19,Sydney,10,L,29,12.0,4.0,3.0,15.0,,,,1.0,3.0,1.0,,3.0,,1.0,,2.0,11.0,,,,,,73.0,2018-05-03
Brisbane Lions,2018,20,North Melbourne,11,L,29,11.0,5.0,11.0,22.0,,,,2.0,4.0,2.0,3.0,2.0,,,,8.0,13.0,,,1.0,,,86.0,2018-05-10
Brisbane Lions,2018,21,Essendon,12,L,29,25.0,12.0,4.0,29.0,,1.0,,2.0,5.0,5.0,,2.0,2.0,1.0,,6.0,21.0,1.0,,1.0,,,77.0,2018-05-17
Brisbane Lions,2018,22,Greater Western Sydney,14,L,29,10.0,9.0,9.0,19.0,,,,,3.0,3.0,,1.0,,1.0,,2.0,15.0,,,2.0,,,83.0,2018-05-31
Brisbane Lions,2018,23,Fremantle,15,W,29,15.0,5.0,6.0,21.0,1.0,,,,5.0,4.0,2.0,2.0,1.0,,,4.0,13.0,,,3.0,,1.0,79.0,2018-06-07
Brisbane Lions,2018,24,Carlton,16,W,29,23.0,9.0,8.0,31.0,,,,1.0,9.0,,,,,,,2.0,25.0,,,1.0,,,79.0,2018-06-14
Brisbane Lions,2018,25,Hawthorn,17,W,29,19.0,6.0,8.0,27.0,,,,2.0,8.0,3.0,1.0,2.0,1.0,1.0,,4.0,19.0,,,3.0,,,84.0,2018-06-21
Brisbane Lions,2018,26,Adelaide,18,L,29,26.0,12.0,5.0,31.0,,,,4.0,7.0,3.0,1.0,1.0,1.0,1.0,,6.0,21.0,,,1.0,,,87.0,2018-06-28
Brisbane Lions,2018,27,Geelong,19,L,29,12.0,4.0,8.0,20.0,,,,4.0,4.0,1.0,,4.0,,1.0,,4.0,14.0,,,,,,76.0,2018-07-05
Brisbane Lions,2018,28,North Melbourne,20,L,29,17.0,9.0,5.0,22.0,,,,1.0,2.0,3.0,,1.0,,1.0,,,21.0,,1.0,2.0,,1.0,83.0,2018-07-12
Brisbane Lions,2018,29,Collingwood,21,L,29,22.0,11.0,8.0,30.0,,,,2.0,6.0,1.0,,1.0,,,,4.0,21.0,,,2.0,,1.0,78.0,2018-07-19
Brisbane Lions,2018,30,Gold Coast,22,W,29,4.0,1.0,,4.0,,,,,2.0,,,,,,,1.0,2.0,,,,,,11.0,2018-07-26
Brisbane Lions,2019,31,West Coast,1,W,29,16.0,7.0,9.0,25.0,,,,,3.0,2.0,1.0,3.0,2.0,2.0,,5.0,17.0,,,4.0,,,86.0,2019-03-01
Brisbane Lions,2019,32,North Melbourne,2,W,29,14.0,7.0,4.0,18.0,,,,1.0,5.0,,1.0,1.0,,,,4.0,12.0,,,1.0,1.0,,85.0,2019-03-08
Brisbane Lions,2019,33,Port Adelaide,3,W,29,20.0,9.0,7.0,27.0,,,,2.0,6.0,1.0,,4.0,1.0,2.0,,6.0,14.0,,,2.0,,,91.0,2019-03-15
Brisbane Lions,2019,34,Essendon,4,L,29,20.0,5.0,8.0,28.0,,,,1.0,11.0,2.0,,3.0,,1.0,,3.0,19.0,,,3.0,,,81.0,2019-03-22
Brisbane Lions,2019,35,Collingwood,5,L,29,20.0,8.0,5.0,25.0,,,,2.0,8.0,,1.0,3.0,4.0,,,4.0,16.0,,,2.0,,,76.0,2019-03-29
Brisbane Lions,2019,36,Gold Coast,6,W,29,13.0,4.0,3.0,16.0,1.0,,,2.0,5.0,3.0,,3.0,,,,2.0,11.0,,,2.0,,,86.0,2019-04-05
Brisbane Lions,2019,37,Sydney,7,W,29,12.0,5.0,3.0,15.0,,,,2.0,7.0,2.0,1.0,,,,,2.0,9.0,1.0,,1.0,,,80.0,2019-04-12
Brisbane Lions,2019,38,Western Bulldogs,8,L,29,18.0,8.0,4.0,22.0,,1.0,,1.0,7.0,2.0,2.0,1.0,,1.0,,4.0,14.0,,1.0,2.0,,,80.0,2019-04-19
Brisbane Lions,2019,39,Adelaide,9,W,29,20.0,6.0,4.0,24.0,,,,2.0,5.0,2.0,2.0,3.0,,1.0,,4.0,16.0,,,2.0,1.0,,87.0,2019-04-26
Brisbane Lions,2019,40,Fremantle,10,L,29,12.0,5.0,3.0,15.0,,,,1.0,1.0,5.0,,5.0,,3.0,,3.0,12.0,1.0,,2.0,,,90.0,2019-05-03
Brisbane Lions,2019,41,Hawthorn,11,W,29,9.0,5.0,6.0,15.0,,,,,3.0,1.0,,2.0,,1.0,,3.0,12.0,,,2.0,,,78.0,2019-05-10
Brisbane Lions,2019,42,Carlton,12,L,29,13.0,5.0,5.0,18.0,,,,3.0,6.0,,,5.0,,,,4.0,9.0,,,1.0,,,77.0,2019-05-17
Brisbane Lions,2019,43,St Kilda,14,W,29,19.0,6.0,2.0,21.0,,,,3.0,2.0,2.0,,2.0,1.0,,,4.0,11.0,,,2.0,,,86.0,2019-05-31
Brisbane Lions,2019,44,Greater Western Sydney,16,W,29,13.0,5.0,2.0,15.0,,,,1.0,3.0,2.0,1.0,4.0,,2.0,,2.0,11.0,,,,,,78.0,2019-06-14
