team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Fremantle,2023,1↑,Carlton,17,L,40,3,1.0,4,7,,,,1.0,,1.0,,2.0,,1.0,,,7,,,,,,31,2023-06-21
Fremantle,2023,2,West Coast,22,W,40,9,4.0,6,15,,,,,3.0,1.0,2.0,1.0,1.0,,,4.0,11,,,5.0,,1.0,79,2023-07-26
Fremantle,2023,3,Port Adelaide,23,L,40,3,3.0,2,5,,,,,1.0,,,1.0,,,,,5,,,,,,78,2023-08-02
Fremantle,2023,4,Hawthorn,24,W,40,8,4.0,9,17,,1.0,,,5.0,1.0,,2.0,,,,3.0,13,,1.0,1.0,,,80,2023-08-09
Fremantle,2024,5↓,Brisbane Lions,2,W,23,5,3.0,7,12,,,,1.0,2.0,2.0,,,,,,2.0,10,,,1.0,,,48,2024-03-08
Fremantle,2024,6,Western Bulldogs,15,L,23,9,6.0,7,16,,,,3.0,2.0,,,3.0,,,,4.0,9,,,2.0,,,81,2024-06-07
Fremantle,2024,7↑,Gold Coast,16,W,23,3,2.0,2,5,,,,,1.0,,,,1.0,,,2.0,4,,,,,,22,2024-06-14
Fremantle,2024,8↑,Geelong,23,L,23,1,,4,5,,,,,,,,1.0,,,,2.0,3,,,1.0,,,16,2024-08-02
Fremantle,2025,9,Geelong,2,L,23,4,,7,11,,,,5.0,,1.0,,2.0,1.0,1.0,,4.0,5,,,3.0,,,71,2025-03-08
Fremantle,2025,10,West Coast,4,W,23,9,3.0,4,13,,,,,2.0,1.0,,2.0,,,,3.0,8,,,3.0,,,83,2025-03-22
Fremantle,2025,11↑,Western Bulldogs,5,W,23,4,2.0,4,8,,,,,2.0,,,1.0,,,,4.0,3,,,1.0,,,31,2025-03-29
Fremantle,2025,12,Richmond,6,W,23,13,9.0,6,19,,,,2.0,2.0,3.0,,2.0,,,,4.0,15,2.0,,2.0,,,83,2025-04-05
Fremantle,2025,13,Melbourne,7,L,23,12,8.0,3,15,,,,1.0,4.0,1.0,,,,,,,14,,,,,,83,2025-04-12
Fremantle,2025,14,Adelaide,8,W,23,8,4.0,9,17,,,,2.0,2.0,3.0,2.0,1.0,2.0,,,4.0,12,1.0,,3.0,,,81,2025-04-19
Fremantle,2025,15,St Kilda,9,L,23,7,4.0,8,15,,,,2.0,4.0,,1.0,,,,,4.0,9,,,3.0,,,76,2025-04-26
Fremantle,2025,16,Collingwood,10,L,23,9,6.0,3,12,,,,2.0,2.0,2.0,,1.0,1.0,1.0,,3.0,9,,,,,,76,2025-05-03
Fremantle,2025,17,Greater Western Sydney,11,W,23,5,4.0,3,8,,,,,2.0,,,,,,,1.0,6,,,3.0,,,84,2025-05-10
Fremantle,2025,18,Port Adelaide,12,W,23,10,4.0,8,18,,,,4.0,3.0,,1.0,2.0,1.0,1.0,,7.0,9,1.0,,2.0,,,82,2025-05-17
Fremantle,2025,19↓,Gold Coast,13,W,23,5,3.0,5,10,,,,1.0,5.0,,1.0,3.0,,1.0,,2.0,7,,,4.0,,,54,2025-05-24
Fremantle,2025,20,North Melbourne,15,W,23,6,1.0,9,15,,,,3.0,3.0,,1.0,1.0,3.0,1.0,,8.0,9,1.0,,2.0,,,85,2025-06-07
Fremantle,2025,21,Essendon,16,W,23,10,7.0,8,18,,,,2.0,2.0,2.0,1.0,2.0,,,,2.0,15,1.0,,2.0,,,84,2025-06-14
Fremantle,2025,22,St Kilda,17,W,23,9,3.0,3,12,,1.0,,1.0,2.0,1.0,,1.0,1.0,,,4.0,6,1.0,,5.0,,,88,2025-06-21
Fremantle,2025,23,Sydney,18,L,23,8,5.0,8,16,,,,2.0,2.0,1.0,,1.0,,,,2.0,14,,,3.0,1.0,,83,2025-06-28
Fremantle,2025,24,Hawthorn,19,W,23,7,2.0,5,12,,,,2.0,2.0,1.0,,3.0,,1.0,,1.0,11,,,4.0,,,70,2025-07-05
Fremantle,2025,25↓,Collingwood,20,W,23,8,5.0,7,15,,,,1.0,3.0,1.0,,5.0,,2.0,,5.0,9,,,3.0,1.0,,53,2025-07-12
Fremantle,2025,26,West Coast,21,W,23,6,3,7,13,,1,,3,3,,,1,,,,3,10,,,3,,,82,2025-07-19
