team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Gold Coast,2015,1,Sydney,10,L,30,3.0,2.0,2.0,5,1.0,1.0,,,,1.0,,2.0,1.0,,,3,2.0,,1.0,3.0,,,89,2015-05-03
Gold Coast,2015,2,Fremantle,11,L,30,4.0,3.0,3.0,7,,,4.0,2.0,,,1.0,3.0,1.0,,,3,4.0,1.0,,2.0,,,87,2015-05-10
Gold Coast,2015,3,Greater Western Sydney,16,L,30,5.0,3.0,,5,,,3.0,1.0,1.0,2.0,1.0,1.0,2.0,,,4,2.0,2.0,1.0,1.0,,,77,2015-06-14
Gold Coast,2016,4,North Melbourne,5,L,30,12.0,8.0,5.0,17,3.0,1.0,4.0,2.0,1.0,5.0,,,4.0,,,11,6.0,4.0,2.0,5.0,,1.0,89,2016-03-29
Gold Coast,2016,5,Geelong,6,L,30,3.0,2.0,2.0,5,,,3.0,,,2.0,,2.0,,,,3,3.0,,,9.0,,,92,2016-04-05
Gold Coast,2016,6,Melbourne,7,L,30,3.0,3.0,6.0,9,2.0,,7.0,3.0,,,,3.0,1.0,,,6,3.0,1.0,2.0,4.0,,,95,2016-04-12
Gold Coast,2016,7,Adelaide,9,L,30,7.0,9.0,8.0,15,3.0,2.0,5.0,,,3.0,,2.0,,,,6,9.0,2.0,6.0,4.0,,1.0,89,2016-04-26
Gold Coast,2016,8,West Coast,10,L,30,2.0,2.0,7.0,9,,1.0,4.0,1.0,,1.0,2.0,1.0,1.0,,,5,4.0,1.0,1.0,3.0,,,84,2016-05-03
Gold Coast,2016,9,Sydney,11,L,30,5.0,2.0,5.0,10,,,5.0,4.0,,3.0,1.0,3.0,1.0,1.0,,8,4.0,1.0,,6.0,,,88,2016-05-10
Gold Coast,2016,10,Richmond,12,L,30,4.0,5.0,6.0,10,2.0,1.0,2.0,,,,1.0,,1.0,,,6,5.0,3.0,3.0,1.0,,,88,2016-05-17
Gold Coast,2016,11,Hawthorn,14,L,30,6.0,4.0,3.0,9,1.0,,5.0,1.0,,5.0,,,,,,2,7.0,,1.0,4.0,,1.0,90,2016-05-31
Gold Coast,2016,12,St Kilda,15,W,30,9.0,10.0,5.0,14,3.0,1.0,2.0,,,2.0,,1.0,,,,3,11.0,3.0,4.0,3.0,,3.0,93,2016-06-07
Gold Coast,2016,13,Brisbane Lions,16,W,30,13.0,12.0,7.0,20,5.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,,3.0,8,12.0,4.0,6.0,2.0,,3.0,95,2016-06-14
Gold Coast,2016,14,Western Bulldogs,17,L,30,1.0,,5.0,6,,,7.0,3.0,2.0,,1.0,1.0,1.0,,,3,3.0,,,3.0,,,87,2016-06-21
Gold Coast,2016,15,Fremantle,18,W,30,12.0,8.0,5.0,17,3.0,1.0,4.0,3.0,,2.0,2.0,2.0,2.0,,,4,12.0,1.0,2.0,3.0,,,86,2016-06-28
Gold Coast,2016,16,Melbourne,19,L,30,5.0,4.0,4.0,9,,,6.0,3.0,,2.0,1.0,1.0,,1.0,,6,3.0,3.0,,4.0,,,86,2016-07-05
Gold Coast,2016,17,Greater Western Sydney,20,L,30,10.0,4.0,6.0,16,2.0,,8.0,,,1.0,2.0,2.0,1.0,,,7,8.0,1.0,1.0,2.0,,,87,2016-07-12
Gold Coast,2016,18,Essendon,21,L,30,9.0,7.0,5.0,14,2.0,2.0,4.0,2.0,,3.0,1.0,1.0,,,,7,7.0,3.0,3.0,6.0,,,83,2016-07-19
Gold Coast,2016,19,Collingwood,22,L,30,3.0,2.0,6.0,9,1.0,,1.0,3.0,,1.0,,2.0,2.0,1.0,,7,2.0,2.0,1.0,,,,82,2016-07-26
Gold Coast,2016,20,Port Adelaide,23,L,30,2.0,1.0,4.0,6,,,,1.0,,2.0,,1.0,,,,4,3.0,,,5.0,,,89,2016-08-02
Gold Coast,2017,21,Brisbane Lions,1,L,30,9.0,4.0,5.0,14,1.0,3.0,3.0,4.0,,3.0,1.0,4.0,1.0,2.0,,5,9.0,1.0,3.0,3.0,,,90,2017-03-01
Gold Coast,2017,22,Greater Western Sydney,2,L,30,6.0,5.0,6.0,12,1.0,,2.0,,,1.0,2.0,1.0,2.0,,,6,7.0,1.0,1.0,4.0,,,91,2017-03-08
Gold Coast,2017,23,Hawthorn,3,W,30,7.0,5.0,8.0,15,,1.0,8.0,1.0,,2.0,,1.0,1.0,,,6,8.0,,1.0,3.0,,,89,2017-03-15
Gold Coast,2017,24,Carlton,4,W,30,6.0,5.0,4.0,10,3.0,1.0,4.0,2.0,,,,2.0,1.0,,,6,5.0,2.0,4.0,1.0,,,88,2017-03-22
Gold Coast,2017,25,Adelaide,5,L,30,6.0,6.0,8.0,14,,,9.0,2.0,,3.0,,1.0,1.0,,,7,7.0,2.0,,2.0,,2.0,86,2017-03-29
Gold Coast,2017,26,North Melbourne,6,L,30,10.0,8.0,4.0,14,2.0,,6.0,,1.0,4.0,,1.0,,,,2,12.0,1.0,1.0,,,,88,2017-04-05
Gold Coast,2017,27,Geelong,7,W,30,12.0,6.0,5.0,17,1.0,4.0,8.0,1.0,,4.0,1.0,2.0,1.0,,,6,10.0,3.0,3.0,2.0,,1.0,86,2017-04-12
Gold Coast,2017,28,Port Adelaide,8,L,30,8.0,5.0,8.0,16,,1.0,3.0,2.0,1.0,2.0,3.0,5.0,3.0,1.0,,5,11.0,,1.0,2.0,,,92,2017-04-19
Gold Coast,2017,29,Melbourne,10,L,30,7.0,6.0,2.0,9,2.0,1.0,3.0,1.0,,4.0,,2.0,,1.0,,4,7.0,2.0,2.0,2.0,,,88,2017-05-03
Gold Coast,2017,30,West Coast,11,W,30,9.0,8.0,3.0,12,2.0,2.0,6.0,4.0,1.0,4.0,,1.0,1.0,1.0,,4,8.0,2.0,4.0,1.0,,,87,2017-05-10
Gold Coast,2017,31,Hawthorn,12,W,30,7.0,10.0,7.0,14,2.0,,6.0,,,3.0,,2.0,1.0,1.0,,5,12.0,2.0,3.0,4.0,,1.0,86,2017-05-17
Gold Coast,2017,32,Carlton,13,L,30,3.0,1.0,6.0,9,1.0,,3.0,4.0,1.0,1.0,2.0,,,,,8,4.0,,,5.0,,1.0,86,2017-05-24
Gold Coast,2017,33,St Kilda,14,L,30,9.0,6.0,7.0,16,2.0,2.0,5.0,,1.0,2.0,2.0,,2.0,,,7,8.0,1.0,3.0,2.0,,,89,2017-05-31
Gold Coast,2017,34,North Melbourne,15,W,30,5.0,1.0,8.0,13,1.0,1.0,4.0,1.0,,2.0,,2.0,,,,3,8.0,1.0,1.0,5.0,,1.0,86,2017-06-07
Gold Coast,2017,35,Sydney,16,L,30,5.0,4.0,3.0,8,1.0,,6.0,3.0,2.0,,,4.0,,,,5,4.0,1.0,1.0,2.0,,,89,2017-06-14
Gold Coast,2017,36,Collingwood,17,L,30,8.0,6.0,3.0,11,3.0,,1.0,2.0,,1.0,,2.0,2.0,1.0,,7,5.0,2.0,3.0,6.0,,,94,2017-06-21
Gold Coast,2017,37,Western Bulldogs,18,L,30,3.0,5.0,7.0,10,1.0,,5.0,1.0,,4.0,,,,,,5,6.0,1.0,1.0,3.0,,1.0,81,2017-06-28
Gold Coast,2017,38,Richmond,19,L,30,8.0,7.0,3.0,11,1.0,1.0,3.0,2.0,,1.0,1.0,3.0,1.0,,,7,5.0,2.0,2.0,1.0,,,93,2017-07-05
Gold Coast,2017,39,Fremantle,20,L,30,9.0,7.0,7.0,16,3.0,,9.0,2.0,,3.0,1.0,2.0,1.0,1.0,,6,10.0,1.0,3.0,1.0,,,87,2017-07-12
Gold Coast,2017,40,Brisbane Lions,21,L,30,5.0,4.0,3.0,8,1.0,1.0,3.0,1.0,,1.0,1.0,,2.0,,,6,5.0,1.0,2.0,5.0,,1.0,86,2017-07-19
Gold Coast,2017,41,Essendon,22,L,30,5.0,5.0,3.0,8,1.0,,8.0,,,,,,,,,3,5.0,2.0,1.0,1.0,,,86,2017-07-26
Gold Coast,2017,42,Port Adelaide,23,L,30,12.0,7.0,7.0,19,2.0,1.0,8.0,2.0,1.0,3.0,2.0,2.0,2.0,,,7,12.0,,2.0,1.0,,,88,2017-08-02
Gold Coast,2018,43,Hawthorn,14,L,30,6.0,5.0,5.0,11,2.0,2.0,8.0,1.0,1.0,2.0,,2.0,3.0,,,8,4.0,2.0,4.0,5.0,,,88,2018-05-31
Gold Coast,2018,44,Collingwood,15,L,30,3.0,2.0,4.0,7,,,4.0,4.0,,2.0,,5.0,1.0,3.0,,6,3.0,1.0,,3.0,,,82,2018-06-07
Gold Coast,2018,45,North Melbourne,16,L,30,10.0,9.0,5.0,15,1.0,1.0,,2.0,1.0,4.0,,3.0,,,,2,13.0,,,2.0,,,86,2018-06-14
Gold Coast,2018,46,Essendon,17,L,30,7.0,4.0,2.0,9,,1.0,,5.0,,1.0,,1.0,1.0,,,3,4.0,1.0,1.0,3.0,,,85,2018-06-21
Gold Coast,2018,47,Sydney,18,W,30,10.0,9.0,10.0,20,,,,4.0,1.0,1.0,,3.0,,,,13,8.0,4.0,1.0,4.0,,,93,2018-06-28
Gold Coast,2018,48,Carlton,19,L,30,6.0,3.0,3.0,9,2.0,,8.0,1.0,1.0,,,2.0,2.0,1.0,,11,1.0,2.0,,7.0,,,90,2018-07-05
Gold Coast,2018,49,Melbourne,20,L,30,1.0,1.0,,1,,,,1.0,,,,,,,,1,,1.0,1.0,,,,3,2018-07-12
Gold Coast,2019,50,St Kilda,1,L,30,9.0,1.0,5.0,14,2.0,,6.0,,,,2.0,1.0,5.0,,,10,5.0,1.0,,3.0,,1.0,90,2019-03-01
Gold Coast,2019,51,Fremantle,2,W,30,9.0,6.0,6.0,15,,3.0,7.0,1.0,1.0,2.0,,1.0,,,,4,11.0,1.0,2.0,4.0,,1.0,84,2019-03-08
Gold Coast,2019,52,Western Bulldogs,3,W,30,9.0,6.0,2.0,11,,1.0,19.0,2.0,,3.0,1.0,2.0,,1.0,,5,7.0,3.0,1.0,4.0,,,86,2019-03-15
Gold Coast,2019,53,Carlton,4,W,30,6.0,5.0,3.0,9,1.0,1.0,3.0,,,1.0,1.0,2.0,1.0,,,5,5.0,1.0,2.0,4.0,,1.0,90,2019-03-22
Gold Coast,2019,54,Adelaide,5,L,30,12.0,7.0,3.0,15,3.0,3.0,10.0,,1.0,,,3.0,3.0,1.0,,4,10.0,,4.0,6.0,,,85,2019-03-29
Gold Coast,2019,55,Brisbane Lions,6,L,30,8.0,7.0,6.0,14,2.0,,3.0,,,2.0,1.0,1.0,,,,4,9.0,,2.0,7.0,,,88,2019-04-05
Gold Coast,2019,56,West Coast,7,L,30,9.0,7.0,1.0,10,2.0,1.0,4.0,2.0,,3.0,1.0,,1.0,,,6,6.0,2.0,1.0,4.0,,,88,2019-04-12
Gold Coast,2019,57,Melbourne,8,L,30,9.0,6.0,3.0,12,1.0,,11.0,,,3.0,1.0,3.0,1.0,1.0,,5,6.0,2.0,1.0,,,,79,2019-04-19
Gold Coast,2019,58,Port Adelaide,9,L,30,7.0,4.0,3.0,10,1.0,,6.0,3.0,1.0,1.0,1.0,3.0,1.0,,,4,6.0,1.0,,5.0,,,88,2019-04-26
Gold Coast,2019,59,Geelong,10,L,30,7.0,3.0,3.0,10,1.0,,8.0,4.0,1.0,1.0,1.0,1.0,1.0,,,4,5.0,,,3.0,,,89,2019-05-03
Gold Coast,2019,60,Greater Western Sydney,11,L,30,11.0,7.0,4.0,15,,,10.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,,6,9.0,2.0,1.0,1.0,,1.0,89,2019-05-10
Gold Coast,2019,61,North Melbourne,12,L,30,5.0,3.0,4.0,9,1.0,,5.0,,1.0,1.0,,1.0,,,,3,7.0,,1.0,4.0,,1.0,82,2019-05-17
Gold Coast,2019,62,St Kilda,13,L,30,8.0,5.0,2.0,10,2.0,,1.0,2.0,,1.0,,1.0,,,,4,6.0,1.0,,3.0,,,80,2019-05-24
Gold Coast,2019,63,Sydney,15,L,30,12.0,7.0,2.0,14,1.0,2.0,7.0,2.0,,2.0,,3.0,,1.0,,4,9.0,1.0,3.0,5.0,,,89,2019-06-07
Gold Coast,2019,64,Carlton,18,L,30,12.0,6.0,4.0,16,2.0,2.0,6.0,3.0,,6.0,3.0,3.0,2.0,1.0,,6,9.0,1.0,2.0,8.0,,,80,2019-06-28
Gold Coast,2019,65,Essendon,19,L,30,6.0,3.0,8.0,14,2.0,,4.0,1.0,,3.0,1.0,2.0,2.0,,,6,8.0,1.0,1.0,3.0,,,82,2019-07-05
Gold Coast,2019,66,Collingwood,20,L,30,5.0,2.0,1.0,6,,,5.0,4.0,1.0,2.0,,2.0,,1.0,,1,4.0,1.0,,4.0,,,87,2019-07-12
Essendon,2021,67,Hawthorn,1,L,20,9.0,3.0,7.0,16,1.0,,6.0,,2.0,3.0,1.0,4.0,2.0,1.0,,7,9.0,2.0,1.0,4.0,,1.0,88,2021-03-01
Essendon,2021,68,Port Adelaide,2,L,20,4.0,3.0,9.0,13,,1.0,7.0,1.0,1.0,,2.0,3.0,2.0,3.0,,9,5.0,2.0,1.0,7.0,1.0,1.0,86,2021-03-08
Essendon,2021,69,St Kilda,3,W,20,8.0,4.0,6.0,14,,1.0,19.0,2.0,2.0,1.0,5.0,3.0,3.0,1.0,,6,8.0,,,6.0,,,88,2021-03-15
Essendon,2021,70,Sydney,4,L,20,6.0,,2.0,8,,,23.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,,5,3.0,,,4.0,,,72,2021-03-22
Essendon,2021,71,Brisbane Lions,5,L,20,7.0,2.0,1.0,8,,,27.0,5.0,1.0,2.0,2.0,4.0,2.0,2.0,,6,4.0,1.0,,9.0,,,82,2021-03-29
Essendon,2021,72,Collingwood,6,W,20,10.0,10.0,6.0,16,2.0,,11.0,6.0,1.0,1.0,,2.0,1.0,2.0,,9,8.0,4.0,2.0,5.0,,1.0,90,2021-04-05
Essendon,2021,73,Carlton,7,L,20,10.0,5.0,5.0,15,,1.0,10.0,4.0,1.0,3.0,2.0,4.0,2.0,1.0,,7,7.0,,1.0,2.0,,1.0,81,2021-04-12
Essendon,2021,74,Greater Western Sydney,8,L,20,4.0,2.0,4.0,8,2.0,,10.0,,,,1.0,2.0,1.0,,,5,4.0,1.0,2.0,5.0,,,77,2021-04-19
Essendon,2021,75,Fremantle,9,W,20,5.0,4.0,4.0,9,1.0,,8.0,2.0,1.0,,,3.0,,1.0,,4,5.0,1.0,2.0,2.0,,,83,2021-04-26
Essendon,2021,76,North Melbourne,10,W,20,13.0,10.0,3.0,16,3.0,2.0,6.0,1.0,2.0,4.0,,2.0,,,,7,9.0,4.0,5.0,2.0,,1.0,76,2021-05-03
Essendon,2021,77,Hawthorn,14,W,20,3.0,3.0,2.0,5,,,4.0,1.0,,,,1.0,,1.0,,4,2.0,2.0,,4.0,,,65,2021-05-31
Essendon,2021,78,Melbourne,15,L,20,4.0,3.0,4.0,8,2.0,,11.0,1.0,,,,,,,,4,4.0,2.0,1.0,4.0,,,68,2021-06-07
Essendon,2021,79,Geelong,16,L,20,5.0,1.0,7.0,12,,1.0,8.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,,5,7.0,,,1.0,,,79,2021-06-14
