team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
North Melbourne,2020,1,Hawthorn,4,L,38,2.0,,3.0,5,1.0,,3,3,,1.0,1.0,1.0,2.0,1.0,,3.0,2.0,,,1.0,,,81,2020-03-22
North Melbourne,2020,2,Western Bulldogs,5,L,38,4.0,2.0,2.0,6,,,2,2,1.0,2.0,1.0,5.0,2.0,3.0,,3.0,3.0,,,4.0,,,87,2020-03-29
North Melbourne,2020,3,Brisbane Lions,12,L,38,3.0,1.0,1.0,4,2.0,,2,2,,,1.0,3.0,,2.0,,2.0,1.0,,1.0,3.0,,,93,2020-05-17
North Melbourne,2020,4,Collingwood,13,L,38,4.0,2.0,,4,1.0,,2,1,,2.0,,1.0,,1.0,,4.0,1.0,2.0,1.0,5.0,,,80,2020-05-24
North Melbourne,2021,5,Greater Western Sydney,13,D,38,4.0,2.0,4.0,8,,,5,1,,1.0,,3.0,,2.0,,7.0,2.0,2.0,1.0,3.0,,,72,2021-05-24
North Melbourne,2021,6,Brisbane Lions,14,L,38,2.0,1.0,3.0,5,,,9,4,,2.0,1.0,4.0,1.0,2.0,,4.0,1.0,,,1.0,,,72,2021-05-31
North Melbourne,2021,7,Gold Coast,15,W,38,5.0,3.0,6.0,11,,1.0,7,2,,1.0,3.0,7.0,,5.0,,11.0,1.0,2.0,,4.0,,1.0,93,2021-06-07
North Melbourne,2021,8,Western Bulldogs,16,L,38,1.0,2.0,5.0,6,,,13,2,,,,2.0,,1.0,,4.0,3.0,,,,,,76,2021-06-14
North Melbourne,2021,9,West Coast,17,W,38,7.0,1.0,1.0,8,,,2,4,,4.0,1.0,5.0,1.0,1.0,,5.0,4.0,,,3.0,,,65,2021-06-21
North Melbourne,2021,10,Essendon,18,L,38,3.0,2.0,7.0,10,1.0,1.0,4,2,,,,4.0,1.0,1.0,,5.0,4.0,,,3.0,,,74,2021-06-28
North Melbourne,2021,11,Carlton,19,W,38,2.0,2.0,5.0,7,,,11,1,,1.0,,3.0,,3.0,,2.0,5.0,,,4.0,,,73,2021-07-05
North Melbourne,2021,12,Geelong,20,L,38,2.0,1.0,3.0,5,,,8,1,,,1.0,2.0,1.0,1.0,,4.0,2.0,,1.0,2.0,,,79,2021-07-12
North Melbourne,2022,13,Hawthorn,1,L,38,5.0,3.0,5.0,10,,1.0,18,3,,1.0,2.0,4.0,2.0,2.0,,8.0,2.0,2.0,1.0,2.0,,1.0,83,2022-03-01
North Melbourne,2022,14,West Coast,2,W,38,7.0,5.0,13.0,20,,,24,2,1.0,1.0,5.0,2.0,1.0,1.0,,14.0,6.0,2.0,,3.0,,,91,2022-03-08
North Melbourne,2022,15,Brisbane Lions,3,L,38,4.0,1.0,7.0,11,,,25,8,,2.0,5.0,5.0,2.0,3.0,,8.0,2.0,,,,,,86,2022-03-15
North Melbourne,2022,16,Sydney,4,L,38,2.0,3.0,4.0,6,1.0,,23,2,,1.0,,1.0,2.0,1.0,,3.0,4.0,,2.0,2.0,,,73,2022-03-22
North Melbourne,2022,17,Western Bulldogs,5,L,38,6.0,1.0,14.0,20,1.0,,26,2,,4.0,8.0,7.0,3.0,2.0,,12.0,7.0,,,1.0,,1.0,87,2022-03-29
North Melbourne,2022,18,Geelong,6,L,38,3.0,2.0,9.0,12,,,19,2,2.0,2.0,,2.0,1.0,,,8.0,4.0,,,2.0,,,86,2022-04-05
North Melbourne,2022,19,Melbourne,10,L,38,1.0,,1.0,2,1.0,,15,3,,,,2.0,,2.0,,,2.0,,,2.0,,1.0,63,2022-05-03
North Melbourne,2022,20,St Kilda,11,L,38,2.0,2.0,,2,,,17,4,,,,2.0,,2.0,,,2.0,,,1.0,,,58,2022-05-10
North Melbourne,2022,21,Gold Coast,12,L,38,2.0,,2.0,4,,,24,4,2.0,,,4.0,,,,2.0,2.0,,,4.0,,,72,2022-05-17
North Melbourne,2022,22,Greater Western Sydney,13,L,38,6.0,3.0,8.0,14,,1.0,27,3,1.0,1.0,5.0,3.0,2.0,1.0,,9.0,5.0,,1.0,1.0,,,73,2022-05-24
North Melbourne,2022,23,Adelaide,15,L,38,9.0,6.0,5.0,14,1.0,,21,4,,1.0,2.0,5.0,,2.0,,7.0,7.0,1.0,2.0,4.0,,,57,2022-06-07
North Melbourne,2022,24,Geelong,16,L,38,3.0,1.0,2.0,5,1.0,,23,5,,,2.0,1.0,1.0,1.0,,4.0,,1.0,,2.0,,,73,2022-06-14
North Melbourne,2023,25↓,West Coast,1,W,38,,1.0,5.0,5,,,9,1,,,1.0,,,,,4.0,1.0,1.0,,,,,15,2023-03-01
North Melbourne,2023,26,Geelong,17,L,38,4.0,3.0,15.0,19,,,45,4,1.0,2.0,3.0,4.0,1.0,1.0,,11.0,6.0,,,2.0,,,85,2023-06-21
North Melbourne,2023,27,Hawthorn,18,L,38,2.0,,11.0,13,,,25,8,1.0,1.0,7.0,6.0,4.0,5.0,,14.0,,,,4.0,,,83,2023-06-28
North Melbourne,2023,28,St Kilda,19,L,38,6.0,2.0,7.0,13,1.0,,30,3,,2.0,2.0,3.0,2.0,1.0,,7.0,7.0,,1.0,4.0,,,82,2023-07-05
North Melbourne,2023,29,West Coast,20,L,38,4.0,1.0,7.0,11,2.0,,33,3,,,2.0,4.0,3.0,1.0,,11.0,1.0,1.0,1.0,3.0,,,76,2023-07-12
North Melbourne,2023,30,Melbourne,21,L,38,2.0,,10.0,12,,,21,3,1.0,1.0,4.0,,,,,9.0,4.0,,,3.0,,,84,2023-07-19
North Melbourne,2023,31,Essendon,22,L,38,5.0,1.0,7.0,12,,,17,2,2.0,1.0,4.0,4.0,2.0,2.0,,10.0,2.0,,,8.0,,,80,2023-07-26
North Melbourne,2023,32,Richmond,23,L,38,5.0,1.0,5.0,10,,,25,1,1.0,2.0,1.0,3.0,,1.0,,3.0,6.0,,,4.0,,,61,2023-08-02
North Melbourne,2023,33,Gold Coast,24,W,38,2.0,,6.0,8,,,24,1,,1.0,2.0,,1.0,,,4.0,3.0,,,2.0,,1.0,65,2023-08-09
North Melbourne,2024,34,Greater Western Sydney,2,L,38,5.0,5.0,13.0,18,1.0,,19,9,,2.0,8.0,,4.0,,,14.0,4.0,2.0,1.0,1.0,,,83,2024-03-08
North Melbourne,2024,35,Fremantle,3,L,38,7.0,3.0,12.0,19,,,30,6,,3.0,7.0,4.0,2.0,2.0,,13.0,6.0,1.0,,1.0,,,84,2024-03-15
North Melbourne,2024,36,Carlton,4,L,38,3.0,1.0,10.0,13,,,32,8,2.0,,10.0,7.0,2.0,5.0,,11.0,3.0,,,3.0,,,86,2024-03-22
North Melbourne,2024,37,Brisbane Lions,5,L,38,2.0,,7.0,9,1.0,,41,9,,1.0,6.0,2.0,2.0,1.0,,8.0,2.0,,,,,,83,2024-03-29
North Melbourne,2024,38,Geelong,6,L,38,5.0,1.0,8.0,13,,,39,8,1.0,1.0,5.0,2.0,2.0,,,10.0,3.0,,,3.0,,,80,2024-04-05
North Melbourne,2024,39,Hawthorn,7,L,38,10.0,2.0,8.0,18,,,44,10,,6.0,10.0,5.0,2.0,4.0,,12.0,4.0,,,6.0,,1.0,85,2024-04-12
North Melbourne,2024,40,Adelaide,8,L,38,9.0,1.0,6.0,15,,,32,4,1.0,3.0,3.0,6.0,2.0,3.0,,11.0,4.0,1.0,,5.0,,,82,2024-04-19
North Melbourne,2024,41,St Kilda,9,L,38,8.0,,11.0,19,,,40,11,3.0,1.0,8.0,7.0,3.0,2.0,,16.0,4.0,,,5.0,1.0,,82,2024-04-26
North Melbourne,2024,42,Gold Coast,10,L,38,6.0,2.0,6.0,12,,,20,4,,2.0,2.0,8.0,,5.0,,10.0,1.0,2.0,,7.0,,,84,2024-05-03
North Melbourne,2024,43,Essendon,11,L,38,8.0,2.0,7.0,15,1.0,,38,5,4.0,1.0,7.0,10.0,2.0,4.0,,11.0,5.0,,1.0,2.0,,1.0,88,2024-05-10
North Melbourne,2024,44,Port Adelaide,12,L,38,9.0,3.0,13.0,22,,1.0,34,6,4.0,1.0,3.0,4.0,2.0,1.0,,13.0,10.0,,1.0,1.0,,,88,2024-05-17
North Melbourne,2024,45,West Coast,14,W,38,10.0,4.0,9.0,19,,,32,10,3.0,3.0,9.0,6.0,6.0,3.0,,14.0,6.0,,,3.0,,1.0,84,2024-05-31
North Melbourne,2024,46,Collingwood,15,L,38,8.0,3.0,7.0,15,2.0,,30,6,,2.0,4.0,3.0,3.0,3.0,,11.0,4.0,,1.0,2.0,,,87,2024-06-07
North Melbourne,2024,47,Melbourne,16,L,38,10.0,2.0,7.0,17,,,20,10,,3.0,9.0,8.0,1.0,4.0,,14.0,3.0,1.0,,8.0,,,82,2024-06-14
North Melbourne,2024,48,Western Bulldogs,17,L,38,10.0,5.0,10.0,20,1.0,,34,6,1.0,1.0,4.0,1.0,,,,13.0,5.0,3.0,1.0,4.0,,,86,2024-06-21
North Melbourne,2024,49,Gold Coast,18,W,38,10.0,3.0,7.0,17,1.0,,35,7,1.0,3.0,6.0,7.0,2.0,2.0,,10.0,7.0,1.0,1.0,2.0,,1.0,81,2024-06-28
North Melbourne,2024,50,Sydney,19,L,38,8.0,3.0,10.0,18,,,20,5,3.0,1.0,6.0,3.0,4.0,1.0,,13.0,8.0,,,3.0,,,81,2024-07-05
