team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Brisbane Lions,2012,1,North Melbourne,9,L,26,7,3.0,9,16,,1.0,,1.0,3.0,4.0,2.0,5.0,1.0,,,8,8,,,3.0,,,72,2012-04-26
Brisbane Lions,2012,2,St Kilda,16,L,26,11,3.0,6,17,,,,1.0,1.0,6.0,1.0,1.0,,1.0,,5,13,,,1.0,,,81,2012-06-14
Brisbane Lions,2012,3,Gold Coast,17,W,26,12,4.0,10,22,,,,1.0,1.0,3.0,1.0,2.0,,1.0,,9,13,,,1.0,,,76,2012-06-21
Brisbane Lions,2012,4,West Coast,18,L,26,7,4.0,7,14,,,,,1.0,1.0,3.0,2.0,1.0,1.0,,4,10,,,3.0,,,82,2012-06-28
Brisbane Lions,2012,5,Richmond,19,L,26,10,4.0,4,14,,,,,3.0,,,2.0,1.0,1.0,,6,8,2.0,,3.0,,,76,2012-07-05
Brisbane Lions,2012,6,Carlton,20,L,26,6,3.0,5,11,,,,2.0,,1.0,,,,,,3,9,1.0,,3.0,1.0,,72,2012-07-12
Brisbane Lions,2012,7↑,Adelaide,21,W,26,4,2.0,8,12,,,,1.0,4.0,,,2.0,,,,7,4,,,1.0,,1.0,48,2012-07-19
Brisbane Lions,2012,8,Western Bulldogs,23,W,26,4,5.0,9,13,,,,3.0,2.0,1.0,1.0,2.0,,1.0,,7,6,1.0,,3.0,,,87,2012-08-02
Brisbane Lions,2013,9,Western Bulldogs,1,L,26,9,1.0,7,16,,,,3.0,3.0,,1.0,3.0,1.0,1.0,,10,5,,,6.0,1.0,,92,2013-03-01
Brisbane Lions,2013,10,Adelaide,2,L,26,8,3.0,5,13,,,,4.0,5.0,2.0,1.0,4.0,1.0,2.0,,6,7,,,4.0,,,86,2013-03-08
Brisbane Lions,2013,11,Gold Coast,3,W,26,8,4.0,5,13,,,,1.0,3.0,1.0,,4.0,,1.0,,6,7,,,5.0,,,90,2013-03-15
Brisbane Lions,2013,12,Melbourne,5,W,26,9,2.0,8,17,,1.0,,1.0,2.0,4.0,,1.0,,,,3,14,,,,2.0,,87,2013-03-29
Brisbane Lions,2013,13,Sydney,6,L,26,8,5.0,9,17,,,,3.0,2.0,,,1.0,,,,5,12,1.0,,1.0,2.0,,87,2013-04-05
Brisbane Lions,2013,14,West Coast,7,L,26,8,3.0,8,16,,,,4.0,2.0,1.0,2.0,2.0,1.0,,,6,10,,,1.0,,,88,2013-04-12
Brisbane Lions,2013,15,Essendon,8,W,26,9,4.0,5,14,,,,2.0,5.0,,2.0,2.0,,,,5,6,,,1.0,1.0,,85,2013-04-19
Brisbane Lions,2013,16,Carlton,9,L,26,10,5.0,1,11,,,,2.0,7.0,1.0,,1.0,,1.0,,4,9,,,3.0,2.0,,90,2013-04-26
