team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Richmond,2023,1,Adelaide,2,W,45,5,2.0,,5,,,,1.0,1,2.0,1.0,2.0,1.0,1.0,,3.0,2,,,7,,,78,2023-03-08
Richmond,2023,2,Collingwood,3,L,45,5,1.0,1.0,6,,,,4.0,3,,1.0,1.0,,1.0,,4.0,1,1.0,,10,,,92,2023-03-15
Richmond,2023,3,Western Bulldogs,4,L,45,9,1.0,2.0,11,,,,1.0,5,1.0,,4.0,1.0,2.0,,4.0,6,,,15,,,100,2023-03-22
Richmond,2023,4,Sydney,5,L,45,8,6.0,3.0,11,,,,,4,,,1.0,,,,3.0,7,1.0,,11,,,85,2023-03-29
Richmond,2023,5,Melbourne,6,L,45,7,1.0,3.0,10,,,,,3,,,6.0,,2.0,,4.0,5,,,7,,,96,2023-04-05
Richmond,2023,6,Gold Coast,7,L,45,7,4.0,7.0,14,,,,1.0,2,1.0,,6.0,,3.0,,8.0,6,,,8,,,97,2023-04-12
Richmond,2023,7,Port Adelaide,11,L,45,6,1.0,3.0,9,,,,,4,,,3.0,1.0,,,2.0,6,,,11,,,88,2023-05-10
Richmond,2023,8,Greater Western Sydney,12,W,45,6,3.0,2.0,8,,,,1.0,8,,,1.0,,,,3.0,5,,,7,,,90,2023-05-17
Richmond,2023,9↓,Fremantle,13,W,45,1,1.0,,1,,,,1.0,1,1.0,,2.0,,,,,1,,,5,,,78,2023-05-24
Richmond,2023,10,St Kilda,14,W,45,8,2.0,3.0,11,,,,,4,1.0,,1.0,1.0,,,5.0,5,1.0,,14,,,83,2023-05-31
Richmond,2023,11,Brisbane Lions,16,L,45,7,6.0,4.0,11,,,,3.0,3,2.0,,3.0,1.0,1.0,,6.0,4,2.0,,5,,,93,2023-06-14
Richmond,2023,12,Sydney,17,W,45,6,2.0,,6,,,,4.0,2,2.0,,3.0,1.0,2.0,,2.0,5,,,8,,,93,2023-06-21
Richmond,2023,13,West Coast,18,W,45,9,2.0,,9,,,,1.0,4,1.0,,4.0,,,,3.0,6,,,5,,,89,2023-06-28
Richmond,2023,14↓,Hawthorn,19,W,45,6,4.0,1.0,7,,,,1.0,3,,,,,,,3.0,5,1.0,,7,,,61,2023-07-05
Richmond,2023,15,Melbourne,20,L,45,13,5.0,6.0,19,,,,2.0,6,,1.0,2.0,,,,8.0,8,1.0,,8,,,93,2023-07-12
Richmond,2023,16,Western Bulldogs,21,L,45,5,3.0,1.0,6,,,,1.0,2,1.0,,3.0,1.0,2.0,,,6,,,8,,,82,2023-07-19
Richmond,2023,17,St Kilda,22,L,45,4,2.0,6.0,10,,,,1.0,7,1.0,,,,,,8.0,3,2.0,,7,,,93,2023-07-26
Richmond,2023,18,North Melbourne,23,W,45,8,4.0,4.0,12,,,,1.0,3,2.0,,4.0,,1.0,,4.0,6,1.0,,3,,,100,2023-08-02
Richmond,2023,19,Port Adelaide,24,L,45,9,5.0,2.0,11,,,,,4,1.0,,1.0,2.0,1.0,,6.0,3,3.0,,2,,,91,2023-08-09
Richmond,2024,20,Gold Coast,1,L,45,5,2.0,1.0,6,,,,1.0,2,1.0,,5.0,,2.0,,2.0,3,,,4,,,90,2024-03-01
Richmond,2024,21,Carlton,2,L,45,2,,1.0,3,,,,,3,,,,,,,1.0,2,,,3,,,48,2024-03-08
Richmond,2024,22,Sydney,4,W,45,8,5.0,1.0,9,,,,,4,,,4.0,,3.0,,2.0,8,,,3,,,94,2024-03-22
Richmond,2024,23,St Kilda,5,L,45,9,6.0,2.0,11,,,,1.0,4,3.0,,3.0,,1.0,,2.0,9,,,6,1.0,,100,2024-03-29
Richmond,2024,24,West Coast,6,L,45,5,4.0,,5,,,,2.0,3,1.0,,,,,,,5,,,5,,,90,2024-04-05
Richmond,2024,25,Melbourne,8,L,45,11,6.0,1.0,12,,,,2.0,3,1.0,,4.0,2.0,2.0,,2.0,9,1.0,,5,,,89,2024-04-19
Richmond,2024,26,Fremantle,9,L,45,7,7.0,7.0,14,,,,1.0,4,1.0,,2.0,,1.0,,4.0,10,1.0,,3,,,89,2024-04-26
Richmond,2024,27,Western Bulldogs,10,L,45,7,4.0,4.0,11,,,,,4,,,1.0,1.0,,,4.0,7,2.0,,6,,,86,2024-05-03
Richmond,2024,28,Brisbane Lions,11,L,45,9,7.0,2.0,11,,,,1.0,3,2.0,,5.0,,2.0,,1.0,9,1.0,,2,,,90,2024-05-10
Richmond,2025,29,Essendon,19,W,45,11,8.0,7.0,18,,,,1.0,6,,,1.0,,1.0,,5.0,13,1.0,,6,,,89,2025-07-05
Richmond,2025,30,West Coast,20,W,45,12,8.0,2.0,14,,,,,7,1.0,1.0,2.0,,2.0,,5.0,7,4.0,,7,,,86,2025-07-12
Richmond,2025,31,Collingwood,21,L,45,6,4.0,2.0,8,,,,,4,,,2.0,,1.0,,3.0,5,1.0,,7,,,86,2025-07-19
Richmond,2025,32,Gold Coast,22,L,45,9,5.0,2.0,11,,,,2.0,4,,,4.0,1.0,2.0,,2.0,10,,,3,,,89,2025-07-26
Richmond,2025,33,St Kilda,23,L,45,15,9,2,17,,,,,8,2,1,4,,,,2,14,1,,1,1,,90,2025-08-02
