team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
North Melbourne,2017,1,Port Adelaide,17,L,44,4,1.0,2.0,6,,1.0,,3.0,,3.0,,3.0,1.0,,,4.0,2,,,,,,84,2017-06-21
North Melbourne,2017,2,Essendon,18,L,44,6,3.0,4.0,10,,1.0,,,,3.0,2.0,2.0,1.0,1.0,,4.0,7,,,1.0,,1.0,67,2017-06-28
North Melbourne,2017,3,Hawthorn,21,L,44,6,2.0,7.0,13,2.0,,,,,2.0,2.0,2.0,1.0,1.0,,7.0,7,,,1.0,,2.0,79,2017-07-19
North Melbourne,2017,4,St Kilda,22,L,44,6,3.0,1.0,7,,1.0,,4.0,,3.0,,,1.0,,,2.0,5,,1.0,1.0,,1.0,77,2017-07-26
North Melbourne,2018,5,Hawthorn,5,W,44,11,2.0,4.0,15,2.0,1.0,,2.0,1.0,3.0,1.0,5.0,1.0,3.0,,8.0,6,,1.0,1.0,,1.0,79,2018-03-29
North Melbourne,2018,6,Port Adelaide,6,L,44,5,1.0,5.0,10,,2.0,,3.0,1.0,2.0,2.0,1.0,,,,5.0,6,,,1.0,1.0,,74,2018-04-05
North Melbourne,2018,7,Sydney,7,W,44,6,2.0,2.0,8,,1.0,,2.0,,2.0,1.0,,,,,2.0,6,,,2.0,,1.0,73,2018-04-12
North Melbourne,2018,8,Geelong,12,L,44,6,,4.0,10,,,,4.0,,2.0,1.0,4.0,1.0,1.0,,4.0,6,,,,,,73,2018-05-17
North Melbourne,2018,9,Gold Coast,16,W,44,2,,7.0,9,,1.0,1.0,3.0,,2.0,,2.0,1.0,1.0,,5.0,4,,,1.0,,,56,2018-06-14
North Melbourne,2019,10,Adelaide,4,W,44,3,1.0,5.0,8,1.0,,3.0,4.0,,2.0,1.0,3.0,,2.0,,2.0,5,,,2.0,,,69,2019-03-22
North Melbourne,2019,11,Essendon,5,L,44,9,6.0,5.0,14,1.0,,1.0,1.0,,3.0,1.0,3.0,1.0,1.0,,3.0,11,,,1.0,,,86,2019-03-29
North Melbourne,2019,12,Port Adelaide,6,L,44,8,3.0,10.0,18,1.0,1.0,,2.0,,6.0,,3.0,,,,5.0,13,,1.0,2.0,,3.0,76,2019-04-05
North Melbourne,2019,13,Carlton,7,W,44,12,5.0,4.0,16,5.0,2.0,,4.0,,4.0,1.0,4.0,,1.0,3.0,5.0,10,,3.0,1.0,1.0,1.0,75,2019-04-12
North Melbourne,2019,14,Geelong,8,L,44,7,4.0,4.0,11,1.0,,,2.0,,1.0,,2.0,2.0,,,3.0,8,,1.0,,,1.0,87,2019-04-19
North Melbourne,2019,15,Sydney,9,L,44,5,2.0,5.0,10,1.0,,,5.0,,3.0,,4.0,2.0,2.0,,4.0,6,,1.0,,,,80,2019-04-26
North Melbourne,2019,16,Western Bulldogs,10,W,44,7,7.0,6.0,13,2.0,,,2.0,,1.0,,1.0,,,,4.0,10,1.0,2.0,2.0,,,77,2019-05-03
